#timestamp,interval,socket,domain,energy,power
0.005142,0.005201,N0,package,0.1072,20.6185
0.005180,0.005227,N0,ram,0.0092,1.7545
0.005228,0.005235,N1,package,0.0995,19.0152
0.005237,0.005237,N1,ram,0.0092,1.7482
0.010377,0.005235,N0,package,0.0995,19.0044
0.010413,0.005233,N0,ram,0.0087,1.6562
0.010455,0.005227,N1,package,0.1078,20.6337
0.010465,0.005228,N1,ram,0.0107,2.0489
0.015560,0.005183,N0,package,0.0891,17.1931
0.015644,0.005231,N0,ram,0.0064,1.2280
0.015690,0.005235,N1,package,0.1125,21.4878
0.015702,0.005237,N1,ram,0.0104,1.9929
0.020821,0.005261,N0,package,0.0905,17.1935
0.020857,0.005213,N0,ram,0.0084,1.6041
0.020904,0.005214,N1,package,0.1129,21.6552
0.020914,0.005212,N1,ram,0.0105,2.0084
0.026067,0.005246,N0,package,0.1187,22.6286
0.026114,0.005257,N0,ram,0.0097,1.8373
0.026158,0.005254,N1,package,0.1318,25.0819
0.026168,0.005254,N1,ram,0.0097,1.8413
0.031336,0.005269,N0,package,0.0995,18.8814
0.031355,0.005241,N0,ram,0.0084,1.6100
0.031371,0.005213,N1,package,0.1260,24.1657
0.031380,0.005212,N1,ram,0.0101,1.9351
0.036482,0.005146,N0,package,0.1031,20.0454
0.036502,0.005147,N0,ram,0.0089,1.7284
0.036518,0.005147,N1,package,0.1323,25.6972
0.036527,0.005147,N1,ram,0.0098,1.9003
0.041661,0.005179,N0,package,0.1007,19.4448
0.041695,0.005193,N0,ram,0.0083,1.6014
0.041739,0.005221,N1,package,0.1348,25.8233
0.041747,0.005220,N1,ram,0.0099,1.9059
0.046861,0.005200,N0,package,0.1030,19.8133
0.046894,0.005199,N0,ram,0.0073,1.3999
0.046938,0.005199,N1,package,0.1634,31.4277
0.046947,0.005200,N1,ram,0.0119,2.2888
0.052084,0.005223,N0,package,0.1225,23.4533
0.052116,0.005222,N0,ram,0.0089,1.6948
0.052160,0.005222,N1,package,0.1342,25.6900
0.052169,0.005222,N1,ram,0.0096,1.8438
0.057350,0.005266,N0,package,0.0977,18.5564
0.057372,0.005256,N0,ram,0.0059,1.1235
0.057414,0.005254,N1,package,0.1352,25.7313
0.057424,0.005255,N1,ram,0.0097,1.8379
0.062509,0.005159,N0,package,0.1053,20.4076
0.062527,0.005155,N0,ram,0.0040,0.7755
0.062542,0.005128,N1,package,0.1391,27.1259
0.062551,0.005127,N1,ram,0.0096,1.8780
0.067689,0.005180,N0,package,0.1122,21.6574
0.067720,0.005193,N0,ram,0.0089,1.7131
0.067761,0.005219,N1,package,0.1421,27.2256
0.067769,0.005218,N1,ram,0.0098,1.8774
0.072887,0.005198,N0,package,0.1072,20.6308
0.072920,0.005200,N0,ram,0.0089,1.7020
0.072962,0.005201,N1,package,0.1682,32.3418
0.072970,0.005201,N1,ram,0.0139,2.6669
0.078108,0.005221,N0,package,0.1287,24.6426
0.078141,0.005221,N0,ram,0.0102,1.9581
0.078181,0.005219,N1,package,0.1385,26.5473
0.078190,0.005220,N1,ram,0.0109,2.0930
0.083343,0.005235,N0,package,0.1049,20.0304
0.083361,0.005220,N0,ram,0.0070,1.3505
0.083376,0.005195,N1,package,0.1387,26.7056
0.083384,0.005194,N1,ram,0.0116,2.2356
0.088471,0.005128,N0,package,0.1091,21.2818
0.088489,0.005128,N0,ram,0.0060,1.1723
0.088529,0.005153,N1,package,0.1389,26.9586
0.088538,0.005154,N1,ram,0.0123,2.3803
0.093671,0.005200,N0,package,0.1108,21.3157
0.093704,0.005215,N0,ram,0.0058,1.1060
0.093746,0.005217,N1,package,0.1390,26.6506
0.093755,0.005217,N1,ram,0.0137,2.6265
0.098865,0.005194,N0,package,0.1124,21.6447
0.098880,0.005176,N0,ram,0.0063,1.2263
0.098939,0.005193,N1,package,0.1384,26.6449
0.098947,0.005192,N1,ram,0.0136,2.6274
0.104109,0.005244,N0,package,0.1436,27.3749
