#timestamp,interval,socket,domain,energy,power
0.005137,0.005195,N0,package,0.1041,20.0439
0.005178,0.005235,N0,ram,0.0102,1.9500
0.005251,0.005261,N1,package,0.0988,18.7705
0.005268,0.005268,N1,ram,0.0086,1.6278
0.010355,0.005218,N0,package,0.1098,21.0429
0.010367,0.005189,N0,ram,0.0104,1.9995
0.010432,0.005181,N1,package,0.0955,18.4254
0.010447,0.005179,N1,ram,0.0081,1.5704
0.015542,0.005187,N0,package,0.1125,21.6863
0.015553,0.005186,N0,ram,0.0101,1.9449
0.015616,0.005184,N1,package,0.0875,16.8712
0.015628,0.005181,N1,ram,0.0066,1.2752
0.020709,0.005167,N0,package,0.1167,22.5855
0.020719,0.005166,N0,ram,0.0103,1.9849
0.020788,0.005172,N1,package,0.0872,16.8637
0.020802,0.005174,N1,ram,0.0065,1.2475
0.025927,0.005218,N0,package,0.1306,25.0198
0.025946,0.005227,N0,ram,0.0115,2.2040
0.026017,0.005229,N1,package,0.1118,21.3839
0.026030,0.005228,N1,ram,0.0091,1.7483
0.031154,0.005227,N0,package,0.1096,20.9714
0.031173,0.005227,N0,ram,0.0089,1.6990
0.031251,0.005234,N1,package,0.1166,22.2730
0.031273,0.005243,N1,ram,0.0099,1.8975
0.036375,0.005221,N0,package,0.1013,19.3946
0.036395,0.005222,N0,ram,0.0091,1.7386
0.036465,0.005214,N1,package,0.1221,23.4121
0.036478,0.005205,N1,ram,0.0098,1.8792
0.041574,0.005199,N0,package,0.1047,20.1456
0.041594,0.005199,N0,ram,0.0092,1.7698
0.041623,0.005158,N1,package,0.1242,24.0806
0.041638,0.005160,N1,ram,0.0096,1.8630
0.046721,0.005147,N0,package,0.1038,20.1712
0.046731,0.005137,N0,ram,0.0089,1.7347
0.046796,0.005173,N1,package,0.1234,23.8455
0.046807,0.005169,N1,ram,0.0096,1.8627
0.051933,0.005212,N0,package,0.1245,23.8891
0.051943,0.005212,N0,ram,0.0103,1.9849
0.051983,0.005187,N1,package,0.1499,28.8994
0.051995,0.005188,N1,ram,0.0122,2.3588
0.057123,0.005190,N0,package,0.0952,18.3336
0.057143,0.005200,N0,ram,0.0063,1.2090
0.057213,0.005230,N1,package,0.1258,24.0525
0.057264,0.005269,N1,ram,0.0105,1.9837
0.062360,0.005237,N0,package,0.0956,18.2516
0.062380,0.005237,N0,ram,0.0064,1.2295
0.062434,0.005221,N1,package,0.1234,23.6372
0.062541,0.005277,N1,ram,0.0103,1.9518
0.067626,0.005266,N0,package,0.1030,19.5532
0.067636,0.005256,N0,ram,0.0086,1.6345
0.067694,0.005260,N1,package,0.1277,24.2865
0.067705,0.005164,N1,ram,0.0098,1.8940
0.072802,0.005176,N0,package,0.1053,20.3526
0.072812,0.005176,N0,ram,0.0089,1.7187
0.072868,0.005174,N1,package,0.1345,25.9999
0.072879,0.005174,N1,ram,0.0096,1.8580
0.078010,0.005208,N0,package,0.1218,23.3803
0.078030,0.005218,N0,ram,0.0094,1.8013
0.078080,0.005212,N1,package,0.1553,29.7911
0.078098,0.005219,N1,ram,0.0139,2.6635
0.083231,0.005221,N0,package,0.1022,19.5817
0.083242,0.005212,N0,ram,0.0078,1.4901
0.083274,0.005194,N1,package,0.1295,24.9361
0.083287,0.005189,N1,ram,0.0114,2.1878
0.088364,0.005133,N0,package,0.1012,19.7143
0.088374,0.005132,N0,ram,0.0054,1.0525
0.088409,0.005135,N1,package,0.1268,24.6872
0.088420,0.005133,N1,ram,0.0114,2.2294
0.093512,0.005148,N0,package,0.1025,19.9066
0.093532,0.005158,N0,ram,0.0059,1.1419
0.093581,0.005172,N1,package,0.1281,24.7704
0.093596,0.005176,N1,ram,0.0118,2.2818
0.098694,0.005182,N0,package,0.1019,19.6579
0.098721,0.005189,N0,ram,0.0064,1.2262
0.098760,0.005179,N1,package,0.1258,24.2895
0.098771,0.005175,N1,ram,0.0130,2.5151
0.103898,0.005204,N0,package,0.1067,20.5016
0.103917,0.005196,N0,ram,0.0064,1.2246
0.103966,0.005206,N1,package,0.1264,24.2810
0.103982,0.005211,N1,ram,0.0140,2.6794
0.109091,0.005193,N0,package,0.1290,24.8466
0.109100,0.005183,N0,ram,0.0064,1.2365
0.109138,0.005172,N1,package,0.1465,28.3343
0.109148,0.005166,N1,ram,0.0138,2.6731
0.114237,0.005146,N0,package,0.1090,21.1831
0.114246,0.005146,N0,ram,0.0038,0.7472
0.114301,0.005163,N1,package,0.1239,23.9982
0.114311,0.005163,N1,ram,0.0096,1.8678
0.119386,0.005149,N0,package,0.1102,21.4074
0.119395,0.005149,N0,ram,0.0037,0.7142
0.119449,0.005148,N1,package,0.1248,24.2449
0.119459,0.005148,N1,ram,0.0096,1.8732
0.124551,0.005165,N0,package,0.1150,22.2640
0.124570,0.005175,N0,ram,0.0052,1.0113
0.124619,0.005170,N1,package,0.1286,24.8751
0.124634,0.005175,N1,ram,0.0097,1.8665
0.129731,0.005180,N0,package,0.1165,22.4812
0.129749,0.005179,N0,ram,0.0051,0.9811
0.129797,0.005178,N1,package,0.1306,25.2252
0.129812,0.005178,N1,ram,0.0097,1.8654
0.134921,0.005190,N0,package,0.1414,27.2370
0.134929,0.005180,N0,ram,0.0058,1.1164
0.134967,0.005170,N1,package,0.1315,25.4288
0.134976,0.005164,N1,ram,0.0097,1.8704
0.140080,0.005159,N0,package,0.1198,23.2243
0.140088,0.005159,N0,ram,0.0048,0.9228
0.140124,0.005157,N1,package,0.1630,31.6124
0.140136,0.005160,N1,ram,0.0116,2.2475
0.145260,0.005180,N0,package,0.1217,23.4945
0.145278,0.005190,N0,ram,0.0035,0.6792
0.145328,0.005204,N1,package,0.1425,27.3745
0.145343,0.005207,N1,ram,0.0096,1.8520
0.150440,0.005180,N0,package,0.1221,23.5662
0.150458,0.005180,N0,ram,0.0039,0.7452
