#timestamp,interval,socket,domain,energy,power
0.005114,0.005148,N0,package,0.1292,25.0997
0.005166,0.005191,N0,ram,0.0111,2.1399
0.005220,0.005228,N1,package,0.1310,25.0536
0.005234,0.005234,N1,ram,0.0094,1.7900
0.010368,0.005254,N0,package,0.1064,20.2597
0.010397,0.005231,N0,ram,0.0096,1.8348
0.010449,0.005229,N1,package,0.1147,21.9325
0.010469,0.005235,N1,ram,0.0107,2.0462
0.015606,0.005238,N0,package,0.1052,20.0885
0.015622,0.005225,N0,ram,0.0096,1.8339
0.015680,0.005231,N1,package,0.1176,22.4729
0.015693,0.005224,N1,ram,0.0107,2.0505
0.020862,0.005256,N0,package,0.1055,20.0666
0.020896,0.005274,N0,ram,0.0098,1.8546
0.020967,0.005287,N1,package,0.1179,22.3040
0.020978,0.005285,N1,ram,0.0104,1.9748
0.026062,0.005200,N0,package,0.1310,25.1892
0.026094,0.005198,N0,ram,0.0110,2.1136
0.026139,0.005172,N1,package,0.1537,29.7268
0.026150,0.005172,N1,ram,0.0121,2.3307
0.031281,0.005219,N0,package,0.1096,20.9922
0.031308,0.005214,N0,ram,0.0071,1.3666
0.031361,0.005222,N1,package,0.1345,25.7484
0.031377,0.005227,N1,ram,0.0081,1.5413
0.036519,0.005238,N0,package,0.1101,21.0207
0.036534,0.005226,N0,ram,0.0091,1.7344
0.036569,0.005208,N1,package,0.1379,26.4743
0.036579,0.005202,N1,ram,0.0098,1.8831
0.041736,0.005217,N0,package,0.1089,20.8829
0.041762,0.005228,N0,ram,0.0090,1.7308
0.041788,0.005219,N1,package,0.1392,26.6759
0.041802,0.005223,N1,ram,0.0096,1.8434
0.046941,0.005205,N0,package,0.1144,21.9754
0.046956,0.005194,N0,ram,0.0095,1.8244
0.046989,0.005201,N1,package,0.1401,26.9332
0.046999,0.005197,N1,ram,0.0099,1.9144
0.052103,0.005162,N0,package,0.1362,26.3910
0.052131,0.005175,N0,ram,0.0111,2.1465
0.052216,0.005227,N1,package,0.1705,32.6247
0.052227,0.005228,N1,ram,0.0117,2.2415
0.057336,0.005233,N0,package,0.1158,22.1371
0.057350,0.005219,N0,ram,0.0093,1.7893
0.057409,0.005193,N1,package,0.1473,28.3726
0.057420,0.005193,N1,ram,0.0081,1.5514
0.062557,0.005221,N0,package,0.1177,22.5511
0.062588,0.005238,N0,ram,0.0091,1.7304
0.062618,0.005209,N1,package,0.1453,27.8872
0.062633,0.005213,N1,ram,0.0098,1.8821
0.067798,0.005241,N0,package,0.1188,22.6735
0.067822,0.005234,N0,ram,0.0095,1.8133
0.067860,0.005242,N1,package,0.1508,28.7588
0.067888,0.005255,N1,ram,0.0109,2.0819
0.072973,0.005175,N0,package,0.1196,23.1173
0.072987,0.005165,N0,ram,0.0095,1.8346
0.073018,0.005158,N1,package,0.1420,27.5359
0.073028,0.005140,N1,ram,0.0121,2.3511
0.078109,0.005136,N0,package,0.1425,27.7367
0.078124,0.005137,N0,ram,0.0113,2.1981
0.078182,0.005164,N1,package,0.1787,34.6077
0.078207,0.005179,N1,ram,0.0152,2.9316
0.083307,0.005198,N0,package,0.1234,23.7307
0.083319,0.005195,N0,ram,0.0091,1.7447
0.083350,0.005168,N1,package,0.1462,28.2975
0.083359,0.005152,N1,ram,0.0110,2.1443
0.088480,0.005173,N0,package,0.1222,23.6213
0.088493,0.005174,N0,ram,0.0073,1.4096
0.088524,0.005174,N1,package,0.1503,29.0421
0.088533,0.005174,N1,ram,0.0125,2.4094
0.093691,0.005211,N0,package,0.1229,23.5773
0.093715,0.005222,N0,ram,0.0085,1.6188
0.093739,0.005215,N1,package,0.1432,27.4574
0.093752,0.005219,N1,ram,0.0137,2.6196
0.098910,0.005219,N0,package,0.1250,23.9510
0.098923,0.005208,N0,ram,0.0092,1.7696
0.098953,0.005214,N1,package,0.1531,29.3705
0.098963,0.005211,N1,ram,0.0139,2.6764
0.104062,0.005152,N0,package,0.1274,24.7245
0.104087,0.005164,N0,ram,0.0091,1.7551
0.104111,0.005158,N1,package,0.1489,28.8731
0.104128,0.005165,N1,ram,0.0141,2.7297
0.109257,0.005195,N0,package,0.1570,30.2303
0.109281,0.005194,N0,ram,0.0108,2.0858
0.109307,0.005196,N1,package,0.1803,34.6987
0.109320,0.005192,N1,ram,0.0171,3.2886
0.114450,0.005193,N0,package,0.1324,25.5048
0.114477,0.005196,N0,ram,0.0090,1.7267
0.114505,0.005198,N1,package,0.1530,29.4373
0.114519,0.005199,N1,ram,0.0131,2.5211
0.119649,0.005199,N0,package,0.1397,26.8714
0.119661,0.005184,N0,ram,0.0089,1.7249
0.119691,0.005186,N1,package,0.1592,30.7054
0.119700,0.005181,N1,ram,0.0124,2.3915
0.124826,0.005177,N0,package,0.1414,27.3178
0.124838,0.005177,N0,ram,0.0089,1.7242
0.124893,0.005202,N1,package,0.1604,30.8355
0.124903,0.005203,N1,ram,0.0145,2.7890
0.130028,0.005202,N0,package,0.1463,28.1237
0.130052,0.005214,N0,ram,0.0090,1.7354
0.130077,0.005184,N1,package,0.1650,31.8234
0.130090,0.005187,N1,ram,0.0094,1.8062
0.135218,0.005190,N0,package,0.1759,33.8919
0.135242,0.005190,N0,ram,0.0107,2.0669
0.135268,0.005191,N1,package,0.2073,39.9309
0.135281,0.005191,N1,ram,0.0161,3.1099
0.140383,0.005165,N0,package,0.1553,30.0634
0.140396,0.005154,N0,ram,0.0089,1.7260
0.140426,0.005158,N1,package,0.1776,34.4331
0.140434,0.005153,N1,ram,0.0125,2.4311
0.145592,0.005209,N0,package,0.1544,29.6331
