#timestamp,interval,socket,domain,energy,power
0.005191,0.005222,N0,package,0.1069,20.4772
0.005215,0.005235,N0,ram,0.0086,1.6352
0.005232,0.005237,N1,package,0.1167,22.2832
0.005241,0.005241,N1,ram,0.0104,1.9826
0.010331,0.005140,N0,package,0.0974,18.9397
0.010350,0.005135,N0,ram,0.0075,1.4620
0.010366,0.005134,N1,package,0.1199,23.3484
0.010375,0.005134,N1,ram,0.0107,2.0835
0.015512,0.005181,N0,package,0.0990,19.1087
0.015549,0.005199,N0,ram,0.0063,1.2062
0.015596,0.005230,N1,package,0.1221,23.3523
0.015607,0.005232,N1,ram,0.0105,1.9977
0.020722,0.005210,N0,package,0.1200,23.0310
0.020758,0.005209,N0,ram,0.0082,1.5760
0.020821,0.005225,N1,package,0.1461,27.9538
0.020830,0.005223,N1,ram,0.0122,2.3342
0.025969,0.005247,N0,package,0.1094,20.8574
0.025987,0.005229,N0,ram,0.0084,1.6137
0.026032,0.005211,N1,package,0.1321,25.3458
0.026041,0.005211,N1,ram,0.0104,1.9941
0.031225,0.005256,N0,package,0.1107,21.0527
0.031242,0.005255,N0,ram,0.0091,1.7248
0.031269,0.005237,N1,package,0.1388,26.5033
0.031279,0.005238,N1,ram,0.0101,1.9372
0.036372,0.005147,N0,package,0.1119,21.7365
0.036390,0.005148,N0,ram,0.0083,1.6124
0.036406,0.005137,N1,package,0.1431,27.8622
0.036415,0.005136,N1,ram,0.0096,1.8747
0.041556,0.005184,N0,package,0.1135,21.8995
0.041571,0.005181,N0,ram,0.0093,1.8024
0.041647,0.005241,N1,package,0.1382,26.3767
0.041657,0.005242,N1,ram,0.0080,1.5340
0.046793,0.005237,N0,package,0.1379,26.3401
0.046826,0.005255,N0,ram,0.0096,1.8322
0.046867,0.005220,N1,package,0.1749,33.4996
0.046876,0.005219,N1,ram,0.0117,2.2366
0.052013,0.005220,N0,package,0.1075,20.5899
0.052047,0.005221,N0,ram,0.0059,1.1281
0.052089,0.005222,N1,package,0.1426,27.3159
0.052099,0.005223,N1,ram,0.0096,1.8435
0.057221,0.005208,N0,package,0.1129,21.6810
0.057237,0.005190,N0,ram,0.0053,1.0260
0.057263,0.005174,N1,package,0.1441,27.8507
0.057272,0.005173,N1,ram,0.0096,1.8612
0.062353,0.005132,N0,package,0.1184,23.0727
0.062370,0.005133,N0,ram,0.0087,1.7004
0.062384,0.005121,N1,package,0.1488,29.0576
