#timestamp,interval,socket,domain,energy,power
0.005136,0.005197,N0,package,0.1133,21.7972
0.005179,0.005235,N0,ram,0.0099,1.8946
0.005242,0.005254,N1,package,0.0917,17.4485
0.005269,0.005269,N1,ram,0.0089,1.6796
0.010417,0.005281,N0,package,0.1231,23.3116
0.010444,0.005265,N0,ram,0.0083,1.5853
0.010510,0.005268,N1,package,0.1268,24.0648
0.010523,0.005254,N1,ram,0.0129,2.4628
0.015662,0.005245,N0,package,0.0991,18.8867
0.015678,0.005234,N0,ram,0.0056,1.0612
0.015736,0.005226,N1,package,0.1083,20.7299
0.015748,0.005225,N1,ram,0.0106,2.0267
0.020889,0.005227,N0,package,0.0963,18.4142
0.020917,0.005239,N0,ram,0.0065,1.2320
0.020977,0.005241,N1,package,0.1111,21.1955
0.020994,0.005246,N1,ram,0.0103,1.9576
0.026106,0.005217,N0,package,0.0963,18.4495
0.026139,0.005222,N0,ram,0.0065,1.2418
0.026246,0.005269,N1,package,0.1163,22.0786
0.026272,0.005278,N1,ram,0.0121,2.2983
0.031390,0.005284,N0,package,0.1276,24.1538
0.031406,0.005267,N0,ram,0.0113,2.1410
0.031464,0.005218,N1,package,0.1514,29.0202
0.031476,0.005204,N1,ram,0.0083,1.5863
0.036614,0.005224,N0,package,0.1072,20.5281
0.036630,0.005224,N0,ram,0.0090,1.7292
0.036696,0.005232,N1,package,0.1300,24.8487
0.036707,0.005231,N1,ram,0.0102,1.9428
0.041859,0.005245,N0,package,0.1072,20.4460
0.041890,0.005260,N0,ram,0.0091,1.7231
0.041945,0.005249,N1,package,0.1345,25.6279
0.041962,0.005255,N1,ram,0.0077,1.4664
0.047075,0.005216,N0,package,0.1044,20.0208
0.047100,0.005210,N0,ram,0.0091,1.7397
0.047160,0.005215,N1,package,0.1315,25.2220
0.047177,0.005215,N1,ram,0.0097,1.8521
0.052289,0.005214,N0,package,0.1010,19.3735
0.052303,0.005203,N0,ram,0.0065,1.2435
0.052360,0.005200,N1,package,0.1578,30.3524
0.052370,0.005193,N1,ram,0.0116,2.2243
0.057500,0.005211,N0,package,0.1226,23.5304
0.057526,0.005223,N0,ram,0.0077,1.4695
0.057583,0.005223,N1,package,0.1334,25.5451
0.057598,0.005228,N1,ram,0.0096,1.8446
0.062738,0.005238,N0,package,0.1133,21.6392
0.062753,0.005227,N0,ram,0.0083,1.5881
0.062851,0.005268,N1,package,0.1392,26.4168
0.062880,0.005282,N1,ram,0.0098,1.8547
0.067962,0.005224,N0,package,0.1150,22.0120
0.067977,0.005224,N0,ram,0.0091,1.7350
0.068010,0.005159,N1,package,0.1431,27.7425
0.068020,0.005140,N1,ram,0.0098,1.9029
0.073121,0.005159,N0,package,0.1104,21.3895
0.073134,0.005157,N0,ram,0.0087,1.6925
0.073166,0.005156,N1,package,0.1623,31.4762
0.073176,0.005156,N1,ram,0.0181,3.5011
0.078303,0.005182,N0,package,0.1143,22.0606
0.078328,0.005194,N0,ram,0.0066,1.2749
0.078357,0.005191,N1,package,0.2175,41.9063
0.078374,0.005198,N1,ram,0.0254,4.8847
0.083537,0.005234,N0,package,0.1356,25.9114
0.083562,0.005234,N0,ram,0.0077,1.4664
0.083591,0.005234,N1,package,0.1841,35.1821
0.083608,0.005234,N1,ram,0.0212,4.0435
0.088777,0.005240,N0,package,0.1155,22.0497
0.088835,0.005273,N0,ram,0.0058,1.0910
0.088853,0.005262,N1,package,0.1882,35.7711
0.088866,0.005258,N1,ram,0.0205,3.9031
0.093946,0.005169,N0,package,0.1215,23.4982
0.093959,0.005124,N0,ram,0.0058,1.1227
0.093991,0.005138,N1,package,0.1844,35.8994
0.094001,0.005135,N1,ram,0.0204,3.9729
0.099101,0.005155,N0,package,0.1198,23.2297
0.099113,0.005154,N0,ram,0.0065,1.2642
0.099147,0.005156,N1,package,0.1847,35.8206
0.099156,0.005155,N1,ram,0.0204,3.9545
0.104287,0.005186,N0,package,0.1229,23.7039
0.104312,0.005199,N0,ram,0.0063,1.2180
0.104338,0.005191,N1,package,0.2253,43.4114
0.104356,0.005200,N1,ram,0.0245,4.7127
0.109479,0.005192,N0,package,0.1483,28.5659
0.109492,0.005180,N0,ram,0.0077,1.4817
0.109523,0.005185,N1,package,0.1904,36.7144
0.109533,0.005177,N1,ram,0.0208,4.0262
0.114693,0.005214,N0,package,0.1274,24.4306
0.114717,0.005225,N0,ram,0.0067,1.2762
0.114745,0.005222,N1,package,0.1926,36.8753
