#timestamp,interval,socket,domain,energy,power
0.005149,0.005176,N0,package,0.1171,22.6167
0.005194,0.005213,N0,ram,0.0087,1.6772
0.005241,0.005246,N1,package,0.1299,24.7577
0.005255,0.005255,N1,ram,0.0122,2.3258
0.010323,0.005174,N0,package,0.0940,18.1669
0.010343,0.005149,N0,ram,0.0079,1.5410
0.010361,0.005120,N1,package,0.1140,22.2692
0.010372,0.005117,N1,ram,0.0107,2.0963
0.015464,0.005141,N0,package,0.0942,18.3188
0.015485,0.005142,N0,ram,0.0061,1.1929
0.015501,0.005140,N1,package,0.1156,22.4901
0.015511,0.005139,N1,ram,0.0105,2.0340
0.020644,0.005180,N0,package,0.0931,17.9810
0.020678,0.005193,N0,ram,0.0064,1.2370
0.020743,0.005242,N1,package,0.1149,21.9242
0.020753,0.005242,N1,ram,0.0105,1.9968
0.025868,0.005224,N0,package,0.1015,19.4290
0.025904,0.005226,N0,ram,0.0086,1.6438
0.025952,0.005209,N1,package,0.1223,23.4698
0.025961,0.005208,N1,ram,0.0104,2.0011
0.031118,0.005250,N0,package,0.1229,23.4144
0.031153,0.005249,N0,ram,0.0109,2.0699
0.031193,0.005241,N1,package,0.1583,30.1978
0.031203,0.005242,N1,ram,0.0121,2.2996
0.036321,0.005203,N0,package,0.1064,20.4467
0.036342,0.005189,N0,ram,0.0092,1.7761
0.036359,0.005166,N1,package,0.1356,26.2404
0.036367,0.005164,N1,ram,0.0099,1.9265
0.041458,0.005137,N0,package,0.1124,21.8739
0.041476,0.005134,N0,ram,0.0093,1.8160
0.041492,0.005133,N1,package,0.1317,25.6488
0.041500,0.005133,N1,ram,0.0102,1.9947
0.046616,0.005158,N0,package,0.1100,21.3353
0.046649,0.005173,N0,ram,0.0074,1.4395
0.046692,0.005200,N1,package,0.1358,26.1153
0.046703,0.005203,N1,ram,0.0100,1.9209
0.051844,0.005228,N0,package,0.1061,20.3021
0.051879,0.005230,N0,ram,0.0065,1.2428
0.051921,0.005229,N1,package,0.1373,26.2513
0.051930,0.005227,N1,ram,0.0096,1.8421
0.057044,0.005200,N0,package,0.1072,20.6232
0.057077,0.005198,N0,ram,0.0065,1.2476
0.057120,0.005199,N1,package,0.1674,32.1908
0.057129,0.005199,N1,ram,0.0116,2.2275
0.062288,0.005244,N0,package,0.1418,27.0491
0.062305,0.005228,N0,ram,0.0107,2.0431
0.062320,0.005200,N1,package,0.1368,26.3160
0.062328,0.005199,N1,ram,0.0094,1.8167
0.067433,0.005145,N0,package,0.1209,23.5003
0.067450,0.005145,N0,ram,0.0097,1.8803
0.067465,0.005145,N1,package,0.1399,27.1896
0.067474,0.005146,N1,ram,0.0103,2.0015
0.073429,0.005996,N0,package,0.1478,24.6442
0.073453,0.006003,N0,ram,0.0111,1.8505
0.073495,0.006030,N1,package,0.2426,40.2239
0.073516,0.006042,N1,ram,0.0197,3.2578
0.078602,0.005173,N0,package,0.1157,22.3707
0.078611,0.005158,N0,ram,0.0060,1.1714
