#timestamp,interval,socket,domain,energy,power
0.005151,0.005172,N0,package,0.1055,20.3922
0.005197,0.005206,N0,ram,0.0093,1.7850
0.005209,0.005210,N1,package,0.1055,20.2546
0.005213,0.005213,N1,ram,0.0090,1.7299
0.010357,0.005206,N0,package,0.0930,17.8561
0.010395,0.005198,N0,ram,0.0077,1.4736
0.010406,0.005197,N1,package,0.1149,22.1026
0.010411,0.005198,N1,ram,0.0106,2.0402
0.015576,0.005219,N0,package,0.0925,17.7294
0.015598,0.005203,N0,ram,0.0067,1.2933
0.015609,0.005203,N1,package,0.1132,21.7605
0.015613,0.005202,N1,ram,0.0105,2.0240
0.020702,0.005126,N0,package,0.0957,18.6701
0.020722,0.005124,N0,ram,0.0065,1.2596
0.020733,0.005124,N1,package,0.1182,23.0735
0.020737,0.005124,N1,ram,0.0101,1.9713
0.025854,0.005152,N0,package,0.1041,20.1990
0.025889,0.005167,N0,ram,0.0087,1.6892
0.025900,0.005167,N1,package,0.1502,29.0705
0.025904,0.005167,N1,ram,0.0119,2.2975
0.031011,0.005157,N0,package,0.1326,25.7184
0.031057,0.005168,N0,ram,0.0096,1.8483
0.031094,0.005194,N1,package,0.1272,24.4895
0.031098,0.005194,N1,ram,0.0099,1.9096
0.036239,0.005228,N0,package,0.1049,20.0686
0.036272,0.005215,N0,ram,0.0086,1.6503
0.036283,0.005189,N1,package,0.1385,26.6880
0.036287,0.005189,N1,ram,0.0099,1.9173
0.041434,0.005195,N0,package,0.1061,20.4316
0.041452,0.005180,N0,ram,0.0089,1.7203
0.041480,0.005197,N1,package,0.1383,26.6136
0.041483,0.005196,N1,ram,0.0098,1.8912
0.046594,0.005160,N0,package,0.1143,22.1426
0.046612,0.005160,N0,ram,0.0083,1.6057
0.046623,0.005143,N1,package,0.1282,24.9331
0.046627,0.005144,N1,ram,0.0095,1.8451
0.051714,0.005120,N0,package,0.1047,20.4562
0.051739,0.005127,N0,ram,0.0060,1.1726
0.051750,0.005127,N1,package,0.1396,27.2262
0.051754,0.005127,N1,ram,0.0098,1.9076
0.056885,0.005171,N0,package,0.1037,20.0537
0.056921,0.005182,N0,ram,0.0059,1.1366
0.056931,0.005181,N1,package,0.1368,26.3999
0.056935,0.005181,N1,ram,0.0096,1.8614
0.062044,0.005159,N0,package,0.1398,27.0931
0.062077,0.005156,N0,ram,0.0107,2.0687
0.062087,0.005156,N1,package,0.1661,32.2116
0.062091,0.005156,N1,ram,0.0109,2.1219
0.067246,0.005202,N0,package,0.1194,22.9495
0.067279,0.005202,N0,ram,0.0090,1.7365
0.067289,0.005202,N1,package,0.1453,27.9243
0.067292,0.005201,N1,ram,0.0098,1.8864
0.072432,0.005186,N0,package,0.1119,21.5854
0.072467,0.005188,N0,ram,0.0087,1.6794
0.072477,0.005188,N1,package,0.1414,27.2588
0.072481,0.005189,N1,ram,0.0117,2.2555
0.077589,0.005157,N0,package,0.1108,21.4803
0.077607,0.005140,N0,ram,0.0085,1.6535
0.077618,0.005141,N1,package,0.1455,28.3033
0.077622,0.005141,N1,ram,0.0112,2.1726
0.082705,0.005116,N0,package,0.1113,21.7489
0.082720,0.005113,N0,ram,0.0066,1.2833
0.082730,0.005112,N1,package,0.1411,27.6047
0.082734,0.005112,N1,ram,0.0117,2.2954
0.087845,0.005140,N0,package,0.1147,22.3130
0.087878,0.005158,N0,ram,0.0066,1.2838
0.087888,0.005158,N1,package,0.1484,28.7652
0.087892,0.005158,N1,ram,0.0121,2.3400
0.093005,0.005160,N0,package,0.1400,27.1223
0.093038,0.005160,N0,ram,0.0080,1.5466
0.093049,0.005161,N1,package,0.1744,33.7888
0.093052,0.005160,N1,ram,0.0154,2.9807
0.098192,0.005187,N0,package,0.1161,22.3924
0.098224,0.005186,N0,ram,0.0059,1.1416
0.098234,0.005185,N1,package,0.1413,27.2503
0.098238,0.005186,N1,ram,0.0130,2.5097
0.103374,0.005182,N0,package,0.1200,23.1560
0.103407,0.005183,N0,ram,0.0057,1.1070
0.103418,0.005184,N1,package,0.1493,28.7990
0.103421,0.005183,N1,ram,0.0122,2.3582
0.108577,0.005203,N0,package,0.1199,23.0509
0.108593,0.005186,N0,ram,0.0063,1.2210
0.108620,0.005202,N1,package,0.1456,27.9947
0.108624,0.005203,N1,ram,0.0132,2.5309
0.113720,0.005143,N0,package,0.1269,24.6731
0.113753,0.005160,N0,ram,0.0057,1.1119
0.113763,0.005143,N1,package,0.1521,29.5745
0.113767,0.005143,N1,ram,0.0135,2.6317
0.118893,0.005173,N0,package,0.1286,24.8602
0.118909,0.005156,N0,ram,0.0056,1.0831
0.118934,0.005171,N1,package,0.1522,29.4254
0.118938,0.005171,N1,ram,0.0134,2.5908
0.124052,0.005159,N0,package,0.1600,31.0210
0.124086,0.005177,N0,ram,0.0075,1.4560
0.124096,0.005162,N1,package,0.1957,37.9194
0.124100,0.005162,N1,ram,0.0166,3.2072
0.129231,0.005179,N0,package,0.1333,25.7379
0.129262,0.005176,N0,ram,0.0057,1.1084
0.129272,0.005176,N1,package,0.1622,31.3426
0.129276,0.005176,N1,ram,0.0134,2.5971
0.134408,0.005177,N0,package,0.1387,26.7978
0.134440,0.005178,N0,ram,0.0054,1.0520
0.134449,0.005177,N1,package,0.1697,32.7752
0.134453,0.005177,N1,ram,0.0131,2.5319
0.139577,0.005169,N0,package,0.1414,27.3476
0.139596,0.005156,N0,ram,0.0071,1.3820
0.139609,0.005160,N1,package,0.1719,33.3100
0.139617,0.005164,N1,ram,0.0115,2.2190
0.144707,0.005130,N0,package,0.1448,28.2210
0.144721,0.005125,N0,ram,0.0049,0.9468
0.144734,0.005125,N1,package,0.1824,35.5966
0.144742,0.005125,N1,ram,0.0128,2.5039
0.149846,0.005139,N0,package,0.1557,30.2986
0.149859,0.005138,N0,ram,0.0062,1.2087
0.149887,0.005153,N1,package,0.1885,36.5765
0.149894,0.005152,N1,ram,0.0106,2.0525
0.155004,0.005158,N0,package,0.1489,28.8599
0.155019,0.005160,N0,ram,0.0064,1.2332
0.155048,0.005161,N1,package,0.1844,35.7385
0.155055,0.005161,N1,ram,0.0097,1.8716
0.160166,0.005162,N0,package,0.1754,33.9820
0.160196,0.005177,N0,ram,0.0072,1.4000
0.160209,0.005161,N1,package,0.2217,42.9643
0.160215,0.005160,N1,ram,0.0116,2.2474
0.165351,0.005185,N0,package,0.1461,28.1815
0.165381,0.005185,N0,ram,0.0055,1.0535
0.165393,0.005184,N1,package,0.1862,35.9222
0.165400,0.005185,N1,ram,0.0097,1.8628
0.170537,0.005186,N0,package,0.1449,27.9397
0.170568,0.005187,N0,ram,0.0049,0.9531
0.170581,0.005188,N1,package,0.1848,35.6235
0.170589,0.005189,N1,ram,0.0096,1.8555
0.175695,0.005158,N0,package,0.1434,27.8081
0.175725,0.005157,N0,ram,0.0043,0.8433
0.175738,0.005157,N1,package,0.1854,35.9442
0.175745,0.005156,N1,ram,0.0097,1.8763
0.180857,0.005162,N0,package,0.1417,27.4552
0.180887,0.005162,N0,ram,0.0045,0.8691
0.180899,0.005161,N1,package,0.1868,36.1998
0.180905,0.005160,N1,ram,0.0096,1.8690
0.186017,0.005160,N0,package,0.1473,28.5535
0.186032,0.005145,N0,ram,0.0055,1.0766
0.186061,0.005162,N1,package,0.1846,35.7674
0.186068,0.005163,N1,ram,0.0097,1.8708
0.191174,0.005157,N0,package,0.1722,33.3877
0.191187,0.005155,N0,ram,0.0061,1.1899
0.191216,0.005155,N1,package,0.2225,43.1560
0.191223,0.005155,N1,ram,0.0116,2.2466
0.196358,0.005184,N0,package,0.1442,27.8217
0.196388,0.005201,N0,ram,0.0048,0.9241
0.196400,0.005184,N1,package,0.1883,36.3225
0.196407,0.005184,N1,ram,0.0096,1.8603
0.201541,0.005183,N0,package,0.1475,28.4510
0.201572,0.005184,N0,ram,0.0060,1.1627
0.201586,0.005186,N1,package,0.1832,35.3306
0.201594,0.005187,N1,ram,0.0096,1.8592
0.206705,0.005164,N0,package,0.1428,27.6460
0.206735,0.005163,N0,ram,0.0054,1.0521
0.206747,0.005161,N1,package,0.1888,36.5799
0.206753,0.005159,N1,ram,0.0096,1.8663
0.211864,0.005159,N0,package,0.1441,27.9318
0.211894,0.005159,N0,ram,0.0046,0.8991
0.211907,0.005160,N1,package,0.1865,36.1473
0.211914,0.005161,N1,ram,0.0097,1.8716
0.217023,0.005159,N0,package,0.1433,27.7793
0.217053,0.005159,N0,ram,0.0054,1.0530
0.217066,0.005159,N1,package,0.1855,35.9664
0.217072,0.005158,N1,ram,0.0097,1.8725
0.222184,0.005161,N0,package,0.1751,33.9291
0.222215,0.005162,N0,ram,0.0056,1.0908
0.222228,0.005162,N1,package,0.2253,43.6421
0.222235,0.005163,N1,ram,0.0096,1.8678
