#timestamp,interval,socket,domain,energy,power
0.005186,0.005241,N0,package,0.1038,19.8097
0.005210,0.005257,N0,ram,0.0094,1.7850
0.005253,0.005258,N1,package,0.1000,19.0137
0.005270,0.005270,N1,ram,0.0107,2.0326
0.010333,0.005147,N0,package,0.0966,18.7719
0.010358,0.005148,N0,ram,0.0089,1.7192
0.010402,0.005149,N1,package,0.1122,21.7877
0.010412,0.005142,N1,ram,0.0107,2.0832
0.015503,0.005170,N0,package,0.0891,17.2359
0.015524,0.005166,N0,ram,0.0070,1.3646
0.015582,0.005180,N1,package,0.1336,25.7921
0.015592,0.005180,N1,ram,0.0125,2.4213
0.020707,0.005204,N0,package,0.1125,21.6275
0.020741,0.005217,N0,ram,0.0096,1.8310
0.020787,0.005205,N1,package,0.1160,22.2920
0.020797,0.005205,N1,ram,0.0103,1.9730
0.025914,0.005207,N0,package,0.0958,18.4038
0.025931,0.005190,N0,ram,0.0080,1.5405
0.026006,0.005219,N1,package,0.1201,23.0154
0.026016,0.005219,N1,ram,0.0105,2.0027
0.031183,0.005269,N0,package,0.1031,19.5765
0.031218,0.005287,N0,ram,0.0094,1.7692
0.031237,0.005231,N1,package,0.1309,25.0271
0.031246,0.005230,N1,ram,0.0101,1.9314
0.036352,0.005169,N0,package,0.1033,19.9902
0.036371,0.005153,N0,ram,0.0089,1.7293
0.036387,0.005150,N1,package,0.1286,24.9719
0.036396,0.005150,N1,ram,0.0101,1.9673
0.041484,0.005132,N0,package,0.1063,20.7179
0.041502,0.005131,N0,ram,0.0090,1.7635
0.041524,0.005137,N1,package,0.1384,26.9461
0.041534,0.005138,N1,ram,0.0098,1.9037
0.046675,0.005191,N0,package,0.1260,24.2690
0.046695,0.005193,N0,ram,0.0095,1.8247
0.046738,0.005214,N1,package,0.1620,31.0796
0.046748,0.005214,N1,ram,0.0117,2.2504
0.051865,0.005190,N0,package,0.1011,19.4861
0.051901,0.005206,N0,ram,0.0065,1.2456
