#timestamp,interval,socket,domain,energy,power
0.005092,0.005146,N0,package,0.1063,20.6494
0.005136,0.005184,N0,ram,0.0087,1.6806
0.005181,0.005188,N1,package,0.1123,21.6471
0.005194,0.005194,N1,ram,0.0107,2.0682
0.010322,0.005230,N0,package,0.1021,19.5128
0.010339,0.005203,N0,ram,0.0078,1.4927
0.010373,0.005192,N1,package,0.1125,21.6654
0.010384,0.005190,N1,ram,0.0106,2.0375
0.015514,0.005192,N0,package,0.1088,20.9601
0.015544,0.005205,N0,ram,0.0088,1.6915
0.015574,0.005201,N1,package,0.1129,21.7098
0.015590,0.005206,N1,ram,0.0107,2.0634
0.020733,0.005219,N0,package,0.1041,19.9397
0.020749,0.005205,N0,ram,0.0094,1.8147
0.020811,0.005237,N1,package,0.1167,22.2842
0.020822,0.005232,N1,ram,0.0105,2.0007
0.025975,0.005242,N0,package,0.1075,20.5154
0.025991,0.005242,N0,ram,0.0107,2.0347
0.026025,0.005214,N1,package,0.1509,28.9491
0.026035,0.005213,N1,ram,0.0129,2.4675
0.031138,0.005163,N0,package,0.1322,25.6059
0.031168,0.005177,N0,ram,0.0092,1.7773
0.031197,0.005172,N1,package,0.1345,25.9977
0.031212,0.005177,N1,ram,0.0103,1.9807
0.036346,0.005208,N0,package,0.1085,20.8255
0.036361,0.005193,N0,ram,0.0089,1.7160
0.036423,0.005226,N1,package,0.1349,25.8219
0.036434,0.005222,N1,ram,0.0096,1.8467
0.041564,0.005218,N0,package,0.1100,21.0779
0.041590,0.005229,N0,ram,0.0089,1.7013
0.041644,0.005221,N1,package,0.1415,27.0987
0.041658,0.005224,N1,ram,0.0100,1.9103
0.046833,0.005269,N0,package,0.1133,21.5110
0.046847,0.005257,N0,ram,0.0085,1.6110
0.046904,0.005260,N1,package,0.1385,26.3403
0.046914,0.005256,N1,ram,0.0098,1.8667
0.052027,0.005194,N0,package,0.1285,24.7480
0.052042,0.005195,N0,ram,0.0077,1.4803
0.052075,0.005171,N1,package,0.1667,32.2346
0.052083,0.005169,N1,ram,0.0116,2.2375
0.057187,0.005160,N0,package,0.1119,21.6941
0.057221,0.005179,N0,ram,0.0072,1.3936
0.057311,0.005236,N1,package,0.1410,26.9277
0.057321,0.005238,N1,ram,0.0098,1.8732
0.062435,0.005248,N0,package,0.1197,22.8065
0.062463,0.005242,N0,ram,0.0075,1.4235
0.062524,0.005213,N1,package,0.1400,26.8586
0.062536,0.005215,N1,ram,0.0096,1.8433
0.067636,0.005201,N0,package,0.1302,25.0426
0.067645,0.005182,N0,ram,0.0092,1.7667
0.067680,0.005156,N1,package,0.1471,28.5286
0.067692,0.005156,N1,ram,0.0131,2.5393
0.072821,0.005185,N0,package,0.1198,23.1079
0.072839,0.005194,N0,ram,0.0081,1.5687
0.072874,0.005194,N1,package,0.2521,48.5442
0.072898,0.005206,N1,ram,0.0183,3.5113
0.077996,0.005175,N0,package,0.1409,27.2323
0.078005,0.005166,N0,ram,0.0087,1.6896
0.078047,0.005173,N1,package,0.3011,58.2129
0.078061,0.005163,N1,ram,0.0273,5.2784
0.083154,0.005158,N0,package,0.1198,23.2168
0.083173,0.005168,N0,ram,0.0069,1.3434
0.083207,0.005160,N1,package,0.2570,49.8113
0.083228,0.005167,N1,ram,0.0227,4.3972
0.088307,0.005153,N0,package,0.1201,23.3104
0.088316,0.005143,N0,ram,0.0059,1.1393
0.088338,0.005131,N1,package,0.2542,49.5442
0.088356,0.005128,N1,ram,0.0229,4.4662
0.093449,0.005142,N0,package,0.1222,23.7637
0.093458,0.005142,N0,ram,0.0077,1.4986
0.093484,0.005146,N1,package,0.2626,51.0363
0.093504,0.005148,N1,ram,0.0227,4.4135
0.098607,0.005158,N0,package,0.1265,24.5184
0.098616,0.005158,N0,ram,0.0076,1.4644
0.098640,0.005156,N1,package,0.2620,50.8188
0.098652,0.005148,N1,ram,0.0227,4.4105
