#timestamp,interval,socket,domain,energy,power
0.005155,0.005212,N0,package,0.1268,24.3224
0.005201,0.005248,N0,ram,0.0105,1.9975
0.005250,0.005256,N1,package,0.1121,21.3324
0.005260,0.005260,N1,ram,0.0100,1.9088
0.010352,0.005197,N0,package,0.0945,18.1800
0.010388,0.005187,N0,ram,0.0081,1.5591
0.010429,0.005179,N1,package,0.1118,21.5779
0.010439,0.005179,N1,ram,0.0108,2.0947
0.015575,0.005223,N0,package,0.0939,17.9727
0.015609,0.005221,N0,ram,0.0069,1.3181
0.015654,0.005225,N1,package,0.1123,21.4940
0.015664,0.005225,N1,ram,0.0106,2.0297
0.020781,0.005206,N0,package,0.0899,17.2699
0.020816,0.005207,N0,ram,0.0066,1.2659
0.020862,0.005208,N1,package,0.1115,21.4115
0.020872,0.005208,N1,ram,0.0103,1.9777
0.026048,0.005267,N0,package,0.0957,18.1698
0.026076,0.005260,N0,ram,0.0065,1.2300
0.026119,0.005257,N1,package,0.1452,27.6214
0.026129,0.005257,N1,ram,0.0121,2.3105
0.031253,0.005205,N0,package,0.1244,23.8985
0.031286,0.005210,N0,ram,0.0108,2.0765
0.031303,0.005184,N1,package,0.1322,25.5011
0.031311,0.005182,N1,ram,0.0104,2.0082
0.036418,0.005165,N0,package,0.1015,19.6523
0.036435,0.005149,N0,ram,0.0089,1.7306
0.036458,0.005155,N1,package,0.1368,26.5460
0.036467,0.005156,N1,ram,0.0098,1.8999
0.041593,0.005175,N0,package,0.1092,21.0994
0.041612,0.005177,N0,ram,0.0096,1.8628
0.041670,0.005212,N1,package,0.1290,24.7440
0.041678,0.005211,N1,ram,0.0100,1.9121
0.046786,0.005193,N0,package,0.1069,20.5801
0.046819,0.005207,N0,ram,0.0091,1.7437
0.046861,0.005191,N1,package,0.1404,27.0544
0.046870,0.005192,N1,ram,0.0096,1.8516
0.052014,0.005228,N0,package,0.1030,19.7067
0.052031,0.005212,N0,ram,0.0072,1.3906
0.052089,0.005228,N1,package,0.1336,25.5568
0.052098,0.005228,N1,ram,0.0096,1.8387
0.057231,0.005217,N0,package,0.1223,23.4450
0.057249,0.005218,N0,ram,0.0075,1.4446
0.057289,0.005200,N1,package,0.1609,30.9393
0.057300,0.005202,N1,ram,0.0097,1.8597
0.062384,0.005153,N0,package,0.1098,21.3087
0.062401,0.005152,N0,ram,0.0083,1.6112
0.062441,0.005152,N1,package,0.1379,26.7740
0.062449,0.005149,N1,ram,0.0100,1.9381
0.067578,0.005194,N0,package,0.1105,21.2814
0.067592,0.005191,N0,ram,0.0089,1.7166
0.067651,0.005210,N1,package,0.1432,27.4838
0.067659,0.005210,N1,ram,0.0098,1.8831
0.073269,0.005691,N0,package,0.1418,24.9136
0.073285,0.005693,N0,ram,0.0111,1.9566
0.073324,0.005673,N1,package,0.2375,41.8741
0.073337,0.005678,N1,ram,0.0208,3.6548
0.078429,0.005160,N0,package,0.1141,22.1081
0.078448,0.005163,N0,ram,0.0069,1.3447
0.078486,0.005162,N1,package,0.2514,48.7028
0.078506,0.005169,N1,ram,0.0226,4.3690
0.083601,0.005172,N0,package,0.1119,21.6313
0.083620,0.005172,N0,ram,0.0058,1.1122
0.083655,0.005169,N1,package,0.2539,49.1195
0.083674,0.005168,N1,ram,0.0223,4.3135
0.088753,0.005152,N0,package,0.1174,22.7935
0.088762,0.005142,N0,ram,0.0065,1.2642
0.088799,0.005144,N1,package,0.2590,50.3457
0.088814,0.005140,N1,ram,0.0225,4.3759
0.093935,0.005182,N0,package,0.1213,23.4034
0.093944,0.005182,N0,ram,0.0068,1.3133
0.093965,0.005166,N1,package,0.2573,49.7988
0.093978,0.005164,N1,ram,0.0225,4.3524
0.099103,0.005168,N0,package,0.1188,22.9946
0.099112,0.005168,N0,ram,0.0063,1.2224
0.099132,0.005167,N1,package,0.3087,59.7475
0.099150,0.005172,N1,ram,0.0270,5.2190
0.104228,0.005125,N0,package,0.1455,28.3915
0.104236,0.005124,N0,ram,0.0078,1.5276
0.104274,0.005142,N1,package,0.2640,51.3377
0.104287,0.005137,N1,ram,0.0182,3.5466
0.109379,0.005151,N0,package,0.1220,23.6864
0.109397,0.005161,N0,ram,0.0058,1.1146
0.109435,0.005161,N1,package,0.2725,52.7918
0.109454,0.005167,N1,ram,0.0226,4.3736
0.114561,0.005182,N0,package,0.1226,23.6625
0.114580,0.005183,N0,ram,0.0054,1.0510
0.114620,0.005185,N1,package,0.2725,52.5490
0.114640,0.005186,N1,ram,0.0226,4.3636
0.119734,0.005173,N0,package,0.1302,25.1788
0.119753,0.005173,N0,ram,0.0056,1.0855
0.119791,0.005171,N1,package,0.2795,54.0469
0.119812,0.005172,N1,ram,0.0225,4.3575
0.124939,0.005205,N0,package,0.1343,25.8099
0.124957,0.005204,N0,ram,0.0057,1.0937
0.124996,0.005205,N1,package,0.2772,53.2473
0.125017,0.005205,N1,ram,0.0228,4.3884
0.130125,0.005186,N0,package,0.1364,26.3038
0.130133,0.005176,N0,ram,0.0065,1.2558
0.130153,0.005157,N1,package,0.2869,55.6383
0.130166,0.005149,N1,ram,0.0226,4.3860
0.135229,0.005104,N0,package,0.1700,33.3154
0.135237,0.005104,N0,ram,0.0059,1.1540
0.135258,0.005105,N1,package,0.3558,69.7062
0.135272,0.005106,N1,ram,0.0273,5.3463
0.140344,0.005115,N0,package,0.1440,28.1607
0.140352,0.005115,N0,ram,0.0058,1.1246
0.140374,0.005116,N1,package,0.2966,57.9785
0.140390,0.005118,N1,ram,0.0227,4.4273
0.145482,0.005138,N0,package,0.1453,28.2847
0.145490,0.005138,N0,ram,0.0051,0.9948
0.145509,0.005135,N1,package,0.3066,59.7060
0.145521,0.005131,N1,ram,0.0229,4.4727
0.150609,0.005127,N0,package,0.1567,30.5595
0.150627,0.005137,N0,ram,0.0062,1.2060
0.150662,0.005153,N1,package,0.3107,60.2987
0.150681,0.005160,N1,ram,0.0225,4.3678
0.155808,0.005199,N0,package,0.1522,29.2675
0.155826,0.005199,N0,ram,0.0059,1.1417
0.155863,0.005201,N1,package,0.3109,59.7811
0.155886,0.005205,N1,ram,0.0228,4.3796
0.161012,0.005204,N0,package,0.1485,28.5344
0.161030,0.005204,N0,ram,0.0064,1.2227
0.161067,0.005204,N1,package,0.3124,60.0387
0.161087,0.005201,N1,ram,0.0228,4.3774
0.166194,0.005182,N0,package,0.1846,35.6190
0.166202,0.005172,N0,ram,0.0086,1.6639
0.166238,0.005171,N1,package,0.3768,72.8613
0.166251,0.005164,N1,ram,0.0273,5.2949
0.171341,0.005147,N0,package,0.1563,30.3681
0.171350,0.005148,N0,ram,0.0033,0.6313
0.171389,0.005151,N1,package,0.3095,60.0868
0.171401,0.005150,N1,ram,0.0227,4.4030
0.176492,0.005151,N0,package,0.1542,29.9322
0.176510,0.005160,N0,ram,0.0056,1.0882
0.176545,0.005156,N1,package,0.3135,60.7979
0.176568,0.005167,N1,ram,0.0225,4.3588
0.181664,0.005172,N0,package,0.1526,29.5144
0.181672,0.005162,N0,ram,0.0070,1.3509
0.181699,0.005154,N1,package,0.3122,60.5745
0.181725,0.005157,N1,ram,0.0228,4.4146
0.186827,0.005163,N0,package,0.1570,30.4160
0.186835,0.005163,N0,ram,0.0059,1.1467
0.186865,0.005166,N1,package,0.3126,60.5029
0.186882,0.005157,N1,ram,0.0228,4.4176
0.192003,0.005176,N0,package,0.1534,29.6460
0.192021,0.005186,N0,ram,0.0067,1.2887
0.192059,0.005194,N1,package,0.3120,60.0722
0.192081,0.005199,N1,ram,0.0223,4.2939
0.197231,0.005228,N0,package,0.1542,29.4900
0.197239,0.005218,N0,ram,0.0070,1.3335
0.197274,0.005215,N1,package,0.3745,71.8153
0.197286,0.005205,N1,ram,0.0274,5.2561
0.202376,0.005145,N0,package,0.1826,35.4936
0.202394,0.005155,N0,ram,0.0087,1.6932
0.202432,0.005158,N1,package,0.3178,61.6128
0.202455,0.005169,N1,ram,0.0228,4.4133
0.207550,0.005174,N0,package,0.1532,29.6097
0.207568,0.005174,N0,ram,0.0065,1.2563
0.207605,0.005173,N1,package,0.3082,59.5843
0.207629,0.005174,N1,ram,0.0228,4.4002
0.212738,0.005188,N0,package,0.1532,29.5294
0.212747,0.005179,N0,ram,0.0076,1.4614
0.212771,0.005166,N1,package,0.3134,60.6683
0.212784,0.005155,N1,ram,0.0227,4.3955
0.217925,0.005187,N0,package,0.1542,29.7231
0.217955,0.005208,N0,ram,0.0077,1.4796
0.217980,0.005209,N1,package,0.3137,60.2153
0.217995,0.005211,N1,ram,0.0227,4.3600
0.223097,0.005172,N0,package,0.1538,29.7386
0.223106,0.005151,N0,ram,0.0082,1.5878
0.223130,0.005150,N1,package,0.3121,60.6104
0.223151,0.005156,N1,ram,0.0225,4.3594
0.228243,0.005146,N0,package,0.1536,29.8414
0.228252,0.005146,N0,ram,0.0064,1.2394
0.228290,0.005160,N1,package,0.3749,72.6494
0.228303,0.005152,N1,ram,0.0276,5.3546
0.233376,0.005133,N0,package,0.1858,36.1960
0.233385,0.005133,N0,ram,0.0083,1.6142
0.233421,0.005131,N1,package,0.3176,61.8915
0.233439,0.005136,N1,ram,0.0231,4.5012
0.238512,0.005136,N0,package,0.1537,29.9233
0.238535,0.005150,N0,ram,0.0076,1.4696
0.238558,0.005137,N1,package,0.3141,61.1425
0.238572,0.005133,N1,ram,0.0228,4.4470
0.243662,0.005150,N0,package,0.1544,29.9838
0.243680,0.005145,N0,ram,0.0083,1.6164
0.243714,0.005156,N1,package,0.3096,60.0522
0.243735,0.005163,N1,ram,0.0230,4.4598
0.248865,0.005203,N0,package,0.1543,29.6553
0.248883,0.005203,N0,ram,0.0077,1.4751
0.248916,0.005202,N1,package,0.3151,60.5652
0.248939,0.005204,N1,ram,0.0229,4.3953
0.254047,0.005182,N0,package,0.1541,29.7401
0.254055,0.005172,N0,ram,0.0083,1.6079
0.254079,0.005163,N1,package,0.3130,60.6219
0.254091,0.005152,N1,ram,0.0227,4.3982
0.259216,0.005169,N0,package,0.1541,29.8155
0.259235,0.005180,N0,ram,0.0101,1.9500
0.259272,0.005193,N1,package,0.3160,60.8472
0.259295,0.005204,N1,ram,0.0227,4.3689
0.264390,0.005174,N0,package,0.1867,36.0861
0.264408,0.005173,N0,ram,0.0083,1.6046
0.264441,0.005169,N1,package,0.3735,72.2657
0.264465,0.005170,N1,ram,0.0269,5.2032
0.269560,0.005170,N0,package,0.1553,30.0447
0.269578,0.005170,N0,ram,0.0089,1.7266
0.269618,0.005177,N1,package,0.3167,61.1764
0.269641,0.005176,N1,ram,0.0225,4.3541
0.274767,0.005207,N0,package,0.1561,29.9839
0.274785,0.005207,N0,ram,0.0089,1.7114
0.274822,0.005204,N1,package,0.3144,60.4140
0.274845,0.005204,N1,ram,0.0229,4.4012
0.279950,0.005183,N0,package,0.1566,30.2056
0.279958,0.005173,N0,ram,0.0065,1.2595
0.279987,0.005165,N1,package,0.3152,61.0340
0.280003,0.005158,N1,ram,0.0228,4.4256
0.285124,0.005174,N0,package,0.1539,29.7513
0.285142,0.005184,N0,ram,0.0089,1.7219
0.285190,0.005203,N1,package,0.3149,60.5306
0.285213,0.005210,N1,ram,0.0229,4.3903
0.290290,0.005166,N0,package,0.1552,30.0329
0.290299,0.005157,N0,ram,0.0089,1.7280
0.290334,0.005144,N1,package,0.3765,73.1869
0.290350,0.005137,N1,ram,0.0275,5.3616
0.295440,0.005150,N0,package,0.1862,36.1600
0.295459,0.005160,N0,ram,0.0107,2.0730
0.295496,0.005162,N1,package,0.3181,61.6145
0.295519,0.005169,N1,ram,0.0181,3.4950
0.300616,0.005176,N0,package,0.1571,30.3521
0.300635,0.005176,N0,ram,0.0089,1.7216
0.300672,0.005176,N1,package,0.3118,60.2443
0.300700,0.005181,N1,ram,0.0227,4.3764
0.305806,0.005190,N0,package,0.1514,29.1644
0.305815,0.005180,N0,ram,0.0091,1.7527
0.305838,0.005166,N1,package,0.3160,61.1763
0.305852,0.005152,N1,ram,0.0228,4.4278
0.310953,0.005147,N0,package,0.1588,30.8557
0.310962,0.005147,N0,ram,0.0092,1.7877
0.310984,0.005146,N1,package,0.3138,60.9755
0.310996,0.005144,N1,ram,0.0230,4.4793
0.316114,0.005161,N0,package,0.1542,29.8728
0.316122,0.005160,N0,ram,0.0091,1.7565
0.316146,0.005162,N1,package,0.3156,61.1416
0.316160,0.005164,N1,ram,0.0230,4.4530
0.321255,0.005141,N0,package,0.1580,30.7266
0.321273,0.005151,N0,ram,0.0092,1.7892
0.321305,0.005159,N1,package,0.3157,61.2020
0.321327,0.005167,N1,ram,0.0228,4.4061
0.326406,0.005151,N0,package,0.1872,36.3412
0.326415,0.005142,N0,ram,0.0110,2.1336
0.326455,0.005150,N1,package,0.3782,73.4425
0.326468,0.005141,N1,ram,0.0276,5.3662
0.331541,0.005135,N0,package,0.1570,30.5826
0.331550,0.005135,N0,ram,0.0092,1.7918
0.331569,0.005114,N1,package,0.3120,61.0103
0.331588,0.005120,N1,ram,0.0228,4.4584
0.336678,0.005137,N0,package,0.1537,29.9296
0.336696,0.005146,N0,ram,0.0091,1.7613
0.336733,0.005164,N1,package,0.3167,61.3317
0.336753,0.005165,N1,ram,0.0227,4.3870
0.341879,0.005201,N0,package,0.1550,29.7953
0.341897,0.005201,N0,ram,0.0094,1.8043
0.341940,0.005207,N1,package,0.3162,60.7297
0.341965,0.005212,N1,ram,0.0226,4.3330
0.347092,0.005213,N0,package,0.1557,29.8676
0.347120,0.005223,N0,ram,0.0095,1.8201
0.347144,0.005204,N1,package,0.3125,60.0504
0.347167,0.005202,N1,ram,0.0229,4.4086
0.352256,0.005164,N0,package,0.1559,30.1872
0.352275,0.005155,N0,ram,0.0092,1.7908
0.352312,0.005168,N1,package,0.3141,60.7876
0.352333,0.005166,N1,ram,0.0271,5.2546
0.357411,0.005155,N0,package,0.1854,35.9575
0.357420,0.005145,N0,ram,0.0110,2.1384
0.357455,0.005143,N1,package,0.3784,73.5684
0.357473,0.005140,N1,ram,0.0227,4.4202
0.362545,0.005134,N0,package,0.1580,30.7799
0.362554,0.005134,N0,ram,0.0092,1.7892
0.362574,0.005119,N1,package,0.3150,61.5349
0.362588,0.005115,N1,ram,0.0227,4.4359
0.367660,0.005115,N0,package,0.1550,30.2966
0.367668,0.005114,N0,ram,0.0092,1.8021
0.367696,0.005122,N1,package,0.3197,62.4181
0.367713,0.005125,N1,ram,0.0228,4.4483
0.372838,0.005178,N0,package,0.1569,30.2938
0.372856,0.005188,N0,ram,0.0092,1.7765
0.372892,0.005196,N1,package,0.3102,59.6950
0.372918,0.005205,N1,ram,0.0224,4.3063
0.378026,0.005188,N0,package,0.1591,30.6588
0.378034,0.005178,N0,ram,0.0092,1.7740
0.378060,0.005168,N1,package,0.3174,61.4254
0.378074,0.005156,N1,ram,0.0228,4.4273
