#timestamp,interval,socket,domain,energy,power
0.005176,0.005340,N0,package,0.5875,110.0147
0.005354,0.005510,N0,ram,0.0275,4.9902
0.005450,0.005462,N1,package,0.3979,72.8443
0.005461,0.005461,N1,ram,0.0259,4.7361
0.010777,0.005601,N0,package,0.5205,92.9284
0.010883,0.005529,N0,ram,0.0192,3.4663
0.011047,0.005597,N1,package,0.4619,82.5307
0.011058,0.005597,N1,ram,0.0303,5.4172
0.016223,0.005446,N0,package,0.4803,88.1912
0.016237,0.005354,N0,ram,0.0222,4.1437
0.016388,0.005341,N1,package,0.3954,74.0277
0.016408,0.005350,N1,ram,0.0265,4.9512
0.021588,0.005365,N0,package,0.5690,106.0542
0.021606,0.005369,N0,ram,0.0173,3.2257
0.021835,0.005447,N1,package,0.4717,86.5958
0.021925,0.005517,N1,ram,0.0311,5.6339
0.027105,0.005517,N0,package,0.5566,100.8844
0.027119,0.005513,N0,ram,0.0210,3.8085
0.027303,0.005468,N1,package,0.4210,76.9953
0.027315,0.005390,N1,ram,0.0269,4.9967
0.032478,0.005373,N0,package,0.5354,99.6464
0.032783,0.005664,N0,ram,0.0201,3.5427
0.032957,0.005654,N1,package,0.3951,69.8780
0.033084,0.005769,N1,ram,0.0281,4.8641
0.038264,0.005786,N0,package,0.5548,95.8892
0.038437,0.005654,N0,ram,0.0213,3.7647
0.038526,0.005569,N1,package,0.5059,90.8461
0.038537,0.005453,N1,ram,0.0313,5.7337
0.043879,0.005615,N0,package,0.4753,84.6449
0.043988,0.005551,N0,ram,0.0215,3.8730
0.044084,0.005558,N1,package,0.4335,77.9904
0.044096,0.005559,N1,ram,0.0277,4.9845
0.049286,0.005407,N0,package,0.5464,101.0612
0.049458,0.005470,N0,ram,0.0246,4.4885
0.049582,0.005498,N1,package,0.5615,102.1291
0.049876,0.005780,N1,ram,0.0312,5.3934
0.055097,0.005811,N0,package,0.5475,94.2157
0.055281,0.005823,N0,ram,0.0242,4.1481
0.055383,0.005801,N1,package,0.4847,83.5517
0.055404,0.005528,N1,ram,0.0300,5.4322
0.060608,0.005511,N0,package,0.4700,85.2780
0.060666,0.005385,N0,ram,0.0208,3.8679
0.060761,0.005378,N1,package,0.4470,83.1203
0.060874,0.005470,N1,ram,0.0260,4.7478
0.066066,0.005458,N0,package,0.4611,84.4872
0.066237,0.005571,N0,ram,0.0222,3.9933
0.066325,0.005564,N1,package,0.5632,101.2175
0.066441,0.005567,N1,ram,0.0315,5.6575
