#timestamp,interval,socket,domain,energy,power
0.005280,0.005401,N0,package,0.4300,79.6115
0.005377,0.005469,N0,ram,0.0205,3.7526
0.005470,0.005475,N1,package,0.5038,92.0146
0.005482,0.005482,N1,ram,0.0299,5.4528
0.010633,0.005353,N0,package,0.4109,76.7704
0.010748,0.005371,N0,ram,0.0208,3.8809
0.010870,0.005400,N1,package,0.4355,80.6464
0.010878,0.005396,N1,ram,0.0262,4.8552
0.016036,0.005403,N0,package,0.5168,95.6470
0.016051,0.005303,N0,ram,0.0258,4.8569
0.016320,0.005450,N1,package,0.5186,95.1587
0.016427,0.005549,N1,ram,0.0320,5.7692
0.021580,0.005544,N0,package,0.4266,76.9442
0.021598,0.005547,N0,ram,0.0204,3.6751
0.021715,0.005395,N1,package,0.4471,82.8821
0.021724,0.005297,N1,ram,0.0265,5.0037
0.026873,0.005293,N0,package,0.4174,78.8606
0.026889,0.005291,N0,ram,0.0251,4.7412
0.027010,0.005295,N1,package,0.5283,99.7650
0.027021,0.005297,N1,ram,0.0315,5.9428
0.032340,0.005467,N0,package,0.5183,94.8082
0.032415,0.005526,N0,ram,0.0204,3.6947
0.032602,0.005592,N1,package,0.4669,83.4961
0.032610,0.005589,N1,ram,0.0247,4.4283
0.037759,0.005419,N0,package,0.4392,81.0496
0.037774,0.005359,N0,ram,0.0201,3.7555
0.037892,0.005290,N1,package,0.5924,111.9856
0.037903,0.005293,N1,ram,0.0327,6.1720
0.043062,0.005303,N0,package,0.5618,105.9358
0.043077,0.005303,N0,ram,0.0248,4.6701
0.043307,0.005415,N1,package,0.4918,90.8263
0.043447,0.005544,N1,ram,0.0266,4.7946
0.048613,0.005551,N0,package,0.4434,79.8687
0.048629,0.005552,N0,ram,0.0196,3.5316
0.048743,0.005436,N1,package,0.4902,90.1726
0.048754,0.005307,N1,ram,0.0260,4.8965
0.053903,0.005290,N0,package,0.5611,106.0667
0.053918,0.005289,N0,ram,0.0265,5.0114
0.054025,0.005282,N1,package,0.5740,108.6677
0.054033,0.005279,N1,ram,0.0330,6.2520
0.059166,0.005263,N0,package,0.4404,83.6865
0.059199,0.005281,N0,ram,0.0204,3.8629
0.059423,0.005398,N1,package,0.4807,89.0533
0.059464,0.005431,N1,ram,0.0251,4.6302
0.064589,0.005423,N0,package,0.4676,86.2225
0.064620,0.005421,N0,ram,0.0206,3.7943
0.064725,0.005302,N1,package,0.4174,78.7294
0.064758,0.005294,N1,ram,0.0262,4.9459
0.069879,0.005290,N0,package,0.5815,109.9203
0.069910,0.005290,N0,ram,0.0285,5.3824
0.070018,0.005293,N1,package,0.4878,92.1558
0.070051,0.005293,N1,ram,0.0310,5.8551
0.075138,0.005259,N0,package,0.5005,95.1673
0.075152,0.005242,N0,ram,0.0215,4.0957
0.075414,0.005396,N1,package,0.4200,77.8452
0.075520,0.005469,N1,ram,0.0255,4.6621
0.080634,0.005496,N0,package,0.4827,87.8320
0.080665,0.005513,N0,ram,0.0207,3.7474
0.080793,0.005379,N1,package,0.4314,80.2007
0.080804,0.005284,N1,ram,0.0271,5.1314
0.085906,0.005272,N0,package,0.5609,106.3965
0.085918,0.005253,N0,ram,0.0240,4.5606
0.085998,0.005205,N1,package,0.4186,80.4163
0.086005,0.005201,N1,ram,0.0247,4.7529
0.091117,0.005211,N0,package,0.4742,90.9985
0.091135,0.005217,N0,ram,0.0199,3.8081
0.091310,0.005312,N1,package,0.4146,78.0409
0.091424,0.005419,N1,ram,0.0264,4.8769
0.096527,0.005410,N0,package,0.4805,88.8080
0.096540,0.005405,N0,ram,0.0204,3.7830
0.096618,0.005308,N1,package,0.4782,90.0939
0.096625,0.005201,N1,ram,0.0314,6.0377
0.101739,0.005212,N0,package,0.4803,92.1530
0.101770,0.005230,N0,ram,0.0213,4.0729
0.101872,0.005254,N1,package,0.4026,76.6246
0.101905,0.005280,N1,ram,0.0272,5.1469
0.107014,0.005275,N0,package,0.5675,107.5836
0.107028,0.005258,N0,ram,0.0243,4.6228
0.107107,0.005235,N1,package,0.4031,77.0087
0.107115,0.005210,N1,ram,0.0321,6.1593
0.112201,0.005187,N0,package,0.4712,90.8402
0.112232,0.005204,N0,ram,0.0205,3.9349
0.112455,0.005348,N1,package,0.4844,90.5832
0.112574,0.005459,N1,ram,0.0253,4.6371
0.117699,0.005498,N0,package,0.4723,85.9032
0.117730,0.005498,N0,ram,0.0205,3.7218
0.117834,0.005379,N1,package,0.4202,78.1207
0.117867,0.005293,N1,ram,0.0259,4.8980
0.122987,0.005288,N0,package,0.5856,110.7333
0.123018,0.005288,N0,ram,0.0248,4.6918
0.123123,0.005289,N1,package,0.3806,71.9542
0.123408,0.005541,N1,ram,0.0331,5.9674
0.128550,0.005563,N0,package,0.4689,84.2837
0.128580,0.005562,N0,ram,0.0213,3.8243
0.128685,0.005562,N1,package,0.4969,89.3460
0.128718,0.005310,N1,ram,0.0246,4.6324
0.133828,0.005278,N0,package,0.4603,87.2183
0.133840,0.005260,N0,ram,0.0199,3.7741
0.133938,0.005253,N1,package,0.4098,78.0095
0.133945,0.005227,N1,ram,0.0260,4.9772
0.139046,0.005218,N0,package,0.5765,110.4896
0.139060,0.005220,N0,ram,0.0245,4.6859
0.139306,0.005368,N1,package,0.4053,75.5095
0.139413,0.005468,N1,ram,0.0259,4.7438
0.144527,0.005481,N0,package,0.4995,91.1239
0.144558,0.005498,N0,ram,0.0218,3.9660
0.144663,0.005357,N1,package,0.4933,92.0821
0.144696,0.005283,N1,ram,0.0308,5.8287
0.149807,0.005280,N0,package,0.4525,85.7032
0.149820,0.005262,N0,ram,0.0194,3.6943
0.149912,0.005249,N1,package,0.3965,75.5349
0.149919,0.005223,N1,ram,0.0254,4.8584
0.155024,0.005217,N0,package,0.5775,110.6853
0.155037,0.005217,N0,ram,0.0237,4.5336
0.155130,0.005218,N1,package,0.4146,79.4612
0.155139,0.005220,N1,ram,0.0266,5.0863
0.160252,0.005228,N0,package,0.4711,90.1043
0.160282,0.005245,N0,ram,0.0175,3.3398
0.160412,0.005282,N1,package,0.4117,77.9382
0.160445,0.005306,N1,ram,0.0270,5.0958
0.165564,0.005312,N0,package,0.4809,90.5307
0.165595,0.005313,N0,ram,0.0176,3.3170
0.165698,0.005286,N1,package,0.4938,93.4121
0.165731,0.005286,N1,ram,0.0311,5.8830
0.170852,0.005288,N0,package,0.4805,90.8622
0.170883,0.005288,N0,ram,0.0171,3.2319
0.170988,0.005290,N1,package,0.3879,73.3341
0.171021,0.005290,N1,ram,0.0251,4.7478
0.176159,0.005307,N0,package,0.5673,106.8900
0.176190,0.005307,N0,ram,0.0213,4.0167
0.176410,0.005422,N1,package,0.4202,77.4946
0.176523,0.005502,N1,ram,0.0260,4.7285
0.181648,0.005489,N0,package,0.4901,89.2770
0.181678,0.005488,N0,ram,0.0191,3.4754
0.181783,0.005373,N1,package,0.4839,90.0703
0.181816,0.005293,N1,ram,0.0327,6.1749
0.186925,0.005277,N0,package,0.4584,86.8640
0.186938,0.005260,N0,ram,0.0175,3.3215
0.187018,0.005235,N1,package,0.4017,76.7405
0.187026,0.005210,N1,ram,0.0261,5.0024
0.192159,0.005234,N0,package,0.5874,112.2281
0.192189,0.005251,N0,ram,0.0217,4.1235
0.192416,0.005398,N1,package,0.3860,71.5050
0.192536,0.005510,N1,ram,0.0250,4.5333
0.197650,0.005491,N0,package,0.4778,87.0229
0.197663,0.005474,N0,ram,0.0173,3.1610
0.197742,0.005326,N1,package,0.5037,94.5776
0.197750,0.005214,N1,ram,0.0318,6.0989
0.202853,0.005203,N0,package,0.4592,88.2504
0.202866,0.005203,N0,ram,0.0168,3.2348
0.202944,0.005202,N1,package,0.4043,77.7187
0.202952,0.005202,N1,ram,0.0261,5.0190
0.208053,0.005200,N0,package,0.5582,107.3484
0.208067,0.005201,N0,ram,0.0219,4.2189
0.208306,0.005362,N1,package,0.4169,77.7448
0.208413,0.005461,N1,ram,0.0270,4.9456
0.213527,0.005474,N0,package,0.4980,90.9865
0.213558,0.005491,N0,ram,0.0175,3.1790
0.213662,0.005356,N1,package,0.4793,89.4929
0.213695,0.005282,N1,ram,0.0304,5.7544
0.218815,0.005288,N0,package,0.4690,88.6882
0.218846,0.005288,N0,ram,0.0181,3.4222
0.218953,0.005291,N1,package,0.4303,81.3266
0.218986,0.005291,N1,ram,0.0257,4.8623
0.224114,0.005299,N0,package,0.4704,88.7735
0.224165,0.005319,N0,ram,0.0173,3.2503
0.224383,0.005430,N1,package,0.4017,73.9810
0.224502,0.005516,N1,ram,0.0272,4.9350
0.229627,0.005513,N0,package,0.5565,100.9364
0.229658,0.005493,N0,ram,0.0193,3.5168
0.229760,0.005377,N1,package,0.5013,93.2302
0.229793,0.005291,N1,ram,0.0314,5.9438
0.234903,0.005276,N0,package,0.4863,92.1623
0.234916,0.005258,N0,ram,0.0196,3.7290
0.234995,0.005235,N1,package,0.3935,75.1666
0.235003,0.005210,N1,ram,0.0253,4.8589
0.240108,0.005205,N0,package,0.4796,92.1464
0.240122,0.005206,N0,ram,0.0173,3.3208
0.240358,0.005363,N1,package,0.4080,76.0774
0.240464,0.005461,N1,ram,0.0256,4.6830
0.245577,0.005469,N0,package,0.5731,104.7927
0.245609,0.005487,N0,ram,0.0215,3.9100
0.245715,0.005357,N1,package,0.4905,91.5620
0.245748,0.005284,N1,ram,0.0321,6.0815
0.250859,0.005282,N0,package,0.4523,85.6376
0.250872,0.005263,N0,ram,0.0160,3.0327
0.250960,0.005245,N1,package,0.4038,76.9862
0.250968,0.005220,N1,ram,0.0269,5.1594
0.256088,0.005229,N0,package,0.4973,95.0954
0.256119,0.005247,N0,ram,0.0185,3.5333
0.256388,0.005428,N1,package,0.4116,75.8239
0.256513,0.005545,N1,ram,0.0253,4.5651
0.261619,0.005531,N0,package,0.5725,103.5079
0.261649,0.005530,N0,ram,0.0224,4.0479
0.261752,0.005364,N1,package,0.5017,93.5336
0.261785,0.005272,N1,ram,0.0314,5.9595
0.266906,0.005287,N0,package,0.4966,93.9263
0.266937,0.005288,N0,ram,0.0192,3.6299
0.267044,0.005292,N1,package,0.4133,78.0906
0.267077,0.005292,N1,ram,0.0263,4.9652
0.272197,0.005291,N0,package,0.4486,84.7873
0.272228,0.005291,N0,ram,0.0153,2.8955
0.272450,0.005406,N1,package,0.3949,73.0493
0.272569,0.005492,N1,ram,0.0251,4.5732
0.277694,0.005497,N0,package,0.5646,102.7065
0.277725,0.005497,N0,ram,0.0225,4.0916
0.277828,0.005378,N1,package,0.4758,88.4657
0.277861,0.005292,N1,ram,0.0324,6.1298
0.282969,0.005275,N0,package,0.4775,90.5170
0.282983,0.005258,N0,ram,0.0170,3.2241
0.283069,0.005241,N1,package,0.3795,72.4025
0.283077,0.005216,N1,ram,0.0262,5.0201
0.288201,0.005232,N0,package,0.5635,107.7078
0.288232,0.005249,N0,ram,0.0213,4.0669
0.288451,0.005382,N1,package,0.3832,71.1955
0.288569,0.005492,N1,ram,0.0255,4.6343
0.293694,0.005493,N0,package,0.4969,90.4706
0.293725,0.005493,N0,ram,0.0190,3.4585
0.293828,0.005377,N1,package,0.4509,83.8615
0.293861,0.005292,N1,ram,0.0318,6.0061
0.298982,0.005288,N0,package,0.4572,86.4645
