#timestamp,interval,socket,domain,energy,power
0.005167,0.005465,N0,package,0.5762,105.4288
0.005335,0.005439,N0,ram,0.0266,4.8816
0.005420,0.005433,N1,package,0.4104,75.5373
0.005432,0.005432,N1,ram,0.0232,4.2727
0.010615,0.005448,N0,package,0.4533,83.2084
0.010628,0.005293,N0,ram,0.0198,3.7389
0.010899,0.005479,N1,package,0.4672,85.2628
0.011053,0.005621,N1,ram,0.0329,5.8582
0.016226,0.005611,N0,package,0.6241,111.2325
0.016238,0.005610,N0,ram,0.0282,5.0183
0.016389,0.005490,N1,package,0.3944,71.8437
0.016409,0.005356,N1,ram,0.0266,4.9570
0.021611,0.005385,N0,package,0.5370,99.7205
0.021624,0.005386,N0,ram,0.0237,4.3942
0.021922,0.005533,N1,package,0.4554,82.3034
0.022015,0.005606,N1,ram,0.0310,5.5255
0.027183,0.005572,N0,package,0.5845,104.9040
0.027331,0.005707,N0,ram,0.0265,4.6362
0.027414,0.005492,N1,package,0.3983,72.5157
0.027426,0.005411,N1,ram,0.0269,4.9630
0.032602,0.005419,N0,package,0.5207,96.0901
0.032613,0.005282,N0,ram,0.0204,3.8680
0.032964,0.005550,N1,package,0.4854,87.4594
0.032988,0.005562,N1,ram,0.0309,5.5556
0.038180,0.005578,N0,package,0.5751,103.1069
0.038227,0.005614,N0,ram,0.0241,4.2919
0.038313,0.005349,N1,package,0.4443,83.0588
0.038337,0.005349,N1,ram,0.0272,5.0890
0.043536,0.005356,N0,package,0.5099,95.2094
0.043584,0.005357,N0,ram,0.0225,4.2042
0.043651,0.005338,N1,package,0.4886,91.5307
0.043684,0.005347,N1,ram,0.0302,5.6389
0.048927,0.005391,N0,package,0.4338,80.4613
0.049053,0.005469,N0,ram,0.0204,3.7330
0.049134,0.005483,N1,package,0.4409,80.4021
0.049146,0.005462,N1,ram,0.0267,4.8833
0.054336,0.005409,N0,package,0.6253,115.6096
0.054513,0.005460,N0,ram,0.0260,4.7677
0.054615,0.005481,N1,package,0.4833,88.1730
0.054637,0.005491,N1,ram,0.0288,5.2521
0.059918,0.005582,N0,package,0.4911,87.9867
0.060022,0.005509,N0,ram,0.0220,3.9969
0.060113,0.005498,N1,package,0.5135,93.4078
0.060126,0.005489,N1,ram,0.0301,5.4874
0.065291,0.005373,N0,package,0.5620,104.5879
0.065473,0.005451,N0,ram,0.0222,4.0730
0.065631,0.005518,N1,package,0.3845,69.6854
0.065642,0.005516,N1,ram,0.0248,4.4926
0.070888,0.005597,N0,package,0.5522,98.6662
0.071016,0.005543,N0,ram,0.0266,4.7899
0.071106,0.005475,N1,package,0.4969,90.7549
0.071117,0.005475,N1,ram,0.0311,5.6854
