#timestamp,interval,socket,domain,energy,power
0.005175,0.005551,N0,package,0.5040,90.8018
0.005346,0.005509,N0,ram,0.0177,3.2047
0.005514,0.005525,N1,package,0.5748,104.0328
0.005526,0.005526,N1,ram,0.0313,5.6691
0.010774,0.005599,N0,package,0.6030,107.7023
0.010906,0.005560,N0,ram,0.0232,4.1686
0.011070,0.005556,N1,package,0.4597,82.7408
0.011093,0.005567,N1,ram,0.0318,5.7038
0.016256,0.005482,N0,package,0.5741,104.7247
0.016270,0.005364,N0,ram,0.0225,4.1931
0.016421,0.005351,N1,package,0.3748,70.0484
0.016441,0.005348,N1,ram,0.0253,4.7392
0.021799,0.005543,N0,package,0.5098,91.9768
0.021921,0.005651,N0,ram,0.0188,3.3212
0.022050,0.005629,N1,package,0.4520,80.3022
0.022061,0.005620,N1,ram,0.0311,5.5252
0.027224,0.005425,N0,package,0.4776,88.0373
0.027403,0.005482,N0,ram,0.0182,3.3262
0.027479,0.005429,N1,package,0.3855,71.0068
0.027489,0.005428,N1,ram,0.0271,4.9925
0.032807,0.005583,N0,package,0.5640,101.0138
0.032924,0.005521,N0,ram,0.0208,3.7615
0.033080,0.005601,N1,package,0.4321,77.1422
0.033098,0.005609,N1,ram,0.0278,4.9511
0.038297,0.005490,N0,package,0.5760,104.9148
0.038504,0.005580,N0,ram,0.0219,3.9186
0.038562,0.005482,N1,package,0.5175,94.3926
0.038589,0.005491,N1,ram,0.0300,5.4632
0.043823,0.005526,N0,package,0.4313,78.0547
0.043948,0.005444,N0,ram,0.0186,3.4167
0.044026,0.005464,N1,package,0.4670,85.4637
0.044038,0.005449,N1,ram,0.0273,5.0071
0.049229,0.005406,N0,package,0.5668,104.8433
0.049405,0.005457,N0,ram,0.0216,3.9567
0.049492,0.005466,N1,package,0.5472,100.1064
0.049692,0.005654,N1,ram,0.0306,5.4190
0.054865,0.005636,N0,package,0.4910,87.1130
0.055002,0.005597,N0,ram,0.0175,3.1188
0.055090,0.005598,N1,package,0.4889,87.3322
0.055101,0.005409,N1,ram,0.0284,5.2414
0.060292,0.005427,N0,package,0.5466,100.7108
0.060469,0.005467,N0,ram,0.0213,3.8880
0.060815,0.005725,N1,package,0.5231,91.3676
0.060992,0.005891,N1,ram,0.0295,5.0016
0.066072,0.005780,N0,package,0.5835,100.9512
0.066084,0.005615,N0,ram,0.0250,4.4486
0.066200,0.005385,N1,package,0.4914,91.2497
0.066213,0.005221,N1,ram,0.0314,6.0119
0.071399,0.005327,N0,package,0.4824,90.5504
0.071430,0.005346,N0,ram,0.0187,3.4964
0.071541,0.005341,N1,package,0.4036,75.5623
0.071575,0.005362,N1,ram,0.0248,4.6186
0.076903,0.005504,N0,package,0.3918,71.1943
0.076945,0.005515,N0,ram,0.0217,3.9289
0.077071,0.005530,N1,package,0.3451,62.4024
0.077104,0.005529,N1,ram,0.0283,5.1222
0.082302,0.005399,N0,package,0.4297,79.5867
0.082479,0.005534,N0,ram,0.0207,3.7415
0.082602,0.005531,N1,package,0.3732,67.4788
0.082629,0.005525,N1,ram,0.0304,5.4986
0.087838,0.005536,N0,package,0.4182,75.5432
0.088012,0.005533,N0,ram,0.0194,3.5079
0.088125,0.005523,N1,package,0.3941,71.3573
0.088137,0.005508,N1,ram,0.0308,5.5933
0.093329,0.005491,N0,package,0.4182,76.1631
0.093506,0.005494,N0,ram,0.0202,3.6717
0.093735,0.005610,N1,package,0.3479,62.0144
0.093916,0.005779,N1,ram,0.0258,4.4596
0.099118,0.005789,N0,package,0.3724,64.3347
0.099297,0.005791,N0,ram,0.0181,3.1223
0.099445,0.005710,N1,package,0.3809,66.7124
0.099478,0.005562,N1,ram,0.0320,5.7528
0.104768,0.005650,N0,package,0.4250,75.2185
0.104871,0.005574,N0,ram,0.0242,4.3362
0.105074,0.005629,N1,package,0.3676,65.3066
0.105085,0.005607,N1,ram,0.0267,4.7625
0.110277,0.005509,N0,package,0.4661,84.6132
0.110454,0.005583,N0,ram,0.0143,2.5555
0.110618,0.005544,N1,package,0.3990,71.9790
0.110779,0.005694,N1,ram,0.0312,5.4854
0.115982,0.005705,N0,package,0.4489,78.6787
0.116160,0.005706,N0,ram,0.0237,4.1529
0.116308,0.005690,N1,package,0.3358,59.0175
0.116338,0.005559,N1,ram,0.0265,4.7597
0.121539,0.005557,N0,package,0.4172,75.0712
0.121860,0.005700,N0,ram,0.0209,3.6594
0.122052,0.005744,N1,package,0.3137,54.6067
0.122085,0.005747,N1,ram,0.0253,4.3969
0.127284,0.005745,N0,package,0.4677,81.3990
0.127461,0.005601,N0,ram,0.0203,3.6315
0.127618,0.005566,N1,package,0.4247,76.3120
0.127756,0.005671,N1,ram,0.0318,5.6020
0.132957,0.005673,N0,package,0.3962,69.8368
0.133165,0.005704,N0,ram,0.0178,3.1219
0.133307,0.005689,N1,package,0.4980,87.5326
0.133338,0.005582,N1,ram,0.0411,7.3586
0.138536,0.005579,N0,package,0.3979,71.3190
0.138857,0.005692,N0,ram,0.0230,4.0372
0.139012,0.005705,N1,package,0.2734,47.9198
0.139045,0.005707,N1,ram,0.0213,3.7298
0.144244,0.005708,N0,package,0.4380,76.7433
0.144420,0.005563,N0,ram,0.0208,3.7358
0.144572,0.005560,N1,package,0.3946,70.9678
0.144808,0.005763,N1,ram,0.0297,5.1551
0.150028,0.005784,N0,package,0.3600,62.2483
0.150206,0.005786,N0,ram,0.0179,3.0961
0.150357,0.005785,N1,package,0.4401,76.0804
0.150390,0.005582,N1,ram,0.0374,6.7029
0.155592,0.005564,N0,package,0.4741,85.2017
0.155633,0.005427,N0,ram,0.0220,4.0571
