#timestamp,interval,socket,domain,energy,power
0.005167,0.005489,N0,package,0.5389,98.1767
0.005306,0.005411,N0,ram,0.0236,4.3625
0.005391,0.005403,N1,package,0.4649,86.0450
0.005402,0.005402,N1,ram,0.0321,5.9486
0.010580,0.005413,N0,package,0.4865,89.8661
0.010596,0.005290,N0,ram,0.0222,4.1911
0.010797,0.005406,N1,package,0.3822,70.7009
0.010990,0.005588,N1,ram,0.0264,4.7212
0.016154,0.005574,N0,package,0.5724,102.7000
0.016170,0.005574,N0,ram,0.0257,4.6182
0.016317,0.005520,N1,package,0.4604,83.4131
0.016339,0.005349,N1,ram,0.0318,5.9536
0.021521,0.005367,N0,package,0.5281,98.4038
0.021533,0.005363,N0,ram,0.0232,4.3332
0.021787,0.005470,N1,package,0.3922,71.6907
0.021864,0.005525,N1,ram,0.0269,4.8746
0.027046,0.005525,N0,package,0.5175,93.6704
0.027060,0.005527,N0,ram,0.0226,4.0970
0.027144,0.005357,N1,package,0.4485,83.7230
0.027157,0.005293,N1,ram,0.0304,5.7367
0.032330,0.005284,N0,package,0.5264,99.6140
0.032344,0.005284,N0,ram,0.0206,3.8897
0.032433,0.005289,N1,package,0.3990,75.4475
0.032445,0.005288,N1,ram,0.0263,4.9806
0.037779,0.005449,N0,package,0.6057,111.1480
0.037882,0.005538,N0,ram,0.0220,3.9786
0.037972,0.005539,N1,package,0.4142,74.7769
0.037984,0.005539,N1,ram,0.0269,4.8483
0.043149,0.005370,N0,package,0.5593,104.1481
0.043325,0.005443,N0,ram,0.0184,3.3782
0.043411,0.005439,N1,package,0.4740,87.1475
0.043423,0.005439,N1,ram,0.0311,5.7261
0.048822,0.005673,N0,package,0.6376,112.3839
0.048942,0.005617,N0,ram,0.0220,3.9226
0.049112,0.005701,N1,package,0.4045,70.9588
0.049123,0.005700,N1,ram,0.0271,4.7569
0.054300,0.005478,N0,package,0.6151,112.2897
0.054473,0.005531,N0,ram,0.0199,3.5974
0.054559,0.005447,N1,package,0.4832,88.7136
0.054571,0.005448,N1,ram,0.0303,5.5623
0.059884,0.005584,N0,package,0.5114,91.5746
0.059990,0.005517,N0,ram,0.0180,3.2691
0.060155,0.005596,N1,package,0.4866,86.9584
0.060166,0.005595,N1,ram,0.0312,5.5826
0.065330,0.005446,N0,package,0.6115,112.2760
0.065505,0.005515,N0,ram,0.0232,4.2084
0.065812,0.005657,N1,package,0.3877,68.5342
0.065969,0.005803,N1,ram,0.0255,4.3887
0.071134,0.005804,N0,package,0.6148,105.9270
0.071308,0.005803,N0,ram,0.0255,4.3911
0.071464,0.005652,N1,package,0.4869,86.1433
0.071475,0.005506,N1,ram,0.0323,5.8640
0.076792,0.005658,N0,package,0.5737,101.4032
0.076900,0.005592,N0,ram,0.0260,4.6471
0.077068,0.005604,N1,package,0.4885,87.1631
0.077080,0.005605,N1,ram,0.0306,5.4529
0.082243,0.005451,N0,package,0.6457,118.4544
0.082254,0.005354,N0,ram,0.0289,5.3920
0.082372,0.005304,N1,package,0.4467,84.2248
0.082384,0.005304,N1,ram,0.0257,4.8416
0.087461,0.005218,N0,package,0.4617,88.4759
0.087472,0.005218,N0,ram,0.0193,3.7081
0.087883,0.005511,N1,package,0.3895,70.6810
0.087973,0.005589,N1,ram,0.0268,4.8023
0.094679,0.007218,N0,package,1.0341,143.2585
0.094728,0.007256,N0,ram,0.0369,5.0911
0.094963,0.007080,N1,package,0.5312,75.0345
0.095083,0.007110,N1,ram,0.0358,5.0348
0.100201,0.005522,N0,package,1.1155,202.0058
0.100214,0.005486,N0,ram,0.0205,3.7410
0.100297,0.005334,N1,package,0.4557,85.4325
0.100305,0.005222,N1,ram,0.0318,6.0952
0.105405,0.005204,N0,package,1.0645,204.5584
0.105418,0.005204,N0,ram,0.0194,3.7209
0.105500,0.005203,N1,package,0.3756,72.1910
0.105508,0.005203,N1,ram,0.0252,4.8419
0.110638,0.005233,N0,package,1.0266,196.1668
0.110670,0.005252,N0,ram,0.0192,3.6490
0.110701,0.005201,N1,package,0.3924,75.4446
0.110729,0.005221,N1,ram,0.0261,4.9919
0.115848,0.005210,N0,package,1.2423,238.4507
0.115881,0.005211,N0,ram,0.0224,4.3075
0.115984,0.005283,N1,package,0.3925,74.2883
0.116017,0.005288,N1,ram,0.0266,5.0294
0.121130,0.005282,N0,package,0.9927,187.9383
0.121161,0.005280,N0,ram,0.0183,3.4737
0.121266,0.005282,N1,package,0.3783,71.6176
0.121299,0.005282,N1,ram,0.0258,4.8851
0.126411,0.005281,N0,package,1.0623,201.1594
0.126424,0.005263,N0,ram,0.0186,3.5283
0.126509,0.005243,N1,package,0.4714,89.9085
0.126518,0.005219,N1,ram,0.0318,6.0989
0.131642,0.005231,N0,package,1.0256,196.0633
0.131673,0.005249,N0,ram,0.0189,3.6017
0.131894,0.005385,N1,package,0.3769,69.9872
0.132011,0.005493,N1,ram,0.0248,4.5113
0.137136,0.005494,N0,package,1.2896,234.7361
0.137167,0.005494,N0,ram,0.0224,4.0856
0.137271,0.005377,N1,package,0.4592,85.3939
0.137305,0.005294,N1,ram,0.0317,5.9950
0.142415,0.005279,N0,package,0.9804,185.7162
0.142428,0.005261,N0,ram,0.0178,3.3759
0.142517,0.005246,N1,package,0.3977,75.8122
0.142525,0.005220,N1,ram,0.0275,5.2588
0.147668,0.005253,N0,package,1.0333,196.6970
0.147700,0.005272,N0,ram,0.0181,3.4356
0.147991,0.005474,N1,package,0.3818,69.7563
0.148110,0.005585,N1,ram,0.0254,4.5433
0.153234,0.005566,N0,package,1.2465,223.9465
0.153266,0.005566,N0,ram,0.0216,3.8819
0.153370,0.005379,N1,package,0.3687,68.5443
0.153404,0.005294,N1,ram,0.0243,4.5945
0.158499,0.005265,N0,package,1.0020,190.3046
0.158512,0.005246,N0,ram,0.0195,3.7201
0.158589,0.005219,N1,package,0.4734,90.7169
0.158597,0.005193,N1,ram,0.0321,6.1764
0.163710,0.005211,N0,package,1.0452,200.5765
0.163741,0.005229,N0,ram,0.0206,3.9365
0.163973,0.005384,N1,package,0.3972,73.7664
0.164090,0.005493,N1,ram,0.0263,4.7806
0.169207,0.005497,N0,package,1.2360,224.8439
0.169238,0.005497,N0,ram,0.0255,4.6357
0.169341,0.005368,N1,package,0.3807,70.9273
0.169375,0.005285,N1,ram,0.0260,4.9257
0.174491,0.005284,N0,package,1.0212,193.2561
0.174505,0.005267,N0,ram,0.0210,3.9777
0.174587,0.005246,N1,package,0.4815,91.7868
0.174595,0.005220,N1,ram,0.0311,5.9484
0.179707,0.005216,N0,package,1.0410,199.5857
0.179739,0.005234,N0,ram,0.0205,3.9182
