#timestamp,interval,socket,domain,energy,power
0.005168,0.005268,N0,package,0.4812,91.3425
0.005339,0.005435,N0,ram,0.0217,4.0007
0.005423,0.005435,N1,package,0.3858,70.9851
0.005435,0.005435,N1,ram,0.0255,4.6996
0.010600,0.005432,N0,package,0.5115,94.1614
0.010617,0.005278,N0,ram,0.0232,4.4031
0.010834,0.005411,N1,package,0.4452,82.2728
0.011022,0.005587,N1,ram,0.0315,5.6399
0.016188,0.005588,N0,package,0.6216,111.2450
0.016204,0.005587,N0,ram,0.0255,4.5554
0.016350,0.005516,N1,package,0.3800,68.8937
0.016369,0.005347,N1,ram,0.0263,4.9112
0.021543,0.005355,N0,package,0.4807,89.7596
0.021559,0.005355,N0,ram,0.0215,4.0064
0.021809,0.005459,N1,package,0.3897,71.3875
0.022005,0.005636,N1,ram,0.0325,5.7640
0.027188,0.005645,N0,package,0.5471,96.9096
0.027414,0.005855,N0,ram,0.0232,3.9664
0.027516,0.005707,N1,package,0.4573,80.1250
0.027527,0.005522,N1,ram,0.0251,4.5483
0.032910,0.005722,N0,package,0.6166,107.7547
0.033032,0.005618,N0,ram,0.0256,4.5629
0.033109,0.005593,N1,package,0.4630,82.7725
0.033121,0.005594,N1,ram,0.0314,5.6218
0.038289,0.005379,N0,package,0.6255,116.2956
0.038302,0.005270,N0,ram,0.0249,4.7253
0.038386,0.005277,N1,package,0.4147,78.5940
0.038408,0.005287,N1,ram,0.0257,4.8574
0.043587,0.005298,N0,package,0.5347,100.9277
0.043609,0.005307,N0,ram,0.0202,3.8126
0.043836,0.005450,N1,package,0.3956,72.5813
0.043992,0.005584,N1,ram,0.0258,4.6290
0.049161,0.005574,N0,package,0.6099,109.4233
0.049341,0.005732,N0,ram,0.0252,4.3976
0.049503,0.005667,N1,package,0.4967,87.6490
0.049514,0.005522,N1,ram,0.0318,5.7614
0.054864,0.005703,N0,package,0.6037,105.8569
0.054977,0.005636,N0,ram,0.0237,4.1992
0.055053,0.005550,N1,package,0.4680,84.3143
0.055066,0.005552,N1,ram,0.0303,5.4554
0.060257,0.005393,N0,package,0.5798,107.5155
0.060290,0.005313,N0,ram,0.0230,4.3224
0.060390,0.005337,N1,package,0.4076,76.3711
0.060424,0.005358,N1,ram,0.0271,5.0550
0.065585,0.005328,N0,package,0.5079,95.3341
0.065599,0.005309,N0,ram,0.0225,4.2450
0.065833,0.005443,N1,package,0.4044,74.2915
0.066022,0.005598,N1,ram,0.0261,4.6610
0.071187,0.005602,N0,package,0.5543,98.9527
0.071361,0.005762,N0,ram,0.0255,4.4279
0.071460,0.005627,N1,package,0.4753,84.4656
0.071473,0.005451,N1,ram,0.0298,5.4726
0.076796,0.005609,N0,package,0.6542,116.6396
0.076902,0.005541,N0,ram,0.0339,6.1216
0.077102,0.005642,N1,package,0.5126,90.8467
0.077113,0.005640,N1,ram,0.0329,5.8329
0.082281,0.005485,N0,package,0.6355,115.8599
0.082442,0.005540,N0,ram,0.0345,6.2221
0.082573,0.005471,N1,package,0.3881,70.9419
0.082585,0.005472,N1,ram,0.0258,4.7071
0.087814,0.005533,N0,package,0.4920,88.9221
0.087945,0.005503,N0,ram,0.0204,3.7154
0.088118,0.005545,N1,package,0.4691,84.6032
0.088130,0.005545,N1,ram,0.0302,5.4457
0.093298,0.005484,N0,package,0.5997,109.3581
0.093476,0.005531,N0,ram,0.0234,4.2321
0.093811,0.005693,N1,package,0.4150,72.8932
0.093966,0.005836,N1,ram,0.0270,4.6202
0.099141,0.005843,N0,package,0.5699,97.5343
0.099154,0.005678,N0,ram,0.0239,4.2083
0.099304,0.005493,N1,package,0.4827,87.8667
0.099316,0.005350,N1,ram,0.0316,5.9037
0.104480,0.005339,N0,package,0.4879,91.3771
0.104492,0.005338,N0,ram,0.0204,3.8247
0.104606,0.005302,N1,package,0.3902,73.5951
0.104619,0.005303,N1,ram,0.0250,4.7104
0.109870,0.005390,N0,package,0.4827,89.5456
0.109980,0.005488,N0,ram,0.0202,3.6730
0.110142,0.005536,N1,package,0.5212,94.1423
0.110153,0.005534,N1,ram,0.0318,5.7377
0.115317,0.005447,N0,package,0.5899,108.3008
0.115492,0.005512,N0,ram,0.0254,4.6092
0.115788,0.005646,N1,package,0.4033,71.4348
0.115946,0.005793,N1,ram,0.0259,4.4647
0.121118,0.005801,N0,package,0.5953,102.6273
0.121260,0.005768,N0,ram,0.0262,4.5395
0.121431,0.005643,N1,package,0.4906,86.9414
0.121452,0.005506,N1,ram,0.0316,5.7338
0.126619,0.005501,N0,package,0.4951,89.9933
0.126638,0.005378,N0,ram,0.0183,3.3990
0.126859,0.005428,N1,package,0.4217,77.6872
0.127014,0.005562,N1,ram,0.0261,4.6857
0.132179,0.005560,N0,package,0.5746,103.3441
0.132192,0.005554,N0,ram,0.0214,3.8601
0.132347,0.005488,N1,package,0.5309,96.7368
0.132358,0.005344,N1,ram,0.0319,5.9706
0.137525,0.005346,N0,package,0.5040,94.2803
0.137705,0.005513,N0,ram,0.0182,3.3075
0.137956,0.005609,N1,package,0.3981,70.9697
0.138120,0.005762,N1,ram,0.0259,4.4965
0.143290,0.005765,N0,package,0.4958,86.0109
0.143431,0.005726,N0,ram,0.0188,3.2883
0.143602,0.005646,N1,package,0.4492,79.5642
0.143622,0.005502,N1,ram,0.0308,5.5966
0.148910,0.005620,N0,package,0.5638,100.3278
0.149016,0.005585,N0,ram,0.0195,3.4971
0.149176,0.005574,N1,package,0.4566,81.9169
0.149187,0.005565,N1,ram,0.0316,5.6786
0.154351,0.005441,N0,package,0.6120,112.4753
0.154363,0.005347,N0,ram,0.0217,4.0637
0.154478,0.005302,N1,package,0.3699,69.7617
0.154490,0.005303,N1,ram,0.0262,4.9346
0.159762,0.005411,N0,package,0.4796,88.6271
0.159869,0.005506,N0,ram,0.0178,3.2258
0.160033,0.005555,N1,package,0.4037,72.6798
0.160045,0.005555,N1,ram,0.0256,4.6093
0.165207,0.005445,N0,package,0.5803,106.5789
0.165219,0.005350,N0,ram,0.0222,4.1499
0.165333,0.005300,N1,package,0.4601,86.8228
0.165344,0.005299,N1,ram,0.0319,6.0127
0.170507,0.005300,N0,package,0.4924,92.9108
0.170521,0.005302,N0,ram,0.0177,3.3327
0.170758,0.005425,N1,package,0.4069,75.0089
0.170942,0.005598,N1,ram,0.0250,4.4620
0.176113,0.005606,N0,package,0.5922,105.6314
0.176253,0.005732,N0,ram,0.0215,3.7428
0.176423,0.005665,N1,package,0.4675,82.5177
0.176435,0.005493,N1,ram,0.0327,5.9583
0.181592,0.005479,N0,package,0.4816,87.8917
0.181605,0.005352,N0,ram,0.0179,3.3414
0.181806,0.005383,N1,package,0.3666,68.1102
0.181898,0.005463,N1,ram,0.0240,4.4020
0.187062,0.005470,N0,package,0.5001,91.4334
0.187238,0.005633,N0,ram,0.0178,3.1611
0.187397,0.005591,N1,package,0.4625,82.7278
0.187409,0.005511,N1,ram,0.0322,5.8366
0.192573,0.005511,N0,package,0.5804,105.3238
0.192585,0.005347,N0,ram,0.0211,3.9552
0.192804,0.005407,N1,package,0.3963,73.2928
0.193035,0.005626,N1,ram,0.0262,4.6542
0.198203,0.005630,N0,package,0.5780,102.6645
0.198343,0.005758,N0,ram,0.0211,3.6677
0.198514,0.005710,N1,package,0.4509,78.9592
0.198526,0.005491,N1,ram,0.0310,5.6494
0.203831,0.005628,N0,package,0.4789,85.0875
0.203952,0.005609,N0,ram,0.0168,3.0006
