#timestamp,interval,socket,domain,energy,power
0.005280,0.005576,N0,package,0.6037,108.2694
0.005399,0.005522,N0,ram,0.0215,3.8852
0.005561,0.005570,N1,package,0.4124,74.0288
0.005580,0.005580,N1,ram,0.0275,4.9332
0.010745,0.005465,N0,package,0.5819,106.4787
0.010758,0.005359,N0,ram,0.0217,4.0404
0.010911,0.005350,N1,package,0.3640,68.0415
0.010930,0.005350,N1,ram,0.0254,4.7401
0.016114,0.005369,N0,package,0.4883,90.9454
0.016126,0.005368,N0,ram,0.0182,3.3883
0.016330,0.005419,N1,package,0.4744,87.5484
0.016505,0.005575,N1,ram,0.0317,5.6930
0.021677,0.005563,N0,package,0.5236,94.1143
0.021864,0.005738,N0,ram,0.0199,3.4677
0.021936,0.005606,N1,package,0.3937,70.2250
0.021946,0.005441,N1,ram,0.0269,4.9442
0.027345,0.005668,N0,package,0.5832,102.8932
0.027472,0.005608,N0,ram,0.0218,3.8827
0.027573,0.005637,N1,package,0.4467,79.2448
0.027586,0.005640,N1,ram,0.0300,5.3108
0.032758,0.005413,N0,package,0.5401,99.7773
0.032890,0.005418,N0,ram,0.0185,3.4190
0.032976,0.005403,N1,package,0.4140,76.6238
0.032987,0.005401,N1,ram,0.0276,5.1078
0.038317,0.005559,N0,package,0.6491,116.7679
0.038425,0.005535,N0,ram,0.0235,4.2373
0.038518,0.005542,N1,package,0.4733,85.4104
0.038537,0.005550,N1,ram,0.0306,5.5180
0.043704,0.005387,N0,package,0.5244,97.3355
0.043717,0.005292,N0,ram,0.0191,3.6041
0.043817,0.005299,N1,package,0.4287,80.9027
0.043826,0.005289,N1,ram,0.0280,5.3026
0.048984,0.005280,N0,package,0.6316,119.6193
0.048998,0.005281,N0,ram,0.0207,3.9267
0.049121,0.005304,N1,package,0.4534,85.4868
0.049266,0.005440,N1,ram,0.0296,5.4331
0.054433,0.005449,N0,package,0.5366,98.4796
0.054613,0.005615,N0,ram,0.0178,3.1740
0.054699,0.005578,N1,package,0.4099,73.4789
0.054710,0.005444,N1,ram,0.0255,4.6835
0.059883,0.005450,N0,package,0.6441,118.1840
0.060027,0.005414,N0,ram,0.0243,4.4812
0.060325,0.005626,N1,package,0.4189,74.4633
0.060536,0.005826,N1,ram,0.0337,5.7882
0.066343,0.006460,N0,package,0.8444,130.7164
0.066400,0.006373,N0,ram,0.0326,5.1119
0.066421,0.006096,N1,package,0.5735,94.0776
0.066429,0.005893,N1,ram,0.0296,5.0310
0.071582,0.005239,N0,package,0.8276,157.9641
0.071635,0.005235,N0,ram,0.0365,6.9780
0.071656,0.005235,N1,package,0.4050,77.3701
0.071665,0.005236,N1,ram,0.0250,4.7677
0.076835,0.005253,N0,package,0.7389,140.6652
0.076887,0.005252,N0,ram,0.0328,6.2521
0.076919,0.005263,N1,package,0.4144,78.7425
0.076927,0.005262,N1,ram,0.0269,5.1038
0.082121,0.005286,N0,package,1.0013,189.4137
0.082403,0.005516,N0,ram,0.0430,7.7901
0.082437,0.005518,N1,package,0.4061,73.5900
0.082440,0.005513,N1,ram,0.0260,4.7106
0.087609,0.005488,N0,package,0.7572,137.9762
0.087671,0.005268,N0,ram,0.0328,6.2332
0.087682,0.005245,N1,package,0.4887,93.1766
0.087685,0.005245,N1,ram,0.0319,6.0745
0.092828,0.005219,N0,package,0.9494,181.9132
0.092878,0.005207,N0,ram,0.0422,8.0967
0.092888,0.005206,N1,package,0.4016,77.1423
0.092891,0.005206,N1,ram,0.0262,5.0268
0.098041,0.005213,N0,package,0.6552,125.6876
0.098131,0.005253,N0,ram,0.0373,7.0995
0.098136,0.005248,N1,package,0.4135,78.7970
0.098139,0.005248,N1,ram,0.0259,4.9311
0.103295,0.005254,N0,package,0.9842,187.3213
0.103390,0.005259,N0,ram,0.0352,6.6907
0.103417,0.005281,N1,package,0.4859,92.0098
0.103426,0.005287,N1,ram,0.0308,5.8300
0.108583,0.005288,N0,package,0.8022,151.7140
0.108631,0.005241,N0,ram,0.0349,6.6553
0.108644,0.005227,N1,package,0.4026,77.0195
0.108646,0.005220,N1,ram,0.0260,4.9723
0.113766,0.005183,N0,package,0.7366,142.1136
0.113822,0.005191,N0,ram,0.0316,6.0878
0.113833,0.005189,N1,package,0.4233,81.5732
0.113835,0.005189,N1,ram,0.0278,5.3576
0.118985,0.005219,N0,package,0.9723,186.2988
0.119060,0.005238,N0,ram,0.0417,7.9614
0.119085,0.005252,N1,package,0.4350,82.8232
0.119094,0.005259,N1,ram,0.0267,5.0717
0.124302,0.005317,N0,package,0.8009,150.6247
0.124497,0.005437,N0,ram,0.0346,6.3624
0.124551,0.005466,N1,package,0.4111,75.2054
0.124563,0.005469,N1,ram,0.0263,4.8046
0.129709,0.005407,N0,package,0.8208,151.8074
0.129757,0.005260,N0,ram,0.0372,7.0695
0.129766,0.005215,N1,package,0.4539,87.0421
0.129768,0.005205,N1,ram,0.0284,5.4467
0.134985,0.005276,N0,package,0.7742,146.7352
0.135094,0.005337,N0,ram,0.0398,7.4507
0.135129,0.005363,N1,package,0.4286,79.9161
0.135138,0.005370,N1,ram,0.0279,5.1915
0.140406,0.005421,N0,package,0.9702,178.9681
0.140483,0.005389,N0,ram,0.0343,6.3706
0.140520,0.005391,N1,package,0.3702,68.6644
0.140529,0.005391,N1,ram,0.0245,4.5373
0.145678,0.005272,N0,package,0.7848,148.8625
0.145729,0.005246,N0,ram,0.0342,6.5126
0.145749,0.005229,N1,package,0.4911,93.9281
0.145757,0.005228,N1,ram,0.0316,6.0474
0.150909,0.005231,N0,package,0.8186,156.4937
0.150988,0.005259,N0,ram,0.0359,6.8242
0.150996,0.005247,N1,package,0.4272,81.4170
0.150999,0.005242,N1,ram,0.0272,5.1900
0.156281,0.005372,N0,package,0.8218,152.9842
0.156371,0.005383,N0,ram,0.0437,8.1212
0.156410,0.005414,N1,package,0.3903,72.0831
0.156419,0.005420,N1,ram,0.0252,4.6537
0.161564,0.005283,N0,package,0.9324,176.4816
0.161615,0.005244,N0,ram,0.0328,6.2589
0.161624,0.005214,N1,package,0.4686,89.8792
0.161626,0.005207,N1,ram,0.0308,5.9165
0.166782,0.005218,N0,package,0.7715,147.8615
0.166824,0.005209,N0,ram,0.0338,6.4943
0.166833,0.005209,N1,package,0.3960,76.0220
0.166836,0.005210,N1,ram,0.0254,4.8706
0.172021,0.005239,N0,package,0.9310,177.6995
0.172089,0.005265,N0,ram,0.0394,7.4859
0.172099,0.005266,N1,package,0.4177,79.3220
0.172102,0.005266,N1,ram,0.0265,5.0245
0.177354,0.005333,N0,package,0.8325,156.0973
0.177418,0.005329,N0,ram,0.0363,6.8149
0.177458,0.005359,N1,package,0.4048,75.5346
0.177467,0.005365,N1,ram,0.0264,4.9288
0.182625,0.005271,N0,package,0.8011,151.9928
0.182691,0.005273,N0,ram,0.0364,6.9102
0.182714,0.005256,N1,package,0.4766,90.6829
0.182722,0.005255,N1,ram,0.0319,6.0658
0.187917,0.005292,N0,package,0.7740,146.2577
0.187998,0.005307,N0,ram,0.0390,7.3520
0.188020,0.005306,N1,package,0.4089,77.0588
0.188029,0.005307,N1,ram,0.0250,4.7039
0.193312,0.005395,N0,package,0.9327,172.8916
0.193467,0.005469,N0,ram,0.0333,6.0878
0.193504,0.005484,N1,package,0.4060,74.0332
0.193519,0.005490,N1,ram,0.0269,4.9055
0.198683,0.005371,N0,package,0.8370,155.8295
0.198755,0.005288,N0,ram,0.0359,6.7985
0.198779,0.005275,N1,package,0.4752,90.0889
0.198788,0.005269,N1,ram,0.0298,5.6618
0.203927,0.005244,N0,package,0.8049,153.4952
0.203984,0.005229,N0,ram,0.0357,6.8342
0.204006,0.005227,N1,package,0.3906,74.7343
0.204013,0.005225,N1,ram,0.0272,5.2068
0.209208,0.005281,N0,package,0.7917,149.9131
0.209449,0.005465,N0,ram,0.0344,6.2906
0.209504,0.005498,N1,package,0.4209,76.5524
0.209514,0.005501,N1,ram,0.0261,4.7432
0.214700,0.005492,N0,package,0.9590,174.6157
0.214749,0.005300,N0,ram,0.0425,8.0122
0.214758,0.005254,N1,package,0.4727,89.9648
0.214760,0.005246,N1,ram,0.0310,5.9163
0.219875,0.005175,N0,package,0.7944,153.4986
0.219916,0.005167,N0,ram,0.0346,6.6918
0.219922,0.005164,N1,package,0.3990,77.2609
0.219925,0.005165,N1,ram,0.0266,5.1494
0.225128,0.005253,N0,package,0.9440,179.7182
0.225211,0.005295,N0,ram,0.0405,7.6481
0.225242,0.005320,N1,package,0.3929,73.8492
0.225251,0.005326,N1,ram,0.0242,4.5524
0.230381,0.005253,N0,package,0.8185,155.8099
0.230433,0.005222,N0,ram,0.0356,6.8231
0.230447,0.005205,N1,package,0.4123,79.2121
0.230454,0.005203,N1,ram,0.0275,5.2788
0.235574,0.005193,N0,package,0.8408,161.9026
0.235668,0.005235,N0,ram,0.0364,6.9459
0.235683,0.005236,N1,package,0.4760,90.9015
0.235691,0.005237,N1,ram,0.0303,5.7835
0.240881,0.005307,N0,package,0.7427,139.9553
0.240982,0.005314,N0,ram,0.0321,6.0414
0.241005,0.005322,N1,package,0.4153,78.0317
0.241014,0.005323,N1,ram,0.0263,4.9334
0.246299,0.005418,N0,package,0.9565,176.5358
0.246365,0.005383,N0,ram,0.0440,8.1807
0.246404,0.005399,N1,package,0.4039,74.8160
0.246412,0.005398,N1,ram,0.0254,4.7037
0.251564,0.005265,N0,package,0.8020,152.3271
0.251638,0.005273,N0,ram,0.0340,6.4388
0.251650,0.005246,N1,package,0.4117,78.4846
0.251652,0.005240,N1,ram,0.0274,5.2241
0.256942,0.005378,N0,package,0.8555,159.0680
0.256985,0.005347,N0,ram,0.0360,6.7347
0.256996,0.005346,N1,package,0.4834,90.4255
0.256998,0.005346,N1,ram,0.0303,5.6770
0.262299,0.005357,N0,package,0.7261,135.5368
0.262369,0.005384,N0,ram,0.0390,7.2383
