#timestamp,interval,socket,domain,energy,power
0.005172,0.005500,N0,package,0.5142,93.4975
0.005343,0.005474,N0,ram,0.0182,3.3172
0.005513,0.005524,N1,package,0.4100,74.2146
0.005525,0.005525,N1,ram,0.0270,4.8855
0.010777,0.005605,N0,package,0.6207,110.7457
0.010907,0.005564,N0,ram,0.0217,3.8913
0.011080,0.005567,N1,package,0.4594,82.5265
0.011103,0.005578,N1,ram,0.0333,5.9744
0.016266,0.005489,N0,package,0.5241,95.4816
0.016279,0.005372,N0,ram,0.0197,3.6614
0.016432,0.005352,N1,package,0.3671,68.5959
0.016452,0.005349,N1,ram,0.0249,4.6470
0.021763,0.005497,N0,package,0.5299,96.3997
0.021885,0.005606,N0,ram,0.0193,3.4376
0.021976,0.005544,N1,package,0.4605,83.0654
0.021988,0.005536,N1,ram,0.0325,5.8791
0.027169,0.005406,N0,package,0.7024,129.9307
0.027185,0.005300,N0,ram,0.0240,4.5202
0.027270,0.005294,N1,package,0.3765,71.1105
0.027282,0.005294,N1,ram,0.0253,4.7790
0.032455,0.005286,N0,package,0.5375,101.6795
0.032471,0.005286,N0,ram,0.0197,3.7207
0.032793,0.005523,N1,package,0.3958,71.6667
0.032886,0.005604,N1,ram,0.0266,4.7459
0.038050,0.005595,N0,package,0.5852,104.5904
0.038226,0.005755,N0,ram,0.0184,3.1923
0.038311,0.005518,N1,package,0.4940,89.5292
0.038323,0.005437,N1,ram,0.0324,5.9552
0.043486,0.005436,N0,package,0.6701,123.2730
0.043500,0.005274,N0,ram,0.0227,4.3079
0.043793,0.005482,N1,package,0.3931,71.7130
0.043881,0.005558,N1,ram,0.0264,4.7440
0.049062,0.005576,N0,package,0.4493,80.5754
0.049078,0.005578,N0,ram,0.0148,2.6563
0.049163,0.005370,N1,package,0.4852,90.3456
0.049175,0.005294,N1,ram,0.0312,5.8916
0.054344,0.005282,N0,package,0.6494,122.9332
0.054357,0.005279,N0,ram,0.0250,4.7288
0.054441,0.005278,N1,package,0.4142,78.4757
0.054453,0.005278,N1,ram,0.0270,5.1199
0.059930,0.005586,N0,package,0.7946,142.2429
0.060097,0.005740,N0,ram,0.0324,5.6464
0.060333,0.005892,N1,package,0.4886,82.9232
0.060470,0.006017,N1,ram,0.0302,5.0136
0.065794,0.005864,N0,package,0.8568,146.1162
0.065842,0.005745,N0,ram,0.0361,6.2813
0.066052,0.005719,N1,package,0.4133,72.2738
0.066086,0.005616,N1,ram,0.0262,4.6733
0.071404,0.005610,N0,package,0.9323,166.1878
0.071482,0.005640,N0,ram,0.0412,7.3047
0.071658,0.005606,N1,package,0.4853,86.5636
0.071863,0.005777,N1,ram,0.0316,5.4621
0.077250,0.005846,N0,package,0.9802,167.6633
0.077363,0.005881,N0,ram,0.0419,7.1249
0.077497,0.005839,N1,package,0.4830,82.7270
0.077779,0.005916,N1,ram,0.0305,5.1483
0.083182,0.005932,N0,package,0.9547,160.9402
0.083267,0.005904,N0,ram,0.0401,6.7998
0.083439,0.005942,N1,package,0.4797,80.7351
0.083707,0.005928,N1,ram,0.0323,5.4466
0.089126,0.005944,N0,package,0.9722,163.5644
0.089234,0.005967,N0,ram,0.0441,7.3927
0.089427,0.005988,N1,package,0.4443,74.2059
0.089615,0.005908,N1,ram,0.0298,5.0363
0.094904,0.005778,N0,package,0.9024,156.1774
0.094980,0.005746,N0,ram,0.0376,6.5381
0.095124,0.005697,N1,package,0.4562,80.0730
0.095268,0.005653,N1,ram,0.0327,5.7792
0.100585,0.005681,N0,package,0.9825,172.9587
0.100764,0.005784,N0,ram,0.0416,7.1888
0.101074,0.005950,N1,package,0.3860,64.8719
0.101200,0.005932,N1,ram,0.0266,4.4886
0.106553,0.005968,N0,package,0.9532,159.7136
0.106774,0.006010,N0,ram,0.0419,6.9768
0.107017,0.005943,N1,package,0.4737,79.7054
0.107150,0.005950,N1,ram,0.0317,5.3214
0.112525,0.005972,N0,package,0.9733,162.9844
0.112707,0.005933,N0,ram,0.0417,7.0237
0.112969,0.005952,N1,package,0.4645,78.0356
0.113112,0.005962,N1,ram,0.0312,5.2416
0.118443,0.005918,N0,package,0.8059,136.1786
0.118569,0.005862,N0,ram,0.0415,7.0802
0.118751,0.005782,N1,package,0.4568,79.0136
0.118959,0.005847,N1,ram,0.0302,5.1670
0.124371,0.005928,N0,package,0.9636,162.5534
0.124490,0.005921,N0,ram,0.0333,5.6207
0.124640,0.005889,N1,package,0.4974,84.4696
0.124768,0.005809,N1,ram,0.0310,5.3377
0.130111,0.005740,N0,package,0.9522,165.8923
0.130263,0.005773,N0,ram,0.0419,7.2579
0.130395,0.005755,N1,package,0.4512,78.4046
0.130545,0.005777,N1,ram,0.0317,5.4885
0.135831,0.005720,N0,package,0.9752,170.4782
0.135932,0.005669,N0,ram,0.0434,7.6578
0.136066,0.005671,N1,package,0.3756,66.2360
0.136204,0.005659,N1,ram,0.0257,4.5462
0.141553,0.005722,N0,package,0.9366,163.6907
0.141732,0.005800,N0,ram,0.0406,7.0059
0.141953,0.005887,N1,package,0.4677,79.4376
0.142114,0.005910,N1,ram,0.0320,5.4140
0.147452,0.005899,N0,package,0.8087,137.0948
0.147532,0.005800,N0,ram,0.0346,5.9667
0.147671,0.005718,N1,package,0.4550,79.5657
0.147822,0.005708,N1,ram,0.0317,5.5470
0.153154,0.005702,N0,package,1.0117,177.4317
0.153243,0.005711,N0,ram,0.0436,7.6306
0.153380,0.005709,N1,package,0.4465,78.2026
0.153538,0.005716,N1,ram,0.0307,5.3658
0.158752,0.005598,N0,package,0.9260,165.4149
0.158837,0.005594,N0,ram,0.0403,7.2066
0.158975,0.005595,N1,package,0.3933,70.2972
0.159109,0.005571,N1,ram,0.0264,4.7328
0.164498,0.005746,N0,package,0.7740,134.6971
0.164814,0.005977,N0,ram,0.0328,5.4889
0.165053,0.006078,N1,package,0.4608,75.8169
0.165205,0.006096,N1,ram,0.0310,5.0889
