#timestamp,interval,socket,domain,energy,power
0.005179,0.005299,N0,package,0.5063,95.5537
0.005197,0.005305,N0,ram,0.0203,3.8312
0.005281,0.005296,N1,package,0.5343,100.8879
0.005304,0.005304,N1,ram,0.0302,5.6877
0.010471,0.005292,N0,package,0.5999,113.3638
0.010484,0.005287,N0,ram,0.0269,5.0911
0.010802,0.005521,N1,package,0.3817,69.1378
0.010959,0.005655,N1,ram,0.0255,4.5088
0.016128,0.005657,N0,package,0.5054,89.3470
0.016141,0.005657,N0,ram,0.0227,4.0164
0.016293,0.005491,N1,package,0.4581,83.4215
0.016313,0.005354,N1,ram,0.0317,5.9223
0.021496,0.005368,N0,package,0.5870,109.3423
0.021508,0.005367,N0,ram,0.0240,4.4636
0.021754,0.005461,N1,package,0.3708,67.9090
0.022077,0.005764,N1,ram,0.0316,5.4878
0.027245,0.005749,N0,package,0.6202,107.8867
0.027420,0.005912,N0,ram,0.0261,4.4134
0.027505,0.005751,N1,package,0.4702,81.7532
0.027519,0.005442,N1,ram,0.0253,4.6459
0.032883,0.005638,N0,package,0.6194,109.8612
0.033004,0.005584,N0,ram,0.0246,4.4104
0.033097,0.005592,N1,package,0.4639,82.9612
0.033111,0.005592,N1,ram,0.0308,5.5121
0.038258,0.005375,N0,package,0.6125,113.9532
0.038270,0.005266,N0,ram,0.0229,4.3407
0.038354,0.005257,N1,package,0.4149,78.9282
0.038367,0.005256,N1,ram,0.0261,4.9729
0.043547,0.005289,N0,package,0.5798,109.6170
0.043571,0.005301,N0,ram,0.0233,4.3897
0.043801,0.005447,N1,package,0.4043,74.2250
0.043956,0.005589,N1,ram,0.0257,4.6030
0.049139,0.005592,N0,package,0.5237,93.6575
0.049153,0.005582,N0,ram,0.0196,3.5045
0.049239,0.005438,N1,package,0.4860,89.3738
0.049248,0.005292,N1,ram,0.0321,6.0667
0.054414,0.005275,N0,package,0.6547,124.1065
0.054429,0.005276,N0,ram,0.0257,4.8759
0.054498,0.005259,N1,package,0.4016,76.3659
0.054508,0.005260,N1,ram,0.0254,4.8329
0.059804,0.005390,N0,package,0.5318,98.6654
0.059920,0.005491,N0,ram,0.0207,3.7655
0.060071,0.005573,N1,package,0.4022,72.1619
0.060093,0.005585,N1,ram,0.0260,4.6555
0.065727,0.005923,N0,package,0.6693,113.0015
0.065789,0.005869,N0,ram,0.0285,4.8487
0.065911,0.005840,N1,package,0.4672,79.9928
0.065933,0.005840,N1,ram,0.0325,5.5574
0.071085,0.005358,N0,package,0.8524,159.0930
0.071135,0.005346,N0,ram,0.0371,6.9414
0.071241,0.005330,N1,package,0.4086,76.6569
0.071263,0.005330,N1,ram,0.0254,4.7667
0.076401,0.005316,N0,package,0.8159,153.4714
0.076434,0.005299,N0,ram,0.0346,6.5339
0.076531,0.005290,N1,package,0.4910,92.8098
0.076546,0.005283,N1,ram,0.0305,5.7649
0.081806,0.005405,N0,package,1.0172,188.1888
0.081852,0.005418,N0,ram,0.0430,7.9278
0.081966,0.005435,N1,package,0.4289,78.9135
0.081989,0.005443,N1,ram,0.0278,5.1049
0.087140,0.005334,N0,package,0.8090,151.6753
0.087212,0.005360,N0,ram,0.0340,6.3399
0.087313,0.005347,N1,package,0.4035,75.4633
0.087335,0.005346,N1,ram,0.0253,4.7353
0.092512,0.005372,N0,package,0.9779,182.0359
0.092578,0.005366,N0,ram,0.0407,7.5809
0.092683,0.005370,N1,package,0.5109,95.1461
0.092704,0.005369,N1,ram,0.0319,5.9453
0.097848,0.005336,N0,package,0.8165,153.0098
0.097905,0.005327,N0,ram,0.0341,6.4106
0.098005,0.005322,N1,package,0.4035,75.8149
0.098028,0.005324,N1,ram,0.0246,4.6230
0.103175,0.005327,N0,package,0.8076,151.6086
0.103252,0.005347,N0,ram,0.0338,6.3267
0.103339,0.005334,N1,package,0.4153,77.8688
0.103348,0.005320,N1,ram,0.0266,4.9992
0.108506,0.005331,N0,package,1.0150,190.3857
0.108552,0.005300,N0,ram,0.0425,8.0180
0.108787,0.005448,N1,package,0.4988,91.5622
0.108892,0.005544,N1,ram,0.0320,5.7716
0.114050,0.005544,N0,package,0.8483,153.0077
0.114111,0.005559,N0,ram,0.0362,6.5164
0.114216,0.005429,N1,package,0.4097,75.4621
0.114241,0.005349,N1,ram,0.0253,4.7383
0.119388,0.005338,N0,package,0.8361,156.6369
0.119436,0.005325,N0,ram,0.0342,6.4215
0.119538,0.005322,N1,package,0.4816,90.4980
0.119561,0.005320,N1,ram,0.0304,5.7076
0.124734,0.005346,N0,package,0.9525,178.1599
0.124798,0.005362,N0,ram,0.0391,7.2879
0.124898,0.005360,N1,package,0.4180,77.9774
0.124920,0.005359,N1,ram,0.0260,4.8434
0.130084,0.005350,N0,package,0.8508,159.0189
0.130167,0.005369,N0,ram,0.0361,6.7243
0.130270,0.005372,N1,package,0.4122,76.7364
0.130290,0.005370,N1,ram,0.0260,4.8361
0.135489,0.005405,N0,package,0.9706,179.5839
0.135527,0.005360,N0,ram,0.0415,7.7491
0.135640,0.005370,N1,package,0.5070,94.4187
0.135653,0.005363,N1,ram,0.0315,5.8810
0.140845,0.005356,N0,package,0.8537,159.3889
0.140922,0.005395,N0,ram,0.0335,6.2167
0.141023,0.005383,N1,package,0.4016,74.6071
0.141043,0.005390,N1,ram,0.0261,4.8381
0.146196,0.005351,N0,package,0.8017,149.8267
0.146255,0.005333,N0,ram,0.0340,6.3774
0.146360,0.005337,N1,package,0.4257,79.7677
0.146383,0.005340,N1,ram,0.0265,4.9576
0.151526,0.005330,N0,package,1.0045,188.4502
0.151713,0.005458,N0,ram,0.0414,7.5764
0.151907,0.005547,N1,package,0.4970,89.5989
0.151920,0.005537,N1,ram,0.0303,5.4649
0.157116,0.005590,N0,package,0.8207,146.8239
0.157202,0.005489,N0,ram,0.0341,6.2129
0.157332,0.005425,N1,package,0.3911,72.0837
0.157355,0.005435,N1,ram,0.0252,4.6408
0.162482,0.005366,N0,package,0.8540,159.1484
0.162519,0.005317,N0,ram,0.0344,6.4628
0.162780,0.005448,N1,package,0.4835,88.7390
0.162883,0.005528,N1,ram,0.0312,5.6363
0.168013,0.005531,N0,package,0.9906,179.1051
0.168070,0.005551,N0,ram,0.0411,7.4001
0.168173,0.005393,N1,package,0.4209,78.0484
0.168196,0.005313,N1,ram,0.0261,4.9169
0.173409,0.005396,N0,package,0.8350,154.7447
0.173482,0.005412,N0,ram,0.0395,7.3050
0.173577,0.005404,N1,package,0.4907,90.7961
0.173586,0.005390,N1,ram,0.0325,6.0385
0.178732,0.005323,N0,package,0.9868,185.3896
0.178826,0.005344,N0,ram,0.0357,6.6815
0.178922,0.005345,N1,package,0.4109,76.8719
0.178942,0.005356,N1,ram,0.0247,4.6152
0.184116,0.005384,N0,package,0.8513,158.1096
0.184164,0.005338,N0,ram,0.0338,6.3314
0.184255,0.005333,N1,package,0.4128,77.4020
0.184278,0.005336,N1,ram,0.0271,5.0872
0.189440,0.005324,N0,package,0.8073,151.6213
0.189483,0.005319,N0,ram,0.0341,6.4089
0.189577,0.005322,N1,package,0.4971,93.4110
0.189590,0.005312,N1,ram,0.0314,5.9174
0.194739,0.005299,N0,package,0.9518,179.6319
0.194785,0.005302,N0,ram,0.0405,7.6295
0.194887,0.005310,N1,package,0.4084,76.9080
0.194910,0.005320,N1,ram,0.0241,4.5317
0.200065,0.005326,N0,package,0.8654,162.4767
0.200128,0.005343,N0,ram,0.0345,6.4514
0.200231,0.005344,N1,package,0.4231,79.1734
0.200253,0.005343,N1,ram,0.0272,5.0949
0.205430,0.005365,N0,package,0.8173,152.3395
0.205491,0.005363,N0,ram,0.0334,6.2367
0.205604,0.005373,N1,package,0.4025,74.9052
0.205619,0.005366,N1,ram,0.0260,4.8485
0.210730,0.005300,N0,package,0.9994,188.5710
0.210822,0.005331,N0,ram,0.0407,7.6279
0.210925,0.005321,N1,package,0.5040,94.7124
0.210934,0.005315,N1,ram,0.0315,5.9226
0.216083,0.005353,N0,package,0.8506,158.9040
0.216144,0.005322,N0,ram,0.0355,6.6718
