#timestamp,interval,socket,domain,energy,power
0.005168,0.005268,N0,package,0.5296,100.5346
0.005186,0.005281,N0,ram,0.0195,3.6955
0.005272,0.005285,N1,package,0.3994,75.5631
0.005296,0.005296,N1,ram,0.0268,5.0565
0.010460,0.005292,N0,package,0.5408,102.1832
0.010473,0.005287,N0,ram,0.0205,3.8847
0.010628,0.005356,N1,package,0.3897,72.7635
0.010641,0.005345,N1,ram,0.0258,4.8359
0.015718,0.005258,N0,package,0.5892,112.0675
0.015870,0.005397,N0,ram,0.0211,3.9044
0.016036,0.005408,N1,package,0.3855,71.2823
0.016047,0.005406,N1,ram,0.0308,5.6932
0.021214,0.005496,N0,package,0.5977,108.7434
0.021434,0.005564,N0,ram,0.0206,3.6940
0.021518,0.005482,N1,package,0.4546,82.9247
0.021530,0.005483,N1,ram,0.0254,4.6334
0.026854,0.005640,N0,package,0.5461,96.8333
0.026984,0.005550,N0,ram,0.0186,3.3542
0.027061,0.005543,N1,package,0.4678,84.4010
0.027074,0.005544,N1,ram,0.0307,5.5404
0.032255,0.005401,N0,package,0.6729,124.5873
0.032268,0.005284,N0,ram,0.0222,4.2016
0.032362,0.005301,N1,package,0.4214,79.4919
0.032372,0.005298,N1,ram,0.0265,4.9942
0.037556,0.005301,N0,package,0.5994,113.0780
0.037579,0.005311,N0,ram,0.0206,3.8757
0.037595,0.005233,N1,package,0.4487,85.7377
0.037604,0.005232,N1,ram,0.0261,4.9812
0.042837,0.005281,N0,package,0.4672,88.4731
0.042973,0.005394,N0,ram,0.0147,2.7270
0.043057,0.005462,N1,package,0.4472,81.8766
0.043065,0.005461,N1,ram,0.0273,4.9959
0.048238,0.005401,N0,package,0.6702,124.0842
0.048250,0.005277,N0,ram,0.0253,4.8030
0.048330,0.005273,N1,package,0.5341,101.2796
0.048340,0.005275,N1,ram,0.0314,5.9502
0.053524,0.005286,N0,package,0.6180,116.9095
0.053537,0.005287,N0,ram,0.0190,3.5902
0.053589,0.005259,N1,package,0.4240,80.6253
0.053599,0.005259,N1,ram,0.0257,4.8802
0.058655,0.005131,N0,package,0.5525,107.6768
