#timestamp,interval,socket,domain,energy,power
0.005323,0.005627,N0,package,0.5729,101.8165
0.005432,0.005573,N0,ram,0.0247,4.4300
0.005522,0.005537,N1,package,0.3959,71.4957
0.005533,0.005533,N1,ram,0.0267,4.8179
0.010699,0.005376,N0,package,0.5129,95.4153
0.010875,0.005443,N0,ram,0.0226,4.1491
0.011033,0.005511,N1,package,0.4525,82.0994
0.011044,0.005511,N1,ram,0.0311,5.6510
0.016301,0.005602,N0,package,0.6171,110.1485
0.016418,0.005543,N0,ram,0.0263,4.7376
0.016576,0.005543,N1,package,0.3810,68.7431
0.016588,0.005544,N1,ram,0.0253,4.5661
0.021767,0.005466,N0,package,0.6119,111.9539
0.021959,0.005541,N0,ram,0.0236,4.2628
0.022031,0.005455,N1,package,0.4709,86.3329
0.022043,0.005455,N1,ram,0.0322,5.9077
0.027342,0.005575,N0,package,0.5309,95.2268
0.027475,0.005516,N0,ram,0.0221,4.0000
0.027565,0.005534,N1,package,0.3774,68.1939
0.027576,0.005533,N1,ram,0.0254,4.5890
0.032764,0.005422,N0,package,0.6606,121.8367
0.032778,0.005303,N0,ram,0.0254,4.7967
0.032861,0.005296,N1,package,0.3967,74.8996
0.032873,0.005297,N1,ram,0.0256,4.8364
0.038057,0.005293,N0,package,0.4982,94.1161
0.038070,0.005292,N0,ram,0.0182,3.4399
0.038340,0.005479,N1,package,0.4862,88.7383
0.038428,0.005555,N1,ram,0.0322,5.7987
0.043593,0.005536,N0,package,0.6790,122.6529
0.043768,0.005698,N0,ram,0.0253,4.4345
0.043924,0.005584,N1,package,0.3943,70.6101
0.043935,0.005507,N1,ram,0.0258,4.6799
0.049373,0.005780,N0,package,0.5824,100.7611
0.049483,0.005715,N0,ram,0.0221,3.8715
0.049561,0.005637,N1,package,0.5051,89.5995
0.049574,0.005639,N1,ram,0.0311,5.5146
0.054761,0.005388,N0,package,0.7045,130.7470
0.054774,0.005291,N0,ram,0.0264,4.9978
0.054857,0.005296,N1,package,0.4225,79.7861
0.054870,0.005296,N1,ram,0.0272,5.1429
0.059956,0.005195,N0,package,0.6618,127.3949
0.059979,0.005205,N0,ram,0.0275,5.2916
0.060384,0.005527,N1,package,0.4825,87.2953
0.060559,0.005689,N1,ram,0.0295,5.1820
0.065676,0.005720,N0,package,0.8375,146.4229
0.065712,0.005733,N0,ram,0.0388,6.7604
0.065849,0.005465,N1,package,0.4249,77.7538
0.065883,0.005324,N1,ram,0.0267,5.0097
0.071020,0.005344,N0,package,0.6423,120.1938
0.071059,0.005347,N0,ram,0.0348,6.5122
0.071345,0.005496,N1,package,0.4472,81.3687
0.071541,0.005658,N1,ram,0.0340,6.0168
0.076682,0.005662,N0,package,0.8633,152.4703
0.076710,0.005651,N0,ram,0.0395,6.9962
0.076862,0.005517,N1,package,0.4657,84.4114
0.076983,0.005442,N1,ram,0.0245,4.5059
0.082165,0.005483,N0,package,0.6224,113.5118
0.082195,0.005485,N0,ram,0.0337,6.1368
0.082275,0.005413,N1,package,0.5289,97.7139
0.082403,0.005420,N1,ram,0.0309,5.7007
0.087524,0.005359,N0,package,0.8466,157.9756
0.087554,0.005359,N0,ram,0.0388,7.2437
0.087689,0.005414,N1,package,0.4193,77.4381
0.087846,0.005443,N1,ram,0.0264,4.8556
0.092948,0.005424,N0,package,0.6872,126.7003
0.092974,0.005420,N0,ram,0.0328,6.0554
0.093123,0.005434,N1,package,0.4143,76.2462
0.093160,0.005314,N1,ram,0.0264,4.9646
0.098342,0.005394,N0,package,0.7534,139.6600
0.098397,0.005423,N0,ram,0.0375,6.9107
0.098526,0.005403,N1,package,0.4697,86.9261
0.098674,0.005514,N1,ram,0.0304,5.5125
0.103787,0.005445,N0,package,0.6733,123.6508
0.103823,0.005426,N0,ram,0.0335,6.1697
0.103951,0.005425,N1,package,0.4120,75.9539
0.103980,0.005306,N1,ram,0.0264,4.9751
0.109112,0.005325,N0,package,0.6919,129.9371
0.109179,0.005356,N0,ram,0.0343,6.4046
0.109329,0.005378,N1,package,0.4794,89.1353
0.109470,0.005490,N1,ram,0.0300,5.4642
0.114623,0.005511,N0,package,0.7552,137.0428
0.114677,0.005498,N0,ram,0.0368,6.6914
0.114813,0.005484,N1,package,0.4250,77.5056
0.114952,0.005482,N1,ram,0.0275,5.0214
0.120085,0.005462,N0,package,0.6922,126.7317
0.120117,0.005440,N0,ram,0.0336,6.1734
0.120240,0.005427,N1,package,0.4055,74.7126
