#timestamp,interval,socket,domain,energy,power
0.005195,0.005502,N0,package,0.5009,91.0427
0.005404,0.005507,N0,ram,0.0206,3.7461
0.005495,0.005508,N1,package,0.3766,68.3797
0.005680,0.005680,N1,ram,0.0247,4.3519
0.010906,0.005711,N0,package,0.4568,79.9826
0.011077,0.005673,N0,ram,0.0225,3.9647
0.011165,0.005670,N1,package,0.5092,89.8115
0.011283,0.005603,N1,ram,0.0326,5.8226
0.016460,0.005554,N0,package,0.5599,100.8065
0.016604,0.005527,N0,ram,0.0178,3.2163
0.016839,0.005674,N1,package,0.5002,88.1516
0.016946,0.005663,N1,ram,0.0298,5.2568
0.022138,0.005678,N0,package,0.5317,93.6499
0.022285,0.005681,N0,ram,0.0211,3.7119
0.022364,0.005525,N1,package,0.3747,67.8196
0.022377,0.005431,N1,ram,0.0236,4.3408
0.027540,0.005402,N0,package,0.4377,81.0211
0.027848,0.005563,N0,ram,0.0173,3.1077
0.027956,0.005592,N1,package,0.5198,92.9589
0.027966,0.005589,N1,ram,0.0311,5.5668
0.033133,0.005593,N0,package,0.5571,99.6107
0.033272,0.005424,N0,ram,0.0219,4.0313
0.033344,0.005388,N1,package,0.5860,108.7595
0.033353,0.005387,N1,ram,0.0322,5.9709
0.038556,0.005423,N0,package,0.4654,85.8173
0.038854,0.005582,N0,ram,0.0192,3.4417
0.038878,0.005534,N1,package,0.5451,98.5023
0.038888,0.005535,N1,ram,0.0300,5.4282
0.044077,0.005521,N0,package,0.5016,90.8647
0.044218,0.005364,N0,ram,0.0205,3.8174
0.044251,0.005373,N1,package,0.4982,92.7284
0.044266,0.005378,N1,ram,0.0258,4.8006
0.049468,0.005391,N0,package,0.4788,88.8052
0.049623,0.005405,N0,ram,0.0177,3.2776
0.049639,0.005388,N1,package,0.4837,89.7739
0.049655,0.005389,N1,ram,0.0272,5.0485
0.054733,0.005265,N0,package,0.4360,82.8061
0.054745,0.005122,N0,ram,0.0169,3.3068
0.054959,0.005320,N1,package,0.5319,99.9839
0.054988,0.005333,N1,ram,0.0291,5.4478
0.060065,0.005332,N0,package,0.5802,108.8149
0.060077,0.005332,N0,ram,0.0256,4.7991
0.060205,0.005246,N1,package,0.4319,82.3393
0.060221,0.005233,N1,ram,0.0279,5.3389
0.065298,0.005233,N0,package,0.4955,94.6952
0.065311,0.005234,N0,ram,0.0222,4.2418
0.065444,0.005239,N1,package,0.4139,78.9995
0.065456,0.005235,N1,ram,0.0262,5.0076
0.070534,0.005236,N0,package,0.5181,98.9565
0.070547,0.005236,N0,ram,0.0266,5.0735
0.070836,0.005392,N1,package,0.4152,76.9947
0.070991,0.005535,N1,ram,0.0304,5.4859
0.076163,0.005629,N0,package,0.5631,100.0363
0.076174,0.005627,N0,ram,0.0282,5.0194
0.076278,0.005442,N1,package,0.4879,89.6589
0.076289,0.005298,N1,ram,0.0257,4.8559
0.081365,0.005202,N0,package,0.1726,33.1821
0.081377,0.005203,N0,ram,0.0076,1.4605
0.081511,0.005233,N1,package,0.3625,69.2806
0.081523,0.005234,N1,ram,0.0255,4.8686
0.086772,0.005407,N0,package,1.1519,213.0380
0.086808,0.005431,N0,ram,0.0423,7.7938
0.087023,0.005512,N1,package,0.4158,75.4303
0.087168,0.005645,N1,ram,0.0278,4.9222
0.092286,0.005514,N0,package,1.0704,194.1336
0.092299,0.005491,N0,ram,0.0217,3.9515
0.092375,0.005352,N1,package,0.4370,81.6422
0.092383,0.005215,N1,ram,0.0292,5.6003
0.097496,0.005210,N0,package,1.0776,206.8219
0.097529,0.005230,N0,ram,0.0193,3.6995
0.097651,0.005276,N1,package,0.3762,71.2969
0.097661,0.005278,N1,ram,0.0269,5.0939
0.102774,0.005278,N0,package,0.9955,188.6145
0.102807,0.005278,N0,ram,0.0168,3.1772
0.102906,0.005255,N1,package,0.3904,74.2994
0.102928,0.005267,N1,ram,0.0262,4.9685
0.108049,0.005275,N0,package,1.2650,239.8127
0.108082,0.005275,N0,ram,0.0225,4.2725
0.108185,0.005279,N1,package,0.4405,83.4411
0.108218,0.005290,N1,ram,0.0292,5.5122
0.113332,0.005283,N0,package,1.0410,197.0342
0.113346,0.005264,N0,ram,0.0174,3.3045
0.113425,0.005240,N1,package,0.4055,77.3894
0.113433,0.005215,N1,ram,0.0277,5.3077
0.118545,0.005213,N0,package,1.0819,207.5397
0.118576,0.005230,N0,ram,0.0186,3.5507
0.118867,0.005442,N1,package,0.3948,72.5548
0.118985,0.005552,N1,ram,0.0271,4.8865
0.124111,0.005566,N0,package,1.2189,219.0009
0.124143,0.005567,N0,ram,0.0200,3.5880
0.124246,0.005379,N1,package,0.4552,84.6260
0.124279,0.005294,N1,ram,0.0301,5.6895
0.129394,0.005283,N0,package,1.0573,200.1303
0.129408,0.005265,N0,ram,0.0184,3.5039
0.129489,0.005243,N1,package,0.3939,75.1202
0.129497,0.005218,N1,ram,0.0276,5.2900
0.134607,0.005213,N0,package,1.0184,195.3632
0.134620,0.005212,N0,ram,0.0170,3.2672
0.134808,0.005319,N1,package,0.3790,71.2577
0.134921,0.005424,N1,ram,0.0236,4.3520
0.140038,0.005431,N0,package,1.2595,231.9048
0.140070,0.005450,N0,ram,0.0219,4.0149
0.140171,0.005363,N1,package,0.4561,85.0374
0.140204,0.005283,N1,ram,0.0325,6.1580
0.145316,0.005278,N0,package,1.0544,199.7741
0.145330,0.005260,N0,ram,0.0182,3.4608
0.145407,0.005236,N1,package,0.3815,72.8681
0.145416,0.005212,N1,ram,0.0247,4.7485
0.150494,0.005178,N0,package,1.0128,195.5803
0.150511,0.005181,N0,ram,0.0176,3.3928
0.150856,0.005449,N1,package,0.3827,70.2306
0.150960,0.005544,N1,ram,0.0262,4.7230
0.156068,0.005574,N0,package,1.0447,187.4311
0.156105,0.005594,N0,ram,0.0188,3.3578
0.156205,0.005349,N1,package,0.3837,71.7279
0.156227,0.005267,N1,ram,0.0262,4.9714
0.161341,0.005273,N0,package,1.2390,234.9792
0.161373,0.005268,N0,ram,0.0221,4.2000
0.161477,0.005272,N1,package,0.4565,86.5952
0.161499,0.005272,N1,ram,0.0317,6.0142
0.166627,0.005286,N0,package,1.0597,200.4723
0.166687,0.005314,N0,ram,0.0188,3.5318
0.166720,0.005243,N1,package,0.4006,76.4158
0.166743,0.005244,N1,ram,0.0269,5.1299
0.171859,0.005232,N0,package,1.0290,196.6691
0.171891,0.005204,N0,ram,0.0185,3.5479
0.171995,0.005275,N1,package,0.3734,70.7775
0.172017,0.005274,N1,ram,0.0259,4.9097
0.177139,0.005280,N0,package,1.2706,240.6372
0.177171,0.005280,N0,ram,0.0221,4.1817
0.177274,0.005279,N1,package,0.4559,86.3662
0.177297,0.005280,N1,ram,0.0303,5.7338
0.182409,0.005270,N0,package,1.0549,200.1766
0.182423,0.005252,N0,ram,0.0185,3.5271
0.182497,0.005223,N1,package,0.3894,74.5552
0.182506,0.005209,N1,ram,0.0270,5.1817
0.187627,0.005218,N0,package,1.0105,193.6551
