#timestamp,interval,socket,domain,energy,power
0.005168,0.005505,N0,package,0.5235,95.0978
0.005186,0.005298,N0,ram,0.0220,4.1444
0.005273,0.005281,N1,package,0.4188,79.3080
0.005295,0.005295,N1,ram,0.0263,4.9594
0.010459,0.005291,N0,package,0.5928,112.0461
0.010633,0.005447,N0,ram,0.0248,4.5466
0.010902,0.005629,N1,package,0.3623,64.3632
0.011059,0.005764,N1,ram,0.0250,4.3415
0.016225,0.005766,N0,package,0.4919,85.3051
0.016238,0.005605,N0,ram,0.0217,3.8794
0.016393,0.005491,N1,package,0.4827,87.9159
0.016413,0.005354,N1,ram,0.0311,5.8112
0.021597,0.005372,N0,package,0.6142,114.3320
0.021609,0.005371,N0,ram,0.0282,5.2472
0.021685,0.005292,N1,package,0.3882,73.3505
0.021701,0.005288,N1,ram,0.0263,4.9746
0.026954,0.005357,N0,package,0.4861,90.7531
0.027075,0.005466,N0,ram,0.0192,3.5174
0.027166,0.005481,N1,package,0.4526,82.5717
0.027178,0.005477,N1,ram,0.0312,5.6946
0.032354,0.005400,N0,package,0.5719,105.9038
0.032367,0.005292,N0,ram,0.0249,4.6999
0.032440,0.005274,N1,package,0.4052,76.8347
0.032453,0.005275,N1,ram,0.0270,5.1171
0.037677,0.005323,N0,package,0.5810,109.1492
0.037692,0.005325,N0,ram,0.0235,4.4042
0.037710,0.005270,N1,package,0.4406,83.6077
0.037721,0.005268,N1,ram,0.0262,4.9703
0.042976,0.005299,N0,package,0.5078,95.8301
0.043085,0.005393,N0,ram,0.0207,3.8394
0.043162,0.005452,N1,package,0.4390,80.5234
0.043172,0.005451,N1,ram,0.0258,4.7252
0.048361,0.005385,N0,package,0.4996,92.7725
0.048536,0.005451,N0,ram,0.0217,3.9834
0.048637,0.005475,N1,package,0.5239,95.6823
0.048655,0.005483,N1,ram,0.0309,5.6272
0.053930,0.005569,N0,package,0.6032,108.3161
0.054048,0.005512,N0,ram,0.0262,4.7448
0.054090,0.005453,N1,package,0.4722,86.5907
0.054108,0.005453,N1,ram,0.0278,5.1039
0.059311,0.005381,N0,package,0.5120,95.1521
0.059485,0.005437,N0,ram,0.0211,3.8870
0.059498,0.005408,N1,package,0.5250,97.0820
0.059509,0.005401,N1,ram,0.0309,5.7239
0.064591,0.005280,N0,package,0.6019,114.0013
0.064603,0.005118,N0,ram,0.0263,5.1398
0.064659,0.005161,N1,package,0.4079,79.0340
0.064669,0.005160,N1,ram,0.0253,4.9058
0.069700,0.005109,N0,package,0.5359,104.8945
0.069714,0.005111,N0,ram,0.0247,4.8246
0.069883,0.005224,N1,package,0.4156,79.5538
0.070068,0.005399,N1,ram,0.0253,4.6944
0.075149,0.005449,N0,package,0.5319,97.6060
0.075161,0.005447,N0,ram,0.0288,5.2834
0.075283,0.005400,N1,package,0.4922,91.1581
0.075306,0.005238,N1,ram,0.0321,6.1206
