#timestamp,interval,socket,domain,energy,power
0.005265,0.005583,N0,package,0.5430,97.2682
0.005375,0.005464,N0,ram,0.0194,3.5493
0.005535,0.005543,N1,package,0.4363,78.7193
0.005546,0.005546,N1,ram,0.0298,5.3705
0.010709,0.005444,N0,package,0.6340,116.4523
0.010723,0.005348,N0,ram,0.0228,4.2598
0.010873,0.005338,N1,package,0.3853,72.1726
0.010886,0.005340,N1,ram,0.0258,4.8376
0.016075,0.005366,N0,package,0.5073,94.5427
0.016087,0.005364,N0,ram,0.0186,3.4677
0.016318,0.005445,N1,package,0.3807,69.9130
0.016434,0.005548,N1,ram,0.0325,5.8582
0.021606,0.005531,N0,package,0.5520,99.8045
0.021621,0.005534,N0,ram,0.0201,3.6231
0.021706,0.005388,N1,package,0.4702,87.2704
0.021718,0.005284,N1,ram,0.0246,4.6523
0.026895,0.005289,N0,package,0.6284,118.8143
0.026906,0.005285,N0,ram,0.0217,4.1027
0.026990,0.005284,N1,package,0.3690,69.8245
0.027001,0.005283,N1,ram,0.0254,4.8060
0.032386,0.005491,N0,package,0.4963,90.3909
0.032508,0.005602,N0,ram,0.0184,3.2794
0.032603,0.005613,N1,package,0.4906,87.4067
0.032616,0.005615,N1,ram,0.0314,5.5926
0.037780,0.005394,N0,package,0.6927,128.4300
0.037918,0.005410,N0,ram,0.0206,3.8020
0.038005,0.005402,N1,package,0.4014,74.2985
0.038017,0.005401,N1,ram,0.0267,4.9442
0.043331,0.005551,N0,package,0.5898,106.2461
0.043439,0.005521,N0,ram,0.0204,3.6868
0.043605,0.005600,N1,package,0.4740,84.6431
0.043616,0.005599,N1,ram,0.0308,5.4941
0.048797,0.005466,N0,package,0.5732,104.8633
0.048813,0.005374,N0,ram,0.0192,3.5776
0.048896,0.005291,N1,package,0.4161,78.6388
0.048908,0.005292,N1,ram,0.0268,5.0575
0.054289,0.005492,N0,package,0.6806,123.9269
0.054401,0.005588,N0,ram,0.0219,3.9130
0.054490,0.005594,N1,package,0.4929,88.1047
0.054502,0.005594,N1,ram,0.0312,5.5809

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.060341,0.006052,N0,package,0.6843,113.0640
0.060398,0.005997,N0,ram,0.0232,3.8650
0.060420,0.005930,N1,package,0.4337,73.1399
0.060428,0.005926,N1,ram,0.0269,4.5369
0.065551,0.005210,N0,package,0.8207,157.5340
0.065589,0.005191,N0,ram,0.0323,6.2257
0.065603,0.005183,N1,package,0.4918,94.8916
0.065611,0.005183,N1,ram,0.0306,5.9116
0.070721,0.005170,N0,package,0.9890,191.2828
0.070766,0.005177,N0,ram,0.0413,7.9790
0.070774,0.005171,N1,package,0.4075,78.8101
0.070776,0.005165,N1,ram,0.0259,5.0194
0.075934,0.005213,N0,package,0.8120,155.7660
0.076024,0.005258,N0,ram,0.0332,6.3089
0.076037,0.005263,N1,package,0.4119,78.2670
0.076039,0.005263,N1,ram,0.0256,4.8562
0.081324,0.005390,N0,package,0.8212,152.3521
0.081424,0.005400,N0,ram,0.0322,5.9566
0.081461,0.005424,N1,package,0.3948,72.7940
0.081470,0.005431,N1,ram,0.0265,4.8831
0.086628,0.005304,N0,package,0.9894,186.5511
0.086697,0.005273,N0,ram,0.0414,7.8506
0.086719,0.005258,N1,package,0.5114,97.2668
0.086727,0.005257,N1,ram,0.0314,5.9820
0.091892,0.005264,N0,package,0.8498,161.4334
0.091919,0.005222,N0,ram,0.0350,6.7001
0.091928,0.005209,N1,package,0.4083,78.3889
0.091931,0.005204,N1,ram,0.0262,5.0316
0.097119,0.005227,N0,package,0.8387,160.4496
0.097324,0.005405,N0,ram,0.0327,6.0499
0.097379,0.005451,N1,package,0.4154,76.2077
0.097390,0.005459,N1,ram,0.0260,4.7713
0.102565,0.005446,N0,package,0.8085,148.4648
0.102663,0.005339,N0,ram,0.0341,6.3877
0.102685,0.005306,N1,package,0.4785,90.1838
0.102694,0.005304,N1,ram,0.0307,5.7826
0.107850,0.005285,N0,package,1.0006,189.3294
0.107890,0.005227,N0,ram,0.0426,8.1445
0.107901,0.005216,N1,package,0.4063,77.8952
0.107903,0.005209,N1,ram,0.0261,5.0033
0.113094,0.005244,N0,package,0.8578,163.5863
