#timestamp,interval,socket,domain,energy,power
0.005168,0.005460,N0,package,0.6413,117.4530
0.005325,0.005428,N0,ram,0.0260,4.7931
0.005477,0.005489,N1,package,0.3651,66.5046
0.005489,0.005489,N1,ram,0.0257,4.6731
0.010786,0.005618,N0,package,0.6042,107.5585
0.010892,0.005567,N0,ram,0.0243,4.3635
0.011053,0.005576,N1,package,0.4741,85.0305
0.011076,0.005587,N1,ram,0.0311,5.5687
0.016243,0.005457,N0,package,0.5303,97.1702
0.016468,0.005576,N0,ram,0.0226,4.0474
0.016553,0.005500,N1,package,0.3759,68.3473
0.016565,0.005489,N1,ram,0.0255,4.6370
0.021813,0.005570,N0,package,0.5974,107.2456
0.021958,0.005490,N0,ram,0.0245,4.4581
0.022050,0.005497,N1,package,0.4398,80.0111
0.022061,0.005496,N1,ram,0.0308,5.6026
0.027231,0.005418,N0,package,0.5402,99.7076
0.027242,0.005284,N0,ram,0.0216,4.0890
0.027314,0.005264,N1,package,0.3928,74.6121
0.027327,0.005266,N1,ram,0.0262,4.9752
0.032501,0.005270,N0,package,0.6356,120.5993
0.032516,0.005274,N0,ram,0.0234,4.4410
0.032783,0.005469,N1,package,0.3862,70.6238
0.032871,0.005544,N1,ram,0.0326,5.8787
0.038038,0.005537,N0,package,0.6298,113.7472
0.038175,0.005659,N0,ram,0.0233,4.1094
0.038369,0.005586,N1,package,0.5050,90.4031
0.038381,0.005510,N1,ram,0.0251,4.5611
0.043548,0.005510,N0,package,0.6498,117.9417
0.043560,0.005385,N0,ram,0.0244,4.5222
0.043758,0.005389,N1,package,0.4082,75.7478
0.043846,0.005465,N1,ram,0.0259,4.7409
0.049020,0.005472,N0,package,0.5983,109.3334
0.049192,0.005632,N0,ram,0.0240,4.2618
0.049276,0.005518,N1,package,0.4832,87.5714
0.049288,0.005442,N1,ram,0.0300,5.5041
0.054364,0.005344,N0,package,0.5889,110.1891
0.054377,0.005185,N0,ram,0.0212,4.0907
0.054476,0.005200,N1,package,0.4185,80.4702
0.054488,0.005200,N1,ram,0.0270,5.1878
0.059567,0.005203,N0,package,0.5252,100.9430
0.059579,0.005202,N0,ram,0.0236,4.5289
0.059781,0.005305,N1,package,0.3953,74.5219
0.060018,0.005530,N1,ram,0.0317,5.7339
0.065100,0.005533,N0,package,0.6775,122.4458
0.065113,0.005534,N0,ram,0.0356,6.4356
0.065239,0.005458,N1,package,0.4807,88.0730
0.065252,0.005234,N1,ram,0.0264,5.0522
0.070328,0.005228,N0,package,0.5953,113.8738
0.070340,0.005227,N0,ram,0.0258,4.9451
0.070441,0.005202,N1,package,0.4342,83.4678
0.070453,0.005201,N1,ram,0.0248,4.7674
0.075533,0.005205,N0,package,0.5790,111.2488
0.075546,0.005206,N0,ram,0.0301,5.7857
0.075838,0.005397,N1,package,0.5114,94.7503
0.075999,0.005546,N1,ram,0.0319,5.7502
0.081079,0.005546,N0,package,0.6502,117.2370
0.081092,0.005546,N0,ram,0.0333,6.0090
0.081220,0.005382,N1,package,0.3869,71.8873
0.081231,0.005232,N1,ram,0.0268,5.1185
0.086308,0.005229,N0,package,0.5024,96.0875
0.086321,0.005229,N0,ram,0.0268,5.1271
0.086448,0.005228,N1,package,0.4097,78.3714
0.086461,0.005230,N1,ram,0.0256,4.8899
0.091545,0.005237,N0,package,0.5506,105.1389
0.091559,0.005238,N0,ram,0.0304,5.7970
0.091818,0.005370,N1,package,0.3671,68.3674
0.091977,0.005516,N1,ram,0.0257,4.6556
0.097057,0.005512,N0,package,0.6342,115.0500
0.097071,0.005512,N0,ram,0.0324,5.8798
0.097201,0.005383,N1,package,0.4617,85.7755
0.097213,0.005236,N1,ram,0.0319,6.0876
0.102290,0.005233,N0,package,0.4970,94.9751
0.102303,0.005232,N0,ram,0.0262,5.0016
0.102450,0.005249,N1,package,0.4248,80.9302
0.102467,0.005254,N1,ram,0.0268,5.1029
0.107547,0.005257,N0,package,0.5613,106.7818
0.107557,0.005254,N0,ram,0.0295,5.6141
0.107819,0.005369,N1,package,0.3790,70.5850
0.107975,0.005508,N1,ram,0.0251,4.5625
0.113060,0.005513,N0,package,0.5931,107.5745
0.113075,0.005518,N0,ram,0.0330,5.9728
0.113203,0.005384,N1,package,0.4649,86.3498
0.113214,0.005239,N1,ram,0.0310,5.9183
0.118295,0.005235,N0,package,0.5617,107.2992
0.118308,0.005233,N0,ram,0.0301,5.7474
0.118433,0.005230,N1,package,0.4041,77.2656
0.118445,0.005231,N1,ram,0.0257,4.9065
0.123525,0.005230,N0,package,0.5289,101.1349
0.123537,0.005229,N0,ram,0.0291,5.5736
0.123808,0.005375,N1,package,0.3957,73.6182
0.123963,0.005518,N1,ram,0.0268,4.8614
0.129046,0.005521,N0,package,0.6130,111.0251
