#timestamp,interval,socket,domain,energy,power
0.005096,0.005427,N0,package,0.5175,95.3617
0.005238,0.005349,N0,ram,0.0281,5.2516
0.005314,0.005323,N1,package,0.4330,81.3545
0.005322,0.005322,N1,ram,0.0467,8.7763
0.010486,0.005390,N0,package,0.5300,98.3257
0.010661,0.005423,N0,ram,0.0289,5.3378
0.010818,0.005504,N1,package,0.4028,73.1761
0.010831,0.005509,N1,ram,0.0464,8.4231
0.016160,0.005674,N0,package,0.5031,88.6679
0.016278,0.005617,N0,ram,0.0271,4.8217
0.016372,0.005554,N1,package,0.5043,90.7951
0.016383,0.005552,N1,ram,0.0560,10.0808
0.021461,0.005301,N0,package,0.6041,113.9646
0.021473,0.005195,N0,ram,0.0340,6.5413
0.021558,0.005186,N1,package,0.4017,77.4520
0.021570,0.005187,N1,ram,0.0445,8.5780
0.026746,0.005285,N0,package,0.5871,111.0869
0.026758,0.005285,N0,ram,0.0302,5.7166
0.026843,0.005285,N1,package,0.4030,76.2445
0.026857,0.005287,N1,ram,0.0528,9.9831
0.032254,0.005508,N0,package,0.4548,82.5667
0.032467,0.005709,N0,ram,0.0247,4.3353
0.032560,0.005717,N1,package,0.5074,88.7534
0.032572,0.005715,N1,ram,0.0443,7.7587
0.037735,0.005481,N0,package,0.7126,130.0211
0.037747,0.005280,N0,ram,0.0344,6.5196
0.037860,0.005300,N1,package,0.4332,81.7404
0.037870,0.005298,N1,ram,0.0465,8.7845
0.043184,0.005449,N0,package,0.5015,92.0278
0.043287,0.005540,N0,ram,0.0341,6.1585
0.043377,0.005517,N1,package,0.5422,98.2845
0.043389,0.005519,N1,ram,0.0555,10.0635
0.048467,0.005283,N0,package,0.5359,101.4388
0.048479,0.005192,N0,ram,0.0197,3.7941
0.048565,0.005188,N1,package,0.4188,80.7176
0.048577,0.005188,N1,ram,0.0435,8.3794
0.053744,0.005277,N0,package,0.6874,130.2669
0.053756,0.005277,N0,ram,0.0338,6.4136
0.053839,0.005274,N1,package,0.4437,84.1336
0.053852,0.005275,N1,ram,0.0461,8.7445
0.059183,0.005439,N0,package,0.5060,93.0430
0.059289,0.005533,N0,ram,0.0290,5.2426
0.059455,0.005616,N1,package,0.5032,89.5973
0.059477,0.005625,N1,ram,0.0541,9.6245
0.064641,0.005458,N0,package,0.7100,130.0743
0.064768,0.005479,N0,ram,0.0455,8.3074
0.064908,0.005453,N1,package,0.4392,80.5428
0.064921,0.005444,N1,ram,0.0438,8.0417
0.070251,0.005610,N0,package,0.5343,95.2411
0.070362,0.005594,N0,ram,0.0388,6.9338
0.070571,0.005663,N1,package,0.5315,93.8552
0.070584,0.005663,N1,ram,0.0556,9.8211
0.075749,0.005498,N0,package,0.5485,99.7690
0.075927,0.005565,N0,ram,0.0307,5.5250
0.076207,0.005636,N1,package,0.5205,92.3545
0.076353,0.005769,N1,ram,0.0532,9.2177
0.081518,0.005769,N0,package,0.5447,94.4249
0.081657,0.005730,N0,ram,0.0316,5.5231
0.081827,0.005620,N1,package,0.4721,84.0048
0.081839,0.005486,N1,ram,0.0464,8.4555
0.087123,0.005605,N0,package,0.5876,104.8327
0.087233,0.005576,N0,ram,0.0309,5.5468
0.087400,0.005573,N1,package,0.5268,94.5256
0.087412,0.005573,N1,ram,0.0510,9.1479
0.092576,0.005453,N0,package,0.5873,107.6964
0.092752,0.005519,N0,ram,0.0304,5.5048
0.092907,0.005507,N1,package,0.4578,83.1352
0.092919,0.005507,N1,ram,0.0470,8.5396
0.098165,0.005589,N0,package,0.4965,88.8388
0.098326,0.005574,N0,ram,0.0283,5.0698
0.098489,0.005582,N1,package,0.5598,100.2766
0.098502,0.005583,N1,ram,0.0533,9.5384
0.103669,0.005504,N0,package,0.5497,99.8827
0.103851,0.005525,N0,ram,0.0304,5.5069
0.104150,0.005661,N1,package,0.3898,68.8625
0.104309,0.005807,N1,ram,0.0532,9.1571
0.109476,0.005807,N0,package,0.5969,102.7910
0.109612,0.005761,N0,ram,0.0320,5.5463
0.109781,0.005631,N1,package,0.4822,85.6296
0.109793,0.005484,N1,ram,0.0426,7.7771
0.114960,0.005484,N0,package,0.4862,88.6612
0.115241,0.005629,N0,ram,0.0274,4.8712
0.115403,0.005622,N1,package,0.4696,83.5311
0.115415,0.005622,N1,ram,0.0535,9.5209
0.120580,0.005620,N0,package,0.5957,105.9969
0.120755,0.005514,N0,ram,0.0329,5.9664
0.120912,0.005509,N1,package,0.4146,75.2478
0.120924,0.005509,N1,ram,0.0469,8.5117
0.126184,0.005604,N0,package,0.4952,88.3611
0.126291,0.005536,N0,ram,0.0260,4.6966
0.126495,0.005583,N1,package,0.4930,88.3034
0.126506,0.005582,N1,ram,0.0539,9.6521
0.131671,0.005487,N0,package,0.5862,106.8428
0.131809,0.005518,N0,ram,0.0331,5.9924
0.131975,0.005480,N1,package,0.4105,74.9010
0.132143,0.005637,N1,ram,0.0456,8.0937
0.137321,0.005650,N0,package,0.5966,105.5846
0.137467,0.005658,N0,ram,0.0318,5.6230
0.137643,0.005668,N1,package,0.4649,82.0204
0.137655,0.005512,N1,ram,0.0535,9.7084
0.142822,0.005501,N0,package,0.5186,94.2650
0.142964,0.005497,N0,ram,0.0280,5.0965
0.143183,0.005540,N1,package,0.4086,73.7614
0.143391,0.005736,N1,ram,0.0524,9.1432
0.148558,0.005736,N0,package,0.5961,103.9195
0.148694,0.005730,N0,ram,0.0316,5.5069
0.148856,0.005673,N1,package,0.4890,86.1905
0.148869,0.005478,N1,ram,0.0459,8.3785
0.154143,0.005585,N0,package,0.4968,88.9432
0.154255,0.005561,N0,ram,0.0280,5.0406
0.154423,0.005567,N1,package,0.4868,87.4347
0.154435,0.005566,N1,ram,0.0526,9.4444
0.159599,0.005456,N0,package,0.5375,98.5226
0.159774,0.005519,N0,ram,0.0335,6.0768
0.159931,0.005508,N1,package,0.4041,73.3582
0.159942,0.005507,N1,ram,0.0444,8.0658
0.165167,0.005568,N0,package,0.5125,92.0456
0.165294,0.005520,N0,ram,0.0285,5.1583
0.165464,0.005533,N1,package,0.4730,85.4914
0.165476,0.005534,N1,ram,0.0531,9.5868
0.170645,0.005478,N0,package,0.5934,108.3231
0.170821,0.005527,N0,ram,0.0363,6.5734
0.170981,0.005517,N1,package,0.3997,72.4522
0.171162,0.005686,N1,ram,0.0449,7.9034
0.176337,0.005692,N0,package,0.4859,85.3655
0.176513,0.005692,N0,ram,0.0288,5.0666
0.176672,0.005691,N1,package,0.4662,81.9157
0.176684,0.005522,N1,ram,0.0530,9.5941
0.181849,0.005512,N0,package,0.5845,106.0475
0.182174,0.005661,N0,ram,0.0368,6.5013
0.182340,0.005668,N1,package,0.4830,85.2221
0.182352,0.005668,N1,ram,0.0543,9.5755
0.187518,0.005669,N0,package,0.5093,89.8482
0.187695,0.005521,N0,ram,0.0289,5.2345
0.187853,0.005513,N1,package,0.3927,71.2292
0.187864,0.005512,N1,ram,0.0437,7.9339
0.193136,0.005618,N0,package,0.5746,102.2740
0.193242,0.005547,N0,ram,0.0344,6.2085
0.193411,0.005558,N1,package,0.4742,85.3187
0.193423,0.005559,N1,ram,0.0512,9.2036
0.198587,0.005451,N0,package,0.5883,107.9291
0.198762,0.005520,N0,ram,0.0355,6.4271
0.198918,0.005507,N1,package,0.4073,73.9583
0.198930,0.005507,N1,ram,0.0473,8.5812
0.204165,0.005578,N0,package,0.5054,90.6001
0.204270,0.005508,N0,ram,0.0315,5.7207
0.204429,0.005511,N1,package,0.4786,86.8395
0.204441,0.005511,N1,ram,0.0543,9.8596
0.209606,0.005441,N0,package,0.4875,89.6073
0.209782,0.005512,N0,ram,0.0302,5.4784
0.209939,0.005510,N1,package,0.4239,76.9296
0.209951,0.005510,N1,ram,0.0460,8.3496
0.215185,0.005579,N0,package,0.6089,109.1391
0.215293,0.005511,N0,ram,0.0361,6.5537
0.215481,0.005542,N1,package,0.4569,82.4442
0.215493,0.005542,N1,ram,0.0518,9.3501
0.220658,0.005473,N0,package,0.4621,84.4300
0.220833,0.005540,N0,ram,0.0368,6.6377
0.220993,0.005512,N1,package,0.4155,75.3749
0.221005,0.005512,N1,ram,0.0439,7.9561
0.226280,0.005622,N0,package,0.6056,107.7198
0.226390,0.005557,N0,ram,0.0289,5.2091
0.226552,0.005559,N1,package,0.4822,86.7387
0.226564,0.005559,N1,ram,0.0543,9.7718
0.231727,0.005447,N0,package,0.5889,108.1215
0.231864,0.005474,N0,ram,0.0353,6.4557
0.232136,0.005584,N1,package,0.3927,70.3259
0.232336,0.005772,N1,ram,0.0457,7.9174
0.237506,0.005779,N0,package,0.5874,101.6438
0.237649,0.005785,N0,ram,0.0344,5.9426
0.237742,0.005606,N1,package,0.4745,84.6510
0.237754,0.005418,N1,ram,0.0539,9.9532
0.242920,0.005414,N0,package,0.5291,97.7192
0.243202,0.005553,N0,ram,0.0327,5.8969
0.243359,0.005617,N1,package,0.4152,73.9205
0.243380,0.005626,N1,ram,0.0454,8.0658
0.248547,0.005627,N0,package,0.5563,98.8662
0.248688,0.005486,N0,ram,0.0322,5.8771
0.248856,0.005497,N1,package,0.4750,86.4178
0.248868,0.005488,N1,ram,0.0518,9.4340
0.254145,0.005598,N0,package,0.5056,90.3234
0.254345,0.005657,N0,ram,0.0322,5.6887
0.254538,0.005682,N1,package,0.4866,85.6341
0.254551,0.005683,N1,ram,0.0546,9.6070
0.259721,0.005576,N0,package,0.5703,102.2774
0.259896,0.005551,N0,ram,0.0343,6.1738
0.260141,0.005603,N1,package,0.4010,71.5711
0.260233,0.005682,N1,ram,0.0459,8.0725
0.265400,0.005679,N0,package,0.4988,87.8411
0.265538,0.005642,N0,ram,0.0309,5.4794
0.265710,0.005569,N1,package,0.4667,83.8099
0.265722,0.005489,N1,ram,0.0533,9.7183
0.270886,0.005486,N0,package,0.5999,109.3424
0.271170,0.005632,N0,ram,0.0353,6.2748
0.271328,0.005618,N1,package,0.3943,70.1816
0.271340,0.005618,N1,ram,0.0456,8.1239
0.276513,0.005627,N0,package,0.5925,105.3027
0.276660,0.005490,N0,ram,0.0364,6.6343
0.276841,0.005513,N1,package,0.4833,87.6731
0.276852,0.005512,N1,ram,0.0531,9.6253
0.282127,0.005614,N0,package,0.5082,90.5192
0.282327,0.005667,N0,ram,0.0312,5.5090
0.282518,0.005677,N1,package,0.4767,83.9787
0.282530,0.005678,N1,ram,0.0546,9.6070
0.287695,0.005568,N0,package,0.4855,87.2005
0.287869,0.005542,N0,ram,0.0365,6.5803
0.288154,0.005636,N1,package,0.4097,72.6880
0.288310,0.005780,N1,ram,0.0464,8.0254
0.293485,0.005790,N0,package,0.5785,99.9122
0.293665,0.005796,N0,ram,0.0285,4.9152
0.293827,0.005673,N1,package,0.4937,87.0153
0.293839,0.005529,N1,ram,0.0534,9.6511
0.299120,0.005635,N0,package,0.6270,111.2709
0.299228,0.005563,N0,ram,0.0374,6.7256
0.299396,0.005569,N1,package,0.3932,70.6143
0.299408,0.005569,N1,ram,0.0449,8.0610
0.304578,0.005458,N0,package,0.4761,87.2344
0.304753,0.005525,N0,ram,0.0300,5.4378
0.304912,0.005516,N1,package,0.4748,86.0747
0.304924,0.005516,N1,ram,0.0541,9.8036
0.310188,0.005610,N0,package,0.6027,107.4373
0.310299,0.005546,N0,ram,0.0355,6.3970
0.310469,0.005557,N1,package,0.4021,72.3614
0.310481,0.005557,N1,ram,0.0463,8.3364
0.315651,0.005463,N0,package,0.5791,106.0065
0.315794,0.005495,N0,ram,0.0330,6.0007
0.315927,0.005458,N1,package,0.4794,87.8382
0.315938,0.005457,N1,ram,0.0530,9.7197
0.321162,0.005511,N0,package,0.5179,93.9830
0.321291,0.005497,N0,ram,0.0315,5.7321
0.321457,0.005530,N1,package,0.4036,72.9899
0.321468,0.005530,N1,ram,0.0442,7.9855
0.326637,0.005475,N0,package,0.5614,102.5382
0.326820,0.005529,N0,ram,0.0330,5.9722
0.326938,0.005481,N1,package,0.4782,87.2487
0.326950,0.005482,N1,ram,0.0537,9.8029
0.332169,0.005532,N0,package,0.5054,91.3647
0.332406,0.005586,N0,ram,0.0297,5.3183
0.332564,0.005626,N1,package,0.4689,83.3516
0.332585,0.005635,N1,ram,0.0459,8.1533
0.337754,0.005585,N0,package,0.4847,86.7941
0.337929,0.005523,N0,ram,0.0296,5.3570
0.338171,0.005607,N1,package,0.4222,75.3044
0.338390,0.005805,N1,ram,0.0538,9.2634
0.343560,0.005806,N0,package,0.6278,108.1314
0.343740,0.005811,N0,ram,0.0373,6.4255
0.343898,0.005727,N1,package,0.4786,83.5749
0.343910,0.005520,N1,ram,0.0526,9.5283
0.349168,0.005608,N0,package,0.5538,98.7453
0.349274,0.005534,N0,ram,0.0337,6.0826
0.349438,0.005540,N1,package,0.4122,74.4114
0.349449,0.005539,N1,ram,0.0444,8.0248
0.354622,0.005454,N0,package,0.4855,89.0153
0.354808,0.005534,N0,ram,0.0309,5.5750
0.354993,0.005555,N1,package,0.4953,89.1643
0.355005,0.005556,N1,ram,0.0550,9.9004
0.360310,0.005688,N0,package,0.6411,112.7095
0.360420,0.005612,N0,ram,0.0392,6.9824
0.360587,0.005594,N1,package,0.4106,73.3969
0.360599,0.005594,N1,ram,0.0438,7.8258
0.365765,0.005455,N0,package,0.4592,84.1846
0.365950,0.005530,N0,ram,0.0277,5.0082
0.366198,0.005611,N1,package,0.4796,85.4747
0.366359,0.005760,N1,ram,0.0531,9.2216
0.371526,0.005761,N0,package,0.5963,103.4997
0.371703,0.005753,N0,ram,0.0364,6.3257
0.371862,0.005664,N1,package,0.4835,85.3585
0.371873,0.005514,N1,ram,0.0530,9.6054
0.377145,0.005619,N0,package,0.5983,106.4711
0.377253,0.005550,N0,ram,0.0347,6.2491
0.377459,0.005597,N1,package,0.4053,72.4076
0.377471,0.005598,N1,ram,0.0443,7.9155
0.382642,0.005497,N0,package,0.5148,93.6461
0.382785,0.005532,N0,ram,0.0282,5.0973
0.382961,0.005502,N1,package,0.4902,89.0903
0.382973,0.005502,N1,ram,0.0539,9.8009
0.388232,0.005590,N0,package,0.5892,105.4092
0.388339,0.005554,N0,ram,0.0327,5.8959
0.388501,0.005540,N1,package,0.3889,70.2028
0.388513,0.005540,N1,ram,0.0430,7.7587
0.393682,0.005450,N0,package,0.4513,82.8061
0.393821,0.005482,N0,ram,0.0246,4.4897
0.394138,0.005637,N1,package,0.4897,86.8672
0.394304,0.005791,N1,ram,0.0543,9.3830
0.399471,0.005789,N0,package,0.6019,103.9667
0.399653,0.005832,N0,ram,0.0337,5.7718
0.399827,0.005689,N1,package,0.4941,86.8604
0.399839,0.005535,N1,ram,0.0529,9.5580
0.405120,0.005649,N0,package,0.5127,90.7610
0.405228,0.005575,N0,ram,0.0282,5.0608
0.405390,0.005563,N1,package,0.4205,75.5833
0.405402,0.005563,N1,ram,0.0465,8.3549
0.410566,0.005446,N0,package,0.5567,102.2184
0.410742,0.005514,N0,ram,0.0309,5.6036
0.410904,0.005514,N1,package,0.4746,86.0750
0.410915,0.005513,N1,ram,0.0524,9.5130
0.416163,0.005597,N0,package,0.5818,103.9594
0.416283,0.005541,N0,ram,0.0316,5.7033
0.416440,0.005536,N1,package,0.4388,79.2586
0.416452,0.005537,N1,ram,0.0458,8.2673
0.421618,0.005455,N0,package,0.5358,98.2266
0.421758,0.005475,N0,ram,0.0295,5.3872
0.421931,0.005491,N1,package,0.4743,86.3782
0.421944,0.005492,N1,ram,0.0526,9.5854
0.427173,0.005555,N0,package,0.4444,80.0007
0.427307,0.005549,N0,ram,0.0249,4.4933
0.427478,0.005547,N1,package,0.4424,79.7511
0.427490,0.005546,N1,ram,0.0473,8.5344
0.432654,0.005481,N0,package,0.6262,114.2529
0.432830,0.005523,N0,ram,0.0344,6.2326
0.432989,0.005511,N1,package,0.5172,93.8430
