#timestamp,interval,socket,domain,energy,power
0.005171,0.005488,N0,package,0.5805,105.7788
0.005346,0.005470,N0,ram,0.0314,5.7353
0.005430,0.005442,N1,package,0.4681,86.0138
0.005443,0.005443,N1,ram,0.0507,9.3183
0.010719,0.005548,N0,package,0.4980,89.7705
0.010825,0.005479,N0,ram,0.0267,4.8652
0.010988,0.005558,N1,package,0.3889,69.9629
0.011011,0.005568,N1,ram,0.0445,7.9993
0.016167,0.005448,N0,package,0.6021,110.5177
0.016181,0.005356,N0,ram,0.0336,6.2707
0.016265,0.005277,N1,package,0.3960,75.0397
0.016278,0.005267,N1,ram,0.0579,11.0003
0.021436,0.005269,N0,package,0.4709,89.3724
0.021447,0.005266,N0,ram,0.0256,4.8649
0.021516,0.005251,N1,package,0.5030,95.7908
0.021526,0.005248,N1,ram,0.0443,8.4347
0.026898,0.005462,N0,package,0.5157,94.4216
0.026918,0.005471,N0,ram,0.0296,5.4163
0.027035,0.005519,N1,package,0.4069,73.7211
0.027047,0.005521,N1,ram,0.0464,8.4018
0.032214,0.005316,N0,package,0.6381,120.0377
0.032225,0.005307,N0,ram,0.0303,5.7045
0.032309,0.005274,N1,package,0.5222,99.0161
0.032321,0.005274,N1,ram,0.0546,10.3494
0.037496,0.005282,N0,package,0.5654,107.0499
0.037509,0.005284,N0,ram,0.0283,5.3480
0.037799,0.005490,N1,package,0.4432,80.7233
0.037889,0.005568,N1,ram,0.0463,8.3199
0.043039,0.005543,N0,package,0.6544,118.0624
0.043050,0.005541,N0,ram,0.0327,5.9015
0.043166,0.005367,N1,package,0.4177,77.8201
0.043186,0.005297,N1,ram,0.0433,8.1750
0.048356,0.005317,N0,package,0.5808,109.2371
0.048497,0.005447,N0,ram,0.0303,5.5717
0.048570,0.005404,N1,package,0.5278,97.6631
0.048586,0.005400,N1,ram,0.0582,10.7689
0.053871,0.005515,N0,package,0.5077,92.0546
0.053884,0.005387,N0,ram,0.0249,4.6313
0.053973,0.005403,N1,package,0.4360,80.6905
0.053985,0.005399,N1,ram,0.0446,8.2667
0.059146,0.005275,N0,package,0.6070,115.0698
0.059157,0.005273,N0,ram,0.0354,6.7105
0.059172,0.005199,N1,package,0.5043,96.9950
0.059182,0.005197,N1,ram,0.0545,10.4817
0.064347,0.005201,N0,package,0.5469,105.1626
0.064530,0.005373,N0,ram,0.0281,5.2368
0.064823,0.005651,N1,package,0.4432,78.4352
0.064979,0.005797,N1,ram,0.0464,8.0020
0.070150,0.005803,N0,package,0.6040,104.0828
0.070329,0.005799,N0,ram,0.0320,5.5098
0.070493,0.005670,N1,package,0.5206,91.8246
0.070506,0.005527,N1,ram,0.0535,9.6820
0.075760,0.005610,N0,package,0.5022,89.5184
0.075888,0.005559,N0,ram,0.0276,4.9683
0.076053,0.005560,N1,package,0.4293,77.2029
0.076066,0.005560,N1,ram,0.0440,7.9094
0.081229,0.005469,N0,package,0.5910,108.0626
0.081405,0.005517,N0,ram,0.0320,5.7998
0.081563,0.005510,N1,package,0.5128,93.0728
0.081776,0.005710,N1,ram,0.0542,9.4918
0.086955,0.005726,N0,package,0.5889,102.8434
0.087091,0.005686,N0,ram,0.0322,5.6569
0.087258,0.005695,N1,package,0.4250,74.6234
0.087271,0.005495,N1,ram,0.0440,8.0142
0.092434,0.005479,N0,package,0.4948,90.3090
0.092760,0.005669,N0,ram,0.0278,4.9123
0.092916,0.005658,N1,package,0.5522,97.5952
0.092928,0.005657,N1,ram,0.0539,9.5266
0.098097,0.005663,N0,package,0.5919,104.5147
0.098277,0.005517,N0,ram,0.0321,5.8164
0.098440,0.005524,N1,package,0.5037,91.1855
0.098452,0.005524,N1,ram,0.0523,9.4664
0.103727,0.005630,N0,package,0.4830,85.7959
0.103947,0.005670,N0,ram,0.0270,4.7633
0.104102,0.005662,N1,package,0.4352,76.8604
0.104115,0.005663,N1,ram,0.0444,7.8410
0.109279,0.005552,N0,package,0.5815,104.7328
0.109415,0.005468,N0,ram,0.0329,6.0138
0.109759,0.005657,N1,package,0.5451,96.3601
0.109915,0.005800,N1,ram,0.0558,9.6209
0.115080,0.005801,N0,package,0.5924,102.1222
0.115255,0.005840,N0,ram,0.0314,5.3823
0.115414,0.005655,N1,package,0.4067,71.9248
0.115427,0.005512,N1,ram,0.0436,7.9145
0.120706,0.005626,N0,package,0.4943,87.8539
0.120812,0.005557,N0,ram,0.0273,4.9096
0.120901,0.005487,N1,package,0.4990,90.9360
0.120913,0.005486,N1,ram,0.0547,9.9685
0.126076,0.005370,N0,package,0.4753,88.5083
0.126250,0.005438,N0,ram,0.0258,4.7534
0.126407,0.005506,N1,package,0.5103,92.6717
0.126420,0.005507,N1,ram,0.0522,9.4817
0.131723,0.005647,N0,package,0.5851,103.6062
0.131928,0.005678,N0,ram,0.0331,5.8260
0.132121,0.005714,N1,package,0.4040,70.7028
0.132133,0.005713,N1,ram,0.0457,7.9967
0.137298,0.005575,N0,package,0.5815,104.3137
0.137478,0.005550,N0,ram,0.0327,5.8864
0.137772,0.005651,N1,package,0.4821,85.3153
0.137927,0.005794,N1,ram,0.0541,9.3411
0.143093,0.005795,N0,package,0.5057,87.2608
0.143268,0.005790,N0,ram,0.0386,6.6596
0.143430,0.005658,N1,package,0.4186,73.9920
0.143442,0.005515,N1,ram,0.0458,8.3057
0.148710,0.005617,N0,package,0.5806,103.3715
0.148816,0.005548,N0,ram,0.0287,5.1734
0.148993,0.005563,N1,package,0.4980,89.5281
0.149005,0.005563,N1,ram,0.0536,9.6413
0.154169,0.005459,N0,package,0.5837,106.9303
0.154345,0.005529,N0,ram,0.0360,6.5187
0.154502,0.005509,N1,package,0.5141,93.3175
0.154513,0.005508,N1,ram,0.0541,9.8263
0.159752,0.005583,N0,package,0.4935,88.3871
0.159871,0.005526,N0,ram,0.0293,5.2961
0.160029,0.005527,N1,package,0.4320,78.1627
0.160041,0.005528,N1,ram,0.0455,8.2339
0.165204,0.005452,N0,package,0.5840,107.1266
0.165378,0.005507,N0,ram,0.0358,6.5086
0.165539,0.005510,N1,package,0.4744,86.0940
0.165552,0.005511,N1,ram,0.0522,9.4636
0.170754,0.005550,N0,package,0.5027,90.5716
0.171020,0.005642,N0,ram,0.0294,5.2089
0.171178,0.005639,N1,package,0.4046,71.7497
0.171190,0.005638,N1,ram,0.0451,8.0030
0.176353,0.005599,N0,package,0.5813,103.8259
0.176528,0.005508,N0,ram,0.0359,6.5186
0.176782,0.005604,N1,package,0.4883,87.1304
0.176946,0.005756,N1,ram,0.0542,9.4159
0.182097,0.005744,N0,package,0.5799,100.9528
0.182110,0.005582,N0,ram,0.0365,6.5304
0.182222,0.005440,N1,package,0.4201,77.2252
0.182235,0.005289,N1,ram,0.0439,8.3062
0.187398,0.005301,N0,package,0.4933,93.0668
0.187579,0.005469,N0,ram,0.0289,5.2871
0.187813,0.005591,N1,package,0.5152,92.1491
0.187930,0.005695,N1,ram,0.0551,9.6668
0.193094,0.005696,N0,package,0.4883,85.7370
0.193269,0.005690,N0,ram,0.0304,5.3394
0.193425,0.005612,N1,package,0.4222,75.2372
0.193437,0.005507,N1,ram,0.0476,8.6477
0.198742,0.005648,N0,package,0.5790,102.5189
0.198942,0.005673,N0,ram,0.0365,6.4390
0.199128,0.005703,N1,package,0.4703,82.4722
0.199140,0.005703,N1,ram,0.0531,9.3084
0.204296,0.005554,N0,package,0.5908,106.3672
0.204470,0.005528,N0,ram,0.0360,6.5170
0.204720,0.005592,N1,package,0.4295,76.8087
0.204796,0.005656,N1,ram,0.0436,7.7103
0.209960,0.005664,N0,package,0.4958,87.5461
0.210135,0.005665,N0,ram,0.0304,5.3710
0.210291,0.005571,N1,package,0.5229,93.8568
0.210304,0.005508,N1,ram,0.0545,9.8928
0.215468,0.005508,N0,package,0.5923,107.5282
0.215750,0.005615,N0,ram,0.0352,6.2693
0.215906,0.005615,N1,package,0.4738,84.3731
0.215918,0.005614,N1,ram,0.0526,9.3634
0.221085,0.005617,N0,package,0.5638,100.3832
0.221224,0.005474,N0,ram,0.0336,6.1352
0.221399,0.005493,N1,package,0.4258,77.5256
0.221411,0.005493,N1,ram,0.0458,8.3365
0.226726,0.005641,N0,package,0.5051,89.5459
0.226928,0.005704,N0,ram,0.0320,5.6071
0.227121,0.005722,N1,package,0.4887,85.4080
0.227133,0.005722,N1,ram,0.0550,9.6160
0.232303,0.005577,N0,package,0.5986,107.3379
0.232444,0.005516,N0,ram,0.0350,6.3402
0.232727,0.005606,N1,package,0.4364,77.8463
0.232935,0.005802,N1,ram,0.0561,9.6647
0.238101,0.005798,N0,package,0.4950,85.3754
0.238276,0.005832,N0,ram,0.0278,4.7723
0.238436,0.005709,N1,package,0.4758,83.3483
0.238448,0.005513,N1,ram,0.0416,7.5478
0.243717,0.005616,N0,package,0.5737,102.1566
0.243824,0.005548,N0,ram,0.0316,5.7042
0.243982,0.005546,N1,package,0.4918,88.6789
0.243994,0.005546,N1,ram,0.0557,10.0453
0.249157,0.005440,N0,package,0.4952,91.0367
0.249332,0.005508,N0,ram,0.0265,4.8091
0.249487,0.005505,N1,package,0.3912,71.0680
0.249500,0.005506,N1,ram,0.0449,8.1531
0.254759,0.005602,N0,package,0.5925,105.7623
0.254977,0.005645,N0,ram,0.0332,5.8821
0.255135,0.005648,N1,package,0.4897,86.7130
0.255147,0.005647,N1,ram,0.0544,9.6385
0.260311,0.005552,N0,package,0.5732,103.2377
0.260482,0.005505,N0,ram,0.0327,5.9427
0.260761,0.005626,N1,package,0.4450,79.0989
0.260840,0.005693,N1,ram,0.0453,7.9575
0.266004,0.005693,N0,package,0.4968,87.2596
0.266210,0.005728,N0,ram,0.0264,4.6059
0.266332,0.005571,N1,package,0.4945,88.7624
0.266344,0.005504,N1,ram,0.0534,9.6977
0.271510,0.005506,N0,package,0.5963,108.2906
0.271810,0.005600,N0,ram,0.0333,5.9428
0.271974,0.005642,N1,package,0.4947,87.6809
0.271985,0.005641,N1,ram,0.0533,9.4485
0.277152,0.005642,N0,package,0.4938,87.5294
0.277336,0.005526,N0,ram,0.0275,4.9785
0.277498,0.005524,N1,package,0.4082,73.8974
0.277511,0.005526,N1,ram,0.0460,8.3279
0.282755,0.005603,N0,package,0.5807,103.6484
0.282884,0.005548,N0,ram,0.0317,5.7152
0.283053,0.005555,N1,package,0.4653,83.7658
0.283065,0.005554,N1,ram,0.0524,9.4345
0.288229,0.005474,N0,package,0.4737,86.5376
0.288404,0.005520,N0,ram,0.0258,4.6773
0.288560,0.005507,N1,package,0.3924,71.2540
0.288577,0.005512,N1,ram,0.0454,8.2301
0.293873,0.005644,N0,package,0.5917,104.8418
0.293983,0.005579,N0,ram,0.0330,5.9214
0.294145,0.005585,N1,package,0.4816,86.2368
0.294157,0.005580,N1,ram,0.0548,9.8199
0.299324,0.005451,N0,package,0.4966,91.0999
0.299498,0.005515,N0,ram,0.0274,4.9607
0.299756,0.005611,N1,package,0.4006,71.3915
0.299913,0.005756,N1,ram,0.0548,9.5272
0.305078,0.005754,N0,package,0.5859,101.8208
0.305089,0.005591,N0,ram,0.0326,5.8323
0.305202,0.005446,N1,package,0.4820,88.5050
0.305215,0.005302,N1,ram,0.0443,8.3518
0.310384,0.005306,N0,package,0.5837,110.0150
0.310523,0.005434,N0,ram,0.0313,5.7648
0.310783,0.005581,N1,package,0.3848,68.9403
0.310988,0.005773,N1,ram,0.0545,9.4411
0.316153,0.005769,N0,package,0.4927,85.4003
0.316334,0.005811,N0,ram,0.0272,4.6793
0.316499,0.005716,N1,package,0.4879,85.3511
0.316512,0.005524,N1,ram,0.0455,8.2345
0.321768,0.005615,N0,package,0.5903,105.1240
0.322014,0.005680,N0,ram,0.0320,5.6333
0.322172,0.005673,N1,package,0.4836,85.2509
0.322184,0.005672,N1,ram,0.0534,9.4077
0.327351,0.005583,N0,package,0.4829,86.4958
0.327518,0.005504,N0,ram,0.0257,4.6687
0.327799,0.005627,N1,package,0.4203,74.6924
0.327889,0.005705,N1,ram,0.0449,7.8740
0.333053,0.005702,N0,package,0.5934,104.0763
0.333228,0.005710,N0,ram,0.0330,5.7774
0.333384,0.005585,N1,package,0.5093,91.1983
0.333397,0.005508,N1,ram,0.0539,9.7903
0.338719,0.005666,N0,package,0.5949,104.9961
0.338830,0.005602,N0,ram,0.0338,6.0252
0.338997,0.005613,N1,package,0.4750,84.6302
0.339009,0.005612,N1,ram,0.0525,9.3588
0.344173,0.005454,N0,package,0.4839,88.7204
0.344348,0.005518,N0,ram,0.0257,4.6621
