#timestamp,interval,socket,domain,energy,power
0.005171,0.005591,N0,package,0.5152,92.1491
0.005317,0.005551,N0,ram,0.0311,5.6075
0.005402,0.005482,N1,package,0.4630,84.4501
0.005422,0.005422,N1,ram,0.0517,9.5316
0.010743,0.005572,N0,package,0.5669,101.7384
0.010850,0.005533,N0,ram,0.0334,6.0368
0.011016,0.005614,N1,package,0.4265,75.9727
0.011028,0.005606,N1,ram,0.0464,8.2773
0.016202,0.005459,N0,package,0.5292,96.9350
0.016397,0.005547,N0,ram,0.0327,5.8870
0.016505,0.005489,N1,package,0.4026,73.3462
0.016517,0.005489,N1,ram,0.0449,8.1838
0.021804,0.005602,N0,package,0.6255,111.6677
0.021816,0.005419,N0,ram,0.0375,6.9128
0.021892,0.005387,N1,package,0.5028,93.3360
0.021906,0.005389,N1,ram,0.0559,10.3689
0.027081,0.005277,N0,package,0.5419,102.6868
0.027092,0.005276,N0,ram,0.0319,6.0443
0.027175,0.005283,N1,package,0.3950,74.7586
0.027188,0.005282,N1,ram,0.0436,8.2593
0.032392,0.005311,N0,package,0.5985,112.6924
0.032403,0.005311,N0,ram,0.0347,6.5304
0.032486,0.005311,N1,package,0.5208,98.0514
0.032499,0.005311,N1,ram,0.0527,9.9206
0.037732,0.005340,N0,package,0.5478,102.5806
0.037838,0.005435,N0,ram,0.0314,5.7807
0.037927,0.005441,N1,package,0.4530,83.2581
0.037946,0.005447,N1,ram,0.0472,8.6642
0.043113,0.005381,N0,package,0.6396,118.8693
0.043124,0.005286,N0,ram,0.0355,6.7230
0.043243,0.005316,N1,package,0.4353,81.8851
0.043255,0.005309,N1,ram,0.0441,8.2978
0.048328,0.005215,N0,package,0.5754,110.3446
0.048340,0.005216,N0,ram,0.0332,6.3570
0.048423,0.005180,N1,package,0.4370,84.3671
0.048436,0.005181,N1,ram,0.0445,8.5938
0.053788,0.005460,N0,package,0.4996,91.5076
0.053897,0.005557,N0,ram,0.0293,5.2638
0.053986,0.005563,N1,package,0.5199,93.4560
0.053998,0.005562,N1,ram,0.0533,9.5798
0.059165,0.005377,N0,package,0.6807,126.5924
0.059176,0.005279,N0,ram,0.0424,8.0267
0.059294,0.005308,N1,package,0.4351,81.9720
0.059307,0.005309,N1,ram,0.0439,8.2662
0.064472,0.005307,N0,package,0.5153,97.0868
0.064483,0.005307,N0,ram,0.0406,7.6596
0.064767,0.005473,N1,package,0.5310,97.0246
0.064924,0.005617,N1,ram,0.0536,9.5461
0.070092,0.005620,N0,package,0.5777,102.7931
0.070103,0.005620,N0,ram,0.0425,7.5588
0.070217,0.005450,N1,package,0.4545,83.3996
0.070230,0.005306,N1,ram,0.0451,8.4950
0.075399,0.005307,N0,package,0.6308,118.8625
0.075794,0.005691,N0,ram,0.0508,8.9230
0.075954,0.005737,N1,package,0.5190,90.4718
0.075966,0.005736,N1,ram,0.0550,9.5818
0.081135,0.005736,N0,package,0.6293,109.7082
0.081278,0.005484,N0,ram,0.0507,9.2434
0.081411,0.005457,N1,package,0.4571,83.7637
0.081424,0.005458,N1,ram,0.0444,8.1384
0.086727,0.005592,N0,package,0.5264,94.1268
0.086834,0.005556,N0,ram,0.0476,8.5657
0.086955,0.005544,N1,package,0.5258,94.8454
0.086968,0.005544,N1,ram,0.0536,9.6658
0.092135,0.005408,N0,package,0.5532,102.2962
0.092311,0.005477,N0,ram,0.0430,7.8565
0.092468,0.005513,N1,package,0.4571,82.9124
0.092480,0.005512,N1,ram,0.0437,7.9339
0.097756,0.005621,N0,package,0.6367,113.2759
0.097863,0.005552,N0,ram,0.0501,9.0310
0.098040,0.005572,N1,package,0.5262,94.4322
0.098052,0.005572,N1,ram,0.0545,9.7739
0.103218,0.005462,N0,package,0.5422,99.2756
0.103397,0.005534,N0,ram,0.0510,9.2232
0.103557,0.005517,N1,package,0.5283,95.7511
0.103569,0.005517,N1,ram,0.0459,8.3139
0.108766,0.005548,N0,package,0.6523,117.5818
0.108883,0.005486,N0,ram,0.0402,7.3346
0.109026,0.005469,N1,package,0.4618,84.4368
0.109038,0.005469,N1,ram,0.0512,9.3633
0.114207,0.005441,N0,package,0.5223,96.0014
0.114361,0.005478,N0,ram,0.0408,7.4457
0.114504,0.005478,N1,package,0.4435,80.9582
0.114516,0.005478,N1,ram,0.0444,8.1142
0.119761,0.005554,N0,package,0.6736,121.2747
0.119843,0.005482,N0,ram,0.0511,9.3246
0.119969,0.005465,N1,package,0.4795,87.7382
0.119981,0.005465,N1,ram,0.0535,9.7974
0.125148,0.005387,N0,package,0.5204,96.6033
0.125284,0.005441,N0,ram,0.0421,7.7343
0.125422,0.005453,N1,package,0.4059,74.4349
0.125434,0.005453,N1,ram,0.0446,8.1847
0.130717,0.005569,N0,package,0.6428,115.4291
0.130823,0.005539,N0,ram,0.0500,9.0248
0.131023,0.005601,N1,package,0.4749,84.7776
0.131034,0.005600,N1,ram,0.0518,9.2480
0.136200,0.005483,N0,package,0.5429,99.0138
0.136376,0.005553,N0,ram,0.0411,7.3972
0.136536,0.005513,N1,package,0.4060,73.6458
0.136547,0.005513,N1,ram,0.0448,8.1263
0.141763,0.005563,N0,package,0.6411,115.2455
0.141880,0.005504,N0,ram,0.0506,9.1959
0.142024,0.005488,N1,package,0.4957,90.3196
0.142035,0.005488,N1,ram,0.0552,10.0513
0.147201,0.005438,N0,package,0.5430,99.8611
0.147325,0.005445,N0,ram,0.0424,7.7961
0.147411,0.005387,N1,package,0.3938,73.1008
0.147423,0.005388,N1,ram,0.0434,8.0598
0.152729,0.005528,N0,package,0.6371,115.2475
0.152928,0.005603,N0,ram,0.0504,9.0005
0.153117,0.005706,N1,package,0.4675,81.9247
0.153129,0.005706,N1,ram,0.0522,9.1509
0.158296,0.005567,N0,package,0.5425,97.4445
0.158467,0.005539,N0,ram,0.0430,7.7713
0.158738,0.005621,N1,package,0.3978,70.7757
0.158938,0.005809,N1,ram,0.0443,7.6332
0.164110,0.005814,N0,package,0.6539,112.4632
0.164262,0.005795,N0,ram,0.0503,8.6813
0.164402,0.005664,N1,package,0.5281,93.2467
0.164415,0.005477,N1,ram,0.0539,9.8485
0.169591,0.005481,N0,package,0.6414,117.0146
0.169836,0.005574,N0,ram,0.0497,8.9160
0.169992,0.005590,N1,package,0.4824,86.2869
0.170004,0.005589,N1,ram,0.0548,9.7985
0.175171,0.005580,N0,package,0.5522,98.9697
0.175346,0.005510,N0,ram,0.0420,7.6210
0.175502,0.005510,N1,package,0.3975,72.1364
0.175515,0.005511,N1,ram,0.0435,7.9021
0.180771,0.005600,N0,package,0.6290,112.3270
0.180891,0.005545,N0,ram,0.0494,8.9023
0.181035,0.005533,N1,package,0.4709,85.1054
0.181048,0.005533,N1,ram,0.0528,9.5502
0.186214,0.005443,N0,package,0.5418,99.5406
0.186339,0.005448,N0,ram,0.0405,7.4276
0.186489,0.005454,N1,package,0.4122,75.5713
0.186502,0.005454,N1,ram,0.0433,7.9398
0.191778,0.005564,N0,package,0.6496,116.7506
0.191884,0.005545,N0,ram,0.0502,9.0454
0.192084,0.005595,N1,package,0.4857,86.8024
0.192096,0.005594,N1,ram,0.0555,9.9152
0.197263,0.005485,N0,package,0.5250,95.7232
0.197439,0.005555,N0,ram,0.0410,7.3724
0.197523,0.005439,N1,package,0.3956,72.7389
0.197535,0.005439,N1,ram,0.0440,8.0940
0.202791,0.005528,N0,package,0.6675,120.7518
0.202995,0.005556,N0,ram,0.0509,9.1703
0.203182,0.005659,N1,package,0.4749,83.9097
0.203194,0.005659,N1,ram,0.0551,9.7337
0.208362,0.005571,N0,package,0.5191,93.1815
0.208515,0.005520,N0,ram,0.0404,7.3169
0.208756,0.005574,N1,package,0.4086,73.3102
0.208939,0.005745,N1,ram,0.0446,7.7636
