#timestamp,interval,socket,domain,energy,power
0.005176,0.005466,N0,package,0.5385,98.5096
0.005352,0.005457,N0,ram,0.0303,5.5587
0.005437,0.005450,N1,package,0.4409,80.8910
0.005449,0.005449,N1,ram,0.0485,8.9024
0.010818,0.005642,N0,package,0.5991,106.1862
0.010933,0.005581,N0,ram,0.0321,5.7580
0.011100,0.005663,N1,package,0.3933,69.4537
0.011113,0.005664,N1,ram,0.0455,8.0279
0.016273,0.005455,N0,package,0.5352,98.1147
0.016441,0.005508,N0,ram,0.0315,5.7179
0.016525,0.005425,N1,package,0.5264,97.0379
0.016538,0.005425,N1,ram,0.0572,10.5420
0.021858,0.005585,N0,package,0.5374,96.2254
0.022000,0.005559,N0,ram,0.0262,4.7185
0.022091,0.005566,N1,package,0.4303,77.3066
0.022104,0.005566,N1,ram,0.0448,8.0545
0.027291,0.005433,N0,package,0.6044,111.2438
0.027303,0.005303,N0,ram,0.0322,6.0654
0.027387,0.005296,N1,package,0.4265,80.5237
0.027400,0.005296,N1,ram,0.0432,8.1477
0.032478,0.005187,N0,package,0.5981,115.3035
0.032489,0.005186,N0,ram,0.0292,5.6317
0.032576,0.005189,N1,package,0.4366,84.1492
0.032585,0.005185,N1,ram,0.0463,8.9259
0.037644,0.005166,N0,package,0.5319,102.9647
0.037655,0.005166,N0,ram,0.0263,5.0921
0.037848,0.005272,N1,package,0.5162,97.9058
0.038047,0.005462,N1,ram,0.0539,9.8756
0.043125,0.005481,N0,package,0.5419,98.8633
0.043137,0.005482,N0,ram,0.0277,5.0548
0.043290,0.005442,N1,package,0.4514,82.9406
0.043302,0.005255,N1,ram,0.0463,8.8069
0.048478,0.005353,N0,package,0.5355,100.0420
0.048490,0.005353,N0,ram,0.0269,5.0226
0.048574,0.005284,N1,package,0.4975,94.1504
0.048586,0.005284,N1,ram,0.0515,9.7402
0.053872,0.005394,N0,package,0.6585,122.0820
0.053885,0.005395,N0,ram,0.0362,6.7029
0.053976,0.005402,N1,package,0.4439,82.1772
0.053989,0.005403,N1,ram,0.0476,8.8084
0.059188,0.005316,N0,package,0.5280,99.3253
0.059199,0.005314,N0,ram,0.0298,5.6052
0.059317,0.005341,N1,package,0.4322,80.9185
0.059330,0.005341,N1,ram,0.0425,7.9564
0.064519,0.005331,N0,package,0.5555,104.1975
0.064530,0.005331,N0,ram,0.0332,6.2311
0.064848,0.005531,N1,package,0.4823,87.1982
0.065003,0.005673,N1,ram,0.0553,9.7396
0.070192,0.005673,N0,package,0.4061,71.5905
