#timestamp,interval,socket,domain,energy,power
0.005168,0.005425,N0,package,0.4962,91.4688
0.005333,0.005436,N0,ram,0.0271,4.9879
0.005500,0.005512,N1,package,0.4552,82.5835
0.005513,0.005513,N1,ram,0.0501,9.0835
0.010817,0.005649,N0,package,0.6046,107.0286
0.010922,0.005589,N0,ram,0.0331,5.9299
0.011084,0.005584,N1,package,0.4055,72.6213
0.011097,0.005584,N1,ram,0.0462,8.2688
0.016272,0.005455,N0,package,0.5957,109.2028
0.016450,0.005528,N0,ram,0.0315,5.6945
0.016534,0.005450,N1,package,0.4758,87.3081
0.016546,0.005449,N1,ram,0.0561,10.3026
0.021874,0.005602,N0,package,0.5226,93.2831
0.021916,0.005466,N0,ram,0.0280,5.1142
0.022008,0.005474,N1,package,0.4146,75.7408
0.022020,0.005474,N1,ram,0.0468,8.5547
0.027190,0.005316,N0,package,0.5829,109.6520
0.027201,0.005285,N0,ram,0.0320,6.0602
0.027285,0.005277,N1,package,0.4147,78.5940
0.027295,0.005275,N1,ram,0.0454,8.6114
0.032462,0.005272,N0,package,0.5591,106.0560
0.032473,0.005272,N0,ram,0.0297,5.6324
0.032543,0.005258,N1,package,0.4645,88.3359
0.032557,0.005262,N1,ram,0.0490,9.3115
0.037847,0.005385,N0,package,0.5547,103.0075
0.037860,0.005387,N0,ram,0.0284,5.2628
0.038008,0.005465,N1,package,0.5056,92.5223
0.038020,0.005463,N1,ram,0.0535,9.8008
0.043186,0.005339,N0,package,0.5364,100.4612
0.043197,0.005337,N0,ram,0.0276,5.1778
0.043309,0.005301,N1,package,0.4198,79.1926
0.043322,0.005302,N1,ram,0.0452,8.5188
0.048500,0.005314,N0,package,0.5229,98.4006
0.048511,0.005314,N0,ram,0.0262,4.9361
0.048598,0.005289,N1,package,0.4349,82.2214
0.048867,0.005545,N1,ram,0.0473,8.5225
0.054031,0.005531,N0,package,0.6597,119.2769
0.054043,0.005532,N0,ram,0.0333,6.0240
0.054126,0.005528,N1,package,0.5234,94.6889
0.054138,0.005271,N1,ram,0.0551,10.4616
0.059302,0.005271,N0,package,0.6582,124.8735
0.059314,0.005271,N0,ram,0.0384,7.2864
0.059454,0.005328,N1,package,0.4170,78.2652
0.059466,0.005328,N1,ram,0.0442,8.2939
0.064590,0.005288,N0,package,0.5690,107.5987
0.064618,0.005304,N0,ram,0.0383,7.2265
0.064717,0.005263,N1,package,0.5472,103.9772
0.064727,0.005261,N1,ram,0.0571,10.8562
0.069947,0.005357,N0,package,0.5275,98.4624
0.069960,0.005342,N0,ram,0.0364,6.8182
0.070117,0.005400,N1,package,0.4391,81.3133
0.070130,0.005403,N1,ram,0.0451,8.3452
0.075205,0.005258,N0,package,0.3181,60.4886
0.075217,0.005257,N0,ram,0.0223,4.2407
0.075301,0.005184,N1,package,0.4026,77.6689
0.075313,0.005183,N1,ram,0.0478,9.2266
0.080993,0.005788,N0,package,1.0937,188.9551
0.081384,0.006167,N0,ram,0.0528,8.5657
0.081497,0.006196,N1,package,0.5151,83.1399
0.081528,0.006215,N1,ram,0.0570,9.1650
0.086659,0.005666,N0,package,1.3458,237.5258
0.086675,0.005291,N0,ram,0.0337,6.3677
0.086682,0.005185,N1,package,0.4173,80.4834
0.086685,0.005157,N1,ram,0.0472,9.1577
0.091797,0.005138,N0,package,1.0214,198.7890
0.091828,0.005153,N0,ram,0.0269,5.2117
0.091847,0.005165,N1,package,0.4660,90.2216
0.091855,0.005170,N1,ram,0.0520,10.0646
0.096975,0.005178,N0,package,1.2903,249.1986
0.097005,0.005177,N0,ram,0.0341,6.5875
0.097023,0.005176,N1,package,0.4109,79.3861
0.097032,0.005177,N1,ram,0.0469,9.0603
0.102153,0.005178,N0,package,1.0692,206.4927
0.102183,0.005178,N0,ram,0.0280,5.4045
0.102202,0.005179,N1,package,0.4179,80.6901
0.102211,0.005179,N1,ram,0.0467,9.0157
0.107322,0.005169,N0,package,1.0876,210.4207
0.107336,0.005153,N0,ram,0.0288,5.5966
0.107342,0.005140,N1,package,0.3937,76.6053
0.107345,0.005134,N1,ram,0.0456,8.8775
0.112449,0.005127,N0,package,1.1143,217.3232
0.112463,0.005127,N0,ram,0.0279,5.4494
0.112469,0.005127,N1,package,0.4254,82.9723
0.112472,0.005127,N1,ram,0.0465,9.0744
0.117593,0.005144,N0,package,1.0076,195.8889
0.117636,0.005173,N0,ram,0.0251,4.8582
0.117654,0.005185,N1,package,0.4073,78.5528
0.117663,0.005191,N1,ram,0.0462,8.8917
0.122783,0.005190,N0,package,1.1201,215.8049
0.122815,0.005179,N0,ram,0.0289,5.5771
0.122834,0.005180,N1,package,0.3968,76.6020
0.122842,0.005179,N1,ram,0.0437,8.4324
0.127963,0.005180,N0,package,1.2519,241.6835
0.127992,0.005177,N0,ram,0.0321,6.2043
0.128011,0.005177,N1,package,0.4808,92.8669
0.128019,0.005177,N1,ram,0.0564,10.8907
0.133140,0.005177,N0,package,0.8415,162.5436
0.133171,0.005179,N0,ram,0.0221,4.2751
0.133189,0.005178,N1,package,0.4178,80.6851
0.133198,0.005179,N1,ram,0.0469,9.0599
0.138317,0.005177,N0,package,1.3430,259.4072
0.138348,0.005177,N0,ram,0.0340,6.5639
0.138367,0.005178,N1,package,0.3839,74.1397
0.138376,0.005178,N1,ram,0.0446,8.6107
0.143492,0.005175,N0,package,1.0091,194.9988
0.143505,0.005157,N0,ram,0.0251,4.8703
0.143511,0.005144,N1,package,0.4118,80.0571
0.143514,0.005138,N1,ram,0.0483,9.3991
0.148650,0.005158,N0,package,1.1243,217.9579
0.148682,0.005177,N0,ram,0.0296,5.7121
0.148701,0.005190,N1,package,0.4180,80.5432
0.148709,0.005195,N1,ram,0.0465,8.9469
0.153829,0.005179,N0,package,1.0872,209.9313
0.153862,0.005180,N0,ram,0.0274,5.2906
0.153880,0.005179,N1,package,0.3981,76.8636
0.153889,0.005180,N1,ram,0.0455,8.7898
0.159009,0.005180,N0,package,1.2419,239.7629
0.159039,0.005177,N0,ram,0.0316,6.0982
0.159058,0.005178,N1,package,0.4962,95.8202
0.159066,0.005177,N1,ram,0.0548,10.5905
0.164186,0.005177,N0,package,0.8895,171.8221
0.164218,0.005179,N0,ram,0.0225,4.3368
0.164236,0.005178,N1,package,0.3851,74.3671
0.164245,0.005179,N1,ram,0.0449,8.6706
0.169373,0.005187,N0,package,1.2603,242.9623
0.169404,0.005186,N0,ram,0.0326,6.2791
0.169423,0.005187,N1,package,0.4195,80.8737
0.169431,0.005186,N1,ram,0.0468,9.0155
0.174544,0.005171,N0,package,1.0573,204.4553
0.174558,0.005154,N0,ram,0.0268,5.1986
0.174564,0.005141,N1,package,0.4054,78.8551
0.174566,0.005135,N1,ram,0.0462,8.9888
0.179667,0.005123,N0,package,1.0507,205.0907
0.179698,0.005140,N0,ram,0.0278,5.4120
0.179717,0.005153,N1,package,0.4086,79.3004
0.179726,0.005160,N1,ram,0.0461,8.9274
0.184845,0.005178,N0,package,1.1190,216.0995
0.184877,0.005179,N0,ram,0.0280,5.4151
0.184895,0.005178,N1,package,0.4086,78.9052
0.184904,0.005178,N1,ram,0.0457,8.8259
0.190024,0.005179,N0,package,1.2202,235.5888
0.190055,0.005178,N0,ram,0.0311,6.0028
0.190073,0.005178,N1,package,0.4168,80.4965
0.190081,0.005177,N1,ram,0.0459,8.8658
0.195201,0.005177,N0,package,1.0707,206.8255
0.195233,0.005178,N0,ram,0.0263,5.0863
0.195251,0.005178,N1,package,0.4886,94.3704
0.195260,0.005179,N1,ram,0.0530,10.2296
0.200376,0.005175,N0,package,1.0623,205.2836
0.200389,0.005156,N0,ram,0.0267,5.1760
