#timestamp,interval,socket,domain,energy,power
0.005218,0.005321,N0,package,0.5661,106.3895
0.005350,0.005444,N0,ram,0.0305,5.6059
0.005432,0.005443,N1,package,0.4485,82.4103
0.005447,0.005447,N1,ram,0.0507,9.3033
0.010613,0.005395,N0,package,0.5392,99.9540
0.010626,0.005276,N0,ram,0.0288,5.4661
0.010777,0.005345,N1,package,0.5166,96.6494
0.010798,0.005351,N1,ram,0.0554,10.3597
0.015962,0.005349,N0,package,0.5141,96.1127
0.015976,0.005350,N0,ram,0.0265,4.9455
0.016222,0.005445,N1,package,0.4203,77.1878
0.016308,0.005510,N1,ram,0.0475,8.6210
0.021501,0.005539,N0,package,0.6044,109.1193
0.021514,0.005538,N0,ram,0.0339,6.1223
0.021584,0.005362,N1,package,0.4798,89.4805
0.021598,0.005290,N1,ram,0.0519,9.8186
0.026777,0.005276,N0,package,0.4686,88.8116
0.026789,0.005275,N0,ram,0.0237,4.4981
0.026875,0.005291,N1,package,0.4213,79.6193
0.026886,0.005288,N1,ram,0.0466,8.8151
0.031967,0.005190,N0,package,0.6478,124.8247
0.031979,0.005190,N0,ram,0.0331,6.3712
0.032287,0.005412,N1,package,0.4191,77.4350
0.032375,0.005489,N1,ram,0.0451,8.2092
0.037456,0.005489,N0,package,0.6041,110.0479
0.037467,0.005488,N0,ram,0.0302,5.5106
0.037551,0.005264,N1,package,0.5198,98.7523
0.037574,0.005199,N1,ram,0.0550,10.5772
0.042652,0.005196,N0,package,0.5372,103.3844
0.042663,0.005196,N0,ram,0.0270,5.1892
0.042799,0.005248,N1,package,0.4196,79.9448
0.042820,0.005246,N1,ram,0.0447,8.5196
0.048019,0.005367,N0,package,0.5079,94.6396
0.048034,0.005371,N0,ram,0.0247,4.5966
0.048244,0.005445,N1,package,0.4445,81.6268
0.048487,0.005667,N1,ram,0.0551,9.7256
0.053651,0.005632,N0,package,0.6908,122.6572
0.053663,0.005629,N0,ram,0.0340,6.0422
0.053785,0.005541,N1,package,0.5178,93.4444
0.053797,0.005310,N1,ram,0.0452,8.5115
0.058973,0.005322,N0,package,0.5419,101.8174
0.058996,0.005333,N0,ram,0.0309,5.7883
0.059229,0.005444,N1,package,0.4338,79.6791
0.059386,0.005589,N1,ram,0.0470,8.4061
0.064559,0.005586,N0,package,0.6669,119.3793
0.064572,0.005576,N0,ram,0.0453,8.1303
0.064692,0.005463,N1,package,0.5228,95.7011
0.064704,0.005318,N1,ram,0.0552,10.3869
0.069872,0.005313,N0,package,0.5468,102.9101
0.070241,0.005669,N0,ram,0.0372,6.5620
0.070402,0.005710,N1,package,0.4474,78.3639
0.070414,0.005710,N1,ram,0.0449,7.8674
0.075489,0.005617,N0,package,0.4560,81.1789
0.075501,0.005260,N0,ram,0.0254,4.8358
0.075757,0.005355,N1,package,0.5037,94.0524
0.075770,0.005356,N1,ram,0.0552,10.3072
0.081319,0.005830,N0,package,1.0995,188.6079
0.081719,0.006218,N0,ram,0.0509,8.1890
0.081830,0.006073,N1,package,0.5101,83.9899
0.081849,0.006079,N1,ram,0.0559,9.1895
0.086986,0.005667,N0,package,1.0640,187.7484
0.087030,0.005311,N0,ram,0.0264,4.9704
0.087050,0.005220,N1,package,0.4039,77.3823
0.087058,0.005209,N1,ram,0.0438,8.4160
0.092178,0.005192,N0,package,1.2679,244.1975
0.092210,0.005180,N0,ram,0.0323,6.2300
0.092228,0.005178,N1,package,0.4012,77.4907
0.092237,0.005179,N1,ram,0.0454,8.7620
0.097357,0.005179,N0,package,1.0752,207.6001
0.097389,0.005179,N0,ram,0.0274,5.2886
0.097408,0.005180,N1,package,0.4034,77.8710
0.097416,0.005179,N1,ram,0.0446,8.6062
0.102537,0.005180,N0,package,1.0732,207.1825
0.102570,0.005181,N0,ram,0.0276,5.3189
0.102588,0.005180,N1,package,0.4167,80.4551
0.102596,0.005180,N1,ram,0.0453,8.7456
0.107710,0.005173,N0,package,1.0345,199.9790
0.107725,0.005155,N0,ram,0.0250,4.8486
0.107731,0.005143,N1,package,0.5017,97.5532
0.107733,0.005137,N1,ram,0.0556,10.8152
0.112838,0.005128,N0,package,1.0328,201.4056
0.112852,0.005127,N0,ram,0.0258,5.0357
0.112858,0.005127,N1,package,0.3931,76.6631
0.112861,0.005128,N1,ram,0.0430,8.3794
0.117981,0.005143,N0,package,1.0573,205.5856
0.118041,0.005189,N0,ram,0.0273,5.2694
0.118060,0.005202,N1,package,0.4113,79.0716
0.118070,0.005209,N1,ram,0.0439,8.4218
0.123190,0.005209,N0,package,1.2708,243.9663
0.123223,0.005182,N0,ram,0.0323,6.2398
0.123242,0.005182,N1,package,0.4105,79.2204
0.123251,0.005181,N1,ram,0.0466,8.9884
0.128361,0.005171,N0,package,1.0782,208.5157
0.128393,0.005170,N0,ram,0.0267,5.1560
0.128412,0.005170,N1,package,0.4117,79.6392
0.128420,0.005169,N1,ram,0.0441,8.5314
0.133540,0.005179,N0,package,1.0742,207.4093
0.133573,0.005180,N0,ram,0.0275,5.3169
0.133591,0.005179,N1,package,0.3918,75.6498
0.133600,0.005180,N1,ram,0.0440,8.4893
0.138710,0.005170,N0,package,1.0733,207.5979
0.138724,0.005151,N0,ram,0.0278,5.3886
0.138730,0.005139,N1,package,0.4849,94.3595
0.138733,0.005133,N1,ram,0.0549,10.6989
0.143838,0.005128,N0,package,1.0597,206.6520
0.143851,0.005127,N0,ram,0.0267,5.2140
0.143857,0.005127,N1,package,0.4279,83.4643
0.143860,0.005127,N1,ram,0.0458,8.9405
0.148966,0.005128,N0,package,1.0973,213.9840
0.148980,0.005129,N0,ram,0.0280,5.4593
0.148986,0.005129,N1,package,0.3942,76.8524
0.148989,0.005129,N1,ram,0.0443,8.6333
0.154067,0.005101,N0,package,1.0125,198.4730
0.154083,0.005103,N0,ram,0.0264,5.1729
0.154089,0.005103,N1,package,0.4204,82.3831
0.154092,0.005103,N1,ram,0.0453,8.8870
0.159205,0.005138,N0,package,1.2703,247.2330
0.159236,0.005153,N0,ram,0.0317,6.1445
0.159255,0.005166,N1,package,0.4082,79.0164
0.159264,0.005172,N1,ram,0.0452,8.7387
0.164383,0.005178,N0,package,1.0959,211.6556
0.164415,0.005179,N0,ram,0.0282,5.4477
0.164433,0.005178,N1,package,0.3969,76.6538
0.164441,0.005177,N1,ram,0.0442,8.5357
0.169561,0.005178,N0,package,1.0787,208.3197
0.169593,0.005178,N0,ram,0.0275,5.3044
0.169612,0.005179,N1,package,0.4060,78.3957
0.169621,0.005180,N1,ram,0.0436,8.4186
0.174741,0.005180,N0,package,1.0535,203.3790
0.174773,0.005180,N0,ram,0.0253,4.8809
0.174792,0.005180,N1,package,0.4987,96.2636
0.174800,0.005179,N1,ram,0.0565,10.9043
0.179929,0.005188,N0,package,1.0718,206.5882
0.179961,0.005188,N0,ram,0.0289,5.5735
0.179980,0.005188,N1,package,0.4308,83.0471
0.179989,0.005189,N1,ram,0.0459,8.8396
0.185084,0.005155,N0,package,0.9956,193.1396
0.185116,0.005155,N0,ram,0.0249,4.8366
0.185134,0.005154,N1,package,0.4117,79.8779
0.185142,0.005153,N1,ram,0.0455,8.8387
0.190261,0.005177,N0,package,1.0750,207.6389
0.190294,0.005178,N0,ram,0.0333,6.4301
0.190313,0.005179,N1,package,0.4117,79.5035
0.190321,0.005179,N1,ram,0.0459,8.8537
0.195428,0.005167,N0,package,1.2193,235.9779
0.195459,0.005165,N0,ram,0.0260,5.0401
0.195478,0.005165,N1,package,0.4064,78.6883
0.195486,0.005165,N1,ram,0.0441,8.5469
0.200606,0.005178,N0,package,1.0936,211.2077
0.200637,0.005178,N0,ram,0.0288,5.5607
0.200656,0.005178,N1,package,0.4137,79.8954
0.200664,0.005178,N1,ram,0.0466,8.9934
0.205792,0.005186,N0,package,1.0389,200.3207
0.205824,0.005187,N0,ram,0.0255,4.9156
0.205843,0.005187,N1,package,0.4012,77.3436
0.205851,0.005187,N1,ram,0.0439,8.4549
0.210979,0.005187,N0,package,1.0350,199.5426
0.211025,0.005201,N0,ram,0.0263,5.0607
0.211043,0.005200,N1,package,0.5138,98.8083
0.211052,0.005201,N1,ram,0.0541,10.3943
0.216172,0.005193,N0,package,1.0899,209.8798
0.216203,0.005178,N0,ram,0.0290,5.6020
0.216222,0.005179,N1,package,0.4138,79.9006
0.216230,0.005178,N1,ram,0.0452,8.7257
0.221350,0.005178,N0,package,1.2661,244.5072
0.221381,0.005178,N0,ram,0.0322,6.2090
0.221400,0.005178,N1,package,0.4332,83.6556
0.221408,0.005178,N1,ram,0.0455,8.7964
0.226528,0.005178,N0,package,1.0390,200.6579
0.226560,0.005179,N0,ram,0.0253,4.8938
0.226578,0.005178,N1,package,0.4194,80.9916
0.226586,0.005178,N1,ram,0.0449,8.6667
0.231705,0.005177,N0,package,1.0994,212.3548
0.231738,0.005178,N0,ram,0.0277,5.3574
0.231756,0.005178,N1,package,0.3941,76.1116
0.231765,0.005179,N1,ram,0.0442,8.5322
0.236893,0.005188,N0,package,1.0379,200.0588
0.236925,0.005187,N0,ram,0.0268,5.1715
0.236944,0.005188,N1,package,0.4135,79.6941
0.236952,0.005187,N1,ram,0.0453,8.7373
0.242068,0.005175,N0,package,1.0461,202.1369
0.242084,0.005159,N0,ram,0.0271,5.2527
0.242090,0.005146,N1,package,0.4902,95.2646
