#timestamp,interval,socket,domain,energy,power
0.005170,0.005610,N0,package,0.5445,97.0581
0.005188,0.005432,N0,ram,0.0316,5.8118
0.005274,0.005354,N1,package,0.5499,102.7032
0.005298,0.005298,N1,ram,0.0570,10.7545
0.010478,0.005308,N0,package,0.6214,117.0650
0.010494,0.005306,N0,ram,0.0369,6.9478
0.010783,0.005509,N1,package,0.4121,74.8047
0.010940,0.005642,N1,ram,0.0457,8.0920
0.016126,0.005648,N0,package,0.5300,93.8346
0.016142,0.005648,N0,ram,0.0322,5.7059
0.016226,0.005443,N1,package,0.4921,90.4169
0.016238,0.005298,N1,ram,0.0564,10.6475
0.021480,0.005354,N0,package,0.5782,107.9929
0.021498,0.005356,N0,ram,0.0323,6.0254
0.021788,0.005562,N1,package,0.4140,74.4330
0.021877,0.005639,N1,ram,0.0441,7.8258
0.027042,0.005562,N0,package,0.6268,112.6865
0.027228,0.005730,N0,ram,0.0369,6.4338
0.027312,0.005524,N1,package,0.4847,87.7421
0.027325,0.005448,N1,ram,0.0536,9.8390
0.032518,0.005476,N0,package,0.5339,97.5047
0.032532,0.005304,N0,ram,0.0314,5.9147
0.032756,0.005444,N1,package,0.4182,76.8090
0.032844,0.005519,N1,ram,0.0449,8.1396
0.038009,0.005491,N0,package,0.6092,110.9433
0.038021,0.005489,N0,ram,0.0349,6.3494
0.038136,0.005380,N1,package,0.5169,96.0766
0.038156,0.005312,N1,ram,0.0545,10.2521
0.043320,0.005311,N0,package,0.5227,98.4191
0.043331,0.005310,N0,ram,0.0284,5.3391
0.043443,0.005307,N1,package,0.4570,86.1077
0.043456,0.005300,N1,ram,0.0455,8.5852
0.048826,0.005506,N0,package,0.5829,105.8630
0.048840,0.005509,N0,ram,0.0343,6.2321
0.048935,0.005492,N1,package,0.4370,79.5728
0.048948,0.005492,N1,ram,0.0465,8.4685
0.054111,0.005285,N0,package,0.6461,122.2430
0.054123,0.005283,N0,ram,0.0354,6.7064
0.054233,0.005298,N1,package,0.5102,96.3010
0.054245,0.005297,N1,ram,0.0520,9.8169
0.059410,0.005299,N0,package,0.5614,105.9477
0.059422,0.005299,N0,ram,0.0362,6.8244
0.059541,0.005308,N1,package,0.4343,81.8225
0.059553,0.005308,N1,ram,0.0466,8.7737
0.064862,0.005452,N0,package,0.5364,98.3789
0.064876,0.005454,N0,ram,0.0387,7.0897
0.064992,0.005451,N1,package,0.4332,79.4772
0.065004,0.005451,N1,ram,0.0449,8.2439
0.070216,0.005354,N0,package,0.6790,126.8144
0.070228,0.005352,N0,ram,0.0500,9.3514
0.070384,0.005392,N1,package,0.5519,102.3502
0.070404,0.005400,N1,ram,0.0545,10.0879
0.075609,0.005393,N0,package,0.2398,44.4661
0.075623,0.005395,N0,ram,0.0128,2.3645
0.075712,0.005328,N1,package,0.4379,82.1945
0.075724,0.005320,N1,ram,0.0455,8.5500
0.082668,0.007059,N0,package,1.2303,174.2982
0.082728,0.007105,N0,ram,0.1022,14.3802
0.082773,0.007061,N1,package,0.6312,89.3960
0.082782,0.007058,N1,ram,0.0639,9.0477
0.087907,0.005239,N0,package,1.2307,234.9016
0.087947,0.005219,N0,ram,0.0582,11.1452
0.087968,0.005195,N1,package,0.4424,85.1688
0.087976,0.005194,N1,ram,0.0450,8.6720
0.093097,0.005190,N0,package,0.9305,179.2906
0.093129,0.005182,N0,ram,0.0550,10.6092
0.093141,0.005173,N1,package,0.4308,83.2764
0.093143,0.005167,N1,ram,0.0445,8.6083
0.098266,0.005169,N0,package,0.9480,183.4037
0.098310,0.005181,N0,ram,0.0576,11.1266
0.098330,0.005189,N1,package,0.5081,97.9069
0.098338,0.005195,N1,ram,0.0535,10.3039
0.103449,0.005183,N0,package,0.9371,180.8098
0.103463,0.005153,N0,ram,0.0568,11.0245
0.103469,0.005139,N1,package,0.4546,88.4610
0.103472,0.005134,N1,ram,0.0465,9.0499
0.108598,0.005149,N0,package,1.1224,217.9858
0.108633,0.005170,N0,ram,0.0640,12.3726
0.108654,0.005185,N1,package,0.4384,84.5525
0.108662,0.005190,N1,ram,0.0443,8.5292
0.113781,0.005183,N0,package,0.9109,175.7579
0.113813,0.005180,N0,ram,0.0548,10.5837
0.113833,0.005179,N1,package,0.4280,82.6384
0.113841,0.005179,N1,ram,0.0450,8.6946
0.118969,0.005188,N0,package,0.9536,183.8000
0.119006,0.005193,N0,ram,0.0546,10.5046
0.119026,0.005193,N1,package,0.4631,89.1845
0.119034,0.005193,N1,ram,0.0465,8.9502
0.124158,0.005189,N0,package,0.9476,182.6253
0.124176,0.005170,N0,ram,0.0577,11.1561
0.124183,0.005157,N1,package,0.4091,79.3328
0.124185,0.005151,N1,ram,0.0432,8.3803
0.129305,0.005147,N0,package,0.9334,181.3511
0.129324,0.005148,N0,ram,0.0545,10.5906
0.129331,0.005148,N1,package,0.4561,88.6017
0.129334,0.005149,N1,ram,0.0451,8.7538
