#timestamp,interval,socket,domain,energy,power
0.005172,0.005471,N0,package,0.5875,107.3890
0.005344,0.005453,N0,ram,0.0339,6.2206
0.005429,0.005442,N1,package,0.4251,78.1144
0.005441,0.005441,N1,ram,0.0448,8.2282
0.010599,0.005427,N0,package,0.5284,97.3749
0.010610,0.005266,N0,ram,0.0310,5.8909
0.010834,0.005405,N1,package,0.5012,92.7337
0.011035,0.005594,N1,ram,0.0555,9.9206
0.016223,0.005624,N0,package,0.5015,89.1643
0.016235,0.005625,N0,ram,0.0299,5.3168
0.016319,0.005485,N1,package,0.4310,78.5826
0.016331,0.005296,N1,ram,0.0504,9.5195
0.021403,0.005180,N0,package,0.6197,119.6285
0.021415,0.005180,N0,ram,0.0359,6.9282
0.021527,0.005208,N1,package,0.3936,75.5788
0.021541,0.005210,N1,ram,0.0419,8.0425
0.026906,0.005503,N0,package,0.5898,107.1759
0.027032,0.005617,N0,ram,0.0323,5.7510
0.027123,0.005596,N1,package,0.4833,86.3731
0.027134,0.005593,N1,ram,0.0542,9.6959
0.032310,0.005404,N0,package,0.6328,117.1009
0.032321,0.005289,N0,ram,0.0357,6.7508
0.032392,0.005269,N1,package,0.4225,80.1824
0.032405,0.005271,N1,ram,0.0443,8.4067
0.037553,0.005243,N0,package,0.5002,95.3990
0.037565,0.005244,N0,ram,0.0282,5.3772
0.037810,0.005418,N1,package,0.4450,82.1340
0.037917,0.005512,N1,ram,0.0556,10.0849
0.043082,0.005529,N0,package,0.6398,115.7244
0.043093,0.005528,N0,ram,0.0365,6.6026
0.043209,0.005399,N1,package,0.5227,96.8154
0.043228,0.005311,N1,ram,0.0483,9.0903
0.048398,0.005316,N0,package,0.5516,103.7686
0.048410,0.005317,N0,ram,0.0309,5.8200
0.048494,0.005285,N1,package,0.4742,89.7259
0.048505,0.005277,N1,ram,0.0464,8.7901
0.054839,0.006441,N0,package,0.5250,81.5144
0.054903,0.006493,N0,ram,0.0377,5.8022
0.054947,0.006453,N1,package,0.4833,74.8913
0.054955,0.006450,N1,ram,0.0506,7.8518
0.060062,0.005223,N0,package,1.1052,211.6058
0.060094,0.005191,N0,ram,0.0708,13.6307
0.060110,0.005163,N1,package,0.5568,107.8330
0.060118,0.005163,N1,ram,0.0572,11.0740
0.065257,0.005195,N0,package,0.8743,168.2974
0.065301,0.005207,N0,ram,0.0643,12.3429
0.065321,0.005211,N1,package,0.4318,82.8580
0.065329,0.005211,N1,ram,0.0447,8.5706
0.070456,0.005199,N0,package,0.7869,151.3624
0.070504,0.005203,N0,ram,0.0619,11.9038
0.070526,0.005205,N1,package,0.4680,89.9184
0.070534,0.005205,N1,ram,0.0466,8.9590
0.075701,0.005245,N0,package,0.8269,157.6566
0.075743,0.005239,N0,ram,0.0607,11.5890
0.075767,0.005241,N1,package,0.4285,81.7621
0.075776,0.005242,N1,ram,0.0417,7.9643
0.080920,0.005219,N0,package,0.8553,163.8798
0.080962,0.005219,N0,ram,0.0663,12.7064
0.080984,0.005217,N1,package,0.4685,89.8065
0.080991,0.005215,N1,ram,0.0475,9.1082
0.086144,0.005224,N0,package,1.0168,194.6493
0.086226,0.005264,N0,ram,0.0765,14.5282
0.086248,0.005264,N1,package,0.5142,97.6740
0.086256,0.005265,N1,ram,0.0531,10.0827
0.091390,0.005246,N0,package,0.8201,156.3365
0.091431,0.005205,N0,ram,0.0647,12.4330
0.091438,0.005190,N1,package,0.3874,74.6397
0.091440,0.005184,N1,ram,0.0431,8.3212
0.096600,0.005210,N0,package,0.8383,160.8888
0.096623,0.005192,N0,ram,0.0617,11.8848
0.096634,0.005196,N1,package,0.4429,85.2354
0.096637,0.005197,N1,ram,0.0473,9.0929
0.101779,0.005179,N0,package,0.7950,153.5034
0.101827,0.005204,N0,ram,0.0623,11.9808
0.101852,0.005218,N1,package,0.4327,82.9316
0.101860,0.005223,N1,ram,0.0435,8.3378
0.106995,0.005216,N0,package,0.8582,164.5388
0.107037,0.005210,N0,ram,0.0664,12.7367
0.107058,0.005206,N1,package,0.5073,97.4479
0.107066,0.005206,N1,ram,0.0554,10.6369
0.112198,0.005203,N0,package,0.9847,189.2638
0.112242,0.005205,N0,ram,0.0730,14.0160
