#timestamp,interval,socket,domain,energy,power
0.005168,0.005575,N0,package,0.6114,109.6674
0.005310,0.005548,N0,ram,0.0330,5.9462
0.005476,0.005559,N1,package,0.4388,78.9432
0.005500,0.005500,N1,ram,0.0476,8.6478
0.010739,0.005571,N0,package,0.5269,94.5730
0.010871,0.005561,N0,ram,0.0282,5.0681
0.011041,0.005565,N1,package,0.4956,89.0587
0.011053,0.005553,N1,ram,0.0562,10.1231
0.016210,0.005471,N0,package,0.5216,95.3404
0.016224,0.005353,N0,ram,0.0287,5.3561
0.016319,0.005278,N1,package,0.4328,81.9991
0.016331,0.005278,N1,ram,0.0478,9.0574
0.021479,0.005269,N0,package,0.6766,128.4170
0.021491,0.005267,N0,ram,0.0331,6.2777
0.021808,0.005489,N1,package,0.4078,74.3025
0.021896,0.005565,N1,ram,0.0447,8.0367
0.027049,0.005570,N0,package,0.5079,91.1812
0.027062,0.005571,N0,ram,0.0266,4.7714
0.027145,0.005337,N1,package,0.4959,92.9194
0.027157,0.005261,N1,ram,0.0545,10.3515
0.032231,0.005182,N0,package,0.6789,131.0093
0.032242,0.005180,N0,ram,0.0343,6.6248
0.032325,0.005180,N1,package,0.4570,88.2161
0.032337,0.005180,N1,ram,0.0488,9.4172
0.037511,0.005280,N0,package,0.5320,100.7539
0.037524,0.005282,N0,ram,0.0269,5.0844
0.037782,0.005457,N1,package,0.4108,75.2744
0.037856,0.005519,N1,ram,0.0422,7.6447
0.043020,0.005509,N0,package,0.5577,101.2389
0.043031,0.005507,N0,ram,0.0279,5.0623
0.043149,0.005367,N1,package,0.5273,98.2446
0.043162,0.005306,N1,ram,0.0547,10.3067
0.048324,0.005304,N0,package,0.5594,105.4679
0.048335,0.005304,N0,ram,0.0293,5.5266
0.048420,0.005271,N1,package,0.4344,82.4230
0.048431,0.005269,N1,ram,0.0457,8.6675
0.053526,0.005202,N0,package,0.6495,124.8615
0.053541,0.005206,N0,ram,0.0320,6.1462
0.053771,0.005351,N1,package,0.4497,84.0406
0.053885,0.005454,N1,ram,0.0458,8.3959
0.059046,0.005520,N0,package,0.7539,136.5746
0.059087,0.005546,N0,ram,0.0512,9.2388
0.059108,0.005337,N1,package,0.5213,97.6768
0.059116,0.005231,N1,ram,0.0543,10.3847
0.064251,0.005205,N0,package,0.9666,185.7000
0.064275,0.005188,N0,ram,0.0762,14.6912
0.064281,0.005173,N1,package,0.4741,91.6418
0.064283,0.005167,N1,ram,0.0474,9.1783
0.069414,0.005163,N0,package,0.8300,160.7522
0.069434,0.005159,N0,ram,0.0647,12.5379
0.069440,0.005159,N1,package,0.4432,85.9052
0.069443,0.005160,N1,ram,0.0446,8.6376
0.074682,0.005268,N0,package,0.7940,150.7198
0.074711,0.005277,N0,ram,0.0601,11.3843
0.074724,0.005284,N1,package,0.4441,84.0435
0.074727,0.005284,N1,ram,0.0443,8.3830
0.079858,0.005176,N0,package,0.7988,154.3382
0.079897,0.005186,N0,ram,0.0643,12.4016
0.079917,0.005193,N1,package,0.4588,88.3500
0.079925,0.005198,N1,ram,0.0462,8.8829
0.085067,0.005209,N0,package,0.8484,162.8633
0.085112,0.005215,N0,ram,0.0647,12.4149
0.085133,0.005216,N1,package,0.4416,84.6624
0.085140,0.005215,N1,ram,0.0444,8.5175
0.090296,0.005229,N0,package,0.8159,156.0372
0.090324,0.005212,N0,ram,0.0635,12.1875
0.090330,0.005197,N1,package,0.5421,104.3120
0.090333,0.005193,N1,ram,0.0554,10.6691
0.095450,0.005154,N0,package,0.9321,180.8591
0.095470,0.005146,N0,ram,0.0715,13.8888
0.095476,0.005146,N1,package,0.4523,87.8873
0.095478,0.005145,N1,ram,0.0448,8.7073
0.100640,0.005190,N0,package,0.8004,154.2068
0.100676,0.005206,N0,ram,0.0609,11.6944
0.100699,0.005223,N1,package,0.4434,84.8971
0.100707,0.005229,N1,ram,0.0444,8.4917
0.105815,0.005175,N0,package,0.8176,157.9994
0.105836,0.005160,N0,ram,0.0639,12.3789
0.105843,0.005144,N1,package,0.4622,89.8462
0.105845,0.005138,N1,ram,0.0463,9.0075
0.110998,0.005183,N0,package,0.7947,153.3244
0.111039,0.005203,N0,ram,0.0599,11.5137
0.111059,0.005216,N1,package,0.4648,89.1050
0.111067,0.005222,N1,ram,0.0454,8.6987
0.116209,0.005211,N0,package,0.8167,156.7132
0.116229,0.005190,N0,ram,0.0613,11.8069
0.116235,0.005176,N1,package,0.4302,83.1086
0.116238,0.005171,N1,ram,0.0438,8.4781
0.121390,0.005181,N0,package,0.9798,189.1196
0.121449,0.005220,N0,ram,0.0757,14.5106
0.121455,0.005220,N1,package,0.5541,106.1463
0.121457,0.005219,N1,ram,0.0554,10.6072
0.126705,0.005315,N0,package,0.8163,153.5908
0.126875,0.005426,N0,ram,0.0636,11.7241
0.126896,0.005441,N1,package,0.4493,82.5738
0.126899,0.005442,N1,ram,0.0460,8.4479
0.132031,0.005326,N0,package,0.8147,152.9651
0.132079,0.005204,N0,ram,0.0601,11.5439
0.132099,0.005203,N1,package,0.4243,81.5404
0.132108,0.005209,N1,ram,0.0433,8.3193
0.137249,0.005218,N0,package,0.7990,153.1251
0.137294,0.005215,N0,ram,0.0620,11.8848
0.137315,0.005216,N1,package,0.5516,105.7442
0.137323,0.005215,N1,ram,0.0534,10.2439
0.142467,0.005218,N0,package,0.9778,187.3972
0.142510,0.005216,N0,ram,0.0750,14.3786
0.142530,0.005215,N1,package,0.4437,85.0758
0.142557,0.005234,N1,ram,0.0455,8.6877
0.147803,0.005336,N0,package,0.7820,146.5537
0.147828,0.005318,N0,ram,0.0602,11.3137
0.147841,0.005311,N1,package,0.4409,83.0081
0.147843,0.005286,N1,ram,0.0442,8.3597
0.152961,0.005158,N0,package,0.8132,157.6468
0.152999,0.005171,N0,ram,0.0608,11.7619
0.153020,0.005179,N1,package,0.4616,89.1321
0.153028,0.005185,N1,ram,0.0460,8.8667
0.158156,0.005195,N0,package,0.8475,163.1473
0.158195,0.005196,N0,ram,0.0674,12.9797
0.158214,0.005194,N1,package,0.4557,87.7345
0.158222,0.005194,N1,ram,0.0442,8.5049
0.163363,0.005207,N0,package,0.9297,178.5436
0.163415,0.005220,N0,ram,0.0717,13.7418
0.163435,0.005221,N1,package,0.5336,102.2059
0.163443,0.005221,N1,ram,0.0553,10.5917
0.168611,0.005248,N0,package,0.8494,161.8550
0.168655,0.005240,N0,ram,0.0664,12.6701
0.168679,0.005244,N1,package,0.4306,82.1132
0.168687,0.005244,N1,ram,0.0446,8.5081
0.173805,0.005194,N0,package,0.8018,154.3756
0.173821,0.005166,N0,ram,0.0615,11.9033
0.173827,0.005148,N1,package,0.4527,87.9378
0.173829,0.005142,N1,ram,0.0459,8.9292
0.178990,0.005185,N0,package,0.7986,154.0214
0.179027,0.005206,N0,ram,0.0603,11.5807
0.179047,0.005220,N1,package,0.4754,91.0744
0.179055,0.005226,N1,ram,0.0447,8.5518
0.184188,0.005198,N0,package,0.8145,156.6858
0.184227,0.005200,N0,ram,0.0639,12.2976
0.184246,0.005199,N1,package,0.4197,80.7352
0.184254,0.005199,N1,ram,0.0413,7.9391
0.189383,0.005195,N0,package,0.8160,157.0776
0.189420,0.005193,N0,ram,0.0618,11.8915
0.189426,0.005180,N1,package,0.4821,93.0588
0.189429,0.005175,N1,ram,0.0482,9.3113
0.194575,0.005192,N0,package,0.7918,152.5114
0.194614,0.005194,N0,ram,0.0610,11.7483
0.194636,0.005210,N1,package,0.5308,101.8869
0.194644,0.005215,N1,ram,0.0546,10.4662
0.199776,0.005201,N0,package,0.9924,190.8118
0.199823,0.005209,N0,ram,0.0775,14.8751
0.199842,0.005206,N1,package,0.4380,84.1297
0.199851,0.005207,N1,ram,0.0455,8.7473
0.204972,0.005196,N0,package,0.7990,153.7598
0.204991,0.005168,N0,ram,0.0610,11.8103
0.204997,0.005155,N1,package,0.4602,89.2762
0.205000,0.005149,N1,ram,0.0443,8.5971
0.210130,0.005158,N0,package,0.8496,164.7185
0.210183,0.005192,N0,ram,0.0659,12.6901
0.210203,0.005206,N1,package,0.4309,82.7697
0.210210,0.005210,N1,ram,0.0442,8.4759
0.215356,0.005226,N0,package,0.7553,144.5321
0.215394,0.005211,N0,ram,0.0578,11.0947
0.215414,0.005211,N1,package,0.5010,96.1362
0.215422,0.005212,N1,ram,0.0550,10.5481
0.220603,0.005247,N0,package,0.9723,185.2999
0.220671,0.005277,N0,ram,0.0724,13.7120
0.220697,0.005283,N1,package,0.4202,79.5451
0.220705,0.005283,N1,ram,0.0454,8.5867
0.225828,0.005225,N0,package,0.8123,155.4690
0.225863,0.005192,N0,ram,0.0621,11.9554
0.225883,0.005186,N1,package,0.4086,78.7819
0.225891,0.005186,N1,ram,0.0453,8.7389
0.231014,0.005186,N0,package,0.8693,167.6263
0.231049,0.005186,N0,ram,0.0654,12.6105
0.231070,0.005187,N1,package,0.4085,78.7557
0.231077,0.005186,N1,ram,0.0434,8.3590
0.236200,0.005186,N0,package,0.7629,147.1197
0.236236,0.005187,N0,ram,0.0531,10.2347
0.236255,0.005185,N1,package,0.4043,77.9760
0.236264,0.005187,N1,ram,0.0469,9.0487
0.241387,0.005187,N0,package,0.8083,155.8286
0.241423,0.005187,N0,ram,0.0606,11.6874
0.241443,0.005188,N1,package,0.4816,92.8235
0.241450,0.005186,N1,ram,0.0531,10.2425
0.246702,0.005315,N0,package,0.7869,148.0443
0.246721,0.005298,N0,ram,0.0704,13.2942
0.246736,0.005293,N1,package,0.4188,79.1258
0.246739,0.005289,N1,ram,0.0474,8.9549
0.251821,0.005119,N0,package,0.9682,189.1355
0.251837,0.005116,N0,ram,0.0586,11.4471
0.251843,0.005107,N1,package,0.3912,76.5968
0.251846,0.005107,N1,ram,0.0416,8.1509
0.256952,0.005131,N0,package,0.8000,155.9244
0.256970,0.005133,N0,ram,0.0564,10.9872
0.256976,0.005133,N1,package,0.4214,82.1069
0.256979,0.005133,N1,ram,0.0464,9.0337
0.262096,0.005144,N0,package,0.8226,159.9244
0.262131,0.005161,N0,ram,0.0607,11.7640
0.262152,0.005176,N1,package,0.4221,81.5521
0.262160,0.005181,N1,ram,0.0445,8.5854
0.267282,0.005186,N0,package,0.7906,152.4561
0.267317,0.005186,N0,ram,0.0569,10.9746
0.267337,0.005185,N1,package,0.4218,81.3427
0.267345,0.005185,N1,ram,0.0468,9.0197
0.272475,0.005193,N0,package,0.7746,149.1619
0.272512,0.005195,N0,ram,0.0565,10.8708
0.272533,0.005196,N1,package,0.4024,77.4437
0.272551,0.005206,N1,ram,0.0463,8.8866
0.277672,0.005197,N0,package,0.9803,188.6235
0.277704,0.005192,N0,ram,0.0723,13.9156
0.277724,0.005191,N1,package,0.4879,93.9791
0.277732,0.005181,N1,ram,0.0512,9.8872
0.282821,0.005149,N0,package,0.8088,157.0898
0.282837,0.005133,N0,ram,0.0623,12.1288
0.282843,0.005119,N1,package,0.4226,82.5591
0.282845,0.005113,N1,ram,0.0473,9.2422
0.287963,0.005142,N0,package,0.8835,171.8181
0.287995,0.005158,N0,ram,0.0629,12.1941
0.288015,0.005172,N1,package,0.4309,83.3154
