#timestamp,interval,socket,domain,energy,power
0.005271,0.005565,N0,package,0.5967,107.2215
0.005410,0.005514,N0,ram,0.0310,5.6232
0.005502,0.005514,N1,package,0.4975,90.2221
0.005523,0.005523,N1,ram,0.0563,10.1919
0.010688,0.005417,N0,package,0.5543,102.3324
0.010700,0.005290,N0,ram,0.0316,5.9650
0.010855,0.005353,N1,package,0.4045,75.5731
0.010875,0.005352,N1,ram,0.0450,8.3991
0.016052,0.005364,N0,package,0.5215,97.2274
0.016069,0.005369,N0,ram,0.0266,4.9480
0.016245,0.005390,N1,package,0.4213,78.1577
0.016338,0.005463,N1,ram,0.0483,8.8488
0.021414,0.005362,N0,package,0.5892,109.8785
0.021425,0.005356,N0,ram,0.0293,5.4784
0.021512,0.005267,N1,package,0.4919,93.3985
0.021525,0.005187,N1,ram,0.0522,10.0636
0.026706,0.005292,N0,package,0.6389,120.7338
0.026719,0.005294,N0,ram,0.0338,6.3787
0.026803,0.005291,N1,package,0.3934,74.3590
0.026815,0.005290,N1,ram,0.0449,8.4803
0.031996,0.005290,N0,package,0.5488,103.7361
0.032009,0.005290,N0,ram,0.0277,5.2295
0.032270,0.005467,N1,package,0.4478,81.9021
0.032345,0.005530,N1,ram,0.0557,10.0688
0.037511,0.005515,N0,package,0.6245,113.2416
0.037671,0.005662,N0,ram,0.0321,5.6648
0.037835,0.005565,N1,package,0.5302,95.2775
0.037846,0.005501,N1,ram,0.0458,8.3186
0.043025,0.005514,N0,package,0.5925,107.4562
0.043049,0.005378,N0,ram,0.0273,5.0759
0.043283,0.005448,N1,package,0.4442,81.5243
0.043477,0.005631,N1,ram,0.0554,9.8393
0.048645,0.005620,N0,package,0.6524,116.0862
0.048656,0.005607,N0,ram,0.0333,5.9379
0.048740,0.005457,N1,package,0.5424,99.3890
0.048752,0.005275,N1,ram,0.0450,8.5304
0.053828,0.005183,N0,package,0.5308,102.4165
0.053840,0.005184,N0,ram,0.0254,4.9009
0.053925,0.005185,N1,package,0.4503,86.8479
0.053936,0.005184,N1,ram,0.0457,8.8212
0.061263,0.007435,N0,package,1.2980,174.5798
0.061312,0.007472,N0,ram,0.0895,11.9729
0.061415,0.007490,N1,package,0.5903,78.8087
0.061435,0.007499,N1,ram,0.0633,8.4464
0.066574,0.005311,N0,package,0.8737,164.5107
0.066628,0.005316,N0,ram,0.0673,12.6582
0.066728,0.005313,N1,package,0.5556,104.5758
0.066762,0.005327,N1,ram,0.0558,10.4838
0.071886,0.005312,N0,package,0.8543,160.8273
0.071910,0.005282,N0,ram,0.0629,11.9021
0.072027,0.005299,N1,package,0.4504,85.0031
0.072038,0.005276,N1,ram,0.0463,8.7747
0.077163,0.005277,N0,package,0.8535,161.7262
0.077209,0.005299,N0,ram,0.0664,12.5345
0.077325,0.005298,N1,package,0.4483,84.6191
0.077359,0.005321,N1,ram,0.0453,8.5198
0.082492,0.005329,N0,package,0.9941,186.5452
0.082558,0.005349,N0,ram,0.0736,13.7642
0.082657,0.005332,N1,package,0.5342,100.1839
0.082677,0.005318,N1,ram,0.0523,9.8331
0.087817,0.005325,N0,package,0.8389,157.5314
0.087858,0.005300,N0,ram,0.0614,11.5764
0.087944,0.005287,N1,package,0.4316,81.6392
0.087955,0.005278,N1,ram,0.0443,8.3838
0.093073,0.005256,N0,package,0.8564,162.9482
0.093100,0.005242,N0,ram,0.0649,12.3744
0.093204,0.005260,N1,package,0.4470,84.9852
0.093216,0.005261,N1,ram,0.0465,8.8462
0.098343,0.005270,N0,package,1.0112,191.8842
0.098385,0.005285,N0,ram,0.0759,14.3695
0.098484,0.005280,N1,package,0.4515,85.5183
0.098504,0.005288,N1,ram,0.0441,8.3365
0.103630,0.005287,N0,package,0.8394,158.7604
0.103680,0.005295,N0,ram,0.0613,11.5701
0.103780,0.005296,N1,package,0.5229,98.7328
0.103813,0.005309,N1,ram,0.0534,10.0650
0.108941,0.005311,N0,package,0.8549,160.9596
0.108963,0.005283,N0,ram,0.0630,11.9254
0.109078,0.005298,N1,package,0.4515,85.2296
0.109087,0.005274,N1,ram,0.0459,8.7056
0.114209,0.005268,N0,package,1.0121,192.1274
0.114250,0.005287,N0,ram,0.0769,14.5403
0.114345,0.005267,N1,package,0.4999,94.9208
0.114368,0.005281,N1,ram,0.0520,9.8470
0.119503,0.005294,N0,package,0.8563,161.7510
0.119543,0.005293,N0,ram,0.0624,11.7852
0.119644,0.005299,N1,package,0.4610,86.9958
0.119665,0.005297,N1,ram,0.0460,8.6910
0.124800,0.005297,N0,package,0.8754,165.2702
0.124843,0.005300,N0,ram,0.0633,11.9449
0.124942,0.005298,N1,package,0.4332,81.7735
0.124962,0.005297,N1,ram,0.0465,8.7832
0.130149,0.005349,N0,package,0.8561,160.0585
0.130193,0.005350,N0,ram,0.0640,11.9643
0.130328,0.005386,N1,package,0.4431,82.2699
0.130348,0.005386,N1,ram,0.0446,8.2752
0.135483,0.005334,N0,package,1.0132,189.9547
0.135524,0.005331,N0,ram,0.0765,14.3513
0.135623,0.005295,N1,package,0.5240,98.9581
0.135657,0.005309,N1,ram,0.0538,10.1402
0.140786,0.005303,N0,package,0.8379,158.0059
0.140822,0.005298,N0,ram,0.0598,11.2845
0.140922,0.005299,N1,package,0.4667,88.0824
0.140955,0.005298,N1,ram,0.0471,8.8820
0.146102,0.005316,N0,package,0.8556,160.9458
0.146138,0.005316,N0,ram,0.0660,12.4200
0.146376,0.005454,N1,package,0.4152,76.1196
0.146497,0.005542,N1,ram,0.0426,7.6899
0.151634,0.005532,N0,package,1.0317,186.5028
0.151674,0.005536,N0,ram,0.0767,13.8556
0.151773,0.005397,N1,package,0.5483,101.5880
0.151793,0.005296,N1,ram,0.0543,10.2542
0.156918,0.005284,N0,package,0.8557,161.9304
0.156953,0.005279,N0,ram,0.0619,11.7184
0.157068,0.005295,N1,package,0.4529,85.5293
0.157075,0.005282,N1,ram,0.0463,8.7677
0.162200,0.005282,N0,package,0.8200,155.2478
0.162240,0.005287,N0,ram,0.0633,11.9683
