#timestamp,interval,socket,domain,energy,power
0.005279,0.005418,N0,package,0.5881,108.5395
0.005395,0.005515,N0,ram,0.0315,5.7191
0.005487,0.005513,N1,package,0.4095,74.2769
0.005498,0.005498,N1,ram,0.0448,8.1540
0.010666,0.005387,N0,package,0.5435,100.8976
0.010804,0.005409,N0,ram,0.0276,5.0947
0.011178,0.005691,N1,package,0.4920,86.4523
0.011336,0.005838,N1,ram,0.0571,9.7724
0.016504,0.005838,N0,package,0.5219,89.3862
0.016724,0.005920,N0,ram,0.0266,4.4847
0.016812,0.005634,N1,package,0.4866,86.3733
0.016824,0.005488,N1,ram,0.0564,10.2820
0.021939,0.005435,N0,package,0.6672,122.7668
0.021957,0.005233,N0,ram,0.0327,6.2490
0.022159,0.005347,N1,package,0.4193,78.4198
0.022233,0.005409,N1,ram,0.0466,8.6238
0.027404,0.005465,N0,package,0.5954,108.9469
0.027416,0.005459,N0,ram,0.0311,5.6993
0.027502,0.005343,N1,package,0.4115,77.0170
0.027514,0.005281,N1,ram,0.0436,8.2550
0.032690,0.005286,N0,package,0.6170,116.7247
0.032701,0.005285,N0,ram,0.0284,5.3673
0.032786,0.005284,N1,package,0.4404,83.3427
0.032798,0.005284,N1,ram,0.0481,9.1107
0.038097,0.005407,N0,package,0.5703,105.4682
0.038201,0.005500,N0,ram,0.0275,4.9965
0.038367,0.005581,N1,package,0.5154,92.3542
0.038378,0.005580,N1,ram,0.0545,9.7597
0.043541,0.005444,N0,package,0.6626,121.7104
0.043552,0.005351,N0,ram,0.0299,5.5836
0.043669,0.005302,N1,package,0.4391,82.8161
0.043689,0.005311,N1,ram,0.0544,10.2395
0.048873,0.005332,N0,package,0.6221,116.6675
0.048885,0.005333,N0,ram,0.0299,5.6078
0.049135,0.005466,N1,package,0.5425,99.2466
0.049224,0.005535,N1,ram,0.0467,8.4304
0.054303,0.005430,N0,package,0.6288,115.7986
0.054315,0.005430,N0,ram,0.0312,5.7438
0.054400,0.005265,N1,package,0.4371,83.0148
0.054412,0.005188,N1,ram,0.0447,8.6176
0.059511,0.005208,N0,package,0.6660,127.8828
0.059532,0.005217,N0,ram,0.0539,10.3366
0.059647,0.005247,N1,package,0.4269,81.3668
0.059659,0.005247,N1,ram,0.0453,8.6281
0.064778,0.005267,N0,package,0.7109,134.9759
0.064802,0.005270,N0,ram,0.0546,10.3540
0.064917,0.005270,N1,package,0.5550,105.3116
0.064950,0.005291,N1,ram,0.0545,10.2985
0.070066,0.005288,N0,package,0.6304,119.2220
0.070095,0.005293,N0,ram,0.0527,9.9484
0.070208,0.005291,N1,package,0.4303,81.3266
0.070221,0.005271,N1,ram,0.0452,8.5746
0.075341,0.005275,N0,package,0.7487,141.9368
0.075366,0.005271,N0,ram,0.0633,12.0166
0.075504,0.005296,N1,package,0.4268,80.5928
0.075517,0.005296,N1,ram,0.0446,8.4131
0.080646,0.005305,N0,package,0.6556,123.5763
0.080672,0.005306,N0,ram,0.0533,10.0421
0.080785,0.005281,N1,package,0.4337,82.1280
0.080799,0.005282,N1,ram,0.0439,8.3051
