#timestamp,interval,socket,domain,energy,power
0.005169,0.005440,N0,package,0.5776,106.1721
0.005324,0.005428,N0,ram,0.0361,6.6510
0.005412,0.005421,N1,package,0.4478,82.5974
0.005424,0.005424,N1,ram,0.0493,9.0978
0.010587,0.005418,N0,package,0.5070,93.5835
0.010600,0.005276,N0,ram,0.0277,5.2579
0.010909,0.005497,N1,package,0.4185,76.1249
0.011067,0.005643,N1,ram,0.0536,9.5071
0.016252,0.005665,N0,package,0.6260,110.4977
0.016268,0.005668,N0,ram,0.0350,6.1677
0.016367,0.005458,N1,package,0.4916,90.0635
0.016378,0.005311,N1,ram,0.0467,8.8001
0.021453,0.005201,N0,package,0.6035,116.0361
0.021465,0.005197,N0,ram,0.0366,7.0406
0.021540,0.005173,N1,package,0.4176,80.7278
0.021553,0.005175,N1,ram,0.0457,8.8282
0.026700,0.005247,N0,package,0.4974,94.7946
0.026722,0.005257,N0,ram,0.0294,5.5931
0.026804,0.005264,N1,package,0.4057,77.0736
0.026818,0.005265,N1,ram,0.0445,8.4452
0.031992,0.005292,N0,package,0.5941,112.2516
0.032004,0.005282,N0,ram,0.0329,6.2342
0.032087,0.005283,N1,package,0.5189,98.2225
0.032100,0.005282,N1,ram,0.0552,10.4572
0.037265,0.005273,N0,package,0.5749,109.0280
0.037276,0.005272,N0,ram,0.0314,5.9595
0.037359,0.005272,N1,package,0.4210,79.8495
0.037372,0.005272,N1,ram,0.0442,8.3763
0.042535,0.005270,N0,package,0.5159,97.8994
0.042546,0.005270,N0,ram,0.0289,5.4926
0.042659,0.005300,N1,package,0.4638,87.5099
0.042672,0.005300,N1,ram,0.0463,8.7291
0.047992,0.005457,N0,package,0.5404,99.0311
0.048006,0.005460,N0,ram,0.0289,5.2902
0.048126,0.005467,N1,package,0.5306,97.0522
0.048138,0.005466,N1,ram,0.0565,10.3289
0.053308,0.005316,N0,package,0.7360,138.4538
0.053319,0.005313,N0,ram,0.0418,7.8607
0.053402,0.005276,N1,package,0.4315,81.7858
0.053414,0.005276,N1,ram,0.0448,8.4855
0.058958,0.005650,N0,package,0.8954,158.4741
0.059031,0.005712,N0,ram,0.0611,10.7014
0.059138,0.005736,N1,package,0.5305,92.4911
0.059171,0.005757,N1,ram,0.0544,9.4514
0.064295,0.005337,N0,package,0.8185,153.3713
0.064351,0.005320,N0,ram,0.0607,11.4153
0.064452,0.005314,N1,package,0.4625,87.0255
0.064473,0.005302,N1,ram,0.0454,8.5562
0.069616,0.005321,N0,package,0.8615,161.8955
0.069677,0.005326,N0,ram,0.0650,12.2018
0.069923,0.005471,N1,package,0.4443,81.2056
0.070040,0.005567,N1,ram,0.0458,8.2313
0.075188,0.005572,N0,package,0.9818,176.1910
0.075236,0.005559,N0,ram,0.0741,13.3320
0.075335,0.005412,N1,package,0.5394,99.6752
0.075354,0.005314,N1,ram,0.0568,10.6901
0.080494,0.005306,N0,package,0.8447,159.2020
0.080544,0.005308,N0,ram,0.0632,11.8985
0.080643,0.005308,N1,package,0.4611,86.8703
0.080664,0.005310,N1,ram,0.0448,8.4282
0.085791,0.005297,N0,package,0.9996,188.7074
0.085830,0.005286,N0,ram,0.0759,14.3524
0.085965,0.005322,N1,package,0.4456,83.7201
0.085975,0.005311,N1,ram,0.0440,8.2801
0.091097,0.005306,N0,package,0.8628,162.6069
0.091139,0.005309,N0,ram,0.0649,12.2235
0.091240,0.005275,N1,package,0.5120,97.0544
0.091261,0.005286,N1,ram,0.0512,9.6934
0.096412,0.005315,N0,package,0.8128,152.9248
0.096471,0.005332,N0,ram,0.0628,11.7847
0.096572,0.005332,N1,package,0.4512,84.6274
0.096592,0.005331,N1,ram,0.0450,8.4379
0.101779,0.005367,N0,package,1.0017,186.6491
0.101844,0.005373,N0,ram,0.0741,13.7962
0.101963,0.005391,N1,package,0.4414,81.8801
0.101983,0.005391,N1,ram,0.0461,8.5452
0.107125,0.005346,N0,package,0.8458,158.2147
0.107165,0.005321,N0,ram,0.0652,12.2448
0.107265,0.005302,N1,package,0.4406,83.1039
0.107285,0.005302,N1,ram,0.0438,8.2569
0.112416,0.005291,N0,package,0.8630,163.1031
0.112456,0.005291,N0,ram,0.0641,12.1182
0.112556,0.005291,N1,package,0.5228,98.8147
0.112577,0.005292,N1,ram,0.0533,10.0713
0.117749,0.005333,N0,package,0.9760,183.0043
0.117801,0.005345,N0,ram,0.0756,14.1509
0.117859,0.005303,N1,package,0.4398,82.9241
0.118006,0.005429,N1,ram,0.0456,8.4040
0.123148,0.005399,N0,package,0.8814,163.2472
0.123191,0.005390,N0,ram,0.0646,11.9920
0.123291,0.005432,N1,package,0.4376,80.5653
0.123310,0.005304,N1,ram,0.0457,8.6246
0.128452,0.005304,N0,package,0.8195,154.5022
0.128492,0.005301,N0,ram,0.0615,11.6089
0.128592,0.005301,N1,package,0.5275,99.5031
0.128612,0.005302,N1,ram,0.0540,10.1822
0.133841,0.005389,N0,package,0.8510,157.9174
0.133873,0.005381,N0,ram,0.0766,14.2383
0.134029,0.005437,N1,package,0.4338,79.7916
0.134040,0.005428,N1,ram,0.0442,8.1409
0.139167,0.005326,N0,package,0.9960,187.0121
0.139210,0.005337,N0,ram,0.0633,11.8622
0.139309,0.005280,N1,package,0.5325,100.8464
0.139328,0.005288,N1,ram,0.0537,10.1574
0.144474,0.005307,N0,package,0.8202,154.5500
0.144531,0.005321,N0,ram,0.0593,11.1379
0.144633,0.005324,N1,package,0.4621,86.7970
0.144653,0.005325,N1,ram,0.0464,8.7110
0.149806,0.005332,N0,package,0.8472,158.8954
0.149856,0.005325,N0,ram,0.0651,12.2212
0.149974,0.005341,N1,package,0.4414,82.6440
0.149995,0.005342,N1,ram,0.0447,8.3749
0.155137,0.005331,N0,package,1.0483,196.6369
0.155175,0.005319,N0,ram,0.0792,14.8977
0.155285,0.005311,N1,package,0.4241,79.8592
0.155297,0.005302,N1,ram,0.0436,8.2194
0.160394,0.005257,N0,package,0.8315,158.1627
0.160424,0.005249,N0,ram,0.0651,12.4012
0.160518,0.005233,N1,package,0.5389,102.9762
0.160540,0.005243,N1,ram,0.0556,10.6080
0.165682,0.005288,N0,package,0.8023,151.7255
0.165740,0.005316,N0,ram,0.0580,10.9130
0.165832,0.005314,N1,package,0.4406,82.9060
0.165853,0.005313,N1,ram,0.0439,8.2685
0.170981,0.005299,N0,package,0.8812,166.2975
0.171028,0.005288,N0,ram,0.0804,15.2036
0.171128,0.005296,N1,package,0.4399,83.0706
0.171148,0.005295,N1,ram,0.0453,8.5587
0.176281,0.005300,N0,package,0.9774,184.4250
0.176322,0.005294,N0,ram,0.0616,11.6303
0.176423,0.005295,N1,package,0.4388,82.8781
0.176444,0.005296,N1,ram,0.0435,8.2056
0.181552,0.005271,N0,package,0.8666,164.3986
0.181576,0.005254,N0,ram,0.0650,12.3632
0.181678,0.005255,N1,package,0.5571,106.0075
0.181689,0.005245,N1,ram,0.0556,10.5954
0.186788,0.005236,N0,package,0.8054,153.8261
0.186825,0.005249,N0,ram,0.0609,11.5959
0.187114,0.005436,N1,package,0.4435,81.5832
0.187230,0.005541,N1,ram,0.0435,7.8427
0.192366,0.005578,N0,package,1.0313,184.8877
0.192402,0.005577,N0,ram,0.0793,14.2216
0.192511,0.005397,N1,package,0.5409,100.2196
0.192531,0.005301,N1,ram,0.0539,10.1610
0.197680,0.005314,N0,package,0.8644,162.6762
0.197755,0.005353,N0,ram,0.0648,12.1090
0.197816,0.005305,N1,package,0.4409,83.1013
0.197838,0.005307,N1,ram,0.0432,8.1312
0.202991,0.005311,N0,package,0.8473,159.5346
0.203049,0.005294,N0,ram,0.0627,11.8345
0.203150,0.005334,N1,package,0.4417,82.8121
0.203171,0.005333,N1,ram,0.0456,8.5579
0.208301,0.005310,N0,package,1.0044,189.1494
0.208346,0.005297,N0,ram,0.0745,14.0721
0.208447,0.005297,N1,package,0.5214,98.4270
0.208467,0.005296,N1,ram,0.0535,10.1015
0.213609,0.005308,N0,package,0.8473,159.6277
0.213666,0.005320,N0,ram,0.0626,11.7623
0.213942,0.005495,N1,package,0.4385,79.8056
0.214062,0.005595,N1,ram,0.0445,7.9499
0.219223,0.005614,N0,package,1.0183,181.3863
0.219287,0.005621,N0,ram,0.0761,13.5378
0.219388,0.005446,N1,package,0.4587,84.2238
0.219409,0.005347,N1,ram,0.0460,8.6011
0.224538,0.005315,N0,package,0.8262,155.4511
0.224584,0.005297,N0,ram,0.0630,11.8943
0.224683,0.005295,N1,package,0.5199,98.1858
0.224713,0.005304,N1,ram,0.0538,10.1522
0.229862,0.005324,N0,package,0.7980,149.8970
0.229903,0.005319,N0,ram,0.0654,12.2899
0.230008,0.005325,N1,package,0.4255,79.9119
0.230032,0.005319,N1,ram,0.0441,8.2905
0.235164,0.005302,N0,package,0.9860,185.9537
0.235206,0.005303,N0,ram,0.0724,13.6442
0.235307,0.005299,N1,package,0.4357,82.2310
0.235330,0.005298,N1,ram,0.0454,8.5771
0.240448,0.005284,N0,package,0.8388,158.7496
0.240466,0.005260,N0,ram,0.0626,11.9083
0.240581,0.005274,N1,package,0.4359,82.6523
0.240594,0.005264,N1,ram,0.0443,8.4120
0.245728,0.005280,N0,package,0.7874,149.1195
0.245775,0.005309,N0,ram,0.0559,10.5368
0.245811,0.005230,N1,package,0.5161,98.6842
0.245839,0.005245,N1,ram,0.0531,10.1154
0.250954,0.005226,N0,package,0.8213,157.1504
0.250973,0.005198,N0,ram,0.0587,11.2900
0.251100,0.005289,N1,package,0.4259,80.5251
0.251114,0.005275,N1,ram,0.0438,8.3048
0.256231,0.005277,N0,package,0.9885,187.3185
0.256250,0.005277,N0,ram,0.0719,13.6275
0.256360,0.005260,N1,package,0.4350,82.6993
0.256368,0.005254,N1,ram,0.0452,8.6110
0.261483,0.005252,N0,package,0.8034,152.9678
0.261505,0.005255,N0,ram,0.0606,11.5305
0.261612,0.005252,N1,package,0.5146,97.9770
0.261625,0.005257,N1,ram,0.0542,10.3014
0.266788,0.005305,N0,package,0.8223,155.0152
0.266826,0.005321,N0,ram,0.0593,11.1437
0.266967,0.005355,N1,package,0.4372,81.6442
0.266988,0.005363,N1,ram,0.0452,8.4246
0.272105,0.005317,N0,package,0.8060,151.5842
0.272123,0.005297,N0,ram,0.0577,10.8890
0.272218,0.005251,N1,package,0.4367,83.1675
0.272227,0.005239,N1,ram,0.0440,8.3997
0.277335,0.005230,N0,package,0.9755,186.5181
0.277351,0.005228,N0,ram,0.0722,13.8110
0.277473,0.005255,N1,package,0.4363,83.0220
0.277486,0.005259,N1,ram,0.0459,8.7304
0.282607,0.005272,N0,package,0.8406,159.4559
0.282713,0.005362,N0,ram,0.0594,11.0840
0.282939,0.005466,N1,package,0.5399,98.7733
0.283056,0.005570,N1,ram,0.0535,9.6074
0.288189,0.005582,N0,package,0.8814,157.8993
0.288227,0.005514,N0,ram,0.0733,13.2859
0.288327,0.005388,N1,package,0.4255,78.9705
0.288350,0.005294,N1,ram,0.0439,8.2864
0.293476,0.005287,N0,package,1.0032,189.7575
0.293496,0.005269,N0,ram,0.0633,12.0152
0.293602,0.005275,N1,package,0.5446,103.2331
0.293610,0.005260,N1,ram,0.0546,10.3882
0.298754,0.005278,N0,package,0.8141,154.2569
0.298792,0.005296,N0,ram,0.0574,10.8448
0.298897,0.005295,N1,package,0.4627,87.3851
0.298922,0.005312,N1,ram,0.0457,8.6118
0.304038,0.005284,N0,package,0.8652,163.7323
0.304056,0.005264,N0,ram,0.0627,11.9165
0.304172,0.005275,N1,package,0.4368,82.8109
0.304182,0.005260,N1,ram,0.0452,8.5867
0.309294,0.005256,N0,package,0.9790,186.2663
0.309314,0.005258,N0,ram,0.0697,13.2510
0.309429,0.005257,N1,package,0.4366,83.0578
0.309442,0.005260,N1,ram,0.0442,8.3952
0.314558,0.005264,N0,package,0.8452,160.5638
0.314598,0.005284,N0,ram,0.0619,11.7154
0.314698,0.005269,N1,package,0.4533,86.0361
0.314733,0.005291,N1,ram,0.0463,8.7527
