#timestamp,interval,socket,domain,energy,power
0.005192,0.005498,N0,package,0.5780,105.1264
0.005210,0.005315,N0,ram,0.0301,5.6587
0.005439,0.005451,N1,package,0.4454,81.7055
0.005528,0.005528,N1,ram,0.0509,9.2056
0.010699,0.005507,N0,package,0.5255,95.4264
0.010712,0.005502,N0,ram,0.0277,5.0280
0.010868,0.005429,N1,package,0.4013,73.9186
0.010887,0.005359,N1,ram,0.0449,8.3712
0.016054,0.005355,N0,package,0.6257,116.8527
0.016440,0.005728,N0,ram,0.0325,5.6688
0.016605,0.005737,N1,package,0.5136,89.5287
0.016617,0.005730,N1,ram,0.0558,9.7382
0.021793,0.005739,N0,package,0.5500,95.8445
0.021805,0.005365,N0,ram,0.0297,5.5346
0.021890,0.005285,N1,package,0.4440,84.0052
0.021902,0.005285,N1,ram,0.0450,8.5201
0.027093,0.005300,N0,package,0.6238,117.6932
0.027104,0.005299,N0,ram,0.0328,6.1941
0.027190,0.005300,N1,package,0.5014,94.6037
0.027202,0.005300,N1,ram,0.0541,10.2094
0.032538,0.005445,N0,package,0.5052,92.7913
0.032551,0.005447,N0,ram,0.0266,4.8742
0.032642,0.005452,N1,package,0.4569,83.8071
0.032653,0.005451,N1,ram,0.0451,8.2715
0.037815,0.005277,N0,package,0.5915,112.0853
0.037826,0.005275,N0,ram,0.0287,5.4324
0.037911,0.005269,N1,package,0.4469,84.8159
0.037930,0.005277,N1,ram,0.0476,9.0247
0.043092,0.005277,N0,package,0.6537,123.8766
0.043103,0.005277,N0,ram,0.0322,6.1013
0.043223,0.005312,N1,package,0.4942,93.0355
0.043243,0.005313,N1,ram,0.0535,10.0607
0.048531,0.005439,N0,package,0.4651,85.5204
0.048543,0.005440,N0,ram,0.0209,3.8456
0.048634,0.005411,N1,package,0.4572,84.4836
0.048645,0.005402,N1,ram,0.0461,8.5275
0.053824,0.005293,N0,package,0.7659,144.6977
0.053837,0.005294,N0,ram,0.0379,7.1681
0.053922,0.005288,N1,package,0.4326,81.8129
0.053933,0.005288,N1,ram,0.0452,8.5443
0.059514,0.005690,N0,package,0.8545,150.1718
0.059563,0.005726,N0,ram,0.0569,9.9320
0.059583,0.005661,N1,package,0.5358,94.6523
0.059591,0.005658,N1,ram,0.0557,9.8513
0.064726,0.005212,N0,package,0.8190,157.1484
0.064777,0.005214,N0,ram,0.0610,11.6944
0.064798,0.005215,N1,package,0.4444,85.2163
0.064806,0.005215,N1,ram,0.0465,8.9213
0.069937,0.005211,N0,package,0.9891,189.8010
0.069974,0.005197,N0,ram,0.0747,14.3720
0.069995,0.005197,N1,package,0.4391,84.4995
0.070003,0.005197,N1,ram,0.0439,8.4499
0.075099,0.005162,N0,package,0.8661,167.7816
0.075126,0.005152,N0,ram,0.0643,12.4718
0.075133,0.005138,N1,package,0.4443,86.4777
0.075136,0.005133,N1,ram,0.0469,9.1412
0.080224,0.005125,N0,package,0.8148,158.9877
0.080248,0.005122,N0,ram,0.0596,11.6393
0.080253,0.005120,N1,package,0.5280,103.1320
0.080256,0.005120,N1,ram,0.0516,10.0820
0.085387,0.005163,N0,package,0.8198,158.7897
0.085440,0.005192,N0,ram,0.0638,12.2816
0.085461,0.005208,N1,package,0.4670,89.6656
0.085469,0.005213,N1,ram,0.0476,9.1383
0.090601,0.005214,N0,package,0.8673,166.3432
0.090649,0.005209,N0,ram,0.0613,11.7730
0.090670,0.005209,N1,package,0.4033,77.4280
0.090678,0.005209,N1,ram,0.0419,8.0352
0.095807,0.005206,N0,package,0.8696,167.0284
0.095837,0.005188,N0,ram,0.0654,12.6059
0.095843,0.005173,N1,package,0.4591,88.7470
0.095846,0.005168,N1,ram,0.0442,8.5507
0.100972,0.005165,N0,package,0.9988,193.3797
0.101059,0.005222,N0,ram,0.0764,14.6303
0.101066,0.005223,N1,package,0.4310,82.5286
0.101069,0.005223,N1,ram,0.0457,8.7497
0.106194,0.005222,N0,package,0.8037,153.9062
0.106213,0.005154,N0,ram,0.0610,11.8361
0.106221,0.005155,N1,package,0.4524,87.7565
0.106223,0.005154,N1,ram,0.0454,8.8164
0.111353,0.005159,N0,package,0.8667,168.0007
0.111418,0.005205,N0,ram,0.0631,12.1281
0.111446,0.005225,N1,package,0.5410,103.5448
0.111454,0.005231,N1,ram,0.0535,10.2301
0.116593,0.005240,N0,package,0.8488,161.9889
0.116644,0.005226,N0,ram,0.0631,12.0794
0.116665,0.005219,N1,package,0.4376,83.8403
0.116673,0.005219,N1,ram,0.0458,8.7711
0.121821,0.005228,N0,package,0.8831,168.9077
0.121859,0.005215,N0,ram,0.0658,12.6133
0.121880,0.005215,N1,package,0.4525,86.7572
0.121888,0.005215,N1,ram,0.0433,8.3069
0.127015,0.005194,N0,package,0.9846,189.5704
0.127046,0.005187,N0,ram,0.0738,14.2268
0.127053,0.005173,N1,package,0.4522,87.4178
0.127056,0.005168,N1,ram,0.0463,8.9581
0.132192,0.005177,N0,package,0.8415,162.5436
0.132247,0.005201,N0,ram,0.0664,12.7707
0.132271,0.005218,N1,package,0.4220,80.8729
0.132279,0.005223,N1,ram,0.0439,8.4050
0.137416,0.005224,N0,package,0.8307,159.0259
0.137461,0.005214,N0,ram,0.0601,11.5305
0.137482,0.005211,N1,package,0.4561,87.5198
0.137490,0.005211,N1,ram,0.0463,8.8869
0.142626,0.005210,N0,package,0.8503,163.2083
0.142674,0.005213,N0,ram,0.0611,11.7228
0.142695,0.005213,N1,package,0.5311,101.8848
