#timestamp,interval,socket,domain,energy,power
0.005176,0.005630,N0,package,0.5533,98.2847
0.005354,0.005605,N0,ram,0.0342,6.1063
0.005529,0.005611,N1,package,0.5435,96.8525
0.005541,0.005541,N1,ram,0.0551,9.9383
0.010799,0.005623,N0,package,0.6074,108.0226
0.010928,0.005574,N0,ram,0.0353,6.3346
0.011093,0.005564,N1,package,0.4130,74.2210
0.011114,0.005573,N1,ram,0.0456,8.1893
0.016294,0.005495,N0,package,0.5176,94.2047
0.016309,0.005381,N0,ram,0.0331,6.1422
0.016394,0.005301,N1,package,0.4022,75.8766
0.016407,0.005293,N1,ram,0.0474,8.9485
0.021483,0.005189,N0,package,0.5789,111.5626
0.021494,0.005185,N0,ram,0.0313,6.0327
0.021580,0.005186,N1,package,0.4758,91.7556
0.021592,0.005185,N1,ram,0.0533,10.2792
0.026951,0.005468,N0,package,0.5250,96.0084
0.026966,0.005472,N0,ram,0.0298,5.4377
0.027055,0.005475,N1,package,0.4199,76.6974
0.027068,0.005476,N1,ram,0.0465,8.4988
0.032234,0.005283,N0,package,0.6655,125.9609
0.032245,0.005279,N0,ram,0.0375,7.1018
0.032331,0.005276,N1,package,0.5073,96.1461
0.032343,0.005275,N1,ram,0.0538,10.2024
0.037517,0.005283,N0,package,0.4876,92.3000
0.037528,0.005283,N0,ram,0.0276,5.2337
0.037772,0.005441,N1,package,0.4261,78.3076
0.037929,0.005586,N1,ram,0.0434,7.7661
0.043095,0.005578,N0,package,0.6426,115.2088
0.043107,0.005579,N0,ram,0.0329,5.8885
0.043220,0.005448,N1,package,0.4523,83.0179
0.043241,0.005312,N1,ram,0.0467,8.7957
0.048400,0.005305,N0,package,0.5657,106.6293
0.048411,0.005304,N0,ram,0.0332,6.2570
0.048482,0.005262,N1,package,0.5250,99.7740
0.048496,0.005255,N1,ram,0.0556,10.5839
0.053801,0.005401,N0,package,0.5748,106.4209
0.053908,0.005497,N0,ram,0.0300,5.4656
0.053999,0.005517,N1,package,0.4448,80.6278
0.054011,0.005515,N1,ram,0.0460,8.3389
0.059175,0.005374,N0,package,0.6304,117.3012
0.059343,0.005435,N0,ram,0.0387,7.1170
0.059498,0.005499,N1,package,0.5157,93.7912
0.059510,0.005499,N1,ram,0.0524,9.5373
0.064785,0.005610,N0,package,0.6630,118.1865
0.064893,0.005550,N0,ram,0.0458,8.2454
0.065092,0.005594,N1,package,0.4437,79.3215
0.065105,0.005595,N1,ram,0.0452,8.0750
0.070270,0.005485,N0,package,0.5818,106.0788
0.070394,0.005501,N0,ram,0.0447,8.1328
0.070534,0.005442,N1,package,0.5480,100.7064
0.070546,0.005441,N1,ram,0.0567,10.4269
0.075804,0.005534,N0,package,0.5397,97.5207
0.075918,0.005524,N0,ram,0.0536,9.6981
0.076059,0.005525,N1,package,0.4526,81.9125
0.076071,0.005525,N1,ram,0.0444,8.0397
0.081235,0.005431,N0,package,0.6405,117.9308
0.081360,0.005442,N0,ram,0.0378,6.9538
0.081504,0.005445,N1,package,0.5351,98.2727
0.081516,0.005445,N1,ram,0.0540,9.9231
0.086776,0.005541,N0,package,0.5267,95.0637
0.086884,0.005524,N0,ram,0.0423,7.6627
0.087052,0.005548,N1,package,0.4756,85.7220
0.087064,0.005548,N1,ram,0.0442,7.9677
0.092235,0.005459,N0,package,0.6428,117.7531
0.092379,0.005495,N0,ram,0.0515,9.3634
0.092509,0.005457,N1,package,0.5521,101.1786
0.092521,0.005457,N1,ram,0.0548,10.0464
0.097598,0.005363,N0,package,0.5423,101.1185
0.097617,0.005238,N0,ram,0.0331,6.3243
