#timestamp,interval,socket,domain,energy,power
0.005085,0.005193,N0,package,0.5197,100.0799
0.005243,0.005346,N0,ram,0.0314,5.8742
0.005330,0.005338,N1,package,0.5229,97.9681
0.005341,0.005341,N1,ram,0.0569,10.6595
0.010506,0.005421,N0,package,0.5073,93.5863
0.010689,0.005446,N0,ram,0.0312,5.7326
0.010846,0.005516,N1,package,0.4827,87.5021
0.010858,0.005517,N1,ram,0.0528,9.5640
0.016185,0.005679,N0,package,0.6831,120.2885
0.016305,0.005616,N0,ram,0.0373,6.6429
0.016396,0.005550,N1,package,0.4078,73.4744
0.016408,0.005550,N1,ram,0.0471,8.4815
0.021566,0.005381,N0,package,0.6078,112.9485
0.021579,0.005274,N0,ram,0.0349,6.6199
0.021663,0.005267,N1,package,0.4091,77.6737
0.021675,0.005267,N1,ram,0.0449,8.5262
0.026853,0.005287,N0,package,0.5023,95.0115
0.026864,0.005285,N0,ram,0.0303,5.7339
0.026938,0.005275,N1,package,0.5016,95.0989
0.026951,0.005276,N1,ram,0.0542,10.2757
0.032289,0.005436,N0,package,0.6279,115.5144
0.032301,0.005437,N0,ram,0.0306,5.6324
0.032393,0.005455,N1,package,0.4437,81.3427
0.032405,0.005454,N1,ram,0.0475,8.7008
0.037567,0.005278,N0,package,0.6534,123.7908
0.037578,0.005277,N0,ram,0.0343,6.4974
0.037662,0.005269,N1,package,0.4443,84.3332
0.037674,0.005269,N1,ram,0.0454,8.6183
0.042842,0.005275,N0,package,0.5791,109.7821
0.042853,0.005275,N0,ram,0.0300,5.6783
0.042975,0.005313,N1,package,0.4269,80.3439
0.042999,0.005325,N1,ram,0.0441,8.2758
0.048077,0.005235,N0,package,0.6078,116.1135
0.048089,0.005236,N0,ram,0.0325,6.2074
0.048161,0.005186,N1,package,0.5477,105.6084
0.048175,0.005176,N1,ram,0.0572,11.0489
0.053337,0.005260,N0,package,0.5637,107.1598
0.053349,0.005260,N0,ram,0.0295,5.6104
0.053433,0.005272,N1,package,0.4284,81.2583
0.053445,0.005270,N1,ram,0.0463,8.7818
0.058521,0.005184,N0,package,0.6557,126.4871
0.058533,0.005184,N0,ram,0.0433,8.3503
0.058662,0.005229,N1,package,0.4290,82.0456
0.058674,0.005229,N1,ram,0.0441,8.4392
0.063749,0.005228,N0,package,0.5986,114.4925
0.063761,0.005228,N0,ram,0.0406,7.7665
0.063896,0.005234,N1,package,0.4388,83.8329
0.063909,0.005235,N1,ram,0.0465,8.8755
0.068993,0.005244,N0,package,0.5731,109.2787
0.069007,0.005246,N0,ram,0.0397,7.5684
0.069223,0.005327,N1,package,0.5588,104.9070
0.069384,0.005475,N1,ram,0.0553,10.1000
0.074465,0.005472,N0,package,0.5674,103.7006
0.074477,0.005470,N0,ram,0.0407,7.4397
0.074604,0.005381,N1,package,0.4345,80.7508
0.074616,0.005232,N1,ram,0.0448,8.5537
0.079693,0.005228,N0,package,0.6702,128.1868
0.079705,0.005228,N0,ram,0.0470,8.9865
0.079838,0.005234,N1,package,0.4379,83.6697
0.079851,0.005235,N1,ram,0.0445,8.5083
0.084936,0.005243,N0,package,0.5348,101.9995
0.084948,0.005243,N0,ram,0.0414,7.8960
0.085219,0.005381,N1,package,0.5807,107.9125
0.085375,0.005524,N1,ram,0.0542,9.8145
0.090455,0.005519,N0,package,0.5279,95.6516
0.090467,0.005519,N0,ram,0.0403,7.3016
0.090599,0.005380,N1,package,0.4378,81.3777
0.090611,0.005236,N1,ram,0.0449,8.5675
0.095689,0.005234,N0,package,0.6581,125.7435
0.095702,0.005235,N0,ram,0.0492,9.3914
0.095830,0.005231,N1,package,0.4541,86.8073
0.095843,0.005232,N1,ram,0.0465,8.8837
0.100925,0.005236,N0,package,0.5466,104.3839
0.100938,0.005236,N0,ram,0.0405,7.7257
0.101198,0.005368,N1,package,0.5835,108.6991
0.101290,0.005447,N1,ram,0.0542,9.9416
