#timestamp,interval,socket,domain,energy,power
0.005271,0.005587,N0,package,0.5666,101.4103
0.005386,0.005494,N0,ram,0.0315,5.7298
0.005476,0.005488,N1,package,0.4355,79.3612
0.005488,0.005488,N1,ram,0.0485,8.8390
0.010651,0.005380,N0,package,0.6163,114.5618
0.010826,0.005440,N0,ram,0.0368,6.7739
0.010984,0.005508,N1,package,0.4335,78.7104
0.010996,0.005508,N1,ram,0.0465,8.4412
0.016278,0.005627,N0,package,0.5305,94.2781
0.016423,0.005597,N0,ram,0.0308,5.5042
0.016515,0.005531,N1,package,0.4938,89.2728
0.016527,0.005531,N1,ram,0.0554,10.0197
0.021715,0.005437,N0,package,0.5786,106.4234
0.021728,0.005305,N0,ram,0.0341,6.4285
0.021812,0.005297,N1,package,0.3960,74.7593
0.021825,0.005298,N1,ram,0.0441,8.3323
0.027003,0.005288,N0,package,0.6018,113.8034
0.027014,0.005286,N0,ram,0.0321,6.0677
0.027105,0.005293,N1,package,0.4147,78.3568
0.027118,0.005293,N1,ram,0.0459,8.6627
0.032453,0.005450,N0,package,0.5446,99.9339
0.032467,0.005453,N0,ram,0.0306,5.6050
0.032544,0.005439,N1,package,0.5442,100.0524
0.032556,0.005438,N1,ram,0.0560,10.3038
0.037630,0.005177,N0,package,0.6112,118.0613
0.037641,0.005174,N0,ram,0.0330,6.3847
0.037727,0.005183,N1,package,0.4271,82.4089
0.037739,0.005183,N1,ram,0.0439,8.4725
0.042817,0.005187,N0,package,0.5866,113.0914
0.042828,0.005187,N0,ram,0.0305,5.8719
0.042960,0.005233,N1,package,0.4304,82.2503
0.042972,0.005233,N1,ram,0.0466,8.9025
0.048290,0.005473,N0,package,0.6058,110.6925
0.048414,0.005586,N0,ram,0.0323,5.7854
0.048504,0.005544,N1,package,0.5601,101.0216
0.048516,0.005544,N1,ram,0.0558,10.0676
0.053679,0.005389,N0,package,0.6250,115.9775
0.053690,0.005276,N0,ram,0.0326,6.1863
0.053792,0.005288,N1,package,0.4086,77.2732
0.053812,0.005296,N1,ram,0.0440,8.3151
0.058937,0.005258,N0,package,0.8192,155.7963
0.058967,0.005277,N0,ram,0.0587,11.1327
0.059154,0.005362,N1,package,0.4548,84.8249
0.059275,0.005463,N1,ram,0.0458,8.3879
0.064407,0.005470,N0,package,0.6376,116.5574
0.064436,0.005469,N0,ram,0.0490,8.9643
