#timestamp,interval,socket,domain,energy,power
0.005222,0.005344,N0,package,0.6316,118.1890
0.005354,0.005471,N0,ram,0.0237,4.3286
0.005445,0.005457,N1,package,0.4021,73.6861
0.005457,0.005457,N1,ram,0.0273,5.0050
0.010621,0.005399,N0,package,0.4936,91.4229
0.010634,0.005280,N0,ram,0.0191,3.6153
0.010788,0.005343,N1,package,0.4955,92.7430
0.010811,0.005354,N1,ram,0.0335,6.2615
0.015988,0.005367,N0,package,0.6102,113.6994
0.016001,0.005367,N0,ram,0.0230,4.2816
0.016207,0.005419,N1,package,0.3827,70.6199
0.016368,0.005557,N1,ram,0.0256,4.6020
0.021548,0.005560,N0,package,0.4973,89.4463
0.021563,0.005562,N0,ram,0.0201,3.6104
0.021659,0.005452,N1,package,0.5049,92.6065
0.021672,0.005304,N1,ram,0.0337,6.3522
0.026853,0.005305,N0,package,0.6057,114.1651
0.026867,0.005304,N0,ram,0.0211,3.9757
0.026962,0.005303,N1,package,0.3724,70.2210
0.026974,0.005302,N1,ram,0.0248,4.6707
0.032256,0.005403,N0,package,0.5583,103.3399
0.032370,0.005503,N0,ram,0.0198,3.6047
0.032450,0.005488,N1,package,0.4986,90.8495
0.032463,0.005489,N1,ram,0.0322,5.8629
0.037632,0.005376,N0,package,0.5516,102.6089
0.037814,0.005444,N0,ram,0.0199,3.6521
0.037899,0.005449,N1,package,0.4529,83.1266
0.037911,0.005448,N1,ram,0.0279,5.1170
0.043222,0.005590,N0,package,0.5754,102.9306
0.043419,0.005605,N0,ram,0.0252,4.5028
0.043605,0.005706,N1,package,0.5154,90.3215
0.043617,0.005706,N1,ram,0.0302,5.3004
0.048780,0.005558,N0,package,0.6418,115.4811
0.048917,0.005498,N0,ram,0.0163,2.9669
0.049280,0.005675,N1,package,0.4225,74.4565
0.049438,0.005821,N1,ram,0.0274,4.7132
0.054597,0.005817,N0,package,0.6603,113.5096
0.054612,0.005695,N0,ram,0.0229,4.0270
0.054682,0.005402,N1,package,0.5221,96.6511
0.054695,0.005257,N1,ram,0.0312,5.9327
0.059904,0.005307,N0,package,0.5444,102.5771
0.060238,0.005626,N0,ram,0.0184,3.2628
0.060373,0.005691,N1,package,0.4242,74.5371
0.060406,0.005711,N1,ram,0.0263,4.6035
0.065578,0.005674,N0,package,0.6269,110.4826
0.065714,0.005476,N0,ram,0.0249,4.5448
0.065882,0.005509,N1,package,0.5195,94.2925
0.065894,0.005488,N1,ram,0.0327,5.9501
0.071206,0.005628,N0,package,0.5603,99.5586
0.071311,0.005597,N0,ram,0.0249,4.4521
0.071514,0.005632,N1,package,0.4900,87.0023
0.071525,0.005631,N1,ram,0.0324,5.7556
0.076690,0.005484,N0,package,0.7014,127.8887
0.076833,0.005522,N0,ram,0.0313,5.6730
0.077010,0.005496,N1,package,0.4357,79.2698
0.077032,0.005507,N1,ram,0.0259,4.6993
0.082119,0.005429,N0,package,0.5720,105.3635
0.082141,0.005308,N0,ram,0.0267,5.0392
0.082281,0.005271,N1,package,0.4442,84.2757
0.082292,0.005260,N1,ram,0.0284,5.3928
0.087456,0.005337,N0,package,0.6304,118.1248
0.087631,0.005490,N0,ram,0.0317,5.7783
0.087787,0.005506,N1,package,0.5139,93.3257
0.087799,0.005507,N1,ram,0.0311,5.6552
0.092963,0.005507,N0,package,0.4990,90.6163
0.093212,0.005581,N0,ram,0.0255,4.5769
0.093371,0.005584,N1,package,0.3898,69.8013
0.093383,0.005584,N1,ram,0.0242,4.3394
0.098548,0.005585,N0,package,0.6490,116.2027
0.098701,0.005489,N0,ram,0.0339,6.1715
0.098845,0.005474,N1,package,0.5442,99.4162
0.098858,0.005475,N1,ram,0.0332,6.0589
0.104029,0.005481,N0,package,0.5437,99.1974
0.104048,0.005347,N0,ram,0.0277,5.1880
0.104136,0.005291,N1,package,0.5012,94.7153
0.104148,0.005290,N1,ram,0.0272,5.1458
0.109315,0.005286,N0,package,0.6428,121.6089
0.109454,0.005406,N0,ram,0.0307,5.6789
0.109620,0.005484,N1,package,0.4081,74.4260
0.109632,0.005484,N1,ram,0.0265,4.8304
0.114800,0.005485,N0,package,0.5231,95.3629
0.114976,0.005522,N0,ram,0.0262,4.7445
0.115234,0.005614,N1,package,0.4810,85.6812
0.115406,0.005774,N1,ram,0.0323,5.5866
0.120575,0.005775,N0,package,0.6549,113.4043
0.120710,0.005734,N0,ram,0.0329,5.7400
0.120851,0.005617,N1,package,0.4815,85.7245
0.120863,0.005457,N1,ram,0.0328,6.0060
0.126039,0.005464,N0,package,0.5649,103.3853
0.126288,0.005578,N0,ram,0.0274,4.9130
0.126448,0.005597,N1,package,0.3923,70.0849
0.126460,0.005597,N1,ram,0.0256,4.5747
0.131629,0.005590,N0,package,0.6451,115.4058
0.131780,0.005492,N0,ram,0.0305,5.5568
0.131924,0.005476,N1,package,0.4734,86.4479
