#timestamp,interval,socket,domain,energy,power
0.005157,0.005439,N0,package,0.5201,95.6241
0.005180,0.005308,N0,ram,0.0248,4.6686
0.005478,0.005483,N1,package,0.4341,79.1665
0.005587,0.005587,N1,ram,0.0236,4.2304
0.010747,0.005590,N0,package,0.4379,78.3384
0.010766,0.005586,N0,ram,0.0229,4.1029
0.010874,0.005396,N1,package,0.5811,107.6960
0.010891,0.005304,N1,ram,0.0327,6.1736
0.016048,0.005301,N0,package,0.5110,96.4059
0.016067,0.005301,N0,ram,0.0251,4.7322
0.016179,0.005305,N1,package,0.4337,81.7552
0.016189,0.005298,N1,ram,0.0255,4.8214
0.021435,0.005387,N0,package,0.4374,81.1939
0.021510,0.005443,N0,ram,0.0229,4.2162
0.021623,0.005444,N1,package,0.5133,94.2875
0.021634,0.005445,N1,ram,0.0300,5.5122
0.026785,0.005350,N0,package,0.4341,81.1351
0.026805,0.005295,N0,ram,0.0209,3.9451
0.026919,0.005296,N1,package,0.5298,100.0466
0.026926,0.005292,N1,ram,0.0309,5.8331
0.032075,0.005290,N0,package,0.5380,101.6939
0.032095,0.005290,N0,ram,0.0266,5.0218
0.032415,0.005496,N1,package,0.4733,86.1107
0.032540,0.005614,N1,ram,0.0243,4.3216
0.037692,0.005617,N0,package,0.4678,83.2905
0.037711,0.005616,N0,ram,0.0197,3.5159
0.037806,0.005391,N1,package,0.6512,120.7936
0.037813,0.005273,N1,ram,0.0347,6.5832
0.042974,0.005282,N0,package,0.5658,107.1193
0.042994,0.005283,N0,ram,0.0260,4.9160
0.043101,0.005295,N1,package,0.4697,88.7107
0.043112,0.005299,N1,ram,0.0254,4.7975
0.048388,0.005414,N0,package,0.4901,90.5154
0.048478,0.005484,N0,ram,0.0217,3.9482
0.048571,0.005470,N1,package,0.5145,94.0515
0.048583,0.005471,N1,ram,0.0275,5.0231
0.053719,0.005331,N0,package,0.4844,90.8594
0.053835,0.005357,N0,ram,0.0226,4.2099
0.053927,0.005356,N1,package,0.6093,113.7613
0.053933,0.005350,N1,ram,0.0333,6.2260
0.059110,0.005391,N0,package,0.5582,103.5344
0.059130,0.005295,N0,ram,0.0253,4.7721
0.059371,0.005444,N1,package,0.4537,83.3376
0.059475,0.005542,N1,ram,0.0254,4.5787
0.064589,0.005479,N0,package,0.4866,88.8202
0.064619,0.005489,N0,ram,0.0228,4.1449
0.064720,0.005349,N1,package,0.5582,104.3466
0.064745,0.005270,N1,ram,0.0327,6.2020
0.069935,0.005346,N0,package,0.5183,96.9519
0.069950,0.005331,N0,ram,0.0257,4.8172
0.070059,0.005339,N1,package,0.4777,89.4680
0.070067,0.005322,N1,ram,0.0287,5.3845
0.075401,0.005466,N0,package,0.4111,75.2166
0.075501,0.005551,N0,ram,0.0269,4.8379
0.075622,0.005563,N1,package,0.3252,58.4566
0.075629,0.005562,N1,ram,0.0235,4.2195
0.080818,0.005417,N0,package,0.4898,90.4186
0.080848,0.005347,N0,ram,0.0258,4.8285
0.080948,0.005326,N1,package,0.4645,87.2089
0.080966,0.005337,N1,ram,0.0333,6.2442
0.086162,0.005344,N0,package,0.4596,86.0034
0.086241,0.005393,N0,ram,0.0267,4.9544
0.086369,0.005421,N1,package,0.3541,65.3145
0.086389,0.005423,N1,ram,0.0266,4.9099
0.091594,0.005432,N0,package,0.4019,73.9888
0.091737,0.005496,N0,ram,0.0204,3.7120
0.091836,0.005467,N1,package,0.4069,74.4187
0.091856,0.005467,N1,ram,0.0329,6.0092
0.097052,0.005458,N0,package,0.4067,74.5120
0.097073,0.005336,N0,ram,0.0259,4.8498
0.097183,0.005347,N1,package,0.3604,67.3961
0.097191,0.005335,N1,ram,0.0254,4.7649
0.102474,0.005422,N0,package,0.5297,97.6857
0.102595,0.005522,N0,ram,0.0253,4.5870
0.102719,0.005536,N1,package,0.4451,80.3941
0.102752,0.005561,N1,ram,0.0295,5.3066
0.107957,0.005483,N0,package,0.4382,79.9158
0.108099,0.005504,N0,ram,0.0255,4.6382
0.108397,0.005678,N1,package,0.3640,64.0994
0.108506,0.005754,N1,ram,0.0257,4.4737
0.113705,0.005748,N0,package,0.4505,78.3747
0.113834,0.005735,N0,ram,0.0226,3.9403
0.113954,0.005557,N1,package,0.4346,78.2015
0.113987,0.005481,N1,ram,0.0334,6.0885
0.119202,0.005497,N0,package,0.4033,73.3602
0.119251,0.005417,N0,ram,0.0216,3.9944
0.119349,0.005395,N1,package,0.3614,66.9867
0.119382,0.005395,N1,ram,0.0276,5.1250
0.124588,0.005386,N0,package,0.4323,80.2564
0.124729,0.005478,N0,ram,0.0213,3.8884
0.124858,0.005509,N1,package,0.4365,79.2252
0.124879,0.005497,N1,ram,0.0309,5.6294
0.130072,0.005484,N0,package,0.5082,92.6639
0.130092,0.005363,N0,ram,0.0263,4.8966
0.130356,0.005498,N1,package,0.3952,71.8820
0.130463,0.005584,N1,ram,0.0266,4.7684
0.135664,0.005592,N0,package,0.4844,86.6213
0.135794,0.005702,N0,ram,0.0229,4.0194
0.135903,0.005547,N1,package,0.4265,76.8792
0.135936,0.005473,N1,ram,0.0315,5.7546
0.141129,0.005465,N0,package,0.3459,63.3020
0.141149,0.005355,N0,ram,0.0226,4.2173
0.141405,0.005502,N1,package,0.3466,62.9877
0.141514,0.005578,N1,ram,0.0261,4.6777
0.146709,0.005580,N0,package,0.5025,90.0512
0.146851,0.005702,N0,ram,0.0295,5.1781
0.146956,0.005551,N1,package,0.4012,72.2711
0.146976,0.005462,N1,ram,0.0328,6.0008
0.152169,0.005460,N0,package,0.2879,52.7315
0.152194,0.005343,N0,ram,0.0169,3.1586
0.152411,0.005455,N1,package,0.3401,62.3468
