#timestamp,interval,socket,domain,energy,power
0.005238,0.005589,N0,package,0.4593,82.1773
0.005354,0.005483,N0,ram,0.0218,3.9795
0.005467,0.005472,N1,package,0.4537,82.9055
0.005490,0.005490,N1,ram,0.0275,5.0167
0.010693,0.005455,N0,package,0.5622,103.0601
0.010731,0.005377,N0,ram,0.0256,4.7535
0.010828,0.005361,N1,package,0.5317,99.1893
0.010878,0.005388,N1,ram,0.0333,6.1766
0.016006,0.005313,N0,package,0.5036,94.7880
0.016306,0.005575,N0,ram,0.0227,4.0698
0.016462,0.005634,N1,package,0.4124,73.1893
0.016483,0.005605,N1,ram,0.0256,4.5708
0.021602,0.005596,N0,package,0.5436,97.1343
0.021633,0.005327,N0,ram,0.0228,4.2823
0.021736,0.005274,N1,package,0.4648,88.1378
0.021770,0.005287,N1,ram,0.0276,5.2124
0.026897,0.005295,N0,package,0.5833,110.1671
0.026928,0.005295,N0,ram,0.0236,4.4524
0.027053,0.005317,N1,package,0.4968,93.4301
0.027303,0.005533,N1,ram,0.0312,5.6452
0.032408,0.005511,N0,package,0.6078,110.2965
0.032420,0.005492,N0,ram,0.0274,4.9870
0.032498,0.005445,N1,package,0.4333,79.5754
0.032506,0.005203,N1,ram,0.0263,5.0530
0.037674,0.005266,N0,package,0.6210,117.9336
0.037704,0.005284,N0,ram,0.0222,4.2076
0.037809,0.005311,N1,package,0.5132,96.6378
0.037830,0.005324,N1,ram,0.0306,5.7491
0.043019,0.005345,N0,package,0.5274,98.6706
0.043246,0.005542,N0,ram,0.0215,3.8794
0.043400,0.005591,N1,package,0.4403,78.7541
0.043432,0.005602,N1,ram,0.0268,4.7777
0.048608,0.005589,N0,package,0.6559,117.3524
0.048639,0.005393,N0,ram,0.0271,5.0164
0.048743,0.005343,N1,package,0.5106,95.5573
0.048776,0.005344,N1,ram,0.0315,5.9018
0.053896,0.005288,N0,package,0.5715,108.0720
0.053928,0.005289,N0,ram,0.0228,4.3015
0.054034,0.005291,N1,package,0.4619,87.2906
0.054077,0.005301,N1,ram,0.0282,5.3223
0.059299,0.005403,N0,package,0.5000,92.5405
0.059318,0.005390,N0,ram,0.0198,3.6774
0.059408,0.005374,N1,package,0.4053,75.4144
0.059416,0.005339,N1,ram,0.0252,4.7215
0.064601,0.005302,N0,package,0.6525,123.0674
0.064632,0.005314,N0,ram,0.0294,5.5303
0.064737,0.005329,N1,package,0.5207,97.7065
0.064771,0.005355,N1,ram,0.0325,6.0749
0.069960,0.005359,N0,package,0.5483,102.3226
0.069998,0.005366,N0,ram,0.0269,5.0106
0.070193,0.005456,N1,package,0.4214,77.2452
0.070343,0.005572,N1,ram,0.0267,4.7843
0.075516,0.005556,N0,package,0.5695,102.5077
0.075531,0.005533,N0,ram,0.0299,5.4053
0.075651,0.005458,N1,package,0.4535,83.0857
0.075662,0.005319,N1,ram,0.0267,5.0173
0.080832,0.005316,N0,package,0.6637,124.8484
0.080962,0.005431,N0,ram,0.0348,6.4084
0.081201,0.005550,N1,package,0.5090,91.7192
0.081319,0.005657,N1,ram,0.0313,5.5377
0.086500,0.005668,N0,package,0.4995,88.1151
0.086615,0.005653,N0,ram,0.0281,4.9640
0.086731,0.005530,N1,package,0.4377,79.1487
0.086751,0.005432,N1,ram,0.0271,4.9918
0.091927,0.005427,N0,package,0.6312,116.3033
0.092231,0.005616,N0,ram,0.0340,6.0563
0.092396,0.005665,N1,package,0.5226,92.2466
0.092430,0.005679,N1,ram,0.0322,5.6611
0.097608,0.005681,N0,package,0.5178,91.1385
0.097639,0.005408,N0,ram,0.0298,5.5047
0.097743,0.005347,N1,package,0.4053,75.7944
0.097776,0.005346,N1,ram,0.0250,4.6723
0.102953,0.005345,N0,package,0.6251,116.9460
0.103201,0.005562,N0,ram,0.0362,6.5045
0.103354,0.005611,N1,package,0.5245,93.4845
0.103386,0.005610,N1,ram,0.0318,5.6656
0.108505,0.005552,N0,package,0.5847,105.3044
0.108536,0.005335,N0,ram,0.0274,5.1369
0.108641,0.005287,N1,package,0.4186,79.1804
0.108674,0.005288,N1,ram,0.0256,4.8334
0.113795,0.005290,N0,package,0.5240,99.0633
0.113830,0.005294,N0,ram,0.0240,4.5280
0.113929,0.005288,N1,package,0.5069,95.8600
0.113963,0.005289,N1,ram,0.0314,5.9459
0.119079,0.005284,N0,package,0.4694,88.8255
0.119109,0.005279,N0,ram,0.0216,4.0900
0.119347,0.005418,N1,package,0.4540,83.8013
0.119464,0.005501,N1,ram,0.0275,4.9956
0.124580,0.005501,N0,package,0.5772,104.9275
0.124596,0.005487,N0,ram,0.0272,4.9612
0.124668,0.005321,N1,package,0.4222,79.3419
0.124676,0.005212,N1,ram,0.0251,4.8073
0.129784,0.005204,N0,package,0.4887,93.9108
0.129800,0.005204,N0,ram,0.0225,4.3279
0.129924,0.005256,N1,package,0.4185,79.6277
0.129936,0.005260,N1,ram,0.0266,5.0650
0.135203,0.005419,N0,package,0.5179,95.5790
0.135302,0.005502,N0,ram,0.0238,4.3181
0.135422,0.005498,N1,package,0.5334,97.0269
0.135430,0.005494,N1,ram,0.0328,5.9740
0.140538,0.005335,N0,package,0.4584,85.9321
0.140554,0.005252,N0,ram,0.0215,4.0937
0.140630,0.005208,N1,package,0.4229,81.1925
0.140638,0.005208,N1,ram,0.0252,4.8401
0.145743,0.005205,N0,package,0.4904,94.2059
0.145758,0.005204,N0,ram,0.0224,4.2983
0.145831,0.005201,N1,package,0.4125,79.3054
0.145839,0.005201,N1,ram,0.0264,5.0844
0.150949,0.005206,N0,package,0.5878,112.9167
0.150986,0.005228,N0,ram,0.0271,5.1837
0.151200,0.005369,N1,package,0.5261,97.9937
0.151317,0.005478,N1,ram,0.0326,5.9552
0.156434,0.005485,N0,package,0.4896,89.2651
0.156450,0.005464,N0,ram,0.0215,3.9263
0.156522,0.005322,N1,package,0.4185,78.6281
0.156530,0.005213,N1,ram,0.0259,4.9614
0.161642,0.005208,N0,package,0.4883,93.7674
0.161679,0.005229,N0,ram,0.0219,4.1817
0.161778,0.005256,N1,package,0.4393,83.5760
0.161811,0.005281,N1,ram,0.0266,5.0449
0.166932,0.005290,N0,package,0.4582,86.6140
0.166965,0.005286,N0,ram,0.0193,3.6574
0.167201,0.005423,N1,package,0.4976,91.7598
0.167318,0.005507,N1,ram,0.0316,5.7411
0.172440,0.005508,N0,package,0.5974,108.4526
0.172472,0.005507,N0,ram,0.0280,5.0789
0.172575,0.005374,N1,package,0.4360,81.1386
0.172609,0.005291,N1,ram,0.0269,5.0901
0.177720,0.005280,N0,package,0.5005,94.7891
0.177734,0.005262,N0,ram,0.0225,4.2742
0.177810,0.005235,N1,package,0.4203,80.2849
0.177818,0.005209,N1,ram,0.0261,5.0033
0.182929,0.005209,N0,package,0.6292,120.7938
0.182962,0.005228,N0,ram,0.0258,4.9413
0.183219,0.005409,N1,package,0.5007,92.5739
0.183337,0.005519,N1,ram,0.0319,5.7840
0.188460,0.005531,N0,package,0.5216,94.3048
0.188491,0.005529,N0,ram,0.0212,3.8334
0.188596,0.005377,N1,package,0.4274,79.4913
0.188629,0.005292,N1,ram,0.0269,5.0919
0.193740,0.005280,N0,package,0.5212,98.7194
0.193752,0.005261,N0,ram,0.0212,4.0344
0.193829,0.005233,N1,package,0.4268,81.5622
0.193837,0.005208,N1,ram,0.0267,5.1331
0.198937,0.005197,N0,package,0.6069,116.7725
0.198951,0.005199,N0,ram,0.0243,4.6695
0.199207,0.005378,N1,package,0.5001,92.9939
0.199312,0.005475,N1,ram,0.0307,5.6132
0.204425,0.005488,N0,package,0.5319,96.9259
0.204457,0.005506,N0,ram,0.0220,3.9879
0.204559,0.005352,N1,package,0.4536,84.7555
0.204579,0.005267,N1,ram,0.0278,5.2696
0.209691,0.005266,N0,package,0.5107,96.9895
0.209704,0.005247,N0,ram,0.0213,4.0596
0.209784,0.005225,N1,package,0.4268,81.6770
0.209792,0.005213,N1,ram,0.0255,4.8823
0.214892,0.005201,N0,package,0.5114,98.3279
0.214904,0.005200,N0,ram,0.0205,3.9409
0.214999,0.005215,N1,package,0.5001,95.9020
0.215006,0.005214,N1,ram,0.0272,5.2209
0.220092,0.005200,N0,package,0.6383,122.7532
0.220124,0.005220,N0,ram,0.0258,4.9460
0.220341,0.005342,N1,package,0.3654,68.3931
0.220459,0.005453,N1,ram,0.0338,6.2010
0.225583,0.005491,N0,package,0.5427,98.8386
0.225614,0.005490,N0,ram,0.0218,3.9717
0.225719,0.005378,N1,package,0.5161,95.9560
0.225752,0.005293,N1,ram,0.0238,4.4913
0.230862,0.005279,N0,package,0.5816,110.1718
0.230876,0.005262,N0,ram,0.0233,4.4281
0.230955,0.005236,N1,package,0.4456,85.0924
0.230963,0.005211,N1,ram,0.0269,5.1654
0.236095,0.005233,N0,package,0.5051,96.5190
0.236125,0.005249,N0,ram,0.0228,4.3343
0.236345,0.005390,N1,package,0.4714,87.4660
0.236463,0.005500,N1,ram,0.0299,5.4431
0.241577,0.005482,N0,package,0.5316,96.9714
0.241591,0.005466,N0,ram,0.0206,3.7714
0.241678,0.005333,N1,package,0.4158,77.9628
0.241686,0.005223,N1,ram,0.0289,5.5274
0.246786,0.005209,N0,package,0.5115,98.1911
0.246800,0.005209,N0,ram,0.0213,4.0921
0.246879,0.005201,N1,package,0.4003,76.9702
0.246887,0.005201,N1,ram,0.0261,5.0170
0.252006,0.005220,N0,package,0.5217,99.9492
0.252052,0.005252,N0,ram,0.0202,3.8555
0.252236,0.005357,N1,package,0.4020,75.0374
0.252353,0.005466,N1,ram,0.0262,4.7960
0.257477,0.005471,N0,package,0.6341,115.9012
0.257508,0.005456,N0,ram,0.0246,4.5055
0.257615,0.005379,N1,package,0.4917,91.4116
0.257648,0.005295,N1,ram,0.0319,6.0228
0.262758,0.005281,N0,package,0.5061,95.8353
0.262771,0.005263,N0,ram,0.0203,3.8559
0.262855,0.005240,N1,package,0.3868,73.8251
0.262863,0.005215,N1,ram,0.0260,4.9798
0.267982,0.005224,N0,package,0.5319,101.8228
0.268026,0.005255,N0,ram,0.0221,4.2016
0.268241,0.005386,N1,package,0.4085,75.8447
0.268359,0.005496,N1,ram,0.0344,6.2634
0.273475,0.005493,N0,package,0.6132,111.6222
0.273488,0.005462,N0,ram,0.0252,4.6095
0.273564,0.005323,N1,package,0.4827,90.6882
0.273572,0.005213,N1,ram,0.0252,4.8328
0.278672,0.005197,N0,package,0.4949,95.2381
0.278685,0.005197,N0,ram,0.0209,4.0165
0.278771,0.005207,N1,package,0.4006,76.9289
0.278779,0.005207,N1,ram,0.0270,5.1780
0.283890,0.005218,N0,package,0.5319,101.9274
0.283922,0.005237,N0,ram,0.0205,3.9131
0.284035,0.005264,N1,package,0.4001,76.0185
0.284052,0.005273,N1,ram,0.0254,4.8122
0.289171,0.005281,N0,package,0.5219,98.8172
0.289202,0.005280,N0,ram,0.0212,4.0228
0.289306,0.005271,N1,package,0.4828,91.5899
0.289339,0.005287,N1,ram,0.0319,6.0349
0.294459,0.005288,N0,package,0.6341,119.9091
0.294491,0.005289,N0,ram,0.0264,4.9823
0.294594,0.005288,N1,package,0.4147,78.4309
0.294629,0.005290,N1,ram,0.0268,5.0622
0.299738,0.005279,N0,package,0.5118,96.9452
0.299751,0.005260,N0,ram,0.0204,3.8698
0.299834,0.005240,N1,package,0.4091,78.0650
0.299842,0.005213,N1,ram,0.0269,5.1633
0.304943,0.005205,N0,package,0.5155,99.0415
0.304956,0.005205,N0,ram,0.0249,4.7815
0.305239,0.005405,N1,package,0.3787,70.0697
0.305345,0.005503,N1,ram,0.0242,4.3922
0.310457,0.005514,N0,package,0.6134,111.2466
0.310487,0.005531,N0,ram,0.0223,4.0388
0.310592,0.005353,N1,package,0.4796,89.5823
0.310625,0.005280,N1,ram,0.0326,6.1700
0.315744,0.005287,N0,package,0.5214,98.6089
0.315775,0.005288,N0,ram,0.0207,3.9098
0.315880,0.005288,N1,package,0.3916,74.0564
0.315913,0.005288,N1,ram,0.0269,5.0816
0.321005,0.005261,N0,package,0.5319,101.0960
0.321028,0.005253,N0,ram,0.0214,4.0755
0.321250,0.005370,N1,package,0.4218,78.5515
0.321354,0.005441,N1,ram,0.0270,4.9608
0.326468,0.005463,N0,package,0.6169,112.9224
0.326499,0.005471,N0,ram,0.0243,4.4485
0.326604,0.005354,N1,package,0.4866,90.8773
0.326637,0.005283,N1,ram,0.0320,6.0511
0.331757,0.005289,N0,package,0.5114,96.6924
0.331788,0.005289,N0,ram,0.0206,3.8976
0.331907,0.005303,N1,package,0.3971,74.8825
0.331940,0.005303,N1,ram,0.0262,4.9403
0.337078,0.005321,N0,package,0.5219,98.0733
0.337110,0.005322,N0,ram,0.0217,4.0742
0.337335,0.005428,N1,package,0.3992,73.5380
0.337451,0.005511,N1,ram,0.0267,4.8483
0.342575,0.005497,N0,package,0.6165,112.1443
0.342607,0.005497,N0,ram,0.0246,4.4719
0.342711,0.005376,N1,package,0.4716,87.7289
0.342744,0.005293,N1,ram,0.0319,6.0336
0.347864,0.005289,N0,package,0.5214,98.5734
0.347895,0.005288,N0,ram,0.0213,4.0252
0.348001,0.005290,N1,package,0.4152,78.4799
0.348295,0.005551,N1,ram,0.0269,4.8408
0.353436,0.005572,N0,package,0.6181,110.9333
0.353467,0.005572,N0,ram,0.0254,4.5624
0.353571,0.005570,N1,package,0.4799,86.1588
0.353605,0.005310,N1,ram,0.0308,5.7931
0.358723,0.005287,N0,package,0.5325,100.7215
0.358754,0.005287,N0,ram,0.0219,4.1385
0.358861,0.005290,N1,package,0.3889,73.5220
0.358895,0.005290,N1,ram,0.0259,4.8891
0.364033,0.005310,N0,package,0.5219,98.2918
0.364065,0.005311,N0,ram,0.0224,4.2205
0.364285,0.005424,N1,package,0.4136,76.2599
0.364401,0.005506,N1,ram,0.0270,4.8996
0.369526,0.005493,N0,package,0.6061,110.3444
0.369557,0.005492,N0,ram,0.0250,4.5593
0.369661,0.005376,N1,package,0.4796,89.2009
0.369694,0.005293,N1,ram,0.0312,5.8955
0.374805,0.005279,N0,package,0.5220,98.8804
0.374818,0.005261,N0,ram,0.0213,4.0489
0.374906,0.005245,N1,package,0.4072,77.6413
0.374915,0.005221,N1,ram,0.0274,5.2488
