#timestamp,interval,socket,domain,energy,power
0.005155,0.005505,N0,package,0.5381,97.7477
0.005188,0.005322,N0,ram,0.0235,4.4211
0.005289,0.005298,N1,package,0.4373,82.5453
0.005300,0.005300,N1,ram,0.0275,5.1908
0.010525,0.005370,N0,package,0.4244,79.0254
0.010614,0.005426,N0,ram,0.0166,3.0512
0.010709,0.005420,N1,package,0.5720,105.5396
0.010727,0.005427,N1,ram,0.0324,5.9777
0.015891,0.005366,N0,package,0.5292,98.6304
0.015910,0.005296,N0,ram,0.0219,4.1432
0.016021,0.005312,N1,package,0.4646,87.4589
0.016039,0.005312,N1,ram,0.0270,5.0758
0.021174,0.005283,N0,package,0.4520,85.5605
0.021305,0.005395,N0,ram,0.0196,3.6344
0.021638,0.005617,N1,package,0.4942,87.9847
0.021749,0.005710,N1,ram,0.0295,5.1654
0.026900,0.005726,N0,package,0.5159,90.0946
0.026920,0.005615,N0,ram,0.0210,3.7420
0.027006,0.005368,N1,package,0.6301,117.3746
0.027013,0.005264,N1,ram,0.0330,6.2759
0.032163,0.005263,N0,package,0.4492,85.3527
0.032183,0.005263,N0,ram,0.0185,3.5167
0.032304,0.005298,N1,package,0.4005,75.5869
0.032312,0.005299,N1,ram,0.0220,4.1523
0.037585,0.005422,N0,package,0.4700,86.6766
0.037673,0.005490,N0,ram,0.0184,3.3463
0.037763,0.005459,N1,package,0.6146,112.5877
0.037778,0.005466,N1,ram,0.0333,6.0996
0.042938,0.005353,N0,package,0.5381,100.5209
0.042957,0.005284,N0,ram,0.0202,3.8264
0.043062,0.005299,N1,package,0.4932,93.0773
0.043082,0.005304,N1,ram,0.0266,5.0142
0.048239,0.005301,N0,package,0.4848,91.4549
0.048259,0.005302,N0,ram,0.0187,3.5311
0.048381,0.005319,N1,package,0.5062,95.1637
0.048390,0.005308,N1,ram,0.0261,4.9158
0.053638,0.005399,N0,package,0.4713,87.2853
0.053715,0.005456,N0,ram,0.0180,3.3029
0.053731,0.005350,N1,package,0.4951,92.5319
0.053737,0.005347,N1,ram,0.0267,4.9940
0.058922,0.005284,N0,package,0.5729,108.4321
0.059063,0.005348,N0,ram,0.0219,4.0972
0.059157,0.005426,N1,package,0.5756,106.0874
0.059176,0.005439,N1,ram,0.0319,5.8689
0.064288,0.005366,N0,package,0.4938,92.0290
0.064302,0.005239,N0,ram,0.0198,3.7746
0.064535,0.005378,N1,package,0.5174,96.2057
0.064674,0.005498,N1,ram,0.0326,5.9337
0.069788,0.005500,N0,package,0.5385,97.9101
0.069820,0.005518,N0,ram,0.0263,4.7674
0.069919,0.005384,N1,package,0.4791,88.9912
0.069943,0.005269,N1,ram,0.0288,5.4588
0.075057,0.005269,N0,package,0.6082,115.4317
0.075069,0.005249,N0,ram,0.0259,4.9419
0.075147,0.005228,N1,package,0.4030,77.0872
0.075153,0.005210,N1,ram,0.0242,4.6480
0.080338,0.005281,N0,package,0.4216,79.8281
0.080603,0.005534,N0,ram,0.0205,3.7031
0.080753,0.005606,N1,package,0.4656,83.0615
0.080772,0.005619,N1,ram,0.0284,5.0591
0.085893,0.005555,N0,package,0.3825,68.8593
0.085925,0.005322,N0,ram,0.0125,2.3539
0.086031,0.005278,N1,package,0.5006,94.8465
0.086052,0.005280,N1,ram,0.0302,5.7278
0.091259,0.005366,N0,package,1.0601,197.5592
0.091277,0.005352,N0,ram,0.0419,7.8289
0.091537,0.005506,N1,package,0.4283,77.7954
0.091656,0.005604,N1,ram,0.0264,4.7159
0.096759,0.005500,N0,package,0.9869,179.4375
0.096790,0.005513,N0,ram,0.0364,6.5985
0.096901,0.005364,N1,package,0.5256,97.9941
0.096934,0.005278,N1,ram,0.0324,6.1320
0.102057,0.005298,N0,package,1.1957,225.6906
0.102087,0.005297,N0,ram,0.0256,4.8364
0.102191,0.005290,N1,package,0.4609,87.1217
0.102224,0.005290,N1,ram,0.0274,5.1718
0.107373,0.005316,N0,package,1.1339,213.2893
0.107405,0.005318,N0,ram,0.0305,5.7329
0.107456,0.005265,N1,package,0.3880,73.6943
0.107618,0.005394,N1,ram,0.0241,4.4752
0.112738,0.005365,N0,package,1.2291,229.0939
0.112771,0.005366,N0,ram,0.0330,6.1563
0.112873,0.005417,N1,package,0.5680,104.8563
0.112906,0.005288,N1,ram,0.0331,6.2644
0.118027,0.005289,N0,package,1.0195,192.7616
0.118059,0.005288,N0,ram,0.0282,5.3413
0.118160,0.005287,N1,package,0.4085,77.2641
0.118194,0.005288,N1,ram,0.0275,5.2085
0.123321,0.005294,N0,package,1.0720,202.5033
0.123366,0.005307,N0,ram,0.0290,5.4630
0.123582,0.005422,N1,package,0.3766,69.4682
0.123703,0.005509,N1,ram,0.0247,4.4925
0.128829,0.005508,N0,package,1.2160,220.7630
0.128861,0.005495,N0,ram,0.0341,6.2062
0.128963,0.005381,N1,package,0.5021,93.3033
0.128983,0.005280,N1,ram,0.0335,6.3434
0.134102,0.005273,N0,package,1.0645,201.8853
0.134135,0.005274,N0,ram,0.0279,5.2887
0.134237,0.005274,N1,package,0.3893,73.8257
0.134270,0.005287,N1,ram,0.0256,4.8487
0.139391,0.005289,N0,package,1.0132,191.5615
0.139608,0.005473,N0,ram,0.0256,4.6756
0.139723,0.005486,N1,package,0.3732,68.0330
