#timestamp,interval,socket,domain,energy,power
0.005322,0.005610,N0,package,0.4122,73.4708
0.005428,0.005540,N0,ram,0.0167,3.0188
0.005521,0.005526,N1,package,0.4670,84.5160
0.005532,0.005532,N1,ram,0.0260,4.6946
0.010691,0.005369,N0,package,0.5738,106.8675
0.010709,0.005281,N0,ram,0.0244,4.6172
0.010825,0.005304,N1,package,0.5676,107.0052
0.010844,0.005312,N1,ram,0.0320,6.0323
0.016007,0.005316,N0,package,0.4236,79.6922
0.016026,0.005317,N0,ram,0.0170,3.1884
0.016141,0.005316,N1,package,0.4774,89.8072
0.016153,0.005309,N1,ram,0.0280,5.2768
0.021397,0.005390,N0,package,0.4594,85.2352
0.021475,0.005449,N0,ram,0.0193,3.5479
0.021631,0.005490,N1,package,0.5019,91.4222
0.021639,0.005486,N1,ram,0.0286,5.2096
0.026809,0.005412,N0,package,0.5643,104.2654
0.026840,0.005365,N0,ram,0.0226,4.2066
0.026946,0.005315,N1,package,0.5132,96.5526
0.026966,0.005327,N1,ram,0.0303,5.6945
0.032124,0.005315,N0,package,0.4967,93.4521
0.032141,0.005301,N0,ram,0.0190,3.5751
0.032375,0.005429,N1,package,0.4542,83.6657
0.032482,0.005516,N1,ram,0.0268,4.8575
0.037664,0.005540,N0,package,0.6094,109.9929
0.037695,0.005554,N0,ram,0.0232,4.1758
0.037802,0.005427,N1,package,0.5411,99.7143
0.037835,0.005353,N1,ram,0.0261,4.8715
0.043010,0.005346,N0,package,0.5455,102.0483
0.043042,0.005347,N0,ram,0.0236,4.4175
0.043348,0.005546,N1,package,0.4261,76.8374
0.043453,0.005618,N1,ram,0.0309,5.5029
0.048626,0.005616,N0,package,0.5681,101.1459
0.048750,0.005708,N0,ram,0.0237,4.1596
0.048855,0.005507,N1,package,0.5381,97.7207
0.048880,0.005427,N1,ram,0.0332,6.1180
0.054110,0.005484,N0,package,0.5422,98.8674
0.054407,0.005657,N0,ram,0.0218,3.8491
0.054595,0.005740,N1,package,0.4510,78.5705
0.054628,0.005748,N1,ram,0.0273,4.7544
0.059819,0.005709,N0,package,0.7506,131.4800
0.059959,0.005552,N0,ram,0.0299,5.3894
0.060090,0.005495,N1,package,0.4908,89.3134
0.060099,0.005471,N1,ram,0.0310,5.6673
0.065252,0.005433,N0,package,0.5464,100.5666
0.065370,0.005411,N0,ram,0.0244,4.5007
0.065482,0.005392,N1,package,0.4548,84.3410
0.065516,0.005417,N1,ram,0.0265,4.8901
0.070702,0.005450,N0,package,0.6346,116.4369
0.070824,0.005454,N0,ram,0.0298,5.4555
0.070931,0.005449,N1,package,0.5179,95.0521
0.070951,0.005435,N1,ram,0.0316,5.8200
0.076284,0.005582,N0,package,0.5170,92.6118
0.076359,0.005535,N0,ram,0.0297,5.3676
0.076451,0.005520,N1,package,0.4337,78.5625
0.076458,0.005507,N1,ram,0.0270,4.8988
0.081630,0.005346,N0,package,0.6815,127.4748
0.081751,0.005392,N0,ram,0.0343,6.3530
0.081856,0.005405,N1,package,0.5302,98.0863
0.081890,0.005432,N1,ram,0.0323,5.9438
0.087008,0.005378,N0,package,0.3106,57.7552
0.087040,0.005289,N0,ram,0.0145,2.7465
0.087150,0.005294,N1,package,0.4119,77.7973
0.087168,0.005278,N1,ram,0.0257,4.8773
0.092286,0.005278,N0,package,0.8728,165.3627
0.092320,0.005280,N0,ram,0.0365,6.9098
0.092543,0.005393,N1,package,0.4220,78.2486
0.092662,0.005494,N1,ram,0.0258,4.6964
0.097788,0.005502,N0,package,1.1177,203.1404
0.097818,0.005498,N0,ram,0.0336,6.1030
0.097922,0.005379,N1,package,0.5425,100.8523
0.097956,0.005294,N1,ram,0.0335,6.3351
0.103072,0.005284,N0,package,1.0959,207.4059
0.103084,0.005266,N0,ram,0.0289,5.4910
0.103284,0.005362,N1,package,0.4252,79.2928
0.103432,0.005476,N1,ram,0.0253,4.6172
0.108545,0.005473,N0,package,1.2067,220.4801
0.108578,0.005494,N0,ram,0.0314,5.7101
0.108680,0.005396,N1,package,0.4810,89.1340
0.108714,0.005282,N1,ram,0.0325,6.1475
0.113834,0.005289,N0,package,1.1093,209.7367
0.113866,0.005288,N0,ram,0.0276,5.2258
0.113971,0.005291,N1,package,0.4146,78.3504
0.114005,0.005291,N1,ram,0.0257,4.8536
0.119131,0.005297,N0,package,1.0642,200.9099
0.119185,0.005319,N0,ram,0.0280,5.2585
0.119238,0.005267,N1,package,0.3998,75.9008
0.119397,0.005392,N1,ram,0.0264,4.8928
0.124510,0.005379,N0,package,1.1947,222.1065
0.124523,0.005338,N0,ram,0.0303,5.6825
0.124598,0.005360,N1,package,0.4675,87.2160
0.124605,0.005208,N1,ram,0.0313,6.0150
0.129717,0.005207,N0,package,1.0911,209.5355
0.129748,0.005225,N0,ram,0.0299,5.7239
0.129851,0.005253,N1,package,0.4034,76.7895
0.129885,0.005280,N1,ram,0.0255,4.8204
0.135006,0.005289,N0,package,1.0405,196.7198
0.135038,0.005290,N0,ram,0.0272,5.1458
0.135149,0.005298,N1,package,0.4157,78.4670
0.135191,0.005306,N1,ram,0.0275,5.1735
0.140315,0.005309,N0,package,1.2294,231.5807
0.140348,0.005310,N0,ram,0.0320,6.0230
0.140453,0.005304,N1,package,0.3778,71.2294
0.140487,0.005296,N1,ram,0.0255,4.8058
0.145606,0.005291,N0,package,1.0317,194.9993
0.145637,0.005289,N0,ram,0.0271,5.1239
0.145762,0.005309,N1,package,0.4786,90.1541
0.145796,0.005309,N1,ram,0.0323,6.0761
