#timestamp,interval,socket,domain,energy,power
0.005170,0.005304,N0,package,0.4670,88.0529
0.005319,0.005438,N0,ram,0.0232,4.2678
0.005431,0.005436,N1,package,0.4402,80.9881
0.005443,0.005443,N1,ram,0.0270,4.9647
0.010611,0.005441,N0,package,0.5490,100.8923
0.010630,0.005311,N0,ram,0.0257,4.8353
0.010737,0.005306,N1,package,0.5399,101.7443
0.010750,0.005307,N1,ram,0.0334,6.2997
0.015900,0.005289,N0,package,0.4869,92.0649
0.016006,0.005376,N0,ram,0.0222,4.1327
0.016127,0.005390,N1,package,0.4122,76.4784
0.016142,0.005392,N1,ram,0.0267,4.9466
0.021335,0.005435,N0,package,0.5278,97.1174
0.021366,0.005360,N0,ram,0.0247,4.6145
0.021471,0.005344,N1,package,0.4141,77.4944
0.021493,0.005351,N1,ram,0.0249,4.6511
0.026677,0.005342,N0,package,0.4913,91.9639
0.026708,0.005342,N0,ram,0.0201,3.7704
0.026827,0.005356,N1,package,0.5222,97.4885
0.026960,0.005467,N1,ram,0.0323,5.9057
0.032082,0.005405,N0,package,0.6264,115.8945
0.032114,0.005406,N0,ram,0.0270,4.9989
0.032221,0.005394,N1,package,0.4508,83.5757
0.032243,0.005283,N1,ram,0.0282,5.3463
0.037420,0.005338,N0,package,0.6221,116.5487
0.037434,0.005320,N0,ram,0.0257,4.8386
0.037548,0.005327,N1,package,0.4927,92.4982
0.037562,0.005319,N1,ram,0.0303,5.6943
0.042739,0.005319,N0,package,0.5592,105.1310
0.042756,0.005322,N0,ram,0.0235,4.4211
0.043010,0.005462,N1,package,0.4323,79.1500
0.043115,0.005553,N1,ram,0.0266,4.7950
0.048278,0.005539,N0,package,0.5361,96.7934
0.048292,0.005536,N0,ram,0.0211,3.8203
0.048403,0.005393,N1,package,0.4422,81.9947
0.048420,0.005305,N1,ram,0.0283,5.3357
0.053498,0.005220,N0,package,0.5410,103.6441
0.053512,0.005220,N0,ram,0.0209,3.9958
0.053631,0.005228,N1,package,0.5023,96.0700
0.053639,0.005219,N1,ram,0.0311,5.9556
0.058761,0.005263,N0,package,0.6329,120.2591
0.058805,0.005293,N0,ram,0.0263,4.9759
0.059023,0.005392,N1,package,0.4273,79.2473
0.059139,0.005500,N1,ram,0.0251,4.5665
0.064264,0.005503,N0,package,0.4919,89.3854
0.064295,0.005490,N0,ram,0.0219,3.9856
0.064399,0.005376,N1,package,0.4615,85.8442
0.064421,0.005282,N1,ram,0.0287,5.4311
0.069532,0.005268,N0,package,0.6315,119.8722
0.069547,0.005252,N0,ram,0.0316,6.0142
0.069625,0.005226,N1,package,0.4058,77.6526
0.069633,0.005212,N1,ram,0.0246,4.7193
0.074754,0.005222,N0,package,0.5588,107.0144
0.074799,0.005252,N0,ram,0.0276,5.2498
0.075055,0.005430,N1,package,0.5422,99.8597
0.075172,0.005539,N1,ram,0.0335,6.0468
0.080297,0.005543,N0,package,0.5276,95.1921
0.080328,0.005529,N0,ram,0.0302,5.4699
0.080437,0.005382,N1,package,0.4020,74.7031
0.080459,0.005287,N1,ram,0.0249,4.7128
0.085571,0.005274,N0,package,0.5143,97.5117
0.085584,0.005256,N0,ram,0.0255,4.8454
0.085664,0.005227,N1,package,0.5179,99.0768
0.085673,0.005214,N1,ram,0.0315,6.0433
0.090764,0.005193,N0,package,0.6733,129.6513
0.090780,0.005196,N0,ram,0.0277,5.3270
0.091002,0.005338,N1,package,0.4639,86.8998
0.091112,0.005439,N1,ram,0.0271,4.9880
0.096231,0.005467,N0,package,0.9709,177.5923
0.096266,0.005486,N0,ram,0.0418,7.6155
0.096364,0.005362,N1,package,0.4101,76.4813
0.096386,0.005274,N1,ram,0.0256,4.8608
0.101505,0.005274,N0,package,0.8396,159.1942
0.101521,0.005255,N0,ram,0.0374,7.1227
0.101645,0.005281,N1,package,0.4355,82.4632
0.101658,0.005272,N1,ram,0.0262,4.9607
0.106771,0.005266,N0,package,0.9562,181.5772
0.106786,0.005265,N0,ram,0.0431,8.1873
0.106998,0.005353,N1,package,0.4399,82.1864
0.107102,0.005444,N1,ram,0.0350,6.4216
0.112215,0.005444,N0,package,0.8384,153.9991
0.112251,0.005465,N0,ram,0.0365,6.6870
0.112350,0.005352,N1,package,0.5385,100.6187
0.112372,0.005270,N1,ram,0.0236,4.4821
0.117462,0.005247,N0,package,0.8251,157.2503
0.117476,0.005225,N0,ram,0.0379,7.2542
0.117605,0.005255,N1,package,0.4969,94.5554
0.117618,0.005246,N1,ram,0.0309,5.8898
0.122725,0.005263,N0,package,0.7748,147.2217
0.122739,0.005263,N0,ram,0.0357,6.7870
0.122987,0.005382,N1,package,0.4531,84.1917
0.123093,0.005475,N1,ram,0.0287,5.2339
0.128213,0.005488,N0,package,1.0101,184.0535
0.128248,0.005509,N0,ram,0.0452,8.1987
0.128345,0.005358,N1,package,0.4323,80.6856
0.128368,0.005275,N1,ram,0.0245,4.6369
0.133486,0.005273,N0,package,0.8244,156.3409
0.133500,0.005252,N0,ram,0.0370,7.0540
0.133622,0.005277,N1,package,0.4143,78.5130
0.133636,0.005268,N1,ram,0.0258,4.9068
0.138761,0.005275,N0,package,0.9793,185.6506
0.138806,0.005306,N0,ram,0.0431,8.1240
0.139014,0.005392,N1,package,0.4254,78.8964
0.139131,0.005495,N1,ram,0.0361,6.5644
0.144263,0.005502,N0,package,0.8747,158.9780
0.144299,0.005493,N0,ram,0.0355,6.4642
0.144400,0.005386,N1,package,0.5345,99.2452
0.144422,0.005291,N1,ram,0.0228,4.3086
0.149541,0.005278,N0,package,0.8486,160.7719
0.149556,0.005257,N0,ram,0.0366,6.9605
0.149628,0.005228,N1,package,0.4753,90.9257
0.149636,0.005214,N1,ram,0.0287,5.5136
0.154759,0.005218,N0,package,0.8801,168.6664
0.154812,0.005256,N0,ram,0.0361,6.8744
0.155021,0.005393,N1,package,0.4149,76.9245
0.155138,0.005502,N1,ram,0.0262,4.7673
0.160269,0.005510,N0,package,1.0374,188.2754
0.160301,0.005489,N0,ram,0.0424,7.7310
0.160402,0.005381,N1,package,0.5240,97.3866
0.160424,0.005286,N1,ram,0.0311,5.8859
0.165544,0.005275,N0,package,0.8696,164.8582
0.165560,0.005259,N0,ram,0.0361,6.8648
0.165633,0.005231,N1,package,0.4163,79.5887
0.165642,0.005218,N1,ram,0.0255,4.8952
0.170764,0.005220,N0,package,0.9030,172.9935
0.170803,0.005243,N0,ram,0.0375,7.1593
0.171027,0.005394,N1,package,0.5045,93.5332
0.171148,0.005506,N1,ram,0.0308,5.6008
0.176276,0.005512,N0,package,1.0251,185.9845
0.176308,0.005505,N0,ram,0.0437,7.9442
0.176410,0.005383,N1,package,0.4412,81.9545
0.176432,0.005284,N1,ram,0.0271,5.1314
0.181568,0.005292,N0,package,0.8343,157.6458
0.181611,0.005303,N0,ram,0.0370,6.9804
0.181701,0.005291,N1,package,0.4601,86.9676
0.181714,0.005282,N1,ram,0.0272,5.1509
0.186879,0.005311,N0,package,0.8704,163.8975
0.186920,0.005309,N0,ram,0.0357,6.7285
0.187047,0.005346,N1,package,0.3982,74.4835
0.187069,0.005355,N1,ram,0.0249,4.6561
0.192197,0.005318,N0,package,1.0143,190.7203
0.192227,0.005307,N0,ram,0.0416,7.8404
0.192331,0.005284,N1,package,0.5380,101.8202
0.192353,0.005284,N1,ram,0.0332,6.2807
0.197481,0.005284,N0,package,0.8749,165.5879
0.197516,0.005289,N0,ram,0.0376,7.1089
0.197613,0.005282,N1,package,0.4149,78.5426
0.197636,0.005283,N1,ram,0.0248,4.7020
0.202774,0.005293,N0,package,0.8853,167.2458
0.202827,0.005311,N0,ram,0.0375,7.0533
0.202890,0.005277,N1,package,0.4755,90.1026
0.202904,0.005268,N1,ram,0.0280,5.3152
0.208023,0.005249,N0,package,0.8715,166.0233
0.208067,0.005240,N0,ram,0.0351,6.6947
0.208161,0.005271,N1,package,0.4995,94.7625
0.208180,0.005276,N1,ram,0.0310,5.8739
0.213302,0.005279,N0,package,0.9989,189.2194
0.213334,0.005267,N0,ram,0.0427,8.1057
0.213435,0.005274,N1,package,0.4396,83.3620
0.213457,0.005277,N1,ram,0.0274,5.1873
0.218584,0.005282,N0,package,0.9000,170.3855
0.218615,0.005281,N0,ram,0.0379,7.1744
0.218719,0.005284,N1,package,0.3917,74.1329
0.218741,0.005284,N1,ram,0.0241,4.5599
0.223853,0.005269,N0,package,0.8370,158.8590
0.223869,0.005254,N0,ram,0.0355,6.7494
0.223905,0.005186,N1,package,0.4744,91.4807
0.223911,0.005170,N1,ram,0.0295,5.7020
0.229031,0.005178,N0,package,0.8806,170.0694
0.229063,0.005194,N0,ram,0.0374,7.1976
0.229172,0.005267,N1,package,0.4698,89.2077
0.229194,0.005283,N1,ram,0.0283,5.3637
0.234314,0.005283,N0,package,1.0040,190.0533
0.234349,0.005286,N0,ram,0.0435,8.2298
0.234449,0.005277,N1,package,0.4396,83.2977
0.234471,0.005277,N1,ram,0.0283,5.3579
0.239600,0.005286,N0,package,0.8970,169.7006
0.239637,0.005288,N0,ram,0.0373,7.0521
0.239737,0.005288,N1,package,0.4225,79.9084
0.239759,0.005288,N1,ram,0.0263,4.9806
0.244868,0.005268,N0,package,0.9035,171.5047
0.244899,0.005262,N0,ram,0.0380,7.2294
0.245149,0.005412,N1,package,0.4642,85.7769
0.245269,0.005510,N1,ram,0.0283,5.1425
0.250405,0.005537,N0,package,0.9914,179.0479
0.250445,0.005546,N0,ram,0.0417,7.5165
0.250542,0.005393,N1,package,0.5494,101.8839
0.250564,0.005295,N1,ram,0.0320,6.0487
0.255684,0.005279,N0,package,0.8522,161.4250
0.255699,0.005254,N0,ram,0.0358,6.8223
0.255953,0.005411,N1,package,0.4390,81.1223
0.256064,0.005500,N1,ram,0.0258,4.6943
0.261145,0.005461,N0,package,1.0570,193.5563
0.261158,0.005459,N0,ram,0.0465,8.5167
0.261231,0.005278,N1,package,0.4936,93.5209
0.261240,0.005176,N1,ram,0.0316,6.1052
0.266354,0.005209,N0,package,0.8744,167.8623
0.266389,0.005231,N0,ram,0.0369,7.0618
0.266488,0.005257,N1,package,0.4573,86.9820
0.266511,0.005271,N1,ram,0.0271,5.1355
0.271634,0.005280,N0,package,0.8885,168.2738
0.271668,0.005279,N0,ram,0.0385,7.2929
0.271767,0.005279,N1,package,0.4017,76.0994
0.271798,0.005287,N1,ram,0.0254,4.8081
0.277158,0.005524,N0,package,0.8514,154.1259
0.277179,0.005511,N0,ram,0.0358,6.4955
0.277336,0.005569,N1,package,0.4891,87.8212
0.277344,0.005546,N1,ram,0.0284,5.1286
0.282460,0.005302,N0,package,1.0522,198.4639
0.282496,0.005317,N0,ram,0.0426,8.0154
0.282594,0.005258,N1,package,0.5503,104.6613
0.282614,0.005270,N1,ram,0.0336,6.3757
0.287742,0.005282,N0,package,0.8339,157.8638
0.287775,0.005279,N0,ram,0.0370,7.0093
0.288010,0.005416,N1,package,0.4403,81.2952
0.288127,0.005513,N1,ram,0.0264,4.7911
0.293262,0.005520,N0,package,1.0302,186.6372
0.293294,0.005519,N0,ram,0.0436,7.8963
0.293396,0.005386,N1,package,0.5274,97.9237
