#timestamp,interval,socket,domain,energy,power
0.005236,0.005547,N0,package,0.4885,88.0585
0.005332,0.005455,N0,ram,0.0261,4.7862
0.005428,0.005433,N1,package,0.4509,82.9967
0.005446,0.005446,N1,ram,0.0275,5.0459
0.010606,0.005370,N0,package,0.4539,84.5188
0.010626,0.005294,N0,ram,0.0229,4.3262
0.010738,0.005310,N1,package,0.5642,106.2529
0.010750,0.005304,N1,ram,0.0310,5.8488
0.015910,0.005304,N0,package,0.5120,96.5221
0.015930,0.005304,N0,ram,0.0269,5.0718
0.016038,0.005300,N1,package,0.4654,87.8093
0.016055,0.005305,N1,ram,0.0259,4.8839
0.021305,0.005395,N0,package,0.4409,81.7168
0.021341,0.005411,N0,ram,0.0214,3.9508
0.021492,0.005454,N1,package,0.5074,93.0329
0.021501,0.005446,N1,ram,0.0298,5.4804
0.026640,0.005335,N0,package,0.4772,89.4404
0.026654,0.005313,N0,ram,0.0241,4.5435
0.026768,0.005276,N1,package,0.5113,96.9052
0.026780,0.005279,N1,ram,0.0305,5.7722
0.031970,0.005330,N0,package,0.5299,99.4226
0.032001,0.005347,N0,ram,0.0220,4.1150
0.032122,0.005354,N1,package,0.5355,100.0242
0.032151,0.005371,N1,ram,0.0327,6.0798
0.037414,0.005444,N0,package,0.5818,106.8778
0.037455,0.005454,N0,ram,0.0249,4.5686
0.037571,0.005449,N1,package,0.4421,81.1404
0.037604,0.005453,N1,ram,0.0261,4.7877
0.042774,0.005360,N0,package,0.5164,96.3445
0.042788,0.005333,N0,ram,0.0206,3.8541
0.042901,0.005330,N1,package,0.4336,81.3520
0.042917,0.005313,N1,ram,0.0271,5.1093
0.048069,0.005295,N0,package,0.5425,102.4553
0.048335,0.005547,N0,ram,0.0271,4.8909
0.048487,0.005586,N1,package,0.4420,79.1273
0.048512,0.005595,N1,ram,0.0271,4.8436
0.053694,0.005625,N0,package,0.6810,121.0610
0.053733,0.005398,N0,ram,0.0226,4.1807
0.053834,0.005347,N1,package,0.5332,99.7198
0.053855,0.005343,N1,ram,0.0325,6.0827
0.059045,0.005351,N0,package,0.6024,112.5675
0.059078,0.005345,N0,ram,0.0232,4.3335
0.059315,0.005481,N1,package,0.4184,76.3356
0.059432,0.005577,N1,ram,0.0309,5.5379
0.064615,0.005570,N0,package,0.5275,94.7097
0.064738,0.005660,N0,ram,0.0244,4.3055
0.064841,0.005526,N1,package,0.5162,93.4112
0.064867,0.005435,N1,ram,0.0267,4.9131
0.070060,0.005445,N0,package,0.5947,109.2131
0.070306,0.005568,N0,ram,0.0254,4.5546
