#timestamp,interval,socket,domain,energy,power
0.005170,0.005468,N0,package,0.5001,91.4501
0.005212,0.005332,N0,ram,0.0242,4.5387
0.005432,0.005437,N1,package,0.5270,96.9331
0.005548,0.005548,N1,ram,0.0285,5.1349
0.010711,0.005541,N0,package,0.5320,96.0110
0.010731,0.005519,N0,ram,0.0256,4.6394
0.010839,0.005407,N1,package,0.4731,87.5082
0.010857,0.005309,N1,ram,0.0271,5.1101
0.016016,0.005305,N0,package,0.4751,89.5557
0.016035,0.005304,N0,ram,0.0231,4.3641
0.016147,0.005308,N1,package,0.5713,107.6249
0.016164,0.005307,N1,ram,0.0320,6.0323
0.021427,0.005411,N0,package,0.4540,83.9008
0.021510,0.005475,N0,ram,0.0217,3.9686
0.021646,0.005499,N1,package,0.4934,89.7288
0.021657,0.005493,N1,ram,0.0275,5.0113
0.026769,0.005342,N0,package,0.4903,91.7811
0.026800,0.005290,N0,ram,0.0237,4.4884
0.026903,0.005257,N1,package,0.5330,101.3829
0.026937,0.005280,N1,ram,0.0312,5.9099
0.032096,0.005327,N0,package,0.5833,109.4900
0.032112,0.005312,N0,ram,0.0205,3.8663
0.032391,0.005488,N1,package,0.4525,82.4529
0.032498,0.005561,N1,ram,0.0271,4.8648
0.037681,0.005585,N0,package,0.6082,108.8869
0.037718,0.005606,N0,ram,0.0219,3.9059
0.037818,0.005427,N1,package,0.4355,80.2460
0.037838,0.005340,N1,ram,0.0262,4.9149
0.043009,0.005328,N0,package,0.5861,110.0089
0.043023,0.005305,N0,ram,0.0217,4.0872
0.043140,0.005322,N1,package,0.5350,100.5329
0.043161,0.005323,N1,ram,0.0334,6.2693
0.048463,0.005454,N0,package,0.5516,101.1310
0.048506,0.005483,N0,ram,0.0191,3.4926
0.048618,0.005478,N1,package,0.4401,80.3419
0.048651,0.005490,N1,ram,0.0265,4.8194
0.053843,0.005380,N0,package,0.5416,100.6756
0.053875,0.005369,N0,ram,0.0195,3.6264
0.053982,0.005364,N1,package,0.4424,82.4848
0.054016,0.005365,N1,ram,0.0267,4.9714
0.059196,0.005353,N0,package,0.6829,127.5667
0.059216,0.005341,N0,ram,0.0221,4.1425
0.059485,0.005503,N1,package,0.5195,94.3987
0.059591,0.005575,N1,ram,0.0316,5.6739
0.064704,0.005508,N0,package,0.5403,98.1027
0.064738,0.005522,N0,ram,0.0178,3.2192
0.064864,0.005379,N1,package,0.4363,81.1198
0.064894,0.005303,N1,ram,0.0259,4.8916
0.070004,0.005300,N0,package,0.9231,174.1675
0.070026,0.005288,N0,ram,0.0393,7.4391
0.070133,0.005269,N1,package,0.5264,99.9095
0.070144,0.005250,N1,ram,0.0321,6.1094
0.075289,0.005285,N0,package,0.8126,153.7478
0.075326,0.005300,N0,ram,0.0374,7.0622
0.075366,0.005233,N1,package,0.4612,88.1287
0.075394,0.005250,N1,ram,0.0266,5.0659
0.080520,0.005231,N0,package,0.8439,161.3243
0.080556,0.005230,N0,ram,0.0371,7.0926
0.080645,0.005279,N1,package,0.4429,83.8920
0.080656,0.005262,N1,ram,0.0261,4.9672
0.085797,0.005277,N0,package,0.9607,182.0475
0.085845,0.005289,N0,ram,0.0429,8.1183
0.085942,0.005297,N1,package,0.4371,82.5256
0.085976,0.005320,N1,ram,0.0264,4.9676
0.091118,0.005321,N0,package,0.8235,154.7723
0.091167,0.005322,N0,ram,0.0367,6.9012
0.091414,0.005472,N1,package,0.5176,94.5988
0.091533,0.005557,N1,ram,0.0315,5.6677
0.096713,0.005595,N0,package,0.8270,147.8161
0.096784,0.005617,N0,ram,0.0364,6.4869
0.096882,0.005468,N1,package,0.4406,80.5672
0.096901,0.005368,N1,ram,0.0263,4.9062
0.102069,0.005356,N0,package,0.9869,184.2539
0.102120,0.005336,N0,ram,0.0441,8.2674
