#timestamp,interval,socket,domain,energy,power
0.005174,0.005726,N0,package,0.4999,87.2982
0.005212,0.005597,N0,ram,0.0203,3.6233
0.005315,0.005388,N1,package,0.5628,104.4549
0.005349,0.005349,N1,ram,0.0337,6.3016
0.010531,0.005357,N0,package,0.6125,114.3335
0.010547,0.005335,N0,ram,0.0276,5.1796
0.010658,0.005343,N1,package,0.4197,78.5478
0.010676,0.005327,N1,ram,0.0256,4.8065
0.015935,0.005404,N0,package,0.5092,94.2296
0.015977,0.005430,N0,ram,0.0220,4.0522
0.016093,0.005435,N1,package,0.4493,82.6607
0.016115,0.005439,N1,ram,0.0277,5.0862
0.021236,0.005301,N0,package,0.5257,99.1692
0.021267,0.005290,N0,ram,0.0238,4.5055
0.021370,0.005277,N1,package,0.5035,95.4231
0.021404,0.005289,N1,ram,0.0304,5.7529
0.026525,0.005289,N0,package,0.5081,96.0577
0.026556,0.005289,N0,ram,0.0190,3.5975
0.026661,0.005291,N1,package,0.4340,82.0303
0.026681,0.005277,N1,ram,0.0274,5.1960
0.031762,0.005237,N0,package,0.5677,108.4139
0.031777,0.005221,N0,ram,0.0267,5.1088
0.031965,0.005304,N1,package,0.4348,81.9656
0.032084,0.005403,N1,ram,0.0271,5.0156
0.037200,0.005438,N0,package,0.6484,119.2399
0.037231,0.005454,N0,ram,0.0234,4.2833
0.037334,0.005369,N1,package,0.5152,95.9588
0.037355,0.005271,N1,ram,0.0320,6.0619
0.042531,0.005331,N0,package,0.5646,105.9034
0.042562,0.005331,N0,ram,0.0218,4.0873
0.042670,0.005336,N1,package,0.4220,79.0842
0.042691,0.005336,N1,ram,0.0259,4.8613
0.047961,0.005430,N0,package,0.6703,123.4533
0.047977,0.005415,N0,ram,0.0277,5.1117
0.048073,0.005403,N1,package,0.4357,80.6489
0.048080,0.005389,N1,ram,0.0285,5.2892
0.053229,0.005268,N0,package,0.5635,106.9766
0.053243,0.005266,N0,ram,0.0215,4.0886
0.053355,0.005282,N1,package,0.4287,81.1620
0.053367,0.005287,N1,ram,0.0260,4.9266
0.058487,0.005258,N0,package,0.6472,123.0783
0.058524,0.005281,N0,ram,0.0255,4.8282
0.058623,0.005268,N1,package,0.5088,96.5837
0.058644,0.005277,N1,ram,0.0308,5.8439
0.063965,0.005478,N0,package,0.8701,158.8412
0.063992,0.005468,N0,ram,0.0359,6.5747
0.064073,0.005450,N1,package,0.4459,81.8206
0.064081,0.005437,N1,ram,0.0268,4.9280
0.069185,0.005220,N0,package,0.8456,161.9833
0.069239,0.005247,N0,ram,0.0357,6.8106
0.069335,0.005262,N1,package,0.4625,87.8967
0.069355,0.005274,N1,ram,0.0277,5.2598
0.074483,0.005298,N0,package,0.8185,154.5032
0.074537,0.005298,N0,ram,0.0428,8.0788
0.074635,0.005300,N1,package,0.5178,97.7059
0.074655,0.005300,N1,ram,0.0313,5.9080
0.079935,0.005452,N0,package,1.0118,185.5824
0.079980,0.005443,N0,ram,0.0369,6.7784
0.080099,0.005464,N1,package,0.4249,77.7562
0.080131,0.005476,N1,ram,0.0272,4.9683
0.085282,0.005347,N0,package,0.8054,150.6185
0.085333,0.005353,N0,ram,0.0357,6.6731
0.085430,0.005331,N1,package,0.5261,98.6791
0.085450,0.005319,N1,ram,0.0329,6.1877
0.090613,0.005331,N0,package,1.0146,190.3170
0.090637,0.005304,N0,ram,0.0415,7.8335
0.090893,0.005463,N1,package,0.4330,79.2703
0.091049,0.005599,N1,ram,0.0261,4.6629
0.096172,0.005559,N0,package,0.8257,148.5318
0.096237,0.005600,N0,ram,0.0359,6.4169
0.096322,0.005429,N1,package,0.4365,80.3942
0.096332,0.005283,N1,ram,0.0263,4.9824
0.101492,0.005320,N0,package,0.8409,158.0697
0.101541,0.005304,N0,ram,0.0368,6.9334
0.101640,0.005318,N1,package,0.5046,94.8896
0.101660,0.005328,N1,ram,0.0319,5.9853
0.106945,0.005453,N0,package,1.0131,185.7850
0.107008,0.005467,N0,ram,0.0431,7.8873
0.107120,0.005480,N1,package,0.4409,80.4511
0.107154,0.005494,N1,ram,0.0266,4.8410
