#timestamp,interval,socket,domain,energy,power
0.005154,0.005433,N0,package,0.5327,98.0502
0.005187,0.005309,N0,ram,0.0172,3.2335
0.005206,0.005211,N1,package,0.4775,91.6428
0.005214,0.005214,N1,ram,0.0293,5.6101
0.010420,0.005266,N0,package,0.4355,82.6984
0.010518,0.005331,N0,ram,0.0171,3.2086
0.010609,0.005403,N1,package,0.5132,94.9805
0.010617,0.005403,N1,ram,0.0305,5.6456
0.015777,0.005357,N0,package,0.5236,97.7446
0.015793,0.005275,N0,ram,0.0225,4.2580
0.015892,0.005283,N1,package,0.5060,95.7892
0.015900,0.005283,N1,ram,0.0287,5.4270
0.021061,0.005284,N0,package,0.4354,82.3917
0.021081,0.005288,N0,ram,0.0176,3.3356
0.021193,0.005301,N1,package,0.4695,88.5649
0.021204,0.005304,N1,ram,0.0272,5.1264
0.026465,0.005404,N0,package,0.4418,81.7605
0.026544,0.005463,N0,ram,0.0178,3.2652
0.026664,0.005471,N1,package,0.4592,83.9388
0.026676,0.005472,N1,ram,0.0261,4.7712
0.031826,0.005361,N0,package,0.5417,101.0451
0.031845,0.005301,N0,ram,0.0216,4.0702
0.031957,0.005293,N1,package,0.5280,99.7548
0.031966,0.005290,N1,ram,0.0291,5.5093
0.037149,0.005323,N0,package,0.4033,75.7555
0.037195,0.005350,N0,ram,0.0172,3.2171
0.037235,0.005278,N1,package,0.5258,99.6153
0.037261,0.005295,N1,ram,0.0307,5.7896
0.042531,0.005382,N0,package,0.4786,88.9246
0.042609,0.005414,N0,ram,0.0195,3.6019
0.042741,0.005506,N1,package,0.4791,87.0072
0.042749,0.005488,N1,ram,0.0280,5.0935
0.047936,0.005405,N0,package,0.4308,79.7099
0.047966,0.005357,N0,ram,0.0178,3.3185
0.048068,0.005327,N1,package,0.5468,102.6383
0.048091,0.005342,N1,ram,0.0294,5.4957
0.053417,0.005481,N0,package,0.5761,105.1104
0.053501,0.005535,N0,ram,0.0247,4.4659
0.053622,0.005554,N1,package,0.4576,82.3882
0.053630,0.005539,N1,ram,0.0272,4.9091
0.058791,0.005374,N0,package,0.4899,91.1560
0.058811,0.005310,N0,ram,0.0200,3.7586
0.058923,0.005301,N1,package,0.5731,108.1040
0.058935,0.005305,N1,ram,0.0310,5.8388
0.064093,0.005302,N0,package,0.4820,90.9089
0.064113,0.005302,N0,ram,0.0184,3.4622
0.064219,0.005296,N1,package,0.5068,95.6975
0.064438,0.005503,N1,ram,0.0272,4.9412
0.069584,0.005491,N0,package,0.4777,86.9895
0.069702,0.005589,N0,ram,0.0249,4.4583
0.069810,0.005591,N1,package,0.4940,88.3609
0.069817,0.005379,N1,ram,0.0280,5.2140
0.074968,0.005384,N0,package,0.5692,105.7125
0.074988,0.005286,N0,ram,0.0183,3.4698
0.075080,0.005270,N1,package,0.5381,102.1151
0.075087,0.005270,N1,ram,0.0275,5.2233
0.080207,0.005239,N0,package,0.4123,78.6966
0.080246,0.005258,N0,ram,0.0157,2.9803
0.080265,0.005185,N1,package,0.5389,103.9445
0.080534,0.005447,N1,ram,0.0311,5.7089
0.085648,0.005441,N0,package,0.5557,102.1263
0.085685,0.005439,N0,ram,0.0205,3.7735
0.085784,0.005519,N1,package,0.4600,83.3391
0.085803,0.005269,N1,ram,0.0266,5.0420
0.090924,0.005276,N0,package,0.5468,103.6309
0.090958,0.005273,N0,ram,0.0236,4.4708
0.091061,0.005277,N1,package,0.5012,94.9836
0.091081,0.005278,N1,ram,0.0315,5.9756
0.096209,0.005285,N0,package,0.4882,92.3780
0.096257,0.005299,N0,ram,0.0212,4.0025
0.096490,0.005429,N1,package,0.4328,79.7196
0.096607,0.005526,N1,ram,0.0262,4.7355
