#timestamp,interval,socket,domain,energy,power
0.005178,0.005493,N0,package,0.5394,98.1932
0.005223,0.005362,N0,ram,0.0252,4.7068
0.005321,0.005334,N1,package,0.5003,93.7972
0.005346,0.005346,N1,ram,0.0315,5.8997
0.010543,0.005365,N0,package,0.5084,94.7643
0.010574,0.005351,N0,ram,0.0229,4.2716
0.010677,0.005356,N1,package,0.4234,79.0506
0.010698,0.005352,N1,ram,0.0259,4.8382
0.015879,0.005336,N0,package,0.5103,95.6240
0.015895,0.005321,N0,ram,0.0194,3.6419
0.016154,0.005477,N1,package,0.5104,93.1973
0.016261,0.005563,N1,ram,0.0308,5.5352
0.021375,0.005496,N0,package,0.6955,126.5452
0.021406,0.005511,N0,ram,0.0253,4.5906
0.021511,0.005357,N1,package,0.4376,81.6798
0.021544,0.005283,N1,ram,0.0278,5.2626
0.026658,0.005283,N0,package,0.5284,100.0177
0.026672,0.005266,N0,ram,0.0180,3.4250
0.026767,0.005256,N1,package,0.4527,86.1307
0.026775,0.005231,N1,ram,0.0276,5.2825
0.031894,0.005236,N0,package,0.6169,117.8122
0.031927,0.005255,N0,ram,0.0202,3.8445
0.032196,0.005429,N1,package,0.4113,75.7623
0.032390,0.005615,N1,ram,0.0250,4.4540
0.037560,0.005666,N0,package,0.5739,101.2840
0.037598,0.005671,N0,ram,0.0181,3.1884
0.037696,0.005500,N1,package,0.5239,95.2468
0.037721,0.005331,N1,ram,0.0326,6.1166
0.042909,0.005349,N0,package,0.5625,105.1567
0.042958,0.005360,N0,ram,0.0194,3.6127
0.043207,0.005511,N1,package,0.4326,78.4889
0.043393,0.005672,N1,ram,0.0259,4.5680
0.048472,0.005563,N0,package,0.6932,124.6153
0.048486,0.005528,N0,ram,0.0255,4.6124
0.048566,0.005359,N1,package,0.5192,96.8898
0.048574,0.005181,N1,ram,0.0319,6.1612
0.053700,0.005228,N0,package,0.5729,109.5892
0.053729,0.005243,N0,ram,0.0168,3.1984
0.053839,0.005273,N1,package,0.4387,83.1997
0.053860,0.005286,N1,ram,0.0279,5.2797
0.059027,0.005327,N0,package,0.8986,168.6921
0.059072,0.005343,N0,ram,0.0380,7.1111
0.059180,0.005341,N1,package,0.4360,81.6421
0.059296,0.005436,N1,ram,0.0339,6.2316
0.064422,0.005395,N0,package,0.7993,148.1605
0.064462,0.005390,N0,ram,0.0363,6.7289
0.064596,0.005416,N1,package,0.5283,97.5453
0.064728,0.005432,N1,ram,0.0249,4.5929
0.069854,0.005432,N0,package,0.8082,148.7930
0.069918,0.005456,N0,ram,0.0345,6.3318
0.070175,0.005579,N1,package,0.4208,75.4325
0.070292,0.005564,N1,ram,0.0249,4.4811
0.075452,0.005598,N0,package,0.9724,173.7049
0.075468,0.005550,N0,ram,0.0435,7.8440
0.075579,0.005404,N1,package,0.5360,99.1879
0.075591,0.005299,N1,ram,0.0351,6.6258
0.080704,0.005252,N0,package,0.8151,155.1874
0.080732,0.005264,N0,ram,0.0362,6.8728
0.080821,0.005242,N1,package,0.4427,84.4523
0.080829,0.005238,N1,ram,0.0260,4.9609
0.085973,0.005269,N0,package,0.8268,156.9200
0.086033,0.005301,N0,ram,0.0463,8.7390
0.086147,0.005326,N1,package,0.4257,79.9205
0.086180,0.005351,N1,ram,0.0257,4.8077
0.091329,0.005356,N0,package,0.9434,176.1289
0.091367,0.005334,N0,ram,0.0348,6.5196
0.091465,0.005318,N1,package,0.5235,98.4403
0.091498,0.005318,N1,ram,0.0331,6.2207
0.096636,0.005307,N0,package,0.7991,150.5821
0.096672,0.005305,N0,ram,0.0357,6.7247
0.096788,0.005323,N1,package,0.4163,78.1977
0.096799,0.005301,N1,ram,0.0257,4.8387
0.101932,0.005296,N0,package,0.9824,185.4914
0.102025,0.005353,N0,ram,0.0447,8.3549
