#timestamp,interval,socket,domain,energy,power
0.005248,0.005548,N0,package,0.5531,99.6937
0.005350,0.005471,N0,ram,0.0250,4.5712
0.005454,0.005459,N1,package,0.5323,97.5052
0.005462,0.005462,N1,ram,0.0308,5.6346
0.010621,0.005373,N0,package,0.5082,94.5914
0.010641,0.005291,N0,ram,0.0222,4.1961
0.010750,0.005296,N1,package,0.4882,92.1752
0.010762,0.005300,N1,ram,0.0275,5.1882
0.015920,0.005299,N0,package,0.5519,104.1461
0.015940,0.005299,N0,ram,0.0267,5.0336
0.016181,0.005431,N1,package,0.5466,100.6513
0.016302,0.005540,N1,ram,0.0313,5.6544
0.021453,0.005533,N0,package,0.4545,82.1490
0.021474,0.005534,N0,ram,0.0208,3.7553
0.021484,0.005303,N1,package,0.5262,99.2327
0.021490,0.005188,N1,ram,0.0294,5.6706
0.026647,0.005194,N0,package,0.4733,91.1188
0.026668,0.005194,N0,ram,0.0219,4.2157
0.026789,0.005305,N1,package,0.4765,89.8244
0.026797,0.005307,N1,ram,0.0261,4.9253
0.031997,0.005350,N0,package,0.5762,107.6982
0.032283,0.005615,N0,ram,0.0247,4.3915
0.032444,0.005655,N1,package,0.5692,100.6558
0.032466,0.005669,N1,ram,0.0300,5.2916
0.037641,0.005644,N0,package,0.5225,92.5679
0.037761,0.005478,N0,ram,0.0234,4.2702
0.037869,0.005425,N1,package,0.4605,84.8871
0.037878,0.005412,N1,ram,0.0271,5.0046
0.043202,0.005561,N0,package,0.6607,118.8081
0.043301,0.005540,N0,ram,0.0278,5.0154
0.043441,0.005572,N1,package,0.5557,99.7229
0.043458,0.005580,N1,ram,0.0313,5.6141
0.048641,0.005439,N0,package,0.5778,106.2402
0.048673,0.005372,N0,ram,0.0220,4.0959
0.048788,0.005347,N1,package,0.4462,83.4537
0.048797,0.005339,N1,ram,0.0271,5.0699
0.053992,0.005351,N0,package,0.6513,121.7152
0.054328,0.005655,N0,ram,0.0270,4.7734
0.054476,0.005688,N1,package,0.5421,95.2985
0.054495,0.005698,N1,ram,0.0336,5.8888
0.059625,0.005633,N0,package,0.6087,108.0581
0.059662,0.005334,N0,ram,0.0248,4.6513
0.059756,0.005280,N1,package,0.4429,83.8768
0.059782,0.005287,N1,ram,0.0266,5.0334
0.064870,0.005245,N0,package,0.8527,162.5790
0.064887,0.005225,N0,ram,0.0378,7.2396
0.064988,0.005232,N1,package,0.5136,98.1654
0.064995,0.005213,N1,ram,0.0301,5.7663
0.070120,0.005250,N0,package,0.7307,139.1840
0.070159,0.005272,N0,ram,0.0353,6.7033
0.070259,0.005271,N1,package,0.4494,85.2600
0.070279,0.005284,N1,ram,0.0279,5.2758
0.075399,0.005279,N0,package,0.7237,137.0875
0.075431,0.005272,N0,ram,0.0352,6.6828
0.075538,0.005279,N1,package,0.4297,81.3946
0.075571,0.005292,N1,ram,0.0262,4.9508
