#timestamp,interval,socket,domain,energy,power
0.005330,0.005481,N0,package,0.4979,90.8344
0.005392,0.005524,N0,ram,0.0198,3.5882
0.005505,0.005510,N1,package,0.4968,90.1594
0.005538,0.005538,N1,ram,0.0313,5.6539
0.010722,0.005392,N0,package,0.5736,106.3799
0.010760,0.005368,N0,ram,0.0222,4.1444
0.010863,0.005358,N1,package,0.4186,78.1339
0.010885,0.005347,N1,ram,0.0255,4.7742
0.016074,0.005352,N0,package,0.5121,95.6807
0.016117,0.005357,N0,ram,0.0187,3.4836
0.016367,0.005504,N1,package,0.5236,95.1212
0.016478,0.005593,N1,ram,0.0327,5.8440
0.021602,0.005528,N0,package,0.6074,109.8815
0.021634,0.005517,N0,ram,0.0231,4.1791
0.021739,0.005372,N1,package,0.4448,82.8035
0.021772,0.005294,N1,ram,0.0269,5.0871
0.026857,0.005255,N0,package,0.4763,90.6413
0.026871,0.005237,N0,ram,0.0154,2.9340
0.027024,0.005285,N1,package,0.4874,92.2205
0.027035,0.005263,N1,ram,0.0298,5.6651
0.032159,0.005302,N0,package,0.6386,120.4482
0.032189,0.005318,N0,ram,0.0222,4.1720
0.032411,0.005387,N1,package,0.4364,81.0091
0.032528,0.005493,N1,ram,0.0266,4.8447
0.037711,0.005552,N0,package,0.5948,107.1403
0.037748,0.005559,N0,ram,0.0189,3.3982
0.037861,0.005450,N1,package,0.4327,79.4015
0.037873,0.005345,N1,ram,0.0260,4.8647
0.043048,0.005337,N0,package,0.6717,125.8557
0.043063,0.005315,N0,ram,0.0221,4.1656
0.043294,0.005433,N1,package,0.4228,77.8178
0.043400,0.005527,N1,ram,0.0343,6.2145
0.048558,0.005510,N0,package,0.5839,105.9734
0.048572,0.005509,N0,ram,0.0201,3.6396
0.048678,0.005384,N1,package,0.5291,98.2758
0.048686,0.005286,N1,ram,0.0249,4.7052
0.053841,0.005283,N0,package,0.5374,101.7276
0.053857,0.005285,N0,ram,0.0181,3.4300
0.053968,0.005290,N1,package,0.4258,80.4875
0.053980,0.005294,N1,ram,0.0264,4.9776
0.059122,0.005281,N0,package,0.7660,145.0474
0.059341,0.005484,N0,ram,0.0285,5.1891
0.059491,0.005523,N1,package,0.4427,80.1540
0.059523,0.005543,N1,ram,0.0268,4.8339
0.064656,0.005534,N0,package,0.7867,142.1560
0.064675,0.005334,N0,ram,0.0332,6.2306
0.064781,0.005290,N1,package,0.5395,101.9823
0.064793,0.005270,N1,ram,0.0322,6.1006
0.069925,0.005269,N0,package,1.0033,190.4130
0.069962,0.005287,N0,ram,0.0445,8.4160
0.070099,0.005318,N1,package,0.3985,74.9349
0.070132,0.005339,N1,ram,0.0245,4.5929
0.075282,0.005357,N0,package,0.8040,150.0749
0.075356,0.005394,N0,ram,0.0365,6.7578
0.075455,0.005356,N1,package,0.5327,99.4600
0.075488,0.005356,N1,ram,0.0322,6.0111
0.080616,0.005334,N0,package,0.8491,159.1862
0.080659,0.005303,N0,ram,0.0377,7.1102
0.080766,0.005311,N1,package,0.4446,83.7091
0.080777,0.005289,N1,ram,0.0279,5.2708
0.085868,0.005252,N0,package,0.8320,158.4253
0.085893,0.005234,N0,ram,0.0360,6.8772
0.086001,0.005235,N1,package,0.4321,82.5468
0.086012,0.005235,N1,ram,0.0249,4.7511
0.091237,0.005369,N0,package,0.9709,180.8450
0.091271,0.005378,N0,ram,0.0449,8.3529
0.091425,0.005424,N1,package,0.4430,81.6724
0.091436,0.005424,N1,ram,0.0281,5.1735
0.096574,0.005337,N0,package,0.8156,152.8109
0.096627,0.005356,N0,ram,0.0359,6.6949
0.096726,0.005301,N1,package,0.5251,99.0656
0.096758,0.005322,N1,ram,0.0326,6.1242
0.101889,0.005315,N0,package,0.8328,156.6913
0.101907,0.005280,N0,ram,0.0369,6.9910
0.102013,0.005287,N1,package,0.3995,75.5705
0.102024,0.005266,N1,ram,0.0241,4.5754
0.107353,0.005464,N0,package,0.9891,181.0141
0.107431,0.005524,N0,ram,0.0430,7.7839
0.107543,0.005530,N1,package,0.5539,100.1595
0.107563,0.005539,N1,ram,0.0345,6.2287
0.112711,0.005358,N0,package,0.8506,158.7512
0.112754,0.005323,N0,ram,0.0391,7.3414
0.112842,0.005299,N1,package,0.4408,83.1870
0.112853,0.005290,N1,ram,0.0251,4.7391
0.117975,0.005264,N0,package,0.9565,181.7126
0.117994,0.005240,N0,ram,0.0445,8.4972
0.118111,0.005269,N1,package,0.4070,77.2402
0.118124,0.005271,N1,ram,0.0259,4.9066
0.123331,0.005356,N0,package,0.8677,162.0171
0.123351,0.005357,N0,ram,0.0363,6.7820
0.123433,0.005322,N1,package,0.4462,83.8348
0.123442,0.005318,N1,ram,0.0265,4.9869
0.128589,0.005258,N0,package,0.8143,154.8722
0.128636,0.005285,N0,ram,0.0368,6.9668
0.128734,0.005301,N1,package,0.5233,98.7202
0.128767,0.005325,N1,ram,0.0309,5.8114
0.133909,0.005320,N0,package,0.9832,184.8124
0.133950,0.005314,N0,ram,0.0430,8.0887
0.134057,0.005323,N1,package,0.4147,77.9031
0.134068,0.005301,N1,ram,0.0268,5.0632
0.139357,0.005448,N0,package,0.8104,148.7489
0.139405,0.005455,N0,ram,0.0349,6.4003
0.139517,0.005460,N1,package,0.5348,97.9465
0.139551,0.005483,N1,ram,0.0319,5.8162
0.144686,0.005329,N0,package,0.8484,159.2097
0.144713,0.005308,N0,ram,0.0392,7.3820
0.144813,0.005296,N1,package,0.4467,84.3499
0.144822,0.005271,N1,ram,0.0257,4.8721
0.149935,0.005249,N0,package,0.8690,165.5465
0.149983,0.005270,N0,ram,0.0442,8.3880
0.150073,0.005260,N1,package,0.4196,79.7636
0.150085,0.005263,N1,ram,0.0271,5.1548
0.155219,0.005284,N0,package,0.9800,185.4793
0.155413,0.005430,N0,ram,0.0369,6.8032
0.155567,0.005494,N1,package,0.4326,78.7308
0.155600,0.005515,N1,ram,0.0263,4.7728
0.160750,0.005531,N0,package,0.7763,140.3536
0.160801,0.005388,N0,ram,0.0350,6.4881
0.160899,0.005332,N1,package,0.5291,99.2338
0.160933,0.005333,N1,ram,0.0316,5.9342
0.166068,0.005318,N0,package,0.8683,163.2753
0.166120,0.005319,N0,ram,0.0354,6.6642
0.166359,0.005460,N1,package,0.4406,80.6980
0.166485,0.005552,N1,ram,0.0258,4.6501
0.171639,0.005571,N0,package,0.9850,176.8018
0.171683,0.005563,N0,ram,0.0434,7.8008
0.171782,0.005423,N1,package,0.5194,95.7819
0.171815,0.005330,N1,ram,0.0326,6.1235
0.176960,0.005321,N0,package,0.8311,156.1946
0.177035,0.005352,N0,ram,0.0438,8.1768
0.177260,0.005478,N1,package,0.4213,76.8992
0.177363,0.005548,N1,ram,0.0259,4.6755
0.182459,0.005499,N0,package,1.0034,182.4655
0.182482,0.005447,N0,ram,0.0363,6.6614
0.182588,0.005328,N1,package,0.5149,96.6401
0.182599,0.005236,N1,ram,0.0323,6.1724
0.187733,0.005274,N0,package,0.8325,157.8518
0.187786,0.005304,N0,ram,0.0371,6.9967
0.187884,0.005296,N1,package,0.4500,84.9607
0.187917,0.005318,N1,ram,0.0265,4.9752
0.193066,0.005333,N0,package,0.8009,150.1803
0.193125,0.005339,N0,ram,0.0424,7.9339
0.193340,0.005456,N1,package,0.4332,79.3931
0.193465,0.005548,N1,ram,0.0252,4.5353
0.198602,0.005536,N0,package,1.0040,181.3609
0.198664,0.005539,N0,ram,0.0357,6.4488
0.198762,0.005422,N1,package,0.5211,96.1098
0.198796,0.005331,N1,ram,0.0327,6.1284
0.203937,0.005335,N0,package,0.8699,163.0547
0.203993,0.005329,N0,ram,0.0378,7.0927
0.204091,0.005329,N1,package,0.4231,79.3965
0.204126,0.005330,N1,ram,0.0260,4.8753
0.209278,0.005341,N0,package,0.9556,178.9212
0.209343,0.005350,N0,ram,0.0423,7.9002
0.209444,0.005353,N1,package,0.5101,95.2988
0.209478,0.005352,N1,ram,0.0310,5.7876
0.214622,0.005344,N0,package,0.8159,152.6703
0.214667,0.005324,N0,ram,0.0362,6.7955
0.214764,0.005320,N1,package,0.4403,82.7635
0.214784,0.005306,N1,ram,0.0282,5.3144
0.219924,0.005302,N0,package,0.8511,160.5252
0.219956,0.005289,N0,ram,0.0362,6.8431
0.220054,0.005290,N1,package,0.4413,83.4296
0.220066,0.005282,N1,ram,0.0257,4.8649
0.225308,0.005384,N0,package,0.9891,183.7074
0.225463,0.005507,N0,ram,0.0413,7.5033
0.225604,0.005550,N1,package,0.4466,80.4688
0.225612,0.005546,N1,ram,0.0270,4.8615
0.230744,0.005436,N0,package,0.8322,153.0835
0.230795,0.005332,N0,ram,0.0381,7.1544
0.230892,0.005288,N1,package,0.5492,103.8543
0.230913,0.005301,N1,ram,0.0318,6.0074
0.236057,0.005313,N0,package,0.8186,154.0779
0.236111,0.005316,N0,ram,0.0361,6.7855
0.236312,0.005420,N1,package,0.4240,78.2200
0.236417,0.005504,N1,ram,0.0267,4.8544
0.241564,0.005507,N0,package,1.0051,182.5072
0.241603,0.005492,N0,ram,0.0433,7.8850
0.241701,0.005389,N1,package,0.4474,83.0191
0.241734,0.005317,N1,ram,0.0263,4.9390
0.246868,0.005304,N0,package,0.8165,153.9429
0.246930,0.005327,N0,ram,0.0367,6.8947
0.247018,0.005317,N1,package,0.5208,97.9529
0.247029,0.005295,N1,ram,0.0310,5.8585
0.252229,0.005361,N0,package,0.9798,182.7612
0.252277,0.005347,N0,ram,0.0421,7.8705
0.252378,0.005360,N1,package,0.4328,80.7444
0.252412,0.005383,N1,ram,0.0266,4.9322
0.257667,0.005438,N0,package,0.8084,148.6636
0.257761,0.005484,N0,ram,0.0365,6.6471
0.257895,0.005517,N1,package,0.5250,95.1647
0.257915,0.005503,N1,ram,0.0325,5.9034
0.263068,0.005401,N0,package,0.8653,160.2062
0.263116,0.005355,N0,ram,0.0355,6.6280
0.263354,0.005459,N1,package,0.4490,82.2586
0.263461,0.005546,N1,ram,0.0270,4.8752
0.268580,0.005512,N0,package,0.9934,180.2265
0.268646,0.005530,N0,ram,0.0450,8.1424
0.268740,0.005386,N1,package,0.4188,77.7598
0.268759,0.005298,N1,ram,0.0250,4.7206
0.273924,0.005344,N0,package,0.8163,152.7502
0.273966,0.005320,N0,ram,0.0348,6.5454
0.274073,0.005333,N1,package,0.5263,98.6896
0.274084,0.005325,N1,ram,0.0316,5.9258
0.279315,0.005391,N0,package,0.8656,160.5604
0.279371,0.005405,N0,ram,0.0441,8.1532
0.279484,0.005411,N1,package,0.4392,81.1710
0.279518,0.005434,N1,ram,0.0272,5.0095
0.284658,0.005343,N0,package,0.9400,175.9329
0.284694,0.005323,N0,ram,0.0346,6.4926
0.284793,0.005309,N1,package,0.5115,96.3506
0.284827,0.005309,N1,ram,0.0306,5.7625
0.290021,0.005363,N0,package,0.8492,158.3412
0.290056,0.005362,N0,ram,0.0364,6.7813
0.290319,0.005526,N1,package,0.4312,78.0326
0.290429,0.005602,N1,ram,0.0265,4.7341
0.295566,0.005545,N0,package,1.0000,180.3459
0.295648,0.005592,N0,ram,0.0435,7.7824
0.295745,0.005426,N1,package,0.5202,95.8735
0.295778,0.005349,N1,ram,0.0313,5.8594
0.300911,0.005345,N0,package,0.8175,152.9446
0.300997,0.005349,N0,ram,0.0371,6.9377
0.301142,0.005397,N1,package,0.4487,83.1432
0.301160,0.005382,N1,ram,0.0285,5.2960
