#timestamp,interval,socket,domain,energy,power
0.005185,0.005512,N0,package,0.5848,106.0918
0.005199,0.005327,N0,ram,0.0263,4.9354
0.005492,0.005505,N1,package,0.3591,65.2251
0.005583,0.005583,N1,ram,0.0294,5.2750
0.010747,0.005562,N0,package,0.5894,105.9708
0.010921,0.005722,N0,ram,0.0253,4.4160
0.011078,0.005586,N1,package,0.4854,86.8886
0.011090,0.005507,N1,ram,0.0260,4.7242
0.016405,0.005658,N0,package,0.5186,91.6513
0.016512,0.005591,N0,ram,0.0222,3.9792
0.016677,0.005599,N1,package,0.4777,85.3224
0.016697,0.005607,N1,ram,0.0307,5.4753
0.021888,0.005483,N0,package,0.5488,100.0824
0.021899,0.005387,N0,ram,0.0244,4.5348
0.021985,0.005308,N1,package,0.4158,78.3305
0.021995,0.005298,N1,ram,0.0281,5.3081
0.027191,0.005303,N0,package,0.5626,106.0969
0.027204,0.005305,N0,ram,0.0232,4.3664
0.027514,0.005529,N1,package,0.3937,71.2111
0.027631,0.005636,N1,ram,0.0326,5.7830
0.032814,0.005623,N0,package,0.6388,113.6017
0.032826,0.005622,N0,ram,0.0233,4.1525
0.032909,0.005395,N1,package,0.4809,89.1384
0.032922,0.005291,N1,ram,0.0250,4.7296
0.038090,0.005276,N0,package,0.5585,105.8636
0.038101,0.005275,N0,ram,0.0193,3.6650
0.038185,0.005276,N1,package,0.4382,83.0505
0.038197,0.005275,N1,ram,0.0264,5.0130
0.043269,0.005179,N0,package,0.5216,100.7171
0.043579,0.005478,N0,ram,0.0170,3.1058
0.043736,0.005551,N1,package,0.4999,90.0503
0.043748,0.005551,N1,ram,0.0311,5.6075
0.048926,0.005657,N0,package,0.6428,113.6339
0.048937,0.005358,N0,ram,0.0243,4.5366
0.049009,0.005273,N1,package,0.4108,77.9020
0.049022,0.005274,N1,ram,0.0261,4.9502
0.054097,0.005171,N0,package,0.5452,105.4381
0.054108,0.005171,N0,ram,0.0189,3.6619
0.054193,0.005184,N1,package,0.4405,84.9684
0.054202,0.005180,N1,ram,0.0273,5.2700
0.059503,0.005406,N0,package,0.5069,93.7673
0.059544,0.005436,N0,ram,0.0199,3.6660
0.059588,0.005395,N1,package,0.5246,97.2388
0.059603,0.005401,N1,ram,0.0316,5.8593
0.064798,0.005295,N0,package,0.5921,111.8221
0.064829,0.005285,N0,ram,0.0223,4.2182
0.064855,0.005267,N1,package,0.4514,85.7080
0.064869,0.005266,N1,ram,0.0269,5.1085
0.070040,0.005242,N0,package,0.4818,91.9118
0.070051,0.005222,N0,ram,0.0200,3.8307
0.070062,0.005207,N1,package,0.4653,89.3538
0.070072,0.005203,N1,ram,0.0268,5.1498
0.075218,0.005178,N0,package,0.5377,103.8475
0.075287,0.005236,N0,ram,0.0194,3.7098
0.075319,0.005257,N1,package,0.4898,93.1743
0.075334,0.005262,N1,ram,0.0303,5.7620
0.080526,0.005308,N0,package,0.4545,85.6208
0.080557,0.005270,N0,ram,0.0173,3.2834
0.080589,0.005270,N1,package,0.5269,99.9841
0.080604,0.005270,N1,ram,0.0307,5.8198
0.085796,0.005270,N0,package,0.5507,104.5009
0.085827,0.005270,N0,ram,0.0210,3.9928
0.085858,0.005269,N1,package,0.4344,82.4413
0.085875,0.005271,N1,ram,0.0260,4.9387
0.091072,0.005276,N0,package,0.4998,94.7347
0.091428,0.005601,N0,ram,0.0199,3.5498
0.091450,0.005592,N1,package,0.5267,94.1814
0.091459,0.005584,N1,ram,0.0318,5.7029
0.096620,0.005548,N0,package,0.4729,85.2380
0.096785,0.005357,N0,ram,0.0189,3.5291
0.096796,0.005346,N1,package,0.4577,85.6188
0.096805,0.005346,N1,ram,0.0271,5.0776
0.101995,0.005375,N0,package,0.5693,105.9087
0.102140,0.005355,N0,ram,0.0228,4.2627
0.102151,0.005355,N1,package,0.4242,79.2129
0.102160,0.005355,N1,ram,0.0259,4.8297
0.107463,0.005468,N0,package,0.4665,85.3147
0.107581,0.005441,N0,ram,0.0175,3.2111
0.107621,0.005470,N1,package,0.5624,102.8106
0.107637,0.005477,N1,ram,0.0317,5.7810
0.112836,0.005373,N0,package,0.4804,89.4114
0.113004,0.005423,N0,ram,0.0237,4.3696
0.113037,0.005416,N1,package,0.4485,82.8202
0.113053,0.005416,N1,ram,0.0272,5.0206
0.118372,0.005536,N0,package,0.5804,104.8475
0.118482,0.005478,N0,ram,0.0181,3.2953
0.118499,0.005462,N1,package,0.4396,80.4910
0.118508,0.005455,N1,ram,0.0253,4.6294
0.123699,0.005327,N0,package,0.4728,88.7630
0.123841,0.005359,N0,ram,0.0181,3.3770
0.123866,0.005367,N1,package,0.5308,98.9042
0.123883,0.005375,N1,ram,0.0312,5.7996
0.129079,0.005380,N0,package,0.5461,101.5151
0.129222,0.005381,N0,ram,0.0226,4.1939
0.129267,0.005401,N1,package,0.4294,79.5098
0.129284,0.005401,N1,ram,0.0262,4.8453
0.134544,0.005465,N0,package,0.4804,87.9058
0.134646,0.005424,N0,ram,0.0200,3.6853
0.134663,0.005396,N1,package,0.5480,101.5539
0.134673,0.005389,N1,ram,0.0324,6.0084
0.139863,0.005319,N0,package,0.4529,85.1536
0.140005,0.005359,N0,ram,0.0192,3.5763
0.140017,0.005354,N1,package,0.4396,82.1033
0.140026,0.005353,N1,ram,0.0258,4.8202
0.145216,0.005353,N0,package,0.5779,107.9665
0.145476,0.005471,N0,ram,0.0266,4.8585
0.145541,0.005524,N1,package,0.4485,81.1974
0.145559,0.005533,N1,ram,0.0268,4.8427
0.150756,0.005540,N0,package,0.4581,82.6965
0.150899,0.005423,N0,ram,0.0211,3.8913
0.150932,0.005391,N1,package,0.5381,99.8254
0.150948,0.005389,N1,ram,0.0312,5.7876
0.156148,0.005392,N0,package,0.5897,109.3682
0.156426,0.005527,N0,ram,0.0267,4.8341
0.156448,0.005516,N1,package,0.4377,79.3472
0.156456,0.005508,N1,ram,0.0264,4.7980
0.161648,0.005500,N0,package,0.4597,83.5762
0.161790,0.005364,N0,ram,0.0204,3.8034
0.161818,0.005370,N1,package,0.5309,98.8629
0.161833,0.005377,N1,ram,0.0316,5.8716
0.167032,0.005384,N0,package,0.5719,106.2180
0.167190,0.005400,N0,ram,0.0253,4.6907
0.167216,0.005398,N1,package,0.4469,82.7893
0.167244,0.005411,N1,ram,0.0261,4.8220
0.172518,0.005486,N0,package,0.4669,85.1108
0.172635,0.005445,N0,ram,0.0215,3.9513
0.172678,0.005462,N1,package,0.4485,82.1189
0.172694,0.005450,N1,ram,0.0260,4.7764
0.177892,0.005374,N0,package,0.4775,88.8504
0.178034,0.005399,N0,ram,0.0253,4.6774
0.178066,0.005388,N1,package,0.5126,95.1433
0.178082,0.005388,N1,ram,0.0314,5.8226
0.183384,0.005492,N0,package,0.5526,100.6218
0.183488,0.005454,N0,ram,0.0201,3.6930
0.183505,0.005439,N1,package,0.4661,85.6924
0.183515,0.005433,N1,ram,0.0261,4.8084
0.188706,0.005322,N0,package,0.4969,93.3651
0.188847,0.005359,N0,ram,0.0204,3.8012
0.188873,0.005368,N1,package,0.5337,99.4210
0.188889,0.005374,N1,ram,0.0315,5.8690
0.194086,0.005380,N0,package,0.5563,103.4097
0.194273,0.005426,N0,ram,0.0249,4.5837
0.194306,0.005433,N1,package,0.4322,79.5478
0.194323,0.005434,N1,ram,0.0259,4.7680
0.199600,0.005514,N0,package,0.5002,90.7202
0.199721,0.005448,N0,ram,0.0221,4.0613
