#timestamp,interval,socket,domain,energy,power
0.005175,0.005651,N0,package,0.5554,98.2763
0.005192,0.005475,N0,ram,0.0247,4.5093
0.005277,0.005358,N1,package,0.3711,69.2600
0.005289,0.005289,N1,ram,0.0243,4.5900
0.010470,0.005295,N0,package,0.4910,92.7336
0.010485,0.005293,N0,ram,0.0209,3.9438
0.010634,0.005357,N1,package,0.4800,89.6097
0.010647,0.005358,N1,ram,0.0295,5.5135
0.015987,0.005517,N0,package,0.6099,110.5424
0.016110,0.005625,N0,ram,0.0262,4.6604
0.016225,0.005591,N1,package,0.4210,75.3012
0.016238,0.005591,N1,ram,0.0270,4.8252
0.021411,0.005424,N0,package,0.5227,96.3685
0.021600,0.005490,N0,ram,0.0252,4.5887
0.021686,0.005461,N1,package,0.4776,87.4569
0.021699,0.005461,N1,ram,0.0318,5.8202
0.027038,0.005627,N0,package,0.6003,106.6866
0.027076,0.005476,N0,ram,0.0226,4.1240
0.027169,0.005483,N1,package,0.3931,71.6894
0.027180,0.005481,N1,ram,0.0259,4.7271
0.032355,0.005317,N0,package,0.5659,106.4361
0.032367,0.005291,N0,ram,0.0235,4.4355
0.032451,0.005282,N1,package,0.5013,94.9167
0.032464,0.005284,N1,ram,0.0312,5.9053
0.037640,0.005285,N0,package,0.5927,112.1379
0.037653,0.005286,N0,ram,0.0221,4.1741
0.037884,0.005433,N1,package,0.4521,83.2213
0.037963,0.005499,N1,ram,0.0278,5.0558
0.043126,0.005486,N0,package,0.6039,110.0814
0.043137,0.005484,N0,ram,0.0210,3.8230
0.043255,0.005371,N1,package,0.4392,81.7727
0.043268,0.005305,N1,ram,0.0265,4.9932
0.048434,0.005308,N0,package,0.5949,112.0747
0.048446,0.005309,N0,ram,0.0203,3.8313
0.048542,0.005287,N1,package,0.5282,99.9064
0.048554,0.005286,N1,ram,0.0313,5.9176
0.053702,0.005268,N0,package,0.5452,103.4891
0.053735,0.005289,N0,ram,0.0180,3.4071
0.053756,0.005214,N1,package,0.4182,80.1983
0.053768,0.005214,N1,ram,0.0263,5.0424
0.058971,0.005269,N0,package,0.5566,105.6434
0.059003,0.005268,N0,ram,0.0206,3.9162
0.059027,0.005271,N1,package,0.4804,91.1424
0.059042,0.005274,N1,ram,0.0282,5.3524
0.064211,0.005240,N0,package,0.5198,99.1945
0.064384,0.005381,N0,ram,0.0199,3.6891
0.064396,0.005369,N1,package,0.5198,96.8114
0.064405,0.005363,N1,ram,0.0330,6.1485
0.069598,0.005387,N0,package,0.5324,98.8311
0.069889,0.005505,N0,ram,0.0191,3.4786
0.069954,0.005558,N1,package,0.4861,87.4564
0.069975,0.005570,N1,ram,0.0282,5.0681
0.075171,0.005573,N0,package,0.5391,96.7269
0.075314,0.005425,N0,ram,0.0214,3.9518
0.075423,0.005469,N1,package,0.3897,71.2568
0.075447,0.005472,N1,ram,0.0227,4.1548
0.080644,0.005473,N0,package,0.4882,89.2069
0.080881,0.005567,N0,ram,0.0168,3.0261
0.080945,0.005522,N1,package,0.3442,62.3282
0.080963,0.005516,N1,ram,0.0258,4.6779
0.086163,0.005519,N0,package,0.6107,110.6432
0.086326,0.005445,N0,ram,0.0218,4.0102
0.086343,0.005398,N1,package,1.2042,223.0742
0.086354,0.005391,N1,ram,0.0455,8.4401
0.091543,0.005380,N0,package,0.4798,89.1831
0.091575,0.005249,N0,ram,0.0175,3.3430
0.091606,0.005263,N1,package,0.9649,183.3426
0.091626,0.005272,N1,ram,0.0394,7.4761
0.096968,0.005425,N0,package,0.5547,102.2582
0.097086,0.005511,N0,ram,0.0201,3.6548
0.097132,0.005526,N1,package,0.8138,147.2624
0.097150,0.005524,N1,ram,0.0334,6.0547
0.102346,0.005378,N0,package,0.4850,90.1794
0.102488,0.005402,N0,ram,0.0179,3.3048
0.102520,0.005388,N1,package,0.8180,151.8170
0.102538,0.005388,N1,ram,0.0329,6.1145
0.107895,0.005549,N0,package,0.4802,86.5323
0.108013,0.005525,N0,ram,0.0200,3.6152
0.108059,0.005539,N1,package,0.9991,180.3747
0.108080,0.005542,N1,ram,0.0408,7.3623
0.113278,0.005383,N0,package,0.5851,108.6906
0.113419,0.005406,N0,ram,0.0253,4.6712
0.113449,0.005390,N1,package,0.7823,145.1437
0.113466,0.005386,N1,ram,0.0320,5.9408
0.118662,0.005384,N0,package,0.4929,91.5419
0.118951,0.005532,N0,ram,0.0215,3.8836
0.118980,0.005531,N1,package,0.9566,172.9584
0.118990,0.005524,N1,ram,0.0404,7.3174
0.124180,0.005518,N0,package,0.5707,103.4286
0.124321,0.005370,N0,ram,0.0255,4.7425
0.124353,0.005373,N1,package,0.8160,151.8779
0.124371,0.005381,N1,ram,0.0337,6.2582
0.129564,0.005384,N0,package,0.4916,91.3152
0.129703,0.005382,N0,ram,0.0224,4.1535
0.129916,0.005563,N1,package,0.9792,176.0281
0.129941,0.005570,N1,ram,0.0385,6.9145
0.135157,0.005593,N0,package,0.5668,101.3392
0.135168,0.005465,N0,ram,0.0253,4.6293
0.135183,0.005267,N1,package,0.8163,154.9766
0.135191,0.005250,N1,ram,0.0334,6.3651
0.140382,0.005225,N0,package,0.4603,88.0978
0.140523,0.005355,N0,ram,0.0218,4.0634
0.140556,0.005373,N1,package,0.8312,154.6951
0.140579,0.005388,N1,ram,0.0398,7.3858
0.145868,0.005486,N0,package,0.4886,89.0715
0.146006,0.005483,N0,ram,0.0205,3.7431
0.146049,0.005493,N1,package,0.9599,174.7520
0.146059,0.005480,N1,ram,0.0329,6.0004
0.151249,0.005381,N0,package,0.5856,108.8247
0.151422,0.005416,N0,ram,0.0236,4.3527
0.151437,0.005388,N1,package,0.8169,151.6131
0.151449,0.005390,N1,ram,0.0355,6.5877
0.156642,0.005393,N0,package,0.4816,89.3057
0.156959,0.005537,N0,ram,0.0209,3.7699
0.157025,0.005588,N1,package,0.9706,173.6885
0.157045,0.005596,N1,ram,0.0390,6.9642
0.162243,0.005601,N0,package,0.5740,102.4785
0.162385,0.005426,N0,ram,0.0263,4.8398
0.162418,0.005393,N1,package,0.8350,154.8404
0.162441,0.005396,N1,ram,0.0344,6.3737
0.167639,0.005396,N0,package,0.4779,88.5645
0.167901,0.005516,N0,ram,0.0205,3.7206
0.167965,0.005547,N1,package,0.9579,172.6949
0.167985,0.005544,N1,ram,0.0387,6.9854
0.173181,0.005542,N0,package,0.5597,100.9903
0.173323,0.005422,N0,ram,0.0245,4.5226
0.173353,0.005388,N1,package,0.8472,157.2317
0.173373,0.005388,N1,ram,0.0342,6.3521
0.178573,0.005392,N0,package,0.4892,90.7292
0.178716,0.005393,N0,ram,0.0234,4.3374
0.178734,0.005381,N1,package,0.7997,148.6206
0.178745,0.005372,N1,ram,0.0339,6.3029
0.183994,0.005421,N0,package,0.5049,93.1431
0.184135,0.005419,N0,ram,0.0217,4.0097
0.184172,0.005438,N1,package,0.9942,182.8299
0.184189,0.005444,N1,ram,0.0395,7.2509
0.189387,0.005393,N0,package,0.5625,104.3013
0.189519,0.005384,N0,ram,0.0263,4.8860
0.189534,0.005362,N1,package,0.8114,151.3234
0.189542,0.005353,N1,ram,0.0338,6.3111
0.194750,0.005363,N0,package,0.4742,88.4289
0.194919,0.005400,N0,ram,0.0202,3.7469
0.194953,0.005419,N1,package,0.9954,183.6906
0.194973,0.005431,N1,ram,0.0389,7.1701
0.200170,0.005420,N0,package,0.5353,98.7717
0.200312,0.005393,N0,ram,0.0237,4.3940
0.200343,0.005390,N1,package,0.8111,150.4837
0.200361,0.005388,N1,ram,0.0340,6.3182
0.205581,0.005411,N0,package,0.4924,91.0072
0.205732,0.005420,N0,ram,0.0207,3.8203
0.205763,0.005420,N1,package,0.9686,178.7146
0.205782,0.005421,N1,ram,0.0387,7.1440
0.210978,0.005397,N0,package,0.4951,91.7380
0.211147,0.005415,N0,ram,0.0220,4.0717
0.211178,0.005415,N1,package,0.8440,155.8565
0.211199,0.005417,N1,ram,0.0348,6.4251
