#timestamp,interval,socket,domain,energy,power
0.005192,0.005460,N0,package,0.5204,95.3083
0.005366,0.005399,N0,ram,0.0227,4.2026
0.005466,0.005476,N1,package,0.4080,74.4995
0.005489,0.005489,N1,ram,0.0138,2.5131
0.010672,0.005480,N0,package,0.5663,103.3356
0.010688,0.005322,N0,ram,0.0254,4.7766
0.010709,0.005243,N1,package,0.4547,86.7264
0.010721,0.005232,N1,ram,0.0144,2.7589
0.015927,0.005255,N0,package,0.4923,93.6843
0.016053,0.005365,N0,ram,0.0229,4.2720
0.016130,0.005421,N1,package,0.5467,100.8485
0.016142,0.005421,N1,ram,0.0173,3.1976
0.021333,0.005406,N0,package,0.4922,91.0463
0.021479,0.005426,N0,ram,0.0204,3.7515
0.021577,0.005447,N1,package,0.5479,100.5914
0.021760,0.005618,N1,ram,0.0161,2.8572
0.027070,0.005737,N0,package,0.5858,102.1106
0.027191,0.005712,N0,ram,0.0260,4.5466
0.027283,0.005706,N1,package,0.5740,100.6008
0.027294,0.005534,N1,ram,0.0173,3.1351
0.032483,0.005413,N0,package,0.5734,105.9338
0.032653,0.005462,N0,ram,0.0253,4.6233
0.032933,0.005650,N1,package,0.5593,98.9950
0.033075,0.005781,N1,ram,0.0156,2.6922
0.038278,0.005795,N0,package,0.4800,82.8372
0.038453,0.005800,N0,ram,0.0213,3.6753
0.038540,0.005607,N1,package,0.5298,94.4991
0.038670,0.005595,N1,ram,0.0145,2.5854
0.043835,0.005557,N0,package,0.5850,105.2800
0.043983,0.005530,N0,ram,0.0265,4.7874
0.044072,0.005532,N1,package,0.6678,120.7127
0.044198,0.005528,N1,ram,0.0171,3.0943
0.049372,0.005537,N0,package,0.4877,88.0854
0.049383,0.005400,N0,ram,0.0225,4.1680
0.049456,0.005384,N1,package,0.4847,90.0229
0.049469,0.005271,N1,ram,0.0139,2.6401
0.054665,0.005293,N0,package,0.5029,95.0155
0.054974,0.005591,N0,ram,0.0221,3.9490
0.055000,0.005544,N1,package,0.6500,117.2443
0.055010,0.005541,N1,ram,0.0181,3.2742
0.060200,0.005535,N0,package,0.5789,104.5834
0.060343,0.005369,N0,ram,0.0251,4.6837
0.060370,0.005370,N1,package,0.5222,97.2375
0.060387,0.005377,N1,ram,0.0328,6.0986
0.065585,0.005385,N0,package,0.4744,88.0914
0.065733,0.005390,N0,ram,0.0197,3.6605
0.065750,0.005380,N1,package,0.5142,95.5817
0.065760,0.005373,N1,ram,0.0319,5.9354
0.071090,0.005505,N0,package,0.6058,110.0501
0.071206,0.005473,N0,ram,0.0229,4.1875
0.071246,0.005496,N1,package,0.6171,112.2860
0.071263,0.005503,N1,ram,0.0386,7.0178
0.076461,0.005371,N0,package,0.4865,90.5682
0.076602,0.005396,N0,ram,0.0178,3.2945
0.076632,0.005386,N1,package,0.5117,94.9957
0.076656,0.005393,N1,ram,0.0350,6.4821
0.081844,0.005383,N0,package,0.5906,109.7110
0.082092,0.005490,N0,ram,0.0220,4.0134
0.082155,0.005523,N1,package,0.6121,110.8210
0.082174,0.005518,N1,ram,0.0415,7.5133
0.087371,0.005527,N0,package,0.4837,87.5200
0.087513,0.005421,N0,ram,0.0187,3.4566
0.087538,0.005383,N1,package,0.4914,91.2860
0.087554,0.005380,N1,ram,0.0342,6.3617
0.092748,0.005377,N0,package,0.5867,109.1175
0.092766,0.005253,N0,ram,0.0222,4.2264
0.092781,0.005243,N1,package,0.4919,93.8158
0.092790,0.005236,N1,ram,0.0342,6.5279
0.097980,0.005232,N0,package,0.4837,92.4493
0.098156,0.005390,N0,ram,0.0178,3.3094
0.098183,0.005402,N1,package,0.5818,107.7015
0.098207,0.005417,N1,ram,0.0404,7.4616
0.103403,0.005423,N0,package,0.4609,84.9957
0.103546,0.005390,N0,ram,0.0176,3.2726
0.103574,0.005391,N1,package,0.5057,93.7980
0.103592,0.005385,N1,ram,0.0348,6.4691
0.108943,0.005540,N0,package,0.5927,106.9788
0.109155,0.005609,N0,ram,0.0216,3.8548
0.109180,0.005606,N1,package,0.5815,103.7370
0.109190,0.005598,N1,ram,0.0396,7.0760
0.114381,0.005438,N0,package,0.4980,91.5849
0.114550,0.005395,N0,ram,0.0186,3.4421
0.114578,0.005398,N1,package,0.4948,91.6539
0.114595,0.005405,N1,ram,0.0343,6.3548
0.119901,0.005520,N0,package,0.5989,108.4948
0.120103,0.005553,N0,ram,0.0222,4.0009
0.120126,0.005548,N1,package,0.5865,105.7224
0.120136,0.005541,N1,ram,0.0404,7.2974
0.125327,0.005426,N0,package,0.4916,90.5978
0.125469,0.005366,N0,ram,0.0181,3.3668
0.125497,0.005371,N1,package,0.4966,92.4545
0.125512,0.005376,N1,ram,0.0356,6.6134
0.130710,0.005383,N0,package,0.4935,91.6829
0.131006,0.005537,N0,ram,0.0186,3.3510
0.131029,0.005532,N1,package,0.5767,104.2448
0.131039,0.005527,N1,ram,0.0406,7.3492
0.136232,0.005522,N0,package,0.5655,102.4066
0.136366,0.005360,N0,ram,0.0206,3.8404
0.136378,0.005349,N1,package,0.4965,92.8222
0.136388,0.005349,N1,ram,0.0340,6.3498
0.141577,0.005345,N0,package,0.4852,90.7687
0.141719,0.005353,N0,ram,0.0188,3.5031
0.141759,0.005381,N1,package,0.4865,90.4150
0.141788,0.005400,N1,ram,0.0352,6.5274
0.147114,0.005537,N0,package,0.5832,105.3255
0.147262,0.005543,N0,ram,0.0223,4.0191
0.147280,0.005521,N1,package,0.5841,105.7961
0.147290,0.005502,N1,ram,0.0414,7.5296
0.152481,0.005367,N0,package,0.4819,89.7837
0.152658,0.005396,N0,ram,0.0184,3.4104
0.152684,0.005404,N1,package,0.4928,91.1914
0.152702,0.005412,N1,ram,0.0347,6.4141
0.157966,0.005485,N0,package,0.5757,104.9706
0.158084,0.005426,N0,ram,0.0212,3.9033
0.158125,0.005441,N1,package,0.5905,108.5316
0.158151,0.005449,N1,ram,0.0416,7.6395
0.163349,0.005383,N0,package,0.5106,94.8576
0.163491,0.005407,N0,ram,0.0200,3.6968
0.163519,0.005394,N1,package,0.5027,93.2051
0.163536,0.005385,N1,ram,0.0339,6.2875
0.168734,0.005385,N0,package,0.4934,91.6237
0.169005,0.005514,N0,ram,0.0216,3.9158
0.169068,0.005549,N1,package,0.5818,104.8528
0.169086,0.005550,N1,ram,0.0399,7.1924
0.174292,0.005558,N0,package,0.5677,102.1386
0.174470,0.005465,N0,ram,0.0187,3.4147
0.174481,0.005413,N1,package,0.4860,89.7911
0.174490,0.005404,N1,ram,0.0344,6.3701
0.179680,0.005388,N0,package,0.5012,93.0178
0.179939,0.005469,N0,ram,0.0195,3.5573
0.180003,0.005522,N1,package,0.4963,89.8835
0.180021,0.005531,N1,ram,0.0363,6.5630
0.185229,0.005549,N0,package,0.5627,101.4101
0.185371,0.005432,N0,ram,0.0207,3.8063
0.185381,0.005378,N1,package,0.5953,110.6984
0.185390,0.005369,N1,ram,0.0413,7.6849
0.190582,0.005353,N0,package,0.5111,95.4812
0.190724,0.005353,N0,ram,0.0183,3.4206
0.190782,0.005401,N1,package,0.4856,89.9062
0.190802,0.005412,N1,ram,0.0356,6.5776
0.196074,0.005492,N0,package,0.4641,84.5072
0.196195,0.005471,N0,ram,0.0170,3.1098
0.196230,0.005448,N1,package,0.5958,109.3574
0.196240,0.005438,N1,ram,0.0397,7.2985
0.201430,0.005356,N0,package,0.5933,110.7643
0.201573,0.005378,N0,ram,0.0238,4.4261
0.201600,0.005370,N1,package,0.4953,92.2323
0.201618,0.005378,N1,ram,0.0352,6.5456
0.206940,0.005510,N0,package,0.5008,90.8905
0.207072,0.005499,N0,ram,0.0183,3.3297
0.207112,0.005512,N1,package,0.5715,103.6889
0.207136,0.005518,N1,ram,0.0409,7.4055
0.212336,0.005396,N0,package,0.5700,105.6327
0.212506,0.005434,N0,ram,0.0205,3.7711
0.212534,0.005422,N1,package,0.4853,89.5060
0.212550,0.005414,N1,ram,0.0331,6.1215
0.217756,0.005420,N0,package,0.5024,92.7019
0.218014,0.005508,N0,ram,0.0186,3.3798
0.218077,0.005543,N1,package,0.4929,88.9157
0.218095,0.005545,N1,ram,0.0352,6.3483
0.223292,0.005536,N0,package,0.5630,101.6988
0.223434,0.005420,N0,ram,0.0232,4.2877
0.223466,0.005389,N1,package,0.5913,109.7256
0.223484,0.005389,N1,ram,0.0418,7.7498
0.228686,0.005394,N0,package,0.4841,89.7386
0.228950,0.005516,N0,ram,0.0180,3.2642
0.229013,0.005547,N1,package,0.5785,104.2881
0.229032,0.005548,N1,ram,0.0402,7.2498
0.234233,0.005547,N0,package,0.5995,108.0779
0.234377,0.005427,N0,ram,0.0218,4.0151
0.234407,0.005394,N1,package,0.5136,95.2192
0.234425,0.005393,N1,ram,0.0348,6.4566
0.239623,0.005390,N0,package,0.4568,84.7558
0.239907,0.005530,N0,ram,0.0176,3.1759
0.239930,0.005523,N1,package,0.4836,87.5583
0.239940,0.005515,N1,ram,0.0344,6.2337
0.245131,0.005508,N0,package,0.5951,108.0426
0.245277,0.005370,N0,ram,0.0234,4.3532
0.245303,0.005373,N1,package,0.5693,105.9624
0.245320,0.005380,N1,ram,0.0406,7.5441
0.250521,0.005390,N0,package,0.4568,84.7483
0.250679,0.005402,N0,ram,0.0165,3.0619
0.250691,0.005388,N1,package,0.4943,91.7336
0.250700,0.005380,N1,ram,0.0329,6.1093
0.255959,0.005438,N0,package,0.4984,91.6522
0.256075,0.005396,N0,ram,0.0189,3.5094
0.256111,0.005420,N1,package,0.4953,91.3843
0.256120,0.005420,N1,ram,0.0355,6.5484
0.261332,0.005373,N0,package,0.5706,106.1896
0.261476,0.005401,N0,ram,0.0214,3.9580
0.261503,0.005392,N1,package,0.5945,110.2625
0.261522,0.005402,N1,ram,0.0405,7.5050
0.266719,0.005387,N0,package,0.4738,87.9543
0.266964,0.005488,N0,ram,0.0178,3.2448
0.267027,0.005524,N1,package,0.4798,86.8581
0.267045,0.005523,N1,ram,0.0340,6.1610
0.272245,0.005526,N0,package,0.5804,105.0421
0.272389,0.005425,N0,ram,0.0225,4.1459
0.272415,0.005388,N1,package,0.5923,109.9376
0.272433,0.005388,N1,ram,0.0419,7.7681
0.277633,0.005388,N0,package,0.4926,91.4278
0.277912,0.005523,N0,ram,0.0188,3.4010
0.277936,0.005521,N1,package,0.4760,86.2067
0.277946,0.005513,N1,ram,0.0332,6.0172
0.283142,0.005509,N0,package,0.4741,86.0498
0.283316,0.005404,N0,ram,0.0175,3.2387
0.283328,0.005392,N1,package,0.6044,112.0849
0.283337,0.005391,N1,ram,0.0418,7.7612
0.288527,0.005385,N0,package,0.5831,108.2780
0.288696,0.005380,N0,ram,0.0217,4.0415
0.288729,0.005401,N1,package,0.4807,89.0061
0.288760,0.005423,N1,ram,0.0338,6.2267
0.294032,0.005505,N0,package,0.4988,90.6034
0.294149,0.005453,N0,ram,0.0180,3.2936
0.294183,0.005454,N1,package,0.4832,88.5973
0.294192,0.005432,N1,ram,0.0333,6.1376
0.299383,0.005351,N0,package,0.5599,104.6448
0.299525,0.005376,N0,ram,0.0214,3.9792
0.299552,0.005369,N1,package,0.6045,112.5904
0.299570,0.005378,N1,ram,0.0411,7.6407
0.304928,0.005545,N0,package,0.4819,86.9110
0.305044,0.005519,N0,ram,0.0191,3.4671
0.305093,0.005541,N1,package,0.4733,85.4215
0.305111,0.005541,N1,ram,0.0354,6.3807
0.310311,0.005383,N0,package,0.5608,104.1779
0.310455,0.005411,N0,ram,0.0217,4.0155
0.310482,0.005389,N1,package,0.5990,111.1527
0.310500,0.005389,N1,ram,0.0410,7.6167
0.315672,0.005361,N0,package,0.5100,95.1361
0.315958,0.005503,N0,ram,0.0175,3.1888
0.315981,0.005499,N1,package,0.4680,85.1002
0.315990,0.005490,N1,ram,0.0345,6.2924
0.321180,0.005508,N0,package,0.5577,101.2565
0.321323,0.005365,N0,ram,0.0218,4.0615
0.321350,0.005369,N1,package,0.5896,109.8117
0.321367,0.005377,N1,ram,0.0389,7.2420
0.326566,0.005386,N0,package,0.4927,91.4755
0.326742,0.005419,N0,ram,0.0176,3.2522
0.326754,0.005404,N1,package,0.4933,91.2930
0.326764,0.005397,N1,ram,0.0344,6.3754
0.332033,0.005467,N0,package,0.4578,83.7443
0.332152,0.005410,N0,ram,0.0170,3.1449
0.332193,0.005439,N1,package,0.5024,92.3696
0.332211,0.005447,N1,ram,0.0341,6.2667
0.337417,0.005384,N0,package,0.5958,110.6665
0.337554,0.005402,N0,ram,0.0235,4.3527
0.337566,0.005373,N1,package,0.5848,108.8364
0.337574,0.005363,N1,ram,0.0418,7.7959
0.342791,0.005374,N0,package,0.4719,87.8130
0.343045,0.005491,N0,ram,0.0184,3.3513
0.343108,0.005542,N1,package,0.4809,86.7724
0.343127,0.005553,N1,ram,0.0342,6.1662
0.348328,0.005537,N0,package,0.6040,109.0891
0.348474,0.005429,N0,ram,0.0213,3.9292
0.348501,0.005393,N1,package,0.5924,109.8469
0.348520,0.005393,N1,ram,0.0422,7.8260
0.353750,0.005422,N0,package,0.4712,86.9018
0.354002,0.005528,N0,ram,0.0172,3.1108
0.354024,0.005523,N1,package,0.5010,90.7189
0.354034,0.005514,N1,ram,0.0333,6.0355
0.359219,0.005469,N0,package,0.4844,88.5660
0.359250,0.005248,N0,ram,0.0176,3.3553
0.359276,0.005252,N1,package,0.4734,90.1328
0.359293,0.005259,N1,ram,0.0333,6.3251
0.364498,0.005279,N0,package,0.5895,111.6683
0.364674,0.005424,N0,ram,0.0223,4.1044
0.364687,0.005411,N1,package,0.5922,109.4387
0.364696,0.005403,N1,ram,0.0429,7.9414
0.369974,0.005476,N0,package,0.4901,89.5019
0.370168,0.005494,N0,ram,0.0177,3.2218
0.370232,0.005545,N1,package,0.4813,86.7899
0.370250,0.005554,N1,ram,0.0327,5.8931
0.375447,0.005473,N0,package,0.5638,103.0200
0.375589,0.005421,N0,ram,0.0215,3.9689
0.375616,0.005384,N1,package,0.6027,111.9362
0.375632,0.005382,N1,ram,0.0419,7.7909
0.380925,0.005478,N0,package,0.4820,87.9889
0.381141,0.005552,N0,ram,0.0184,3.3090
0.381204,0.005588,N1,package,0.4716,84.4012
0.381222,0.005590,N1,ram,0.0326,5.8251
0.386422,0.005497,N0,package,0.5650,102.7842
0.386560,0.005419,N0,ram,0.0221,4.0716
0.386572,0.005368,N1,package,0.5780,107.6758
0.386581,0.005359,N1,ram,0.0400,7.4658
0.391791,0.005369,N0,package,0.4913,91.4984
0.392044,0.005484,N0,ram,0.0186,3.3945
0.392107,0.005535,N1,package,0.4882,88.2040
