#timestamp,interval,socket,domain,energy,power
0.005273,0.005453,N0,package,0.5851,107.3093
0.005293,0.005467,N0,ram,0.0244,4.4574
0.005434,0.005446,N1,package,0.4205,77.2192
0.005446,0.005446,N1,ram,0.0293,5.3824
0.010608,0.005335,N0,package,0.5245,98.3181
0.010619,0.005326,N0,ram,0.0234,4.3862
0.010740,0.005306,N1,package,0.5181,97.6377
0.010753,0.005307,N1,ram,0.0260,4.9080
0.015917,0.005309,N0,package,0.6096,114.8137
0.016246,0.005627,N0,ram,0.0261,4.6396
0.016406,0.005666,N1,package,0.5574,98.3820
0.016418,0.005665,N1,ram,0.0324,5.7183
0.021493,0.005576,N0,package,0.6005,107.7002
0.021504,0.005258,N0,ram,0.0256,4.8610
0.021662,0.005256,N1,package,0.4189,79.6973
0.021674,0.005256,N1,ram,0.0258,4.9179
0.026748,0.005255,N0,package,0.5064,96.3673
0.026759,0.005255,N0,ram,0.0208,3.9606
0.026843,0.005181,N1,package,0.4523,87.2928
0.026854,0.005180,N1,ram,0.0275,5.3051
0.031930,0.005182,N0,package,0.5222,100.7628
0.031962,0.005203,N0,ram,0.0234,4.5046
0.032008,0.005165,N1,package,0.4565,88.3822
0.032043,0.005189,N1,ram,0.0265,5.1020
0.037164,0.005234,N0,package,0.5276,100.8117
0.037207,0.005245,N0,ram,0.0219,4.1689
0.037294,0.005286,N1,package,0.4814,91.0797
0.037317,0.005274,N1,ram,0.0273,5.1759
0.042512,0.005348,N0,package,0.5051,94.4521
0.042542,0.005335,N0,ram,0.0221,4.1414
0.042648,0.005354,N1,package,0.5987,111.8183
0.042667,0.005350,N1,ram,0.0315,5.8812
0.047876,0.005364,N0,package,0.5575,103.9339
0.047889,0.005347,N0,ram,0.0264,4.9455
0.047973,0.005325,N1,package,0.5023,94.3351
0.047993,0.005326,N1,ram,0.0257,4.8303
0.053038,0.005162,N0,package,0.5092,98.6353
0.053052,0.005163,N0,ram,0.0214,4.1494
0.053265,0.005292,N1,package,0.5295,100.0541
0.053343,0.005350,N1,ram,0.0301,5.6328
0.058460,0.005422,N0,package,0.4935,91.0105
0.058497,0.005445,N0,ram,0.0207,3.8000
0.058527,0.005262,N1,package,0.6382,121.2784
0.058544,0.005201,N1,ram,0.0311,5.9705
0.063737,0.005277,N0,package,0.4936,93.5378
0.063768,0.005271,N0,ram,0.0228,4.3163
0.063794,0.005267,N1,package,0.5760,109.3600
0.063811,0.005267,N1,ram,0.0294,5.5883
0.069174,0.005437,N0,package,0.5869,107.9455
0.069282,0.005514,N0,ram,0.0252,4.5742
0.069301,0.005507,N1,package,0.5909,107.3076
0.069310,0.005499,N1,ram,0.0292,5.3111
0.074500,0.005326,N0,package,0.4557,85.5702
0.074642,0.005360,N0,ram,0.0205,3.8262
0.074669,0.005368,N1,package,0.7268,135.3963
0.074686,0.005376,N1,ram,0.0389,7.2319
0.079885,0.005385,N0,package,0.6112,113.5032
0.080248,0.005606,N0,ram,0.0248,4.4313
0.080273,0.005604,N1,package,0.5964,106.4298
0.080283,0.005597,N1,ram,0.0304,5.4308
0.085472,0.005587,N0,package,0.5068,90.7192
0.085641,0.005393,N0,ram,0.0205,3.8055
0.085669,0.005396,N1,package,0.6928,128.3902
0.085687,0.005404,N1,ram,0.0368,6.8077
0.090883,0.005411,N0,package,0.4836,89.3676
0.091051,0.005410,N0,ram,0.0211,3.8979
0.091085,0.005416,N1,package,0.6104,112.6959
0.091106,0.005419,N1,ram,0.0323,5.9610
0.096275,0.005392,N0,package,0.5827,108.0665
0.096447,0.005396,N0,ram,0.0212,3.9221
0.096459,0.005374,N1,package,0.5547,103.2177
0.096468,0.005362,N1,ram,0.0300,5.5975
0.101658,0.005383,N0,package,0.4871,90.4963
0.101828,0.005381,N0,ram,0.0172,3.1874
0.101856,0.005397,N1,package,0.6987,129.4532
0.101874,0.005406,N1,ram,0.0376,6.9634
0.107206,0.005548,N0,package,0.5251,94.6441
0.107324,0.005496,N0,ram,0.0203,3.6925
0.107366,0.005510,N1,package,0.5654,102.6060
0.107385,0.005511,N1,ram,0.0300,5.4434
0.112584,0.005378,N0,package,0.5795,107.7477
0.112754,0.005430,N0,ram,0.0217,4.0016
0.112782,0.005416,N1,package,0.6966,128.6198
0.112799,0.005414,N1,ram,0.0379,6.9981
0.117997,0.005413,N0,package,0.4875,90.0578
0.118252,0.005498,N0,ram,0.0186,3.3775
0.118278,0.005496,N1,package,0.5551,100.9918
0.118289,0.005490,N1,ram,0.0308,5.6115
0.123480,0.005483,N0,package,0.5891,107.4292
0.123626,0.005374,N0,ram,0.0213,3.9638
0.123657,0.005379,N1,package,0.6061,112.6759
0.123676,0.005387,N1,ram,0.0382,7.0840
0.128873,0.005393,N0,package,0.4931,91.4375
0.129028,0.005402,N0,ram,0.0175,3.2455
0.129059,0.005402,N1,package,0.6882,127.3899
0.129077,0.005401,N1,ram,0.0309,5.7126
0.134376,0.005503,N0,package,0.5972,108.5244
0.134480,0.005452,N0,ram,0.0218,3.9911
0.134497,0.005438,N1,package,0.5803,106.7190
0.134506,0.005429,N1,ram,0.0312,5.7449
0.139697,0.005321,N0,package,0.5220,98.0962
0.139839,0.005359,N0,ram,0.0193,3.5991
0.139868,0.005371,N1,package,0.6822,127.0114
0.139887,0.005381,N1,ram,0.0376,6.9930
0.145177,0.005480,N0,package,0.4703,85.8197
