#timestamp,interval,socket,domain,energy,power
0.005109,0.005401,N0,package,0.5419,100.3297
0.005123,0.005242,N0,ram,0.0236,4.5001
0.005213,0.005226,N1,package,0.4478,85.6798
0.005223,0.005223,N1,ram,0.0271,5.1972
0.010389,0.005280,N0,package,0.4171,78.9871
0.010422,0.005299,N0,ram,0.0174,3.2914
0.010512,0.005299,N1,package,0.4095,77.2861
0.010529,0.005306,N1,ram,0.0273,5.1361
0.015723,0.005334,N0,package,0.5167,96.8754
0.015757,0.005335,N0,ram,0.0219,4.1042
0.015862,0.005350,N1,package,0.4270,79.8118
0.015979,0.005450,N1,ram,0.0263,4.8268
0.021181,0.005458,N0,package,0.5280,96.7394
0.021331,0.005574,N0,ram,0.0195,3.4903
0.021375,0.005513,N1,package,0.5123,92.9319
0.021392,0.005413,N1,ram,0.0322,5.9394
0.026665,0.005484,N0,package,0.4714,85.9640
0.026782,0.005451,N0,ram,0.0195,3.5747
0.026823,0.005448,N1,package,0.5774,105.9851
0.026846,0.005454,N1,ram,0.0313,5.7381
0.032035,0.005370,N0,package,0.5754,107.1488
0.032047,0.005265,N0,ram,0.0206,3.9067
0.032058,0.005235,N1,package,0.4501,85.9746
0.032067,0.005221,N1,ram,0.0261,4.9919
0.037220,0.005185,N0,package,0.4943,95.3275
0.037537,0.005490,N0,ram,0.0206,3.7577
0.037560,0.005502,N1,package,0.5698,103.5514
0.037570,0.005503,N1,ram,0.0268,4.8663
0.042761,0.005541,N0,package,0.4750,85.7299
0.042941,0.005404,N0,ram,0.0216,3.9926
0.043030,0.005470,N1,package,0.6153,112.4896
0.043047,0.005477,N1,ram,0.0321,5.8643
0.048250,0.005489,N0,package,0.5573,101.5305
0.048536,0.005595,N0,ram,0.0261,4.6581
0.048565,0.005535,N1,package,0.5439,98.2715
0.048575,0.005528,N1,ram,0.0309,5.5923
0.053756,0.005506,N0,package,0.5000,90.8133
0.053899,0.005363,N0,ram,0.0191,3.5593
0.053925,0.005360,N1,package,0.4744,88.5028
0.053942,0.005367,N1,ram,0.0234,4.3556
0.059152,0.005396,N0,package,0.5768,106.8882
0.059502,0.005603,N0,ram,0.0231,4.1203
0.059588,0.005663,N1,package,0.6017,106.2562
0.059598,0.005656,N1,ram,0.0327,5.7814
0.064787,0.005635,N0,package,0.4780,84.8315
0.064930,0.005428,N0,ram,0.0193,3.5645
0.065019,0.005431,N1,package,0.5018,92.3911
0.065037,0.005439,N1,ram,0.0271,4.9826
0.070236,0.005449,N0,package,0.5842,107.2165
0.070525,0.005595,N0,ram,0.0223,3.9790
0.070613,0.005594,N1,package,0.6182,110.5154
0.070626,0.005589,N1,ram,0.0348,6.2302
0.075812,0.005576,N0,package,0.4717,84.6036
0.075844,0.005319,N0,ram,0.0182,3.4196
0.075931,0.005318,N1,package,0.4963,93.3215
0.076063,0.005437,N1,ram,0.0282,5.1778
0.081263,0.005451,N0,package,0.5818,106.7422
0.081538,0.005694,N0,ram,0.0222,3.9044
0.081622,0.005691,N1,package,0.6026,105.8855
0.081636,0.005573,N1,ram,0.0342,6.1358
0.086829,0.005566,N0,package,0.4776,85.8048
0.086975,0.005437,N0,ram,0.0184,3.3875
0.087065,0.005443,N1,package,0.5601,102.9046
0.087193,0.005557,N1,ram,0.0326,5.8599
0.092418,0.005589,N0,package,0.5876,105.1323
0.092574,0.005599,N0,ram,0.0224,3.9980
