#timestamp,interval,socket,domain,energy,power
0.005167,0.005472,N0,package,0.5891,107.6492
0.005495,0.005613,N0,ram,0.0270,4.8143
0.005653,0.005662,N1,package,0.3909,69.0342
0.005673,0.005673,N1,ram,0.0257,4.5295
0.010839,0.005672,N0,package,0.5352,94.3617
0.011015,0.005520,N0,ram,0.0225,4.0802
0.011173,0.005520,N1,package,0.5136,93.0437
0.011186,0.005513,N1,ram,0.0322,5.8454
0.016479,0.005640,N0,package,0.5831,103.3805
0.016589,0.005574,N0,ram,0.0261,4.6784
0.016679,0.005506,N1,package,0.4161,75.5784
0.016691,0.005505,N1,ram,0.0277,5.0310
0.021879,0.005400,N0,package,0.5366,99.3640
0.021891,0.005302,N0,ram,0.0237,4.4721
0.021975,0.005296,N1,package,0.4643,87.6690
0.021987,0.005296,N1,ram,0.0305,5.7537
0.027063,0.005184,N0,package,0.5184,100.0075
0.027075,0.005184,N0,ram,0.0193,3.7264
0.027162,0.005187,N1,package,0.3971,76.5552
0.027173,0.005186,N1,ram,0.0254,4.9018
0.032287,0.005224,N0,package,0.5994,114.7280
0.032297,0.005222,N0,ram,0.0248,4.7484
0.032384,0.005222,N1,package,0.4431,84.8580
0.032395,0.005222,N1,ram,0.0278,5.3268
0.037589,0.005302,N0,package,0.5726,108.0040
0.037601,0.005304,N0,ram,0.0249,4.6863
0.037671,0.005287,N1,package,0.4386,82.9553
0.037684,0.005289,N1,ram,0.0263,4.9652
0.042872,0.005283,N0,package,0.4838,91.5837
0.042906,0.005305,N0,ram,0.0192,3.6270
0.042991,0.005320,N1,package,0.5323,100.0687
0.043109,0.005425,N1,ram,0.0310,5.7098
0.048252,0.005380,N0,package,0.4947,91.9472
0.048319,0.005413,N0,ram,0.0190,3.5067
0.048427,0.005436,N1,package,0.4796,88.2263
0.048592,0.005483,N1,ram,0.0283,5.1566
0.053791,0.005539,N0,package,0.5707,103.0303
0.053826,0.005507,N0,ram,0.0218,3.9595
0.053914,0.005487,N1,package,0.5018,91.4588
0.053931,0.005339,N1,ram,0.0282,5.2731
0.059117,0.005326,N0,package,0.4873,91.4949
0.059128,0.005302,N0,ram,0.0193,3.6320
0.059215,0.005301,N1,package,0.5754,108.5415
