#timestamp,interval,socket,domain,energy,power
0.005189,0.005572,N0,package,0.5709,102.4613
0.005355,0.005468,N0,ram,0.0204,3.7255
0.005371,0.005384,N1,package,0.4860,90.2723
0.005382,0.005382,N1,ram,0.0267,4.9586
0.010545,0.005356,N0,package,0.5872,109.6247
0.010558,0.005203,N0,ram,0.0217,4.1703
0.010706,0.005335,N1,package,0.4708,88.2506
0.010730,0.005348,N1,ram,0.0300,5.6179
0.015807,0.005262,N0,package,0.4822,91.6473
0.015825,0.005267,N0,ram,0.0188,3.5633
0.016045,0.005339,N1,package,0.4046,75.7837
0.016059,0.005329,N1,ram,0.0287,5.3889
0.021251,0.005444,N0,package,0.6263,115.0397
0.021264,0.005439,N0,ram,0.0226,4.1578
0.021280,0.005235,N1,package,0.4028,76.9352
0.021291,0.005232,N1,ram,0.0245,4.6837
0.026478,0.005227,N0,package,0.4642,88.8130
0.026491,0.005227,N0,ram,0.0165,3.1615
0.026504,0.005224,N1,package,0.4721,90.3729
0.026515,0.005224,N1,ram,0.0322,6.1719
0.031706,0.005228,N0,package,0.6210,118.7825
0.031718,0.005227,N0,ram,0.0234,4.4839
0.031734,0.005230,N1,package,0.4211,80.5135
0.031746,0.005231,N1,ram,0.0270,5.1661
0.036991,0.005285,N0,package,0.5035,95.2652
0.037004,0.005286,N0,ram,0.0174,3.2850
0.037024,0.005290,N1,package,0.4281,80.9259
0.037035,0.005289,N1,ram,0.0256,4.8381
0.042200,0.005209,N0,package,0.6528,125.3167
0.042213,0.005209,N0,ram,0.0242,4.6488
0.042350,0.005326,N1,package,0.4446,83.4730
0.042374,0.005339,N1,ram,0.0284,5.3131
0.047559,0.005359,N0,package,0.4391,81.9432
0.047572,0.005359,N0,ram,0.0191,3.5563
0.047584,0.005234,N1,package,0.4434,84.7192
0.047592,0.005218,N1,ram,0.0266,5.0970
0.052670,0.005111,N0,package,0.6647,130.0480
0.052681,0.005109,N0,ram,0.0288,5.6387
0.052695,0.005111,N1,package,0.4163,81.4562
0.052704,0.005112,N1,ram,0.0258,5.0386
0.058034,0.005364,N0,package,0.5027,93.7157
0.058076,0.005395,N0,ram,0.0217,4.0304
0.058117,0.005422,N1,package,0.5348,98.6356
0.058134,0.005430,N1,ram,0.0311,5.7270
0.063328,0.005294,N0,package,0.5630,106.3544
0.063359,0.005283,N0,ram,0.0265,5.0197
0.063384,0.005267,N1,package,0.4611,87.5350
0.063399,0.005265,N1,ram,0.0284,5.3935
0.068568,0.005240,N0,package,0.4790,91.4136
0.068579,0.005220,N0,ram,0.0226,4.3321
0.068590,0.005206,N1,package,0.4717,90.6054
0.068600,0.005201,N1,ram,0.0273,5.2573
0.073737,0.005169,N0,package,0.5132,99.2945
0.073769,0.005190,N0,ram,0.0214,4.1161
0.073807,0.005217,N1,package,0.5816,111.4809
0.073825,0.005225,N1,ram,0.0360,6.8921
0.079023,0.005286,N0,package,0.4851,91.7725
