#timestamp,interval,socket,domain,energy,power
0.005263,0.005589,N0,package,0.5286,94.5831
0.005375,0.005512,N0,ram,0.0237,4.3075
0.005538,0.005550,N1,package,0.4661,83.9844
0.005558,0.005558,N1,ram,0.0302,5.4386
0.010729,0.005466,N0,package,0.5951,108.8720
0.010741,0.005366,N0,ram,0.0273,5.0874
0.010897,0.005359,N1,package,0.3989,74.4413
0.010917,0.005359,N1,ram,0.0255,4.7492
0.016184,0.005455,N0,package,0.5261,96.4364
0.016310,0.005569,N0,ram,0.0229,4.1043
0.016485,0.005588,N1,package,0.4785,85.6319
0.016497,0.005580,N1,ram,0.0337,6.0407
0.021688,0.005504,N0,package,0.5482,99.6011
0.021700,0.005390,N0,ram,0.0233,4.3229
0.021784,0.005299,N1,package,0.4200,79.2592
0.021796,0.005299,N1,ram,0.0274,5.1687
0.026961,0.005273,N0,package,0.5213,98.8649
0.026974,0.005274,N0,ram,0.0231,4.3890
0.027299,0.005515,N1,package,0.3948,71.5919
0.027375,0.005579,N1,ram,0.0273,4.8848
0.032546,0.005585,N0,package,0.6524,116.8147
0.032558,0.005584,N0,ram,0.0269,4.8148
0.032642,0.005343,N1,package,0.4921,92.1075
0.032655,0.005280,N1,ram,0.0302,5.7194
0.037822,0.005276,N0,package,0.6346,120.2896
0.037833,0.005275,N0,ram,0.0262,4.9580
0.037944,0.005302,N1,package,0.4263,80.3986
0.037961,0.005306,N1,ram,0.0265,4.9923
0.043251,0.005429,N0,package,0.5342,98.4045
0.043265,0.005432,N0,ram,0.0223,4.1041
0.043408,0.005464,N1,package,0.4527,82.8498
0.043420,0.005459,N1,ram,0.0271,4.9697
0.048593,0.005342,N0,package,0.5555,103.9836
0.048605,0.005340,N0,ram,0.0234,4.3775
0.048689,0.005281,N1,package,0.5406,102.3769
0.048702,0.005282,N1,ram,0.0322,6.0955
0.053777,0.005184,N0,package,0.5831,112.4827
0.053788,0.005183,N0,ram,0.0256,4.9312
0.053872,0.005183,N1,package,0.4188,80.7956
0.053882,0.005180,N1,ram,0.0265,5.1136
0.059003,0.005226,N0,package,0.5908,113.0446
0.059033,0.005245,N0,ram,0.0224,4.2795
0.059104,0.005232,N1,package,0.5205,99.4836
0.059119,0.005237,N1,ram,0.0273,5.2095
0.064278,0.005275,N0,package,0.5474,103.7653
0.064341,0.005308,N0,ram,0.0202,3.8004
0.064373,0.005269,N1,package,0.7329,139.1035
0.064385,0.005266,N1,ram,0.0315,5.9836
0.069570,0.005292,N0,package,0.5361,101.3112
0.069601,0.005260,N0,ram,0.0213,4.0497
0.069644,0.005271,N1,package,0.7574,143.6837
0.069669,0.005284,N1,ram,0.0339,6.4139
0.074752,0.005182,N0,package,0.6072,117.1817
0.074764,0.005163,N0,ram,0.0254,4.9208
0.074789,0.005145,N1,package,0.9478,184.2147
0.074802,0.005133,N1,ram,0.0398,7.7496
0.080180,0.005428,N0,package,0.4977,91.6976
0.080287,0.005523,N0,ram,0.0226,4.0832
0.080331,0.005542,N1,package,0.7693,138.8204
0.080358,0.005556,N1,ram,0.0338,6.0833
0.085547,0.005367,N0,package,0.4684,87.2704
0.085690,0.005403,N0,ram,0.0212,3.9200
0.085769,0.005438,N1,package,0.8815,162.0918
0.085815,0.005457,N1,ram,0.0372,6.8169
0.091166,0.005619,N0,package,0.6090,108.3875
0.091237,0.005547,N0,ram,0.0264,4.7561
0.091283,0.005514,N1,package,0.8053,146.0485
0.091298,0.005483,N1,ram,0.0348,6.3535
0.096463,0.005297,N0,package,0.4675,88.2484
0.096639,0.005402,N0,ram,0.0211,3.9036
0.096680,0.005397,N1,package,0.7261,134.5422
0.096704,0.005406,N1,ram,0.0313,5.7948
0.101893,0.005430,N0,package,0.5093,93.7899
0.102043,0.005404,N0,ram,0.0220,4.0688
0.102188,0.005508,N1,package,0.9301,168.8567
0.102217,0.005513,N1,ram,0.0410,7.4312
0.107425,0.005532,N0,package,0.5796,104.7699
