#timestamp,interval,socket,domain,energy,power
0.005190,0.005258,N0,package,0.5218,99.2402
0.005202,0.005261,N0,ram,0.0232,4.4028
0.005415,0.005429,N1,package,0.5078,93.5253
0.005432,0.005432,N1,ram,0.0169,3.1153
0.010600,0.005410,N0,package,0.5635,104.1622
0.010783,0.005581,N0,ram,0.0238,4.2652
0.010939,0.005524,N1,package,0.4135,74.8444
0.010950,0.005518,N1,ram,0.0132,2.3974
0.016124,0.005524,N0,package,0.6049,109.4980
0.016441,0.005658,N0,ram,0.0231,4.0748
0.016596,0.005657,N1,package,0.5179,91.5588
0.016611,0.005661,N1,ram,0.0166,2.9353
0.021784,0.005660,N0,package,0.5704,100.7717
0.021950,0.005509,N0,ram,0.0211,3.8252
0.021965,0.005369,N1,package,0.4075,75.9053
0.021975,0.005364,N1,ram,0.0128,2.3810
0.027163,0.005379,N0,package,0.5389,100.1941
0.027182,0.005232,N0,ram,0.0197,3.7592
0.027205,0.005240,N1,package,0.4940,94.2674
0.027218,0.005243,N1,ram,0.0156,2.9743
0.032536,0.005373,N0,package,0.5809,108.1093
0.032549,0.005367,N0,ram,0.0189,3.5199
0.032570,0.005365,N1,package,0.4372,81.4882
0.032582,0.005364,N1,ram,0.0141,2.6228
0.037751,0.005215,N0,package,0.5739,110.0520
0.037763,0.005214,N0,ram,0.0200,3.8336
0.037777,0.005207,N1,package,0.4430,85.0794
0.037787,0.005205,N1,ram,0.0135,2.6033
0.042948,0.005197,N0,package,0.5619,108.1171
0.042960,0.005197,N0,ram,0.0212,4.0872
0.043070,0.005293,N1,package,0.4407,83.2539
0.043093,0.005306,N1,ram,0.0167,3.1547
0.048557,0.005609,N0,package,0.5833,103.9952
0.048570,0.005610,N0,ram,0.0199,3.5441
0.048593,0.005523,N1,package,0.5283,95.6477
0.048604,0.005511,N1,ram,0.0141,2.5500
0.053774,0.005217,N0,package,0.6375,122.1972
0.053786,0.005216,N0,ram,0.0215,4.1218
0.053800,0.005207,N1,package,0.4540,87.1971
0.053811,0.005207,N1,ram,0.0127,2.4322

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.058997,0.005223,N0,package,0.5004,95.8043
0.059031,0.005245,N0,ram,0.0182,3.4678
0.059083,0.005283,N1,package,0.6345,120.0975
0.059111,0.005300,N1,ram,0.0303,5.7234
0.064439,0.005442,N0,package,0.6015,110.5266
0.064558,0.005527,N0,ram,0.0213,3.8513
0.064621,0.005538,N1,package,0.9143,165.0973
0.064652,0.005541,N1,ram,0.0552,9.9663
0.069850,0.005411,N0,package,0.4907,90.6913
0.069993,0.005435,N0,ram,0.0199,3.6554
0.070051,0.005430,N1,package,0.7618,140.3026
0.070074,0.005422,N1,ram,0.0460,8.4876
0.075420,0.005570,N0,package,0.5068,90.9840
0.075527,0.005534,N0,ram,0.0173,3.1185
0.075563,0.005512,N1,package,0.9647,175.0110
0.075583,0.005509,N1,ram,0.0605,10.9769
0.080773,0.005353,N0,package,0.5970,111.5190
0.080943,0.005416,N0,ram,0.0222,4.0963
0.080979,0.005416,N1,package,0.8036,148.3802
0.081004,0.005421,N1,ram,0.0483,8.9060
0.086203,0.005430,N0,package,0.5145,94.7453
0.086234,0.005291,N0,ram,0.0187,3.5415
0.086432,0.005453,N1,package,0.9243,169.4988
0.086536,0.005532,N1,ram,0.0572,10.3352
0.091738,0.005535,N0,package,0.6030,108.9502
0.091879,0.005645,N0,ram,0.0233,4.1277
0.091948,0.005516,N1,package,0.7845,142.2185
0.091979,0.005443,N1,ram,0.0487,8.9482
0.097170,0.005432,N0,package,0.4769,87.7865
0.097432,0.005553,N0,ram,0.0171,3.0803
0.097512,0.005564,N1,package,0.9084,163.2621
0.097538,0.005559,N1,ram,0.0576,10.3592
0.102743,0.005573,N0,package,0.5925,106.3253
0.102755,0.005323,N0,ram,0.0218,4.0876
0.102791,0.005279,N1,package,0.8054,152.5687
0.102822,0.005284,N1,ram,0.0491,9.2868
0.108016,0.005273,N0,package,0.4894,92.8068
0.108150,0.005395,N0,ram,0.0164,3.0461
0.108198,0.005407,N1,package,0.7732,143.0024
0.108469,0.005647,N1,ram,0.0566,10.0195
0.113670,0.005654,N0,package,0.6037,106.7719
0.113816,0.005666,N0,ram,0.0232,4.0988
0.113876,0.005678,N1,package,0.9440,166.2560
0.113908,0.005439,N1,ram,0.0484,8.9072
0.119105,0.005435,N0,package,0.4634,85.2697
0.119389,0.005573,N0,ram,0.0177,3.1678
0.119495,0.005619,N1,package,0.9128,162.4509
0.119533,0.005625,N1,ram,0.0576,10.2322
0.124734,0.005629,N0,package,0.5911,105.0176
0.124878,0.005489,N0,ram,0.0219,3.9864
0.124932,0.005437,N1,package,0.7761,142.7336
0.124982,0.005449,N1,ram,0.0459,8.4316
0.130329,0.005595,N0,package,0.4950,88.4715
0.130432,0.005554,N0,ram,0.0181,3.2501
0.130473,0.005541,N1,package,0.9387,169.4072
0.130493,0.005511,N1,ram,0.0598,10.8457
0.135659,0.005330,N0,package,0.6086,114.1900
0.135795,0.005363,N0,ram,0.0224,4.1680
0.135865,0.005392,N1,package,0.7759,143.9038
0.135891,0.005398,N1,ram,0.0479,8.8646
0.141079,0.005420,N0,package,0.4944,91.2267
0.141405,0.005610,N0,ram,0.0188,3.3537
0.141492,0.005627,N1,package,0.9456,168.0346
0.141526,0.005635,N1,ram,0.0582,10.3331
0.146724,0.005645,N0,package,0.5590,99.0179
0.146874,0.005469,N0,ram,0.0208,3.8002
0.146989,0.005497,N1,package,0.8053,146.4983
0.147073,0.005547,N1,ram,0.0496,8.9401
0.152415,0.005691,N0,package,0.5074,89.1549
0.152452,0.005578,N0,ram,0.0186,3.3264
0.152503,0.005514,N1,package,0.9312,168.8734
0.152518,0.005445,N1,ram,0.0570,10.4640
0.157710,0.005295,N0,package,0.5585,105.4823
0.157888,0.005436,N0,ram,0.0209,3.8512
0.157926,0.005423,N1,package,0.7519,138.6470
0.157953,0.005435,N1,ram,0.0464,8.5348
0.163160,0.005450,N0,package,0.4899,89.8951
0.163175,0.005287,N0,ram,0.0180,3.4026
0.163376,0.005450,N1,package,0.8224,150.8965
0.163395,0.005442,N1,ram,0.0492,9.0343
0.168590,0.005430,N0,package,0.6051,111.4373
0.168735,0.005560,N0,ram,0.0217,3.9026
0.168785,0.005409,N1,package,0.9338,172.6338
0.168815,0.005420,N1,ram,0.0584,10.7741
0.174015,0.005425,N0,package,0.4960,91.4237
0.174028,0.005293,N0,ram,0.0186,3.5200
0.174076,0.005291,N1,package,0.7691,145.3612
0.174102,0.005287,N1,ram,0.0472,8.9293
0.179430,0.005415,N0,package,0.4968,91.7506
0.179540,0.005512,N0,ram,0.0185,3.3579
0.179598,0.005522,N1,package,0.9365,169.5872
0.179645,0.005543,N1,ram,0.0561,10.1276
0.184846,0.005416,N0,package,0.5746,106.0919
0.184885,0.005345,N0,ram,0.0216,4.0480
0.184943,0.005345,N1,package,0.8160,152.6773
0.184977,0.005332,N1,ram,0.0503,9.4380
0.190176,0.005330,N0,package,0.4958,93.0284
0.190444,0.005559,N0,ram,0.0180,3.2362
0.190494,0.005551,N1,package,0.9120,164.2895
0.190546,0.005569,N1,ram,0.0557,9.9981
0.195741,0.005565,N0,package,0.6000,107.8137
0.195889,0.005445,N0,ram,0.0222,4.0830
0.195939,0.005445,N1,package,0.7748,142.3032
0.195971,0.005425,N1,ram,0.0483,8.8994
0.201164,0.005423,N0,package,0.4683,86.3463
0.201437,0.005548,N0,ram,0.0179,3.2261
0.201483,0.005544,N1,package,0.7773,140.2038
0.201507,0.005536,N1,ram,0.0582,10.5068
0.206690,0.005526,N0,package,0.5999,108.5498
0.206835,0.005398,N0,ram,0.0225,4.1638
0.206897,0.005414,N1,package,0.9529,176.0141
0.206935,0.005428,N1,ram,0.0478,8.7991
0.212135,0.005445,N0,package,0.4951,90.9193
0.212166,0.005331,N0,ram,0.0191,3.5893
0.212205,0.005308,N1,package,0.7843,147.7609
0.212425,0.005490,N1,ram,0.0482,8.7744
0.217624,0.005489,N0,package,0.5677,103.4252
0.217795,0.005629,N0,ram,0.0217,3.8629
0.217852,0.005647,N1,package,0.9121,161.5158
0.217895,0.005470,N1,ram,0.0567,10.3687
0.223095,0.005471,N0,package,0.5070,92.6741
0.223389,0.005594,N0,ram,0.0182,3.2541
0.223430,0.005578,N1,package,0.7889,141.4429
0.223450,0.005555,N1,ram,0.0485,8.7296
0.228616,0.005521,N0,package,0.4965,89.9322
0.228789,0.005400,N0,ram,0.0192,3.5631
0.228838,0.005408,N1,package,0.9310,172.1451
0.228862,0.005412,N1,ram,0.0585,10.8095
0.234053,0.005437,N0,package,0.5709,105.0089
0.234066,0.005277,N0,ram,0.0208,3.9326
0.234095,0.005257,N1,package,0.7899,150.2563
0.234112,0.005250,N1,ram,0.0486,9.2541
0.239436,0.005383,N0,package,0.5168,96.0142
0.239632,0.005566,N0,ram,0.0192,3.4570
0.239669,0.005574,N1,package,0.9473,169.9549
0.239686,0.005574,N1,ram,0.0585,10.5010
0.244877,0.005441,N0,package,0.5859,107.6743
0.245046,0.005414,N0,ram,0.0221,4.0810
0.245106,0.005437,N1,package,0.7824,143.9074
0.245130,0.005444,N1,ram,0.0487,8.9467
0.250418,0.005541,N0,package,0.4866,87.8265
0.250629,0.005583,N0,ram,0.0178,3.1867
0.250695,0.005589,N1,package,0.9252,165.5449
0.250720,0.005590,N1,ram,0.0564,10.0943
0.255914,0.005496,N0,package,0.5955,108.3547
0.256056,0.005427,N0,ram,0.0215,3.9700
0.256110,0.005415,N1,package,0.7772,143.5322
0.256137,0.005417,N1,ram,0.0466,8.6085
0.261286,0.005372,N0,package,0.4933,91.8360
0.261545,0.005489,N0,ram,0.0191,3.4833
0.261654,0.005544,N1,package,0.9376,169.1144
0.261696,0.005559,N1,ram,0.0578,10.3945
0.266903,0.005617,N0,package,0.5976,106.3923
0.266942,0.005397,N0,ram,0.0221,4.0938
0.267001,0.005347,N1,package,0.7735,144.6599
0.267068,0.005372,N1,ram,0.0484,9.0187
0.272354,0.005451,N0,package,0.4903,89.9426
0.272549,0.005607,N0,ram,0.0185,3.3065
0.272652,0.005651,N1,package,0.7834,138.6280
0.272688,0.005620,N1,ram,0.0587,10.4395
0.277889,0.005535,N0,package,0.6043,109.1818
0.278035,0.005486,N0,ram,0.0219,3.9997
0.278151,0.005499,N1,package,0.9663,175.7204
0.278218,0.005530,N1,ram,0.0493,8.9123
0.283496,0.005607,N0,package,0.4884,87.1077
0.283599,0.005564,N0,ram,0.0181,3.2470
0.283636,0.005485,N1,package,0.7640,139.2833
0.283652,0.005434,N1,ram,0.0467,8.5953
0.288842,0.005346,N0,package,0.5819,108.8482
0.288988,0.005389,N0,ram,0.0215,3.9979
0.289058,0.005422,N1,package,0.9665,178.2578
0.289088,0.005436,N1,ram,0.0577,10.6133
0.294388,0.005546,N0,package,0.4883,88.0516
0.294500,0.005512,N0,ram,0.0182,3.2970
0.294545,0.005487,N1,package,0.7612,138.7232
0.294562,0.005474,N1,ram,0.0466,8.5045
0.299752,0.005364,N0,package,0.5895,109.8963
0.299894,0.005394,N0,ram,0.0226,4.1839
0.299999,0.005454,N1,package,0.9494,174.0724
0.300022,0.005460,N1,ram,0.0589,10.7817
0.305384,0.005632,N0,package,0.4957,88.0210
0.305488,0.005594,N0,ram,0.0187,3.3442
0.305531,0.005532,N1,package,0.7717,139.4909
0.305552,0.005530,N1,ram,0.0469,8.4767
0.310744,0.005360,N0,package,0.4987,93.0423
0.310885,0.005397,N0,ram,0.0214,3.9696
0.310942,0.005411,N1,package,0.9534,176.1939
0.310975,0.005423,N1,ram,0.0611,11.2575
0.316174,0.005430,N0,package,0.5958,109.7287
0.316437,0.005552,N0,ram,0.0186,3.3447
0.316542,0.005600,N1,package,0.7719,137.8420
0.316572,0.005597,N1,ram,0.0459,8.1925
0.321761,0.005587,N0,package,0.5901,105.6315
0.321902,0.005465,N0,ram,0.0212,3.8838
0.322017,0.005475,N1,package,0.9406,171.8000
0.322057,0.005485,N1,ram,0.0568,10.3625
0.327336,0.005575,N0,package,0.4821,86.4646
0.327558,0.005656,N0,ram,0.0188,3.3318
0.327647,0.005630,N1,package,0.7489,133.0194
0.327671,0.005614,N1,ram,0.0488,8.6839
0.332837,0.005501,N0,package,0.6002,109.1104
0.333010,0.005452,N0,ram,0.0210,3.8483
0.333113,0.005466,N1,package,0.9532,174.3962
0.333193,0.005522,N1,ram,0.0575,10.4092
0.338439,0.005602,N0,package,0.4993,89.1359
0.338549,0.005539,N0,ram,0.0190,3.4325
0.338602,0.005489,N1,package,0.8185,149.1100
0.338627,0.005434,N1,ram,0.0506,9.3198
0.343814,0.005375,N0,package,0.4819,89.6636
0.343848,0.005299,N0,ram,0.0178,3.3575
0.343897,0.005295,N1,package,0.9160,172.9836
0.343943,0.005316,N1,ram,0.0553,10.4021
0.349166,0.005352,N0,package,0.6031,112.6842
0.349182,0.005334,N0,ram,0.0211,3.9650
0.349382,0.005485,N1,package,0.8016,146.1554
0.349414,0.005471,N1,ram,0.0496,9.0616
0.354605,0.005439,N0,package,0.5143,94.5538
0.354747,0.005565,N0,ram,0.0191,3.4410
0.354789,0.005407,N1,package,0.7609,140.7159
0.354813,0.005399,N1,ram,0.0559,10.3525
0.360014,0.005409,N0,package,0.5864,108.4166
0.360183,0.005436,N0,ram,0.0213,3.9102
0.360251,0.005462,N1,package,0.9474,173.4641
0.360285,0.005472,N1,ram,0.0489,8.9289
0.365558,0.005544,N0,package,0.4797,86.5334
0.365661,0.005478,N0,ram,0.0175,3.1922
0.365715,0.005464,N1,package,0.7896,144.5096
0.365740,0.005455,N1,ram,0.0486,8.9147
0.370902,0.005344,N0,package,0.4906,91.8014
0.370913,0.005252,N0,ram,0.0187,3.5560
0.370947,0.005232,N1,package,0.9168,175.2279
0.370976,0.005236,N1,ram,0.0560,10.6924
0.376169,0.005267,N0,package,0.5779,109.7193
0.376490,0.005577,N0,ram,0.0205,3.6826
0.376555,0.005608,N1,package,0.8012,142.8728
0.376587,0.005611,N1,ram,0.0509,9.0776
0.381777,0.005608,N0,package,0.4966,88.5476
0.381921,0.005431,N0,ram,0.0185,3.4109
0.382050,0.005495,N1,package,0.9399,171.0406
0.382084,0.005497,N1,ram,0.0580,10.5566
0.387377,0.005600,N0,package,0.5967,106.5613
0.387577,0.005656,N0,ram,0.0216,3.8120
0.387651,0.005601,N1,package,0.7532,134.4730
0.387677,0.005593,N1,ram,0.0470,8.3973
0.392875,0.005498,N0,package,0.5616,102.1447
0.393033,0.005456,N0,ram,0.0247,4.5335
0.393079,0.005428,N1,package,0.8633,159.0513
0.393104,0.005427,N1,ram,0.0563,10.3804
0.398433,0.005558,N0,package,0.4976,89.5209
0.398628,0.005595,N0,ram,0.0226,4.0363
0.398697,0.005618,N1,package,0.7797,138.7939
0.398724,0.005620,N1,ram,0.0515,9.1661
0.403922,0.005489,N0,package,0.4683,85.3185
0.404068,0.005440,N0,ram,0.0184,3.3884
0.404117,0.005420,N1,package,0.7096,130.9165
0.404138,0.005414,N1,ram,0.0454,8.3875
0.409289,0.005367,N0,package,0.6058,112.8693
0.409449,0.005381,N0,ram,0.0269,4.9935
0.409497,0.005380,N1,package,0.9603,178.4909
0.409527,0.005389,N1,ram,0.0556,10.3179
0.414726,0.005437,N0,package,0.4741,87.2044
0.414867,0.005418,N0,ram,0.0206,3.8050
0.414908,0.005411,N1,package,0.7477,138.1915
0.414929,0.005402,N1,ram,0.0481,8.9120
0.420131,0.005405,N0,package,0.5850,108.2382
0.420435,0.005568,N0,ram,0.0248,4.4587
0.420510,0.005602,N1,package,0.9045,161.4531
0.420536,0.005607,N1,ram,0.0567,10.1070
0.425734,0.005603,N0,package,0.4756,84.8795
0.425877,0.005442,N0,ram,0.0208,3.8244
0.425918,0.005408,N1,package,0.7632,141.1200
0.425949,0.005413,N1,ram,0.0479,8.8569
0.431150,0.005416,N0,package,0.5816,107.3879
0.431413,0.005536,N0,ram,0.0267,4.8209
0.431495,0.005577,N1,package,0.9223,165.3805
0.431520,0.005571,N1,ram,0.0574,10.2987
0.436718,0.005568,N0,package,0.4744,85.1945
0.436859,0.005446,N0,ram,0.0210,3.8498
0.436900,0.005405,N1,package,0.7662,141.7542
0.436924,0.005404,N1,ram,0.0465,8.6035
0.442129,0.005411,N0,package,0.5829,107.7242
0.442141,0.005282,N0,ram,0.0259,4.9022
0.442167,0.005267,N1,package,0.7661,145.4514
0.442178,0.005254,N1,ram,0.0477,9.0873
0.447319,0.005190,N0,package,0.4959,95.5487
0.447483,0.005342,N0,ram,0.0203,3.8047
0.447527,0.005360,N1,package,0.8856,165.2197
0.447552,0.005374,N1,ram,0.0557,10.3581
0.452723,0.005404,N0,package,0.4727,87.4642
0.452877,0.005394,N0,ram,0.0214,3.9604
0.452909,0.005382,N1,package,0.7637,141.9034
0.452928,0.005376,N1,ram,0.0478,8.8866
0.458102,0.005379,N0,package,0.4919,91.4456
0.458114,0.005237,N0,ram,0.0211,4.0297
0.458135,0.005226,N1,package,0.9247,176.9343
0.458146,0.005218,N1,ram,0.0586,11.2349
0.463290,0.005188,N0,package,0.5770,111.2118
0.463447,0.005333,N0,ram,0.0255,4.7895
0.463490,0.005355,N1,package,0.7408,138.3380
0.463515,0.005369,N1,ram,0.0480,8.9468
0.468711,0.005421,N0,package,0.4854,89.5443
0.468881,0.005434,N0,ram,0.0215,3.9623
0.468920,0.005430,N1,package,0.7793,143.5174
0.468944,0.005429,N1,ram,0.0491,9.0445
0.474147,0.005436,N0,package,0.4727,86.9464
0.474432,0.005551,N0,ram,0.0218,3.9225
0.474473,0.005553,N1,package,0.8857,159.4958
0.474489,0.005545,N1,ram,0.0547,9.8682
0.479680,0.005533,N0,package,0.5654,102.1816
0.479830,0.005398,N0,ram,0.0268,4.9722
0.479862,0.005389,N1,package,0.7470,138.6181
0.479877,0.005388,N1,ram,0.0488,9.0623
