#timestamp,interval,socket,domain,energy,power
0.005275,0.005390,N0,package,0.4941,91.6672
0.005394,0.005497,N0,ram,0.0215,3.9167
0.005559,0.005571,N1,package,0.4866,87.3419
0.005580,0.005580,N1,ram,0.0328,5.8793
0.010743,0.005468,N0,package,0.6091,111.3854
0.010756,0.005362,N0,ram,0.0269,5.0255
0.010906,0.005347,N1,package,0.4946,92.5056
0.010927,0.005347,N1,ram,0.0318,5.9528
0.016258,0.005515,N0,package,0.5135,93.1211
0.016378,0.005622,N0,ram,0.0219,3.9028
0.016550,0.005644,N1,package,0.4190,74.2382
0.016562,0.005635,N1,ram,0.0266,4.7171
0.021731,0.005473,N0,package,0.5582,101.9941
0.021746,0.005368,N0,ram,0.0245,4.5566
0.021830,0.005280,N1,package,0.4852,91.8992
0.021844,0.005282,N1,ram,0.0320,6.0490
0.027014,0.005283,N0,package,0.6288,119.0230
0.027030,0.005284,N0,ram,0.0258,4.8775
0.027366,0.005536,N1,package,0.4180,75.4991
0.027462,0.005618,N1,ram,0.0270,4.8103
0.032648,0.005634,N0,package,0.5748,102.0273
0.032659,0.005629,N0,ram,0.0230,4.0905
0.032730,0.005364,N1,package,0.4471,83.3496
0.032743,0.005281,N1,ram,0.0276,5.2240
0.037909,0.005261,N0,package,0.6277,119.3220
0.037920,0.005261,N0,ram,0.0246,4.6667
0.038007,0.005277,N1,package,0.5307,100.5702
0.038021,0.005278,N1,ram,0.0313,5.9380
0.043291,0.005382,N0,package,0.5422,100.7375
0.043397,0.005477,N0,ram,0.0215,3.9227
0.043495,0.005488,N1,package,0.4603,83.8764
0.043507,0.005486,N1,ram,0.0261,4.7534
0.048583,0.005292,N0,package,0.5377,101.6111
0.048595,0.005198,N0,ram,0.0228,4.3945
0.048679,0.005184,N1,package,0.4626,89.2462
0.048691,0.005184,N1,ram,0.0293,5.6603
0.053855,0.005272,N0,package,0.6354,120.5326
0.053866,0.005271,N0,ram,0.0242,4.5824
0.053938,0.005259,N1,package,0.5047,95.9681
0.053951,0.005260,N1,ram,0.0284,5.3957
0.059300,0.005445,N0,package,0.5729,105.2225
0.059404,0.005538,N0,ram,0.0230,4.1522
0.059444,0.005506,N1,package,0.6179,112.2307
0.059460,0.005509,N1,ram,0.0303,5.5034
0.064650,0.005350,N0,package,0.5082,94.9961
0.064801,0.005397,N0,ram,0.0204,3.7830
0.064884,0.005440,N1,package,0.7059,129.7559
0.064895,0.005435,N1,ram,0.0316,5.8059
0.070264,0.005614,N0,package,0.6008,107.0118
0.070371,0.005570,N0,ram,0.0255,4.5693
0.070398,0.005514,N1,package,0.8912,161.6271
0.070410,0.005515,N1,ram,0.0408,7.4041
0.075603,0.005339,N0,package,0.5081,95.1726
0.075754,0.005383,N0,ram,0.0210,3.9004
0.075769,0.005371,N1,package,0.6814,126.8693
0.075798,0.005388,N1,ram,0.0332,6.1624
